[05:24:00] 캐시 로드: 0개 완료 항목
[05:24:00] ==============================================================
[05:24:00]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:24:00]   precision: 5 → 7 | 세분화 임계: 400건
[05:24:00]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260721
[05:24:00] ==============================================================
[05:24:00] 지오해시 타일: 16891개 (precision=5)
[05:24:00] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:24:08]   읍면동 18401개 확인
[05:24:23]   100/18401동 | 731건 | 23s
[05:24:39]   200/18401동 | 1,921건 | 40s
[05:24:57]   300/18401동 | 3,178건 | 58s
[05:25:33]   400/18401동 | 6,722건 | 93s
[05:26:39]   500/18401동 | 12,706건 | 159s
[05:28:08]   600/18401동 | 20,217건 | 249s
[05:30:25]   700/18401동 | 24,445건 | 385s
[05:30:52]   800/18401동 | 25,983건 | 412s
[05:31:09]   900/18401동 | 28,121건 | 429s
[05:31:26]   1000/18401동 | 29,436건 | 446s
[05:32:13]   1100/18401동 | 32,672건 | 494s
[05:33:14]   1200/18401동 | 35,083건 | 554s
[05:35:08]   1300/18401동 | 45,335건 | 668s
[05:35:14]   1400/18401동 | 45,436건 | 674s
[05:35:44]   1500/18401동 | 45,997건 | 705s
[05:36:37]   1600/18401동 | 50,236건 | 758s
[05:37:15]   1700/18401동 | 52,524건 | 796s
[05:38:03]   1800/18401동 | 55,912건 | 843s
[05:38:29]   1900/18401동 | 57,562건 | 869s
[05:38:54]   2000/18401동 | 57,562건 | 895s
[05:39:51]   2100/18401동 | 61,228건 | 951s
[05:40:39]   2200/18401동 | 62,975건 | 999s
[05:42:11]   2300/18401동 | 70,135건 | 1092s
[05:43:37]   2400/18401동 | 70,177건 | 1178s
[05:45:22]   2500/18401동 | 77,693건 | 1282s
[05:47:30]   2600/18401동 | 81,963건 | 1411s
[05:48:51]   2700/18401동 | 87,968건 | 1491s
[05:49:31]   2800/18401동 | 89,294건 | 1531s
[05:49:52]   2900/18401동 | 89,825건 | 1552s
[05:50:14]   3000/18401동 | 90,946건 | 1574s
[05:50:27]   3100/18401동 | 90,946건 | 1587s
[05:51:41]   3200/18401동 | 94,188건 | 1662s
[05:52:34]   3300/18401동 | 94,804건 | 1715s
[05:53:11]   3400/18401동 | 94,810건 | 1751s
[05:54:00]   3500/18401동 | 96,987건 | 1800s
[05:54:06]   3600/18401동 | 97,048건 | 1807s
[05:54:10]   3700/18401동 | 97,090건 | 1810s
[05:54:15]   3800/18401동 | 97,120건 | 1815s
[05:54:41]   3900/18401동 | 98,824건 | 1841s
[05:55:29]   4000/18401동 | 98,948건 | 1890s
[05:55:53]   4100/18401동 | 98,964건 | 1913s
[05:56:09]   4200/18401동 | 99,842건 | 1929s
[05:56:31]   4300/18401동 | 99,963건 | 1951s
[05:56:40]   4400/18401동 | 100,086건 | 1960s
[05:56:44]   4500/18401동 | 100,150건 | 1964s
[05:56:47]   4600/18401동 | 100,150건 | 1968s
[05:56:55]   4700/18401동 | 100,604건 | 1975s
[05:57:00]   4800/18401동 | 101,014건 | 1980s
[05:57:02]   4900/18401동 | 101,014건 | 1982s
[05:57:04]   5000/18401동 | 101,038건 | 1985s
[05:57:06]   5100/18401동 | 101,046건 | 1987s
[05:57:09]   5200/18401동 | 101,050건 | 1989s
