[04:10:40] 캐시 로드: 0개 완료 항목
[04:10:40] ==============================================================
[04:10:40]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[04:10:40]   precision: 5 → 7 | 세분화 임계: 400건
[04:10:40]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260812
[04:10:40] ==============================================================
[04:10:40] 지오해시 타일: 16891개 (precision=5)
[04:10:40] 
[1/3] 아파트 수집 ─────────────────────────────────
[04:10:51]   읍면동 18401개 확인
[04:11:14]   100/18401동 | 1,651건 | 33s
[04:11:33]   200/18401동 | 2,557건 | 53s
[04:11:45]   300/18401동 | 3,459건 | 65s
[04:12:37]   400/18401동 | 7,687건 | 116s
[04:13:49]   500/18401동 | 13,059건 | 188s
[04:15:07]   600/18401동 | 19,483건 | 266s
[04:16:31]   700/18401동 | 24,667건 | 350s
[04:18:50]   800/18401동 | 27,596건 | 489s
[04:19:19]   900/18401동 | 29,113건 | 518s
[04:19:58]   1000/18401동 | 30,735건 | 558s
[04:20:05]   1100/18401동 | 30,798건 | 565s
[04:22:06]   1200/18401동 | 37,979건 | 686s
[04:23:24]   1300/18401동 | 45,842건 | 763s
[04:23:54]   1400/18401동 | 46,522건 | 794s
[04:24:48]   1500/18401동 | 49,785건 | 848s
[04:25:05]   1600/18401동 | 50,513건 | 865s
[04:26:00]   1700/18401동 | 54,141건 | 920s
[04:26:38]   1800/18401동 | 56,248건 | 958s
[04:27:08]   1900/18401동 | 56,455건 | 988s
[04:28:14]   2000/18401동 | 60,607건 | 1053s
[04:29:04]   2100/18401동 | 61,086건 | 1104s
[04:30:10]   2200/18401동 | 65,267건 | 1169s
[04:32:02]   2300/18401동 | 73,386건 | 1282s
[04:33:34]   2400/18401동 | 73,435건 | 1374s
[04:34:52]   2500/18401동 | 77,023건 | 1451s
[04:37:44]   2600/18401동 | 84,144건 | 1624s
[04:38:58]   2700/18401동 | 88,889건 | 1698s
[04:39:15]   2800/18401동 | 88,910건 | 1715s
[04:40:08]   2900/18401동 | 91,582건 | 1767s
[04:40:49]   3000/18401동 | 92,246건 | 1808s
[04:41:34]   3100/18401동 | 92,251건 | 1853s
[04:42:02]   3200/18401동 | 92,920건 | 1882s
[04:42:20]   3300/18401동 | 92,920건 | 1900s
[04:42:59]   3400/18401동 | 94,715건 | 1939s
[04:44:13]   3500/18401동 | 94,716건 | 2013s
[04:44:19]   3600/18401동 | 94,755건 | 2018s
[04:44:23]   3700/18401동 | 94,813건 | 2022s
[04:45:22]   3800/18401동 | 97,124건 | 2082s
[04:45:32]   3900/18401동 | 97,141건 | 2091s
[04:46:05]   4000/18401동 | 98,039건 | 2125s
[04:47:22]   4100/18401동 | 100,228건 | 2201s
[04:47:28]   4200/18401동 | 100,317건 | 2208s
[04:47:35]   4300/18401동 | 100,434건 | 2215s
[04:47:44]   4400/18401동 | 100,484건 | 2224s
[04:47:48]   4500/18401동 | 100,498건 | 2228s
[04:47:52]   4600/18401동 | 100,526건 | 2231s
[04:47:54]   4700/18401동 | 100,526건 | 2234s
[04:48:07]   4800/18401동 | 101,148건 | 2246s
[04:48:18]   4900/18401동 | 101,941건 | 2257s
[04:48:54]   5000/18401동 | 102,427건 | 2294s
[04:49:08]   5100/18401동 | 102,503건 | 2308s
[04:49:11]   5200/18401동 | 102,503건 | 2311s
[04:49:14]   5300/18401동 | 102,503건 | 2313s
[04:49:16]   5400/18401동 | 102,508건 | 2315s
[04:49:18]   5500/18401동 | 102,508건 | 2318s
[04:49:21]   5600/18401동 | 102,530건 | 2321s
[04:49:24]   5700/18401동 | 102,530건 | 2324s
[04:49:46]   5800/18401동 | 102,700건 | 2346s
[04:49:49]   5900/18401동 | 102,700건 | 2349s
[04:49:53]   6000/18401동 | 102,715건 | 2352s
[04:50:19]   6100/18401동 | 104,580건 | 2379s
[04:50:40]   6200/18401동 | 105,275건 | 2400s
[04:50:45]   6300/18401동 | 105,346건 | 2405s
[04:50:47]   6400/18401동 | 105,346건 | 2407s
[04:53:40]   6500/18401동 | 108,166건 | 2580s
[04:53:57]   6600/18401동 | 108,166건 | 2596s
[04:54:11]   6700/18401동 | 108,414건 | 2610s
[04:54:14]   6800/18401동 | 108,462건 | 2614s
[04:54:16]   6900/18401동 | 108,462건 | 2616s
[04:54:22]   7000/18401동 | 108,622건 | 2622s
[04:54:30]   7100/18401동 | 108,622건 | 2630s
[04:54:34]   7200/18401동 | 108,627건 | 2634s
[04:54:37]   7300/18401동 | 108,627건 | 2637s
[04:54:54]   7400/18401동 | 108,829건 | 2654s
[04:54:59]   7500/18401동 | 108,838건 | 2658s
[04:55:02]   7600/18401동 | 108,840건 | 2662s
[04:55:05]   7700/18401동 | 108,840건 | 2664s
[04:55:08]   7800/18401동 | 108,840건 | 2668s
[04:55:11]   7900/18401동 | 108,840건 | 2671s
[04:55:17]   8000/18401동 | 108,937건 | 2677s
[04:55:24]   8100/18401동 | 109,142건 | 2683s
[04:55:27]   8200/18401동 | 109,332건 | 2686s
[04:55:35]   8300/18401동 | 109,335건 | 2694s
[04:55:46]   8400/18401동 | 109,652건 | 2706s
[04:55:53]   8500/18401동 | 109,652건 | 2712s
[04:56:00]   8600/18401동 | 109,790건 | 2719s
[04:56:05]   8700/18401동 | 109,909건 | 2724s
[04:56:11]   8800/18401동 | 109,909건 | 2730s
[04:56:14]   8900/18401동 | 109,912건 | 2734s
[04:56:17]   9000/18401동 | 109,912건 | 2737s
[04:56:20]   9100/18401동 | 109,914건 | 2739s
[04:56:23]   9200/18401동 | 109,915건 | 2743s
[04:56:26]   9300/18401동 | 109,915건 | 2745s
[04:56:30]   9400/18401동 | 109,919건 | 2749s
[04:56:33]   9500/18401동 | 109,919건 | 2752s
[04:56:36]   9600/18401동 | 109,922건 | 2756s
[04:56:40]   9700/18401동 | 109,922건 | 2759s
[04:56:43]   9800/18401동 | 109,922건 | 2762s
[04:56:46]   9900/18401동 | 109,924건 | 2766s
[04:56:49]   10000/18401동 | 109,925건 | 2769s
[04:56:53]   10100/18401동 | 109,925건 | 2772s
[04:57:02]   10200/18401동 | 110,030건 | 2782s
[04:57:06]   10300/18401동 | 110,032건 | 2786s
[04:57:10]   10400/18401동 | 110,032건 | 2789s
[04:57:12]   10500/18401동 | 110,032건 | 2792s
[04:57:15]   10600/18401동 | 110,035건 | 2795s
[04:57:19]   10700/18401동 | 110,035건 | 2798s
[04:57:22]   10800/18401동 | 110,035건 | 2802s
[04:57:25]   10900/18401동 | 110,037건 | 2805s
[04:57:29]   11000/18401동 | 110,037건 | 2809s
[04:57:36]   11100/18401동 | 110,095건 | 2815s
[04:57:42]   11200/18401동 | 110,323건 | 2821s
[04:57:57]   11300/18401동 | 110,323건 | 2837s
[04:58:07]   11400/18401동 | 110,343건 | 2847s
[04:58:11]   11500/18401동 | 110,343건 | 2850s
[04:59:01]   11600/18401동 | 111,733건 | 2900s
[04:59:25]   11700/18401동 | 112,112건 | 2925s
[05:00:47]   11800/18401동 | 114,647건 | 3007s
[05:01:29]   11900/18401동 | 114,647건 | 3048s
[05:01:33]   12000/18401동 | 114,682건 | 3053s
[05:01:36]   12100/18401동 | 114,682건 | 3056s
[05:01:40]   12200/18401동 | 114,703건 | 3059s
[05:01:43]   12300/18401동 | 114,716건 | 3063s
[05:01:46]   12400/18401동 | 114,716건 | 3065s
[05:01:48]   12500/18401동 | 114,722건 | 3068s
[05:01:51]   12600/18401동 | 114,728건 | 3071s
[05:01:54]   12700/18401동 | 114,728건 | 3074s
[05:01:57]   12800/18401동 | 114,729건 | 3077s
[05:02:05]   12900/18401동 | 114,934건 | 3085s
[05:02:10]   13000/18401동 | 115,112건 | 3089s
[05:02:13]   13100/18401동 | 115,112건 | 3093s
[05:02:16]   13200/18401동 | 115,112건 | 3096s
[05:02:19]   13300/18401동 | 115,112건 | 3099s
[05:02:22]   13400/18401동 | 115,112건 | 3102s
[05:02:25]   13500/18401동 | 115,112건 | 3104s
[05:02:27]   13600/18401동 | 115,113건 | 3107s
[05:02:30]   13700/18401동 | 115,115건 | 3110s
[05:02:33]   13800/18401동 | 115,126건 | 3113s
[05:02:36]   13900/18401동 | 115,126건 | 3116s
[05:02:40]   14000/18401동 | 115,127건 | 3120s
[05:02:44]   14100/18401동 | 115,135건 | 3124s
[05:02:47]   14200/18401동 | 115,135건 | 3127s
[05:02:55]   14300/18401동 | 115,404건 | 3135s
[05:03:01]   14400/18401동 | 115,447건 | 3141s
[05:03:26]   14500/18401동 | 116,626건 | 3166s
[05:03:44]   14600/18401동 | 116,949건 | 3183s
[05:03:51]   14700/18401동 | 117,251건 | 3191s
[05:04:05]   14800/18401동 | 117,795건 | 3204s
[05:04:34]   14900/18401동 | 119,483건 | 3233s
[05:05:47]   15000/18401동 | 120,461건 | 3307s
[05:06:05]   15100/18401동 | 120,709건 | 3325s
[05:06:08]   15200/18401동 | 120,709건 | 3328s
