[07:30:12] 캐시 로드: 0개 완료 항목
[07:30:12] ==============================================================
[07:30:12]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[07:30:12]   precision: 5 → 7 | 세분화 임계: 400건
[07:30:12]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260922
[07:30:12] ==============================================================
[07:30:12] 지오해시 타일: 16891개 (precision=5)
[07:30:12] 
[1/3] 아파트 수집 ─────────────────────────────────
[07:30:20]   읍면동 18401개 확인
[07:30:46]   100/18401동 | 1,952건 | 34s
[07:30:57]   200/18401동 | 2,457건 | 45s
[07:31:14]   300/18401동 | 3,582건 | 62s
[07:32:38]   400/18401동 | 11,731건 | 145s
[07:33:28]   500/18401동 | 14,875건 | 196s
[07:34:40]   600/18401동 | 21,187건 | 268s
[07:36:05]   700/18401동 | 27,734건 | 352s
[07:38:27]   800/18401동 | 31,097건 | 495s
[07:39:03]   900/18401동 | 33,457건 | 531s
[07:39:48]   1000/18401동 | 34,746건 | 576s
[07:39:56]   1100/18401동 | 34,799건 | 583s
[07:41:11]   1200/18401동 | 39,340건 | 658s
[07:42:49]   1300/18401동 | 48,655건 | 757s
[07:43:14]   1400/18401동 | 49,177건 | 781s
[07:44:04]   1500/18401동 | 52,277건 | 832s
[07:44:25]   1600/18401동 | 53,522건 | 853s
[07:45:06]   1700/18401동 | 55,977건 | 894s
[07:45:59]   1800/18401동 | 59,456건 | 946s
[07:46:59]   1900/18401동 | 64,049건 | 1007s
[07:47:42]   2000/18401동 | 64,050건 | 1050s
[07:48:21]   2100/18401동 | 66,553건 | 1088s
[07:48:51]   2200/18401동 | 67,164건 | 1119s
[07:50:43]   2300/18401동 | 75,976건 | 1230s
[07:52:31]   2400/18401동 | 77,746건 | 1338s
[07:54:15]   2500/18401동 | 84,242건 | 1443s
[07:55:40]   2600/18401동 | 89,418건 | 1527s
[07:56:36]   2700/18401동 | 92,014건 | 1584s
[07:58:44]   2800/18401동 | 94,620건 | 1711s
[07:59:11]   2900/18401동 | 95,930건 | 1739s
[08:00:11]   3000/18401동 | 98,002건 | 1799s
[08:00:33]   3100/18401동 | 98,591건 | 1821s
[08:01:13]   3200/18401동 | 98,591건 | 1861s
[08:02:07]   3300/18401동 | 99,502건 | 1915s
[08:02:42]   3400/18401동 | 101,177건 | 1950s
[08:03:37]   3500/18401동 | 101,178건 | 2005s
[08:04:05]   3600/18401동 | 101,541건 | 2033s
[08:04:51]   3700/18401동 | 103,911건 | 2079s
[08:04:58]   3800/18401동 | 103,965건 | 2086s
[08:05:01]   3900/18401동 | 103,980건 | 2089s
[08:05:04]   4000/18401동 | 103,997건 | 2092s
[08:05:12]   4100/18401동 | 104,243건 | 2100s
[08:05:15]   4200/18401동 | 104,558건 | 2103s
[08:05:23]   4300/18401동 | 104,855건 | 2111s
[08:05:26]   4400/18401동 | 104,990건 | 2114s
[08:05:33]   4500/18401동 | 105,097건 | 2121s
[08:05:41]   4600/18401동 | 105,154건 | 2128s
[08:05:44]   4700/18401동 | 105,154건 | 2132s
[08:05:47]   4800/18401동 | 105,174건 | 2135s
[08:05:50]   4900/18401동 | 105,174건 | 2137s
[08:05:52]   5000/18401동 | 105,174건 | 2140s
[08:06:13]   5100/18401동 | 106,254건 | 2160s
[08:06:36]   5200/18401동 | 106,257건 | 2183s
[08:06:38]   5300/18401동 | 106,260건 | 2185s
[08:06:41]   5400/18401동 | 106,260건 | 2188s
[08:06:56]   5500/18401동 | 106,429건 | 2204s
[08:06:59]   5600/18401동 | 106,429건 | 2206s
[08:07:06]   5700/18401동 | 106,552건 | 2213s
[08:07:21]   5800/18401동 | 106,869건 | 2228s
[08:07:32]   5900/18401동 | 107,315건 | 2240s
