[04:25:23] 캐시 로드: 0개 완료 항목
[04:25:23] ==============================================================
[04:25:23]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[04:25:23]   precision: 5 → 7 | 세분화 임계: 400건
[04:25:23]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260411
[04:25:23] ==============================================================
[04:25:23] 지오해시 타일: 16891개 (precision=5)
[04:25:23] 
[1/3] 아파트 수집 ─────────────────────────────────
[04:25:33]   읍면동 18401개 확인
[04:25:44]   100/18401동 | 659건 | 21s
[04:26:11]   200/18401동 | 2,162건 | 48s
[04:26:36]   300/18401동 | 4,102건 | 73s
[04:27:17]   400/18401동 | 7,282건 | 114s
[04:28:26]   500/18401동 | 12,704건 | 183s
[04:29:56]   600/18401동 | 19,253건 | 273s
[04:30:58]   700/18401동 | 23,009건 | 335s
[04:32:48]   800/18401동 | 25,164건 | 445s
[04:33:21]   900/18401동 | 27,034건 | 479s
[04:33:32]   1000/18401동 | 27,356건 | 489s
[04:34:31]   1100/18401동 | 30,574건 | 549s
[04:35:18]   1200/18401동 | 32,159건 | 595s
[04:35:58]   1300/18401동 | 36,754건 | 635s
[04:37:33]   1400/18401동 | 42,622건 | 730s
[04:38:18]   1500/18401동 | 45,294건 | 775s
[04:39:05]   1600/18401동 | 47,510건 | 822s
[04:39:31]   1700/18401동 | 48,877건 | 848s
[04:40:19]   1800/18401동 | 51,777건 | 896s
[04:41:23]   1900/18401동 | 55,248건 | 961s
[04:42:08]   2000/18401동 | 56,277건 | 1006s
[04:42:49]   2100/18401동 | 57,517건 | 1046s
[04:43:36]   2200/18401동 | 59,420건 | 1093s
[04:44:44]   2300/18401동 | 64,114건 | 1161s
[04:47:19]   2400/18401동 | 72,690건 | 1317s
[04:49:34]   2500/18401동 | 74,738건 | 1452s
[04:52:21]   2600/18401동 | 78,674건 | 1618s
[04:53:49]   2700/18401동 | 84,819건 | 1707s
[04:54:28]   2800/18401동 | 86,143건 | 1745s
[04:55:27]   2900/18401동 | 87,408건 | 1805s
[04:56:08]   3000/18401동 | 89,169건 | 1845s
[04:56:20]   3100/18401동 | 89,169건 | 1857s
[04:56:59]   3200/18401동 | 89,863건 | 1897s
[04:57:50]   3300/18401동 | 89,863건 | 1947s
[04:59:25]   3400/18401동 | 92,472건 | 2042s
[05:00:56]   3500/18401동 | 95,189건 | 2133s
[05:01:06]   3600/18401동 | 95,241건 | 2143s
[05:01:48]   3700/18401동 | 97,497건 | 2185s
[05:03:01]   3800/18401동 | 97,499건 | 2259s
[05:03:31]   3900/18401동 | 97,551건 | 2288s
[05:03:33]   4000/18401동 | 97,568건 | 2291s
[05:03:38]   4100/18401동 | 97,591건 | 2295s
[05:03:43]   4200/18401동 | 97,680건 | 2300s
[05:03:48]   4300/18401동 | 97,680건 | 2305s
[05:03:57]   4400/18401동 | 97,793건 | 2314s
[05:04:10]   4500/18401동 | 97,982건 | 2328s
[05:04:19]   4600/18401동 | 98,594건 | 2336s
[05:04:54]   4700/18401동 | 99,449건 | 2371s
[05:04:58]   4800/18401동 | 99,527건 | 2375s
[05:05:01]   4900/18401동 | 99,527건 | 2378s
[05:05:03]   5000/18401동 | 99,536건 | 2380s
[05:05:06]   5100/18401동 | 99,536건 | 2384s
[05:05:10]   5200/18401동 | 99,573건 | 2388s
[05:05:13]   5300/18401동 | 99,591건 | 2390s
[05:05:16]   5400/18401동 | 99,596건 | 2393s
[05:05:18]   5500/18401동 | 99,597건 | 2396s
[05:05:36]   5600/18401동 | 99,779건 | 2413s
[05:05:50]   5700/18401동 | 99,782건 | 2428s
[05:06:00]   5800/18401동 | 99,917건 | 2438s
[05:06:13]   5900/18401동 | 99,919건 | 2450s
[05:06:45]   6000/18401동 | 101,851건 | 2482s
[05:06:55]   6100/18401동 | 101,989건 | 2492s
[05:10:09]   6200/18401동 | 104,928건 | 2686s
[05:10:15]   6300/18401동 | 104,951건 | 2693s
[05:10:18]   6400/18401동 | 104,951건 | 2695s
[05:10:27]   6500/18401동 | 105,205건 | 2704s
[05:10:34]   6600/18401동 | 105,205건 | 2712s
[05:10:38]   6700/18401동 | 105,220건 | 2715s
[05:10:41]   6800/18401동 | 105,240건 | 2719s
[05:10:44]   6900/18401동 | 105,240건 | 2721s
[05:10:48]   7000/18401동 | 105,246건 | 2725s
[05:10:52]   7100/18401동 | 105,246건 | 2729s
[05:10:55]   7200/18401동 | 105,249건 | 2732s
[05:10:57]   7300/18401동 | 105,249건 | 2735s
[05:11:02]   7400/18401동 | 105,288건 | 2739s
[05:11:09]   7500/18401동 | 105,453건 | 2746s
[05:11:22]   7600/18401동 | 105,453건 | 2759s
[05:11:26]   7700/18401동 | 105,540건 | 2764s
[05:11:39]   7800/18401동 | 105,540건 | 2776s
[05:11:44]   7900/18401동 | 105,554건 | 2781s
[05:11:50]   8000/18401동 | 105,700건 | 2788s
[05:11:59]   8100/18401동 | 105,702건 | 2796s
[05:12:10]   8200/18401동 | 106,078건 | 2807s
[05:12:21]   8300/18401동 | 106,089건 | 2818s
[05:12:25]   8400/18401동 | 106,119건 | 2822s
[05:12:29]   8500/18401동 | 106,232건 | 2827s
[05:12:41]   8600/18401동 | 106,388건 | 2839s
[05:12:47]   8700/18401동 | 106,389건 | 2844s
[05:12:50]   8800/18401동 | 106,389건 | 2847s
[05:12:53]   8900/18401동 | 106,389건 | 2851s
[05:12:59]   9000/18401동 | 106,527건 | 2857s
[05:13:08]   9100/18401동 | 106,799건 | 2865s
[05:13:12]   9200/18401동 | 106,802건 | 2869s
[05:13:15]   9300/18401동 | 106,803건 | 2872s
[05:13:18]   9400/18401동 | 106,809건 | 2875s
[05:13:21]   9500/18401동 | 106,809건 | 2878s
[05:13:24]   9600/18401동 | 106,809건 | 2881s
[05:13:27]   9700/18401동 | 106,810건 | 2884s
[05:13:30]   9800/18401동 | 106,810건 | 2887s
[05:13:43]   9900/18401동 | 106,912건 | 2900s
[05:13:46]   10000/18401동 | 106,916건 | 2903s
[05:13:50]   10100/18401동 | 106,916건 | 2907s
[05:13:54]   10200/18401동 | 106,917건 | 2911s
[05:13:57]   10300/18401동 | 106,919건 | 2915s
[05:14:00]   10400/18401동 | 106,922건 | 2918s
[05:14:04]   10500/18401동 | 106,922건 | 2921s
[05:14:07]   10600/18401동 | 106,922건 | 2924s
[05:14:18]   10700/18401동 | 107,027건 | 2935s
[05:14:21]   10800/18401동 | 107,027건 | 2939s
[05:14:26]   10900/18401동 | 107,027건 | 2943s
[05:14:28]   11000/18401동 | 107,027건 | 2945s
[05:14:32]   11100/18401동 | 107,027건 | 2949s
[05:15:09]   11200/18401동 | 108,067건 | 2987s
[05:16:46]   11300/18401동 | 110,607건 | 3083s
[05:17:21]   11400/18401동 | 110,631건 | 3118s
[05:17:30]   11500/18401동 | 110,798건 | 3127s
[05:17:46]   11600/18401동 | 110,894건 | 3144s
[05:18:11]   11700/18401동 | 111,263건 | 3168s
[05:18:21]   11800/18401동 | 111,274건 | 3178s
[05:18:24]   11900/18401동 | 111,274건 | 3182s
[05:18:28]   12000/18401동 | 111,293건 | 3185s
[05:18:31]   12100/18401동 | 111,293건 | 3188s
[05:18:35]   12200/18401동 | 111,307건 | 3192s
[05:18:39]   12300/18401동 | 111,319건 | 3196s
[05:18:41]   12400/18401동 | 111,319건 | 3199s
[05:18:44]   12500/18401동 | 111,323건 | 3202s
[05:18:47]   12600/18401동 | 111,323건 | 3204s
[05:18:51]   12700/18401동 | 111,323건 | 3208s
[05:18:54]   12800/18401동 | 111,323건 | 3211s
[05:19:02]   12900/18401동 | 111,529건 | 3219s
[05:19:07]   13000/18401동 | 111,731건 | 3224s
[05:19:10]   13100/18401동 | 111,731건 | 3228s
[05:19:13]   13200/18401동 | 111,731건 | 3231s
[05:19:16]   13300/18401동 | 111,731건 | 3233s
[05:19:20]   13400/18401동 | 111,732건 | 3237s
[05:19:23]   13500/18401동 | 111,732건 | 3240s
[05:19:26]   13600/18401동 | 111,732건 | 3243s
[05:19:28]   13700/18401동 | 111,734건 | 3246s
[05:19:32]   13800/18401동 | 111,755건 | 3250s
[05:19:36]   13900/18401동 | 111,755건 | 3253s
[05:19:42]   14000/18401동 | 111,806건 | 3260s
[05:19:45]   14100/18401동 | 111,806건 | 3262s
[05:19:48]   14200/18401동 | 111,806건 | 3266s
[05:19:52]   14300/18401동 | 111,806건 | 3270s
[05:20:04]   14400/18401동 | 112,134건 | 3281s
[05:20:26]   14500/18401동 | 113,409건 | 3303s
[05:20:45]   14600/18401동 | 113,643건 | 3322s
[05:20:57]   14700/18401동 | 114,168건 | 3334s
[05:21:10]   14800/18401동 | 114,402건 | 3348s
[05:21:19]   14900/18401동 | 114,402건 | 3356s
[05:21:22]   15000/18401동 | 114,409건 | 3360s
[05:21:28]   15100/18401동 | 114,507건 | 3366s
[05:21:39]   15200/18401동 | 114,780건 | 3376s
[05:22:00]   15300/18401동 | 115,033건 | 3397s
[05:22:04]   15400/18401동 | 115,033건 | 3401s
[05:23:29]   15500/18401동 | 117,223건 | 3487s
[05:23:34]   15600/18401동 | 117,231건 | 3491s
[05:23:37]   15700/18401동 | 117,237건 | 3494s
[05:23:42]   15800/18401동 | 117,237건 | 3499s
[05:23:45]   15900/18401동 | 117,243건 | 3503s
[05:23:54]   16000/18401동 | 117,392건 | 3512s
[05:24:35]   16100/18401동 | 118,088건 | 3552s
[05:24:38]   16200/18401동 | 118,089건 | 3555s
[05:24:42]   16300/18401동 | 118,095건 | 3560s
[05:24:47]   16400/18401동 | 118,095건 | 3564s
[05:24:51]   16500/18401동 | 118,095건 | 3568s
[05:24:54]   16600/18401동 | 118,095건 | 3571s
[05:24:57]   16700/18401동 | 118,095건 | 3575s
[05:25:03]   16800/18401동 | 118,278건 | 3581s
[05:25:18]   16900/18401동 | 118,788건 | 3595s
[05:25:38]   17000/18401동 | 119,076건 | 3615s
[05:26:02]   17100/18401동 | 120,273건 | 3639s
[05:26:33]   17200/18401동 | 120,298건 | 3671s
[05:26:41]   17300/18401동 | 120,468건 | 3678s
[05:26:44]   17400/18401동 | 120,470건 | 3681s
[05:26:47]   17500/18401동 | 120,471건 | 3684s
[05:26:54]   17600/18401동 | 120,614건 | 3691s
[05:26:58]   17700/18401동 | 120,614건 | 3695s
[05:27:04]   17800/18401동 | 120,666건 | 3702s
[05:27:09]   17900/18401동 | 120,667건 | 3707s
[05:27:13]   18000/18401동 | 120,668건 | 3710s
[05:27:16]   18100/18401동 | 120,668건 | 3714s
[05:27:21]   18200/18401동 | 120,737건 | 3719s
[05:27:27]   18300/18401동 | 120,754건 | 3724s
[05:27:29]   18400/18401동 | 120,756건 | 3727s
[05:27:29]   18401/18401동 | 120,756건 | 3727s
[05:27:30] 💾 저장: 직방_아파트_20260411_042523.csv (120,756건)
[05:27:30] 
[2/3] 원룸·빌라투룸·오피스텔 수집 (적응형) ──────────
[05:27:30]   작업: 50673개 (타일 × 유형)
[05:27:37]   100/50673 타일 | 0건 | 3734s
[05:27:42]   200/50673 타일 | 0건 | 3739s
[05:27:46]   300/50673 타일 | 0건 | 3744s
[05:27:53]   400/50673 타일 | 0건 | 3750s
[05:27:58]   500/50673 타일 | 0건 | 3755s
[05:28:03]   600/50673 타일 | 0건 | 3760s
[05:28:08]   700/50673 타일 | 0건 | 3765s
[05:28:14]   800/50673 타일 | 13건 | 3771s
[05:28:19]   900/50673 타일 | 26건 | 3777s
[05:28:24]   1000/50673 타일 | 31건 | 3781s
[05:28:29]   1100/50673 타일 | 42건 | 3787s
[05:28:34]   1200/50673 타일 | 42건 | 3792s
[05:28:39]   1300/50673 타일 | 42건 | 3797s
[05:28:44]   1400/50673 타일 | 42건 | 3802s
[05:28:49]   1500/50673 타일 | 42건 | 3807s
[05:28:54]   1600/50673 타일 | 42건 | 3811s
[05:28:59]   1700/50673 타일 | 42건 | 3817s
[05:29:04]   1800/50673 타일 | 42건 | 3822s
[05:29:09]   1900/50673 타일 | 42건 | 3826s
[05:29:14]   2000/50673 타일 | 42건 | 3831s
[05:29:19]   2100/50673 타일 | 42건 | 3836s
[05:29:24]   2200/50673 타일 | 42건 | 3841s
[05:29:29]   2300/50673 타일 | 42건 | 3846s
[05:29:34]   2400/50673 타일 | 42건 | 3851s
[05:29:39]   2500/50673 타일 | 42건 | 3856s
[05:29:43]   2600/50673 타일 | 42건 | 3861s
[05:29:49]   2700/50673 타일 | 42건 | 3866s
[05:29:54]   2800/50673 타일 | 42건 | 3871s
[05:29:59]   2900/50673 타일 | 42건 | 3876s
[05:30:04]   3000/50673 타일 | 42건 | 3881s
[05:30:09]   3100/50673 타일 | 53건 | 3886s
[05:30:14]   3200/50673 타일 | 53건 | 3891s
[05:30:19]   3300/50673 타일 | 53건 | 3896s
[05:30:24]   3400/50673 타일 | 53건 | 3901s
[05:30:29]   3500/50673 타일 | 53건 | 3906s
[05:30:34]   3600/50673 타일 | 53건 | 3912s
[05:30:40]   3700/50673 타일 | 64건 | 3917s
[05:30:45]   3800/50673 타일 | 70건 | 3922s
[05:30:50]   3900/50673 타일 | 70건 | 3927s
[05:30:55]   4000/50673 타일 | 70건 | 3932s
