[06:27:53] 캐시 로드: 0개 완료 항목
[06:27:53] ==============================================================
[06:27:53]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:27:53]   precision: 5 → 7 | 세분화 임계: 400건
[06:27:53]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260610
[06:27:53] ==============================================================
[06:27:53] 지오해시 타일: 16891개 (precision=5)
[06:27:53] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:28:03]   읍면동 18401개 확인
[06:28:27]   100/18401동 | 1,655건 | 34s
[06:28:32]   200/18401동 | 1,791건 | 39s
[06:28:50]   300/18401동 | 3,079건 | 57s
[06:29:31]   400/18401동 | 6,941건 | 98s
[06:30:34]   500/18401동 | 11,993건 | 161s
[06:31:58]   600/18401동 | 18,951건 | 245s
[06:34:02]   700/18401동 | 24,696건 | 369s
[06:34:39]   800/18401동 | 25,546건 | 406s
[06:35:25]   900/18401동 | 29,159건 | 453s
[06:36:12]   1000/18401동 | 30,671건 | 499s
[06:36:17]   1100/18401동 | 30,671건 | 504s
[06:36:56]   1200/18401동 | 33,769건 | 543s
[06:37:15]   1300/18401동 | 34,943건 | 562s
[06:39:15]   1400/18401동 | 44,074건 | 683s
[06:40:15]   1500/18401동 | 47,692건 | 742s
[06:40:36]   1600/18401동 | 48,632건 | 764s
[06:41:20]   1700/18401동 | 51,512건 | 807s
[06:42:02]   1800/18401동 | 54,312건 | 849s
[06:42:33]   1900/18401동 | 56,222건 | 881s
[06:43:02]   2000/18401동 | 56,222건 | 909s
[06:44:17]   2100/18401동 | 59,223건 | 985s
[06:44:54]   2200/18401동 | 61,838건 | 1021s
[06:46:01]   2300/18401동 | 67,385건 | 1088s
[06:48:16]   2400/18401동 | 73,958건 | 1223s
[06:49:23]   2500/18401동 | 74,929건 | 1290s
[06:52:14]   2600/18401동 | 81,016건 | 1461s
[06:53:23]   2700/18401동 | 86,493건 | 1531s
[06:53:52]   2800/18401동 | 87,360건 | 1559s
[06:54:55]   2900/18401동 | 89,467건 | 1622s
[06:55:19]   3000/18401동 | 90,300건 | 1646s
[06:55:30]   3100/18401동 | 90,300건 | 1657s
[06:56:27]   3200/18401동 | 92,619건 | 1714s
[06:57:05]   3300/18401동 | 93,167건 | 1752s
[06:57:49]   3400/18401동 | 94,242건 | 1797s
[06:58:57]   3500/18401동 | 96,132건 | 1864s
[06:59:39]   3600/18401동 | 96,246건 | 1906s
[07:00:44]   3700/18401동 | 98,188건 | 1971s
[07:00:53]   3800/18401동 | 98,229건 | 1980s
[07:00:57]   3900/18401동 | 98,296건 | 1984s
[07:00:59]   4000/18401동 | 98,314건 | 1986s
[07:01:02]   4100/18401동 | 98,314건 | 1990s
[07:01:11]   4200/18401동 | 98,459건 | 1998s
[07:01:23]   4300/18401동 | 98,786건 | 2010s
[07:01:29]   4400/18401동 | 99,072건 | 2016s
[07:01:53]   4500/18401동 | 100,159건 | 2040s
[07:02:04]   4600/18401동 | 100,263건 | 2051s
[07:02:09]   4700/18401동 | 100,342건 | 2056s
[07:02:12]   4800/18401동 | 100,342건 | 2060s
[07:02:15]   4900/18401동 | 100,378건 | 2062s
[07:02:19]   5000/18401동 | 100,378건 | 2066s
[07:02:21]   5100/18401동 | 100,378건 | 2068s
[07:02:24]   5200/18401동 | 100,378건 | 2071s
[07:02:25]   5300/18401동 | 100,383건 | 2072s
[07:02:28]   5400/18401동 | 100,383건 | 2075s
[07:02:31]   5500/18401동 | 100,409건 | 2078s
[07:02:37]   5600/18401동 | 100,588건 | 2084s
[07:02:57]   5700/18401동 | 100,741건 | 2104s
[07:03:10]   5800/18401동 | 100,743건 | 2117s
[07:03:12]   5900/18401동 | 100,743건 | 2119s
[07:03:15]   6000/18401동 | 100,758건 | 2122s
[07:03:30]   6100/18401동 | 101,416건 | 2137s
[07:03:54]   6200/18401동 | 103,238건 | 2161s
[07:03:58]   6300/18401동 | 103,261건 | 2166s
[07:04:01]   6400/18401동 | 103,261건 | 2168s
[07:07:00]   6500/18401동 | 106,264건 | 2347s
[07:07:13]   6600/18401동 | 106,472건 | 2360s
[07:07:22]   6700/18401동 | 106,511건 | 2369s
[07:07:24]   6800/18401동 | 106,537건 | 2371s
[07:07:27]   6900/18401동 | 106,537건 | 2374s
[07:07:33]   7000/18401동 | 106,740건 | 2380s
[07:07:40]   7100/18401동 | 106,740건 | 2387s
[07:07:54]   7200/18401동 | 106,924건 | 2401s
[07:07:57]   7300/18401동 | 106,934건 | 2404s
[07:08:00]   7400/18401동 | 106,936건 | 2407s
[07:08:02]   7500/18401동 | 106,936건 | 2409s
[07:08:06]   7600/18401동 | 106,939건 | 2413s
[07:08:08]   7700/18401동 | 106,941건 | 2415s
[07:08:11]   7800/18401동 | 106,941건 | 2418s
[07:08:14]   7900/18401동 | 106,941건 | 2421s
[07:08:18]   8000/18401동 | 107,027건 | 2426s
[07:08:23]   8100/18401동 | 107,140건 | 2430s
[07:08:30]   8200/18401동 | 107,330건 | 2437s
[07:08:35]   8300/18401동 | 107,333건 | 2442s
[07:08:38]   8400/18401동 | 107,378건 | 2445s
[07:08:43]   8500/18401동 | 107,426건 | 2450s
[07:08:57]   8600/18401동 | 107,803건 | 2464s
[07:08:59]   8700/18401동 | 107,803건 | 2467s
[07:09:08]   8800/18401동 | 107,970건 | 2475s
[07:09:12]   8900/18401동 | 108,071건 | 2479s
[07:09:18]   9000/18401동 | 108,071건 | 2485s
[07:09:21]   9100/18401동 | 108,071건 | 2488s
[07:09:24]   9200/18401동 | 108,076건 | 2491s
[07:09:27]   9300/18401동 | 108,079건 | 2495s
[07:09:31]   9400/18401동 | 108,079건 | 2498s
[07:09:33]   9500/18401동 | 108,087건 | 2500s
[07:09:36]   9600/18401동 | 108,087건 | 2503s
[07:09:38]   9700/18401동 | 108,088건 | 2505s
[07:09:40]   9800/18401동 | 108,088건 | 2508s
[07:09:43]   9900/18401동 | 108,089건 | 2510s
[07:09:46]   10000/18401동 | 108,090건 | 2513s
[07:09:49]   10100/18401동 | 108,090건 | 2516s
[07:09:51]   10200/18401동 | 108,094건 | 2519s
[07:09:56]   10300/18401동 | 108,193건 | 2523s
[07:10:03]   10400/18401동 | 108,195건 | 2530s
[07:10:06]   10500/18401동 | 108,196건 | 2533s
[07:10:53]   10600/18401동 | 109,490건 | 2580s
[07:10:56]   10700/18401동 | 109,493건 | 2584s
[07:11:07]   10800/18401동 | 109,624건 | 2594s
[07:11:10]   10900/18401동 | 109,624건 | 2597s
[07:11:13]   11000/18401동 | 109,624건 | 2600s
[07:11:15]   11100/18401동 | 109,624건 | 2602s
[07:11:18]   11200/18401동 | 109,624건 | 2605s
[07:11:22]   11300/18401동 | 109,661건 | 2609s
