[06:53:28] 캐시 로드: 0개 완료 항목
[06:53:28] ==============================================================
[06:53:28]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:53:28]   precision: 5 → 7 | 세분화 임계: 400건
[06:53:28]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260629
[06:53:28] ==============================================================
[06:53:28] 지오해시 타일: 16891개 (precision=5)
[06:53:28] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:53:39]   읍면동 18401개 확인
[06:53:55]   100/18401동 | 585건 | 27s
[06:54:19]   200/18401동 | 2,240건 | 52s
[06:54:50]   300/18401동 | 4,460건 | 82s
[06:55:20]   400/18401동 | 6,498건 | 112s
[06:56:41]   500/18401동 | 12,311건 | 193s
[06:58:28]   600/18401동 | 19,826건 | 300s
[06:59:29]   700/18401동 | 23,103건 | 361s
[07:01:48]   800/18401동 | 26,047건 | 500s
[07:02:46]   900/18401동 | 29,731건 | 558s
[07:03:40]   1000/18401동 | 31,327건 | 612s
[07:03:47]   1100/18401동 | 31,327건 | 619s
[07:05:19]   1200/18401동 | 36,071건 | 711s
[07:07:39]   1300/18401동 | 45,163건 | 851s
[07:07:45]   1400/18401동 | 45,210건 | 857s
[07:08:32]   1500/18401동 | 48,660건 | 904s
[07:09:10]   1600/18401동 | 50,274건 | 942s
[07:09:37]   1700/18401동 | 51,819건 | 969s
[07:10:32]   1800/18401동 | 54,991건 | 1024s
[07:11:18]   1900/18401동 | 56,835건 | 1070s
[07:12:19]   2000/18401동 | 59,864건 | 1131s
[07:13:15]   2100/18401동 | 59,867건 | 1187s
[07:14:04]   2200/18401동 | 62,730건 | 1236s
[07:15:28]   2300/18401동 | 68,482건 | 1320s
[07:17:51]   2400/18401동 | 73,077건 | 1463s
[07:19:35]   2500/18401동 | 76,063건 | 1567s
[07:22:51]   2600/18401동 | 82,197건 | 1763s
[07:24:16]   2700/18401동 | 87,341건 | 1848s
[07:25:22]   2800/18401동 | 89,621건 | 1914s
[07:25:55]   2900/18401동 | 90,239건 | 1947s
[07:26:49]   3000/18401동 | 90,239건 | 2001s
[07:27:17]   3100/18401동 | 91,092건 | 2029s
[07:27:41]   3200/18401동 | 91,792건 | 2053s
[07:28:06]   3300/18401동 | 91,792건 | 2078s
[07:29:32]   3400/18401동 | 95,139건 | 2164s
[07:30:48]   3500/18401동 | 96,231건 | 2240s
[07:31:39]   3600/18401동 | 96,798건 | 2291s
[07:33:24]   3700/18401동 | 99,348건 | 2397s
[07:33:33]   3800/18401동 | 99,406건 | 2405s
[07:33:40]   3900/18401동 | 99,422건 | 2412s
[07:33:51]   4000/18401동 | 99,549건 | 2423s
[07:34:02]   4100/18401동 | 99,761건 | 2434s
[07:34:07]   4200/18401동 | 100,048건 | 2439s
[07:34:11]   4300/18401동 | 100,065건 | 2443s
[07:34:14]   4400/18401동 | 100,066건 | 2446s
[07:34:53]   4500/18401동 | 101,021건 | 2485s
[07:34:58]   4600/18401동 | 101,023건 | 2490s
[07:35:02]   4700/18401동 | 101,055건 | 2494s
[07:35:04]   4800/18401동 | 101,055건 | 2496s
[07:35:12]   4900/18401동 | 101,466건 | 2504s
[07:35:17]   5000/18401동 | 101,540건 | 2509s
[07:35:22]   5100/18401동 | 101,593건 | 2514s
[07:35:25]   5200/18401동 | 101,593건 | 2517s
[07:35:28]   5300/18401동 | 101,593건 | 2520s
[07:35:30]   5400/18401동 | 101,593건 | 2522s
[07:35:51]   5500/18401동 | 101,745건 | 2543s
[07:36:07]   5600/18401동 | 102,444건 | 2559s
[07:36:21]   5700/18401동 | 102,638건 | 2573s
[07:36:43]   5800/18401동 | 102,640건 | 2595s
[07:36:47]   5900/18401동 | 102,640건 | 2599s
[07:36:50]   6000/18401동 | 102,640건 | 2602s
[07:37:04]   6100/18401동 | 102,888건 | 2616s
[07:37:27]   6200/18401동 | 104,758건 | 2639s
[07:37:39]   6300/18401동 | 104,778건 | 2651s
[07:37:42]   6400/18401동 | 104,778건 | 2654s
[07:37:46]   6500/18401동 | 104,795건 | 2658s
[07:39:09]   6600/18401동 | 107,598건 | 2742s
[07:41:37]   6700/18401동 | 107,809건 | 2889s
[07:41:44]   6800/18401동 | 107,883건 | 2896s
[07:41:47]   6900/18401동 | 107,883건 | 2899s
[07:41:50]   7000/18401동 | 107,888건 | 2902s
[07:41:53]   7100/18401동 | 107,888건 | 2905s
[07:42:00]   7200/18401동 | 108,046건 | 2912s
[07:42:09]   7300/18401동 | 108,046건 | 2921s
[07:42:13]   7400/18401동 | 108,056건 | 2925s
[07:42:17]   7500/18401동 | 108,130건 | 2929s
[07:42:30]   7600/18401동 | 108,130건 | 2942s
[07:42:32]   7700/18401동 | 108,132건 | 2944s
[07:42:36]   7800/18401동 | 108,132건 | 2948s
[07:42:40]   7900/18401동 | 108,135건 | 2952s
[07:42:43]   8000/18401동 | 108,135건 | 2956s
[07:42:59]   8100/18401동 | 108,313건 | 2971s
[07:43:04]   8200/18401동 | 108,408건 | 2976s
[07:43:10]   8300/18401동 | 108,439건 | 2982s
[07:43:20]   8400/18401동 | 108,854건 | 2992s
[07:43:25]   8500/18401동 | 108,854건 | 2997s
[07:43:42]   8600/18401동 | 109,227건 | 3015s
