[04:51:46] 캐시 로드: 0개 완료 항목
[04:51:46] ==============================================================
[04:51:46]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[04:51:46]   precision: 5 → 7 | 세분화 임계: 400건
[04:51:46]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260417
[04:51:46] ==============================================================
[04:51:46] 지오해시 타일: 16891개 (precision=5)
[04:51:46] 
[1/3] 아파트 수집 ─────────────────────────────────
[04:51:57]   읍면동 18401개 확인
[04:52:05]   100/18401동 | 175건 | 20s
[04:52:43]   200/18401동 | 2,441건 | 57s
[04:53:02]   300/18401동 | 3,854건 | 77s
[04:53:54]   400/18401동 | 7,456건 | 128s
[04:55:11]   500/18401동 | 12,625건 | 205s
[04:56:48]   600/18401동 | 19,117건 | 302s
[04:59:13]   700/18401동 | 24,376건 | 447s
[04:59:57]   800/18401동 | 25,444건 | 491s
[05:00:57]   900/18401동 | 29,028건 | 551s
[05:01:53]   1000/18401동 | 30,411건 | 607s
[05:02:06]   1100/18401동 | 30,744건 | 620s
[05:03:25]   1200/18401동 | 34,826건 | 699s
[05:05:07]   1300/18401동 | 43,092건 | 802s
[05:05:14]   1400/18401동 | 43,136건 | 809s
[05:06:33]   1500/18401동 | 46,936건 | 888s
[05:07:12]   1600/18401동 | 48,862건 | 927s
[05:07:36]   1700/18401동 | 49,721건 | 951s
[05:08:25]   1800/18401동 | 52,275건 | 1000s
[05:09:30]   1900/18401동 | 56,608건 | 1064s
[05:10:26]   2000/18401동 | 56,709건 | 1121s
[05:11:06]   2100/18401동 | 56,965건 | 1160s
[05:12:07]   2200/18401동 | 60,044건 | 1222s
[05:13:44]   2300/18401동 | 66,032건 | 1319s
[05:16:13]   2400/18401동 | 70,889건 | 1468s
[05:18:02]   2500/18401동 | 73,572건 | 1577s
[05:21:45]   2600/18401동 | 80,018건 | 1799s
[05:23:24]   2700/18401동 | 85,957건 | 1898s
[05:24:02]   2800/18401동 | 86,909건 | 1936s
[05:25:23]   2900/18401동 | 89,098건 | 2018s
[05:25:58]   3000/18401동 | 89,773건 | 2052s
[05:26:52]   3100/18401동 | 89,781건 | 2106s
[05:27:27]   3200/18401동 | 90,612건 | 2141s
[05:27:42]   3300/18401동 | 90,612건 | 2156s
[05:29:10]   3400/18401동 | 91,968건 | 2244s
[05:29:58]   3500/18401동 | 93,735건 | 2292s
[05:31:06]   3600/18401동 | 96,034건 | 2360s
[05:31:57]   3700/18401동 | 98,283건 | 2412s
[05:33:13]   3800/18401동 | 98,285건 | 2487s
[05:33:44]   3900/18401동 | 98,337건 | 2518s
[05:33:47]   4000/18401동 | 98,354건 | 2522s
[05:33:51]   4100/18401동 | 98,354건 | 2526s
[05:34:01]   4200/18401동 | 98,769건 | 2536s
[05:34:11]   4300/18401동 | 98,878건 | 2545s
[05:34:20]   4400/18401동 | 98,959건 | 2554s
[05:34:27]   4500/18401동 | 99,149건 | 2562s
[05:34:57]   4600/18401동 | 100,227건 | 2591s
[05:35:08]   4700/18401동 | 100,232건 | 2603s
[05:35:11]   4800/18401동 | 100,232건 | 2605s
[05:35:14]   4900/18401동 | 100,232건 | 2608s
[05:35:19]   5000/18401동 | 100,322건 | 2614s
[05:35:24]   5100/18401동 | 100,322건 | 2618s
[05:35:28]   5200/18401동 | 100,364건 | 2622s
[05:35:31]   5300/18401동 | 100,367건 | 2626s
[05:35:36]   5400/18401동 | 100,367건 | 2630s
[05:35:39]   5500/18401동 | 100,367건 | 2633s
[05:35:51]   5600/18401동 | 100,494건 | 2645s
[05:36:03]   5700/18401동 | 100,497건 | 2658s
[05:36:07]   5800/18401동 | 100,514건 | 2661s
[05:36:34]   5900/18401동 | 100,701건 | 2689s
[05:37:11]   6000/18401동 | 102,669건 | 2725s
[05:37:22]   6100/18401동 | 102,808건 | 2737s
[05:40:50]   6200/18401동 | 105,822건 | 2944s
[05:41:00]   6300/18401동 | 105,843건 | 2955s
[05:41:03]   6400/18401동 | 105,843건 | 2957s
[05:41:08]   6500/18401동 | 105,913건 | 2962s
[05:41:11]   6600/18401동 | 105,913건 | 2966s
[05:41:27]   6700/18401동 | 106,181건 | 2982s
[05:41:31]   6800/18401동 | 106,203건 | 2986s
[05:41:34]   6900/18401동 | 106,203건 | 2988s
[05:41:38]   7000/18401동 | 106,218건 | 2992s
[05:41:43]   7100/18401동 | 106,286건 | 2997s
[05:41:51]   7200/18401동 | 106,365건 | 3006s
[05:41:58]   7300/18401동 | 106,370건 | 3013s
[05:42:03]   7400/18401동 | 106,370건 | 3017s
[05:42:06]   7500/18401동 | 106,373건 | 3021s
[05:42:09]   7600/18401동 | 106,373건 | 3024s
[05:42:27]   7700/18401동 | 106,547건 | 3041s
[05:42:31]   7800/18401동 | 106,547건 | 3046s
[05:42:35]   7900/18401동 | 106,547건 | 3049s
[05:42:39]   8000/18401동 | 106,635건 | 3053s
[05:42:53]   8100/18401동 | 106,637건 | 3067s
[05:42:59]   8200/18401동 | 106,763건 | 3074s
[05:43:09]   8300/18401동 | 107,057건 | 3084s
[05:43:24]   8400/18401동 | 107,446건 | 3098s
[05:43:32]   8500/18401동 | 107,446건 | 3106s
[05:43:38]   8600/18401동 | 107,586건 | 3113s
[05:43:42]   8700/18401동 | 107,586건 | 3117s
[05:43:55]   8800/18401동 | 107,719건 | 3129s
[05:44:00]   8900/18401동 | 107,719건 | 3134s
[05:44:04]   9000/18401동 | 107,722건 | 3138s
[05:44:09]   9100/18401동 | 107,722건 | 3143s
[05:44:13]   9200/18401동 | 107,724건 | 3147s
[05:44:16]   9300/18401동 | 107,724건 | 3151s
[05:44:20]   9400/18401동 | 107,725건 | 3155s
[05:44:24]   9500/18401동 | 107,727건 | 3158s
[05:44:27]   9600/18401동 | 107,727건 | 3161s
[05:44:30]   9700/18401동 | 107,734건 | 3164s
[05:44:33]   9800/18401동 | 107,734건 | 3168s
[05:44:37]   9900/18401동 | 107,734건 | 3171s
[05:44:41]   10000/18401동 | 107,738건 | 3175s
[05:44:48]   10100/18401동 | 107,839건 | 3182s
[05:44:58]   10200/18401동 | 107,841건 | 3192s
[05:45:02]   10300/18401동 | 107,843건 | 3196s
[05:45:06]   10400/18401동 | 107,846건 | 3200s
[05:45:09]   10500/18401동 | 107,846건 | 3203s
[05:45:13]   10600/18401동 | 107,846건 | 3207s
[05:45:17]   10700/18401동 | 107,846건 | 3211s
[05:45:30]   10800/18401동 | 107,953건 | 3224s
[05:45:33]   10900/18401동 | 107,953건 | 3228s
[05:45:46]   11000/18401동 | 108,361건 | 3240s
[05:46:40]   11100/18401동 | 109,183건 | 3294s
[05:48:38]   11200/18401동 | 111,561건 | 3413s
[05:48:47]   11300/18401동 | 111,744건 | 3421s
[05:49:03]   11400/18401동 | 111,744건 | 3438s
[05:49:09]   11500/18401동 | 111,744건 | 3444s
[05:49:15]   11600/18401동 | 111,863건 | 3450s
[05:49:42]   11700/18401동 | 112,220건 | 3477s
[05:49:54]   11800/18401동 | 112,239건 | 3488s
[05:49:57]   11900/18401동 | 112,239건 | 3492s
[05:50:01]   12000/18401동 | 112,253건 | 3496s
[05:50:06]   12100/18401동 | 112,263건 | 3500s
[05:50:10]   12200/18401동 | 112,263건 | 3504s
[05:50:14]   12300/18401동 | 112,275건 | 3508s
[05:50:17]   12400/18401동 | 112,275건 | 3512s
[05:50:24]   12500/18401동 | 112,444건 | 3518s
[05:50:30]   12600/18401동 | 112,698건 | 3524s
[05:50:34]   12700/18401동 | 112,698건 | 3528s
[05:50:37]   12800/18401동 | 112,698건 | 3531s
[05:50:40]   12900/18401동 | 112,698건 | 3535s
[05:50:45]   13000/18401동 | 112,702건 | 3539s
[05:50:48]   13100/18401동 | 112,702건 | 3542s
[05:50:51]   13200/18401동 | 112,702건 | 3546s
[05:50:54]   13300/18401동 | 112,702건 | 3549s
[05:50:58]   13400/18401동 | 112,703건 | 3553s
[05:51:02]   13500/18401동 | 112,703건 | 3557s
[05:51:06]   13600/18401동 | 112,703건 | 3560s
[05:51:09]   13700/18401동 | 112,704건 | 3564s
[05:51:14]   13800/18401동 | 112,725건 | 3568s
[05:51:17]   13900/18401동 | 112,725건 | 3572s
[05:51:22]   14000/18401동 | 112,737건 | 3576s
[05:51:25]   14100/18401동 | 112,737건 | 3579s
[05:51:28]   14200/18401동 | 112,737건 | 3583s
[05:51:40]   14300/18401동 | 113,068건 | 3594s
[05:51:49]   14400/18401동 | 113,109건 | 3603s
[05:52:15]   14500/18401동 | 113,763건 | 3629s
[05:52:32]   14600/18401동 | 114,399건 | 3646s
[05:52:50]   14700/18401동 | 115,059건 | 3665s
[05:53:00]   14800/18401동 | 115,059건 | 3675s
[05:53:07]   14900/18401동 | 115,139건 | 3682s
[05:54:40]   15000/18401동 | 117,348건 | 3774s
[05:54:47]   15100/18401동 | 117,579건 | 3782s
[05:54:59]   15200/18401동 | 118,105건 | 3793s
[05:55:21]   15300/18401동 | 118,203건 | 3815s
[05:55:28]   15400/18401동 | 118,203건 | 3822s
[05:55:32]   15500/18401동 | 118,203건 | 3827s
[05:55:36]   15600/18401동 | 118,211건 | 3831s
[05:55:40]   15700/18401동 | 118,217건 | 3834s
[05:55:44]   15800/18401동 | 118,223건 | 3839s
[05:55:50]   15900/18401동 | 118,223건 | 3844s
[05:56:42]   16000/18401동 | 119,121건 | 3896s
[05:56:46]   16100/18401동 | 119,121건 | 3900s
[05:56:50]   16200/18401동 | 119,121건 | 3905s
[05:56:54]   16300/18401동 | 119,121건 | 3909s
[05:56:59]   16400/18401동 | 119,127건 | 3913s
[05:57:03]   16500/18401동 | 119,128건 | 3917s
[05:57:07]   16600/18401동 | 119,128건 | 3921s
[05:57:11]   16700/18401동 | 119,128건 | 3925s
[05:57:18]   16800/18401동 | 119,313건 | 3932s
[05:57:22]   16900/18401동 | 119,349건 | 3936s
[05:57:47]   17000/18401동 | 120,165건 | 3962s
[05:58:25]   17100/18401동 | 121,378건 | 3999s
[05:58:59]   17200/18401동 | 121,388건 | 4033s
[05:59:04]   17300/18401동 | 121,469건 | 4038s
[05:59:10]   17400/18401동 | 121,540건 | 4045s
[05:59:16]   17500/18401동 | 121,555건 | 4050s
[05:59:25]   17600/18401동 | 121,763건 | 4059s
[05:59:29]   17700/18401동 | 121,765건 | 4063s
[05:59:33]   17800/18401동 | 121,765건 | 4067s
[05:59:37]   17900/18401동 | 121,768건 | 4072s
[05:59:41]   18000/18401동 | 121,768건 | 4075s
[05:59:45]   18100/18401동 | 121,768건 | 4079s
[05:59:53]   18200/18401동 | 121,834건 | 4087s
[05:59:55]   18300/18401동 | 121,853건 | 4089s
[05:59:58]   18400/18401동 | 121,853건 | 4093s
[05:59:58]   18401/18401동 | 121,853건 | 4093s
[05:59:59] 💾 저장: 직방_아파트_20260417_045146.csv (121,853건)
[05:59:59] 
[2/3] 원룸·빌라투룸·오피스텔 수집 (적응형) ──────────
[05:59:59]   작업: 50673개 (타일 × 유형)
[06:00:08]   100/50673 타일 | 0건 | 4102s
[06:00:13]   200/50673 타일 | 0건 | 4108s
[06:00:20]   300/50673 타일 | 0건 | 4114s
[06:00:25]   400/50673 타일 | 0건 | 4119s
[06:00:31]   500/50673 타일 | 0건 | 4125s
[06:00:36]   600/50673 타일 | 0건 | 4130s
[06:00:42]   700/50673 타일 | 0건 | 4136s
[06:00:47]   800/50673 타일 | 15건 | 4142s
[06:00:54]   900/50673 타일 | 43건 | 4148s
[06:01:00]   1000/50673 타일 | 48건 | 4154s
[06:01:06]   1100/50673 타일 | 63건 | 4160s
[06:01:11]   1200/50673 타일 | 63건 | 4166s
[06:01:17]   1300/50673 타일 | 63건 | 4172s
[06:01:23]   1400/50673 타일 | 63건 | 4178s
[06:01:29]   1500/50673 타일 | 63건 | 4183s
[06:01:34]   1600/50673 타일 | 63건 | 4188s
[06:01:41]   1700/50673 타일 | 63건 | 4195s
[06:01:47]   1800/50673 타일 | 63건 | 4201s
[06:01:52]   1900/50673 타일 | 63건 | 4206s
[06:01:57]   2000/50673 타일 | 63건 | 4212s
[06:02:03]   2100/50673 타일 | 63건 | 4217s
[06:02:08]   2200/50673 타일 | 63건 | 4223s
[06:02:14]   2300/50673 타일 | 63건 | 4228s
[06:02:19]   2400/50673 타일 | 63건 | 4234s
[06:02:25]   2500/50673 타일 | 63건 | 4239s
[06:02:30]   2600/50673 타일 | 63건 | 4245s
[06:02:36]   2700/50673 타일 | 63건 | 4250s
[06:02:41]   2800/50673 타일 | 63건 | 4256s
[06:02:47]   2900/50673 타일 | 63건 | 4261s
[06:02:52]   3000/50673 타일 | 63건 | 4266s
[06:02:57]   3100/50673 타일 | 69건 | 4272s
[06:03:03]   3200/50673 타일 | 69건 | 4277s
[06:03:09]   3300/50673 타일 | 69건 | 4283s
[06:03:15]   3400/50673 타일 | 69건 | 4289s
[06:03:20]   3500/50673 타일 | 69건 | 4294s
[06:03:25]   3600/50673 타일 | 69건 | 4300s
[06:03:31]   3700/50673 타일 | 76건 | 4305s
