[06:46:10] 캐시 로드: 0개 완료 항목
[06:46:10] ==============================================================
[06:46:10]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:46:10]   precision: 5 → 7 | 세분화 임계: 400건
[06:46:10]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260612
[06:46:10] ==============================================================
[06:46:10] 지오해시 타일: 16891개 (precision=5)
[06:46:10] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:46:20]   읍면동 18401개 확인
[06:46:26]   100/18401동 | 121건 | 16s
[06:46:45]   200/18401동 | 1,186건 | 35s
[06:47:14]   300/18401동 | 3,084건 | 65s
[06:47:53]   400/18401동 | 6,992건 | 103s
[06:49:00]   500/18401동 | 12,269건 | 170s
[06:50:15]   600/18401동 | 17,766건 | 245s
[06:53:00]   700/18401동 | 23,404건 | 411s
[06:53:31]   800/18401동 | 25,924건 | 441s
[06:54:27]   900/18401동 | 29,415건 | 497s
[06:55:04]   1000/18401동 | 29,751건 | 534s
[06:55:13]   1100/18401동 | 30,744건 | 543s
[06:56:59]   1200/18401동 | 39,597건 | 650s
[06:57:24]   1300/18401동 | 40,324건 | 674s
[06:58:45]   1400/18401동 | 45,088건 | 755s
[06:59:27]   1500/18401동 | 47,827건 | 797s
[07:00:08]   1600/18401동 | 50,260건 | 838s
[07:00:50]   1700/18401동 | 52,453건 | 880s
[07:01:23]   1800/18401동 | 54,424건 | 913s
[07:02:00]   1900/18401동 | 56,840건 | 950s
[07:02:30]   2000/18401동 | 57,075건 | 980s
[07:03:30]   2100/18401동 | 60,077건 | 1040s
[07:04:31]   2200/18401동 | 62,432건 | 1101s
[07:05:27]   2300/18401동 | 66,381건 | 1157s
[07:07:49]   2400/18401동 | 75,084건 | 1299s
[07:09:28]   2500/18401동 | 75,443건 | 1398s
[07:12:29]   2600/18401동 | 81,422건 | 1579s
[07:13:43]   2700/18401동 | 86,249건 | 1653s
[07:14:49]   2800/18401동 | 88,262건 | 1719s
[07:15:26]   2900/18401동 | 89,687건 | 1756s
[07:15:50]   3000/18401동 | 90,049건 | 1780s
[07:16:03]   3100/18401동 | 90,167건 | 1793s
[07:17:43]   3200/18401동 | 94,755건 | 1893s
[07:18:07]   3300/18401동 | 95,363건 | 1917s
[07:18:57]   3400/18401동 | 95,363건 | 1967s
[07:19:59]   3500/18401동 | 96,421건 | 2029s
[07:20:42]   3600/18401동 | 98,392건 | 2072s
[07:21:43]   3700/18401동 | 98,393건 | 2133s
[07:22:06]   3800/18401동 | 98,411건 | 2156s
[07:22:10]   3900/18401동 | 98,440건 | 2160s
[07:22:16]   4000/18401동 | 98,481건 | 2166s
[07:22:20]   4100/18401동 | 98,547건 | 2170s
[07:22:27]   4200/18401동 | 98,751건 | 2177s
[07:22:36]   4300/18401동 | 99,321건 | 2186s
[07:23:08]   4400/18401동 | 99,952건 | 2218s
[07:23:16]   4500/18401동 | 100,066건 | 2226s
[07:23:29]   4600/18401동 | 100,468건 | 2239s
[07:23:32]   4700/18401동 | 100,473건 | 2242s
[07:23:34]   4800/18401동 | 100,479건 | 2244s
[07:23:37]   4900/18401동 | 100,479건 | 2247s
[07:23:42]   5000/18401동 | 100,556건 | 2252s
[07:23:45]   5100/18401동 | 100,575건 | 2256s
[07:23:49]   5200/18401동 | 100,611건 | 2259s
[07:24:03]   5300/18401동 | 100,785건 | 2273s
[07:24:12]   5400/18401동 | 100,787건 | 2283s
[07:24:15]   5500/18401동 | 100,787건 | 2285s
[07:24:17]   5600/18401동 | 100,787건 | 2288s
[07:24:27]   5700/18401동 | 100,939건 | 2297s
[07:24:44]   5800/18401동 | 101,147건 | 2314s
[07:24:58]   5900/18401동 | 101,584건 | 2328s
[07:25:02]   6000/18401동 | 101,599건 | 2332s
[07:25:05]   6100/18401동 | 101,599건 | 2335s
[07:25:31]   6200/18401동 | 103,449건 | 2362s
[07:25:35]   6300/18401동 | 103,484건 | 2365s
[07:25:37]   6400/18401동 | 103,484건 | 2367s
[07:25:43]   6500/18401동 | 103,546건 | 2373s
[07:25:45]   6600/18401동 | 103,546건 | 2375s
[07:28:53]   6700/18401동 | 106,548건 | 2563s
[07:29:09]   6800/18401동 | 106,548건 | 2579s
[07:29:16]   6900/18401동 | 106,716건 | 2586s
[07:29:33]   7000/18401동 | 106,960건 | 2603s
[07:29:40]   7100/18401동 | 106,960건 | 2610s
[07:29:42]   7200/18401동 | 106,962건 | 2612s
[07:29:46]   7300/18401동 | 106,962건 | 2616s
[07:29:49]   7400/18401동 | 106,967건 | 2619s
[07:29:52]   7500/18401동 | 106,967건 | 2622s
[07:29:54]   7600/18401동 | 106,967건 | 2625s
[07:30:10]   7700/18401동 | 107,144건 | 2640s
[07:30:13]   7800/18401동 | 107,146건 | 2643s
[07:30:19]   7900/18401동 | 107,265건 | 2649s
[07:30:23]   8000/18401동 | 107,342건 | 2653s
[07:30:33]   8100/18401동 | 107,532건 | 2663s
[07:30:37]   8200/18401동 | 107,542건 | 2667s
[07:30:53]   8300/18401동 | 107,912건 | 2683s
[07:30:56]   8400/18401동 | 107,912건 | 2686s
[07:31:01]   8500/18401동 | 108,031건 | 2691s
[07:31:07]   8600/18401동 | 108,031건 | 2697s
[07:31:17]   8700/18401동 | 108,180건 | 2707s
[07:31:20]   8800/18401동 | 108,180건 | 2710s
[07:31:23]   8900/18401동 | 108,183건 | 2713s
[07:31:26]   9000/18401동 | 108,183건 | 2716s
[07:31:30]   9100/18401동 | 108,186건 | 2720s
[07:31:35]   9200/18401동 | 108,281건 | 2725s
[07:31:39]   9300/18401동 | 108,281건 | 2729s
[07:31:42]   9400/18401동 | 108,281건 | 2732s
[07:31:46]   9500/18401동 | 108,287건 | 2736s
[07:31:49]   9600/18401동 | 108,291건 | 2739s
[07:32:01]   9700/18401동 | 108,395건 | 2751s
[07:32:03]   9800/18401동 | 108,403건 | 2753s
[07:32:06]   9900/18401동 | 108,403건 | 2756s
[07:32:08]   10000/18401동 | 108,404건 | 2759s
[07:32:11]   10100/18401동 | 108,405건 | 2761s
[07:32:15]   10200/18401동 | 108,405건 | 2765s
[07:32:17]   10300/18401동 | 108,406건 | 2767s
[07:32:23]   10400/18401동 | 108,532건 | 2773s
[07:32:32]   10500/18401동 | 108,533건 | 2783s
[07:32:36]   10600/18401동 | 108,533건 | 2786s
[07:32:40]   10700/18401동 | 108,536건 | 2790s
[07:32:43]   10800/18401동 | 108,536건 | 2793s
[07:32:46]   10900/18401동 | 108,536건 | 2796s
[07:32:49]   11000/18401동 | 108,539건 | 2799s
[07:32:52]   11100/18401동 | 108,539건 | 2802s
[07:34:29]   11200/18401동 | 111,309건 | 2899s
[07:34:54]   11300/18401동 | 111,322건 | 2924s
[07:34:57]   11400/18401동 | 111,323건 | 2927s
[07:35:02]   11500/18401동 | 111,427건 | 2932s
[07:35:10]   11600/18401동 | 111,567건 | 2940s
[07:35:33]   11700/18401동 | 111,736건 | 2963s
[07:35:56]   11800/18401동 | 111,994건 | 2986s
[07:36:00]   11900/18401동 | 112,030건 | 2990s
[07:36:03]   12000/18401동 | 112,030건 | 2993s
[07:36:07]   12100/18401동 | 112,045건 | 2997s
[07:36:36]   12200/18401동 | 113,338건 | 3026s
[07:37:02]   12300/18401동 | 113,348건 | 3052s
[07:37:04]   12400/18401동 | 113,348건 | 3054s
[07:37:07]   12500/18401동 | 113,353건 | 3057s
[07:37:10]   12600/18401동 | 113,357건 | 3060s
[07:37:13]   12700/18401동 | 113,357건 | 3063s
[07:37:16]   12800/18401동 | 113,357건 | 3066s
[07:37:20]   12900/18401동 | 113,357건 | 3070s
[07:37:22]   13000/18401동 | 113,357건 | 3072s
[07:37:25]   13100/18401동 | 113,357건 | 3075s
[07:37:28]   13200/18401동 | 113,357건 | 3078s
[07:37:31]   13300/18401동 | 113,366건 | 3081s
[07:37:39]   13400/18401동 | 113,770건 | 3089s
[07:37:43]   13500/18401동 | 113,770건 | 3093s
[07:37:46]   13600/18401동 | 113,770건 | 3096s
[07:37:50]   13700/18401동 | 113,770건 | 3100s
[07:37:54]   13800/18401동 | 113,816건 | 3104s
[07:38:00]   13900/18401동 | 113,816건 | 3110s
[07:38:04]   14000/18401동 | 113,817건 | 3114s
[07:38:07]   14100/18401동 | 113,819건 | 3118s
[07:38:18]   14200/18401동 | 114,136건 | 3128s
[07:38:35]   14300/18401동 | 114,802건 | 3145s
[07:38:37]   14400/18401동 | 114,889건 | 3147s
[07:38:45]   14500/18401동 | 115,161건 | 3155s
[07:39:05]   14600/18401동 | 115,775건 | 3175s
[07:40:38]   14700/18401동 | 118,159건 | 3269s
[07:40:44]   14800/18401동 | 118,163건 | 3274s
[07:40:58]   14900/18401동 | 118,657건 | 3288s
[07:41:17]   15000/18401동 | 119,117건 | 3307s
[07:41:24]   15100/18401동 | 119,236건 | 3314s
[07:41:33]   15200/18401동 | 119,413건 | 3324s
[07:41:42]   15300/18401동 | 119,490건 | 3332s
[07:41:48]   15400/18401동 | 119,490건 | 3338s
[07:41:51]   15500/18401동 | 119,490건 | 3341s
[07:41:55]   15600/18401동 | 119,499건 | 3345s
[07:41:58]   15700/18401동 | 119,506건 | 3348s
[07:42:02]   15800/18401동 | 119,513건 | 3352s
[07:42:06]   15900/18401동 | 119,513건 | 3356s
[07:42:56]   16000/18401동 | 120,523건 | 3406s
[07:42:59]   16100/18401동 | 120,527건 | 3409s
[07:43:03]   16200/18401동 | 120,527건 | 3413s
[07:43:07]   16300/18401동 | 120,527건 | 3417s
[07:43:10]   16400/18401동 | 120,527건 | 3420s
[07:43:13]   16500/18401동 | 120,527건 | 3423s
[07:43:20]   16600/18401동 | 120,753건 | 3430s
[07:43:24]   16700/18401동 | 120,753건 | 3434s
[07:43:28]   16800/18401동 | 120,795건 | 3438s
[07:43:52]   16900/18401동 | 121,614건 | 3462s
[07:44:00]   17000/18401동 | 121,614건 | 3470s
[07:44:29]   17100/18401동 | 122,992건 | 3499s
[07:45:01]   17200/18401동 | 123,025건 | 3531s
[07:45:06]   17300/18401동 | 123,038건 | 3536s
[07:45:09]   17400/18401동 | 123,040건 | 3539s
[07:45:15]   17500/18401동 | 123,106건 | 3545s
[07:45:22]   17600/18401동 | 123,106건 | 3552s
[07:45:28]   17700/18401동 | 123,258건 | 3558s
[07:45:33]   17800/18401동 | 123,418건 | 3563s
[07:45:37]   17900/18401동 | 123,423건 | 3567s
[07:45:41]   18000/18401동 | 123,423건 | 3571s
[07:45:44]   18100/18401동 | 123,423건 | 3574s
[07:45:49]   18200/18401동 | 123,474건 | 3579s
[07:45:52]   18300/18401동 | 123,489건 | 3582s
[07:45:55]   18400/18401동 | 123,491건 | 3585s
[07:45:55]   18401/18401동 | 123,491건 | 3585s
[07:45:56] 💾 저장: 직방_아파트_20260612_064610.csv (123,491건)
[07:45:56] 
[2/3] 원룸·빌라투룸·오피스텔 수집 (적응형) ──────────
[07:45:56]   작업: 50673개 (타일 × 유형)
