[04:35:14] 캐시 로드: 0개 완료 항목
[04:35:14] ==============================================================
[04:35:14]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[04:35:14]   precision: 5 → 7 | 세분화 임계: 400건
[04:35:14]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260418
[04:35:14] ==============================================================
[04:35:14] 지오해시 타일: 16891개 (precision=5)
[04:35:14] 
[1/3] 아파트 수집 ─────────────────────────────────
[04:35:24]   읍면동 18401개 확인
[04:35:32]   100/18401동 | 382건 | 18s
[04:35:43]   200/18401동 | 1,047건 | 29s
[04:36:13]   300/18401동 | 3,470건 | 59s
[04:36:55]   400/18401동 | 7,091건 | 101s
[04:37:56]   500/18401동 | 12,646건 | 162s
[04:39:20]   600/18401동 | 18,893건 | 246s
[04:40:15]   700/18401동 | 23,881건 | 300s
[04:42:00]   800/18401동 | 25,615건 | 406s
[04:42:05]   900/18401동 | 25,860건 | 411s
[04:42:48]   1000/18401동 | 29,095건 | 454s
[04:43:25]   1100/18401동 | 31,482건 | 491s
[04:43:51]   1200/18401동 | 31,932건 | 517s
[04:43:56]   1300/18401동 | 32,245건 | 522s
[04:46:23]   1400/18401동 | 43,181건 | 669s
[04:47:12]   1500/18401동 | 46,214건 | 717s
[04:47:37]   1600/18401동 | 47,691건 | 743s
[04:48:07]   1700/18401동 | 49,415건 | 773s
[04:48:53]   1800/18401동 | 52,435건 | 819s
[04:49:49]   1900/18401동 | 56,188건 | 875s
[04:50:32]   2000/18401동 | 57,152건 | 917s
[04:51:02]   2100/18401동 | 57,606건 | 948s
[04:51:48]   2200/18401동 | 60,393건 | 994s
[04:53:00]   2300/18401동 | 66,400건 | 1066s
[04:55:25]   2400/18401동 | 73,096건 | 1211s
[04:57:10]   2500/18401동 | 75,743건 | 1316s
[04:58:18]   2600/18401동 | 81,211건 | 1384s
[05:00:55]   2700/18401동 | 86,298건 | 1541s
[05:01:56]   2800/18401동 | 87,904건 | 1602s
[05:02:40]   2900/18401동 | 89,981건 | 1646s
[05:03:05]   3000/18401동 | 90,298건 | 1671s
[05:03:16]   3100/18401동 | 90,298건 | 1682s
[05:03:49]   3200/18401동 | 90,975건 | 1714s
[05:04:30]   3300/18401동 | 90,975건 | 1756s
[05:05:41]   3400/18401동 | 92,399건 | 1827s
[05:06:54]   3500/18401동 | 96,175건 | 1900s
[05:07:50]   3600/18401동 | 96,282건 | 1956s
[05:09:19]   3700/18401동 | 98,587건 | 2045s
[05:09:26]   3800/18401동 | 98,604건 | 2052s
[05:09:32]   3900/18401동 | 98,792건 | 2058s
[05:09:37]   4000/18401동 | 99,068건 | 2063s
[05:09:41]   4100/18401동 | 99,121건 | 2067s
[05:09:43]   4200/18401동 | 99,121건 | 2069s
[05:09:51]   4300/18401동 | 99,248건 | 2077s
[05:09:58]   4400/18401동 | 99,254건 | 2084s
[05:10:32]   4500/18401동 | 100,512건 | 2118s
[05:10:43]   4600/18401동 | 100,594건 | 2129s
[05:10:45]   4700/18401동 | 100,594건 | 2131s
[05:10:47]   4800/18401동 | 100,594건 | 2133s
[05:10:52]   4900/18401동 | 100,683건 | 2138s
[05:10:56]   5000/18401동 | 100,725건 | 2142s
[05:10:58]   5100/18401동 | 100,725건 | 2144s
[05:11:01]   5200/18401동 | 100,730건 | 2147s
[05:11:04]   5300/18401동 | 100,747건 | 2150s
[05:11:07]   5400/18401동 | 100,750건 | 2153s
[05:11:28]   5500/18401동 | 100,931건 | 2174s
[05:11:37]   5600/18401동 | 100,934건 | 2183s
[05:11:46]   5700/18401동 | 101,426건 | 2192s
[05:11:59]   5800/18401동 | 101,642건 | 2204s
[05:12:09]   5900/18401동 | 101,644건 | 2215s
[05:12:13]   6000/18401동 | 101,659건 | 2219s
[05:12:16]   6100/18401동 | 101,680건 | 2222s
[05:12:18]   6200/18401동 | 101,680건 | 2224s
[05:12:20]   6300/18401동 | 101,681건 | 2226s
[05:12:42]   6400/18401동 | 103,217건 | 2248s
[05:16:10]   6500/18401동 | 106,259건 | 2456s
[05:16:24]   6600/18401동 | 106,316건 | 2470s
[05:16:29]   6700/18401동 | 106,406건 | 2475s
[05:16:38]   6800/18401동 | 106,421건 | 2484s
[05:16:53]   6900/18401동 | 106,688건 | 2499s
[05:17:06]   7000/18401동 | 106,688건 | 2512s
[05:17:14]   7100/18401동 | 106,766건 | 2520s
[05:17:17]   7200/18401동 | 106,766건 | 2523s
[05:17:20]   7300/18401동 | 106,771건 | 2526s
