[07:00:36] 캐시 로드: 0개 완료 항목
[07:00:36] ==============================================================
[07:00:36]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[07:00:36]   precision: 5 → 7 | 세분화 임계: 400건
[07:00:36]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260903
[07:00:36] ==============================================================
[07:00:36] 지오해시 타일: 16891개 (precision=5)
[07:00:36] 
[1/3] 아파트 수집 ─────────────────────────────────
[07:00:46]   읍면동 18401개 확인
[07:01:09]   100/18401동 | 1,131건 | 33s
[07:01:29]   200/18401동 | 2,731건 | 53s
[07:01:50]   300/18401동 | 4,237건 | 74s
[07:02:52]   400/18401동 | 9,337건 | 136s
[07:03:56]   500/18401동 | 14,413건 | 201s
[07:05:29]   600/18401동 | 20,772건 | 293s
[07:08:02]   700/18401동 | 27,462건 | 447s
[07:08:53]   800/18401동 | 29,393건 | 497s
[07:09:33]   900/18401동 | 31,769건 | 537s
[07:10:08]   1000/18401동 | 32,135건 | 572s
[07:11:47]   1100/18401동 | 38,410건 | 671s
[07:11:56]   1200/18401동 | 38,410건 | 680s
[07:12:37]   1300/18401동 | 40,537건 | 721s
[07:13:39]   1400/18401동 | 47,188건 | 783s
[07:14:38]   1500/18401동 | 49,567건 | 842s
[07:15:06]   1600/18401동 | 51,647건 | 870s
[07:16:09]   1700/18401동 | 55,329건 | 933s
[07:16:51]   1800/18401동 | 58,058건 | 975s
[07:17:23]   1900/18401동 | 58,058건 | 1007s
[07:18:44]   2000/18401동 | 61,057건 | 1088s
[07:19:20]   2100/18401동 | 62,630건 | 1124s
[07:20:11]   2200/18401동 | 65,617건 | 1175s
[07:22:46]   2300/18401동 | 73,635건 | 1331s
[07:24:23]   2400/18401동 | 75,602건 | 1427s
[07:25:22]   2500/18401동 | 79,186건 | 1487s
[07:27:33]   2600/18401동 | 89,113건 | 1617s
[07:29:29]   2700/18401동 | 91,046건 | 1733s
[07:30:01]   2800/18401동 | 92,332건 | 1765s
[07:30:57]   2900/18401동 | 93,617건 | 1821s
[07:32:00]   3000/18401동 | 95,664건 | 1884s
[07:33:05]   3100/18401동 | 97,043건 | 1949s
[07:33:33]   3200/18401동 | 97,436건 | 1977s
[07:34:22]   3300/18401동 | 99,732건 | 2026s
[07:34:46]   3400/18401동 | 100,336건 | 2050s
[07:35:32]   3500/18401동 | 100,336건 | 2097s
[07:36:02]   3600/18401동 | 101,995건 | 2127s
[07:37:06]   3700/18401동 | 101,996건 | 2190s
[07:37:25]   3800/18401동 | 102,057건 | 2209s
[07:37:31]   3900/18401동 | 102,163건 | 2215s
[07:37:41]   4000/18401동 | 102,169건 | 2225s
[07:37:49]   4100/18401동 | 102,417건 | 2233s
[07:37:54]   4200/18401동 | 102,718건 | 2238s
[07:38:09]   4300/18401동 | 103,640건 | 2254s
[07:38:41]   4400/18401동 | 104,064건 | 2285s
[07:38:45]   4500/18401동 | 104,090건 | 2289s
[07:38:49]   4600/18401동 | 104,105건 | 2293s
[07:38:53]   4700/18401동 | 104,165건 | 2297s
[07:38:57]   4800/18401동 | 104,165건 | 2301s
[07:38:59]   4900/18401동 | 104,189건 | 2304s
[07:39:02]   5000/18401동 | 104,189건 | 2307s
[07:39:05]   5100/18401동 | 104,189건 | 2309s
[07:39:07]   5200/18401동 | 104,194건 | 2311s
[07:39:17]   5300/18401동 | 104,362건 | 2321s
[07:39:30]   5400/18401동 | 104,383건 | 2334s
[07:39:33]   5500/18401동 | 104,383건 | 2337s
[07:39:49]   5600/18401동 | 104,574건 | 2354s
[07:39:55]   5700/18401동 | 104,574건 | 2359s
[07:40:07]   5800/18401동 | 105,277건 | 2371s
[07:40:29]   5900/18401동 | 106,093건 | 2393s
[07:40:43]   6000/18401동 | 107,184건 | 2407s
[07:40:46]   6100/18401동 | 107,198건 | 2410s
[07:40:50]   6200/18401동 | 107,198건 | 2414s
[07:43:49]   6300/18401동 | 109,945건 | 2593s
[07:44:10]   6400/18401동 | 110,117건 | 2614s
[07:44:21]   6500/18401동 | 110,206건 | 2625s
[07:44:25]   6600/18401동 | 110,244건 | 2629s
[07:44:27]   6700/18401동 | 110,244건 | 2631s
[07:44:34]   6800/18401동 | 110,394건 | 2639s
[07:44:43]   6900/18401동 | 110,394건 | 2647s
[07:44:46]   7000/18401동 | 110,401건 | 2650s
[07:44:49]   7100/18401동 | 110,423건 | 2654s
[07:44:52]   7200/18401동 | 110,423건 | 2656s
[07:44:54]   7300/18401동 | 110,425건 | 2658s
[07:44:58]   7400/18401동 | 110,425건 | 2662s
[07:45:01]   7500/18401동 | 110,430건 | 2665s
[07:45:04]   7600/18401동 | 110,430건 | 2668s
[07:45:09]   7700/18401동 | 110,475건 | 2673s
[07:45:12]   7800/18401동 | 110,542건 | 2677s
[07:45:25]   7900/18401동 | 110,582건 | 2690s
[07:45:30]   8000/18401동 | 110,678건 | 2694s
[07:45:36]   8100/18401동 | 111,043건 | 2701s
[07:45:48]   8200/18401동 | 111,043건 | 2712s
[07:45:53]   8300/18401동 | 111,147건 | 2717s
[07:45:59]   8400/18401동 | 111,147건 | 2723s
[07:46:07]   8500/18401동 | 111,275건 | 2731s
[07:46:12]   8600/18401동 | 111,357건 | 2736s
[07:46:15]   8700/18401동 | 111,357건 | 2739s
[07:46:17]   8800/18401동 | 111,359건 | 2742s
[07:46:20]   8900/18401동 | 111,359건 | 2744s
[07:46:34]   9000/18401동 | 111,677건 | 2758s
[07:46:37]   9100/18401동 | 111,677건 | 2761s
[07:46:40]   9200/18401동 | 111,677건 | 2764s
[07:46:44]   9300/18401동 | 111,677건 | 2768s
[07:46:48]   9400/18401동 | 111,677건 | 2772s
[07:46:51]   9500/18401동 | 111,680건 | 2775s
[07:46:54]   9600/18401동 | 111,680건 | 2778s
[07:46:57]   9700/18401동 | 111,682건 | 2781s
[07:47:07]   9800/18401동 | 111,799건 | 2791s
[07:47:11]   9900/18401동 | 111,802건 | 2795s
[07:47:13]   10000/18401동 | 111,802건 | 2797s
[07:47:16]   10100/18401동 | 111,804건 | 2800s
[07:47:20]   10200/18401동 | 111,804건 | 2804s
[07:47:23]   10300/18401동 | 111,805건 | 2807s
[07:47:25]   10400/18401동 | 111,806건 | 2809s
[07:47:28]   10500/18401동 | 111,806건 | 2812s
[07:47:33]   10600/18401동 | 111,841건 | 2817s
[07:47:36]   10700/18401동 | 111,842건 | 2821s
[07:47:40]   10800/18401동 | 111,842건 | 2824s
