[03:48:14] 캐시 로드: 0개 완료 항목
[03:48:14] ==============================================================
[03:48:14]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[03:48:14]   precision: 5 → 7 | 세분화 임계: 400건
[03:48:14]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260811
[03:48:14] ==============================================================
[03:48:14] 지오해시 타일: 16891개 (precision=5)
[03:48:14] 
[1/3] 아파트 수집 ─────────────────────────────────
[03:48:24]   읍면동 18401개 확인
[03:48:29]   100/18401동 | 167건 | 15s
[03:49:02]   200/18401동 | 2,419건 | 47s
[03:49:19]   300/18401동 | 3,624건 | 65s
[03:49:59]   400/18401동 | 7,493건 | 105s
[03:51:10]   500/18401동 | 13,457건 | 176s
[03:52:35]   600/18401동 | 20,571건 | 261s
[03:54:50]   700/18401동 | 26,627건 | 396s
[03:55:29]   800/18401동 | 27,739건 | 435s
[03:55:52]   900/18401동 | 28,989건 | 457s
[03:56:53]   1000/18401동 | 33,452건 | 518s
[03:57:16]   1100/18401동 | 33,503건 | 541s
[03:58:04]   1200/18401동 | 36,828건 | 590s
[03:59:45]   1300/18401동 | 45,741건 | 690s
[03:59:59]   1400/18401동 | 46,226건 | 705s
[04:01:01]   1500/18401동 | 49,854건 | 767s
[04:01:22]   1600/18401동 | 50,789건 | 788s
[04:02:08]   1700/18401동 | 53,953건 | 833s
[04:02:48]   1800/18401동 | 56,255건 | 874s
[04:03:32]   1900/18401동 | 59,830건 | 918s
[04:03:57]   2000/18401동 | 60,034건 | 943s
[04:04:51]   2100/18401동 | 62,980건 | 997s
[04:05:29]   2200/18401동 | 63,743건 | 1035s
[04:07:12]   2300/18401동 | 72,171건 | 1138s
[04:09:11]   2400/18401동 | 73,855건 | 1256s
[04:10:19]   2500/18401동 | 76,834건 | 1324s
[04:12:49]   2600/18401동 | 83,221건 | 1474s
[04:14:03]   2700/18401동 | 88,270건 | 1549s
[04:14:56]   2800/18401동 | 89,975건 | 1602s
[04:15:28]   2900/18401동 | 91,682건 | 1634s
[04:15:46]   3000/18401동 | 92,051건 | 1651s
[04:15:58]   3100/18401동 | 92,051건 | 1664s
[04:16:41]   3200/18401동 | 93,839건 | 1707s
[04:17:30]   3300/18401동 | 93,840건 | 1756s
[04:17:48]   3400/18401동 | 94,471건 | 1774s
[04:18:30]   3500/18401동 | 94,471건 | 1816s
[04:19:37]   3600/18401동 | 97,220건 | 1882s
[04:20:59]   3700/18401동 | 99,833건 | 1965s
[04:21:08]   3800/18401동 | 99,872건 | 1974s
[04:21:12]   3900/18401동 | 99,931건 | 1978s
[04:21:15]   4000/18401동 | 99,948건 | 1981s
[04:21:18]   4100/18401동 | 99,948건 | 1984s
[04:21:23]   4200/18401동 | 100,058건 | 1988s
[04:21:29]   4300/18401동 | 100,178건 | 1995s
[04:21:41]   4400/18401동 | 100,552건 | 2006s
