[06:37:38] 캐시 로드: 0개 완료 항목
[06:37:38] ==============================================================
[06:37:38]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:37:38]   precision: 5 → 7 | 세분화 임계: 400건
[06:37:38]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260701
[06:37:38] ==============================================================
[06:37:38] 지오해시 타일: 16891개 (precision=5)
[06:37:38] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:37:48]   읍면동 18401개 확인
[06:38:10]   100/18401동 | 1,532건 | 31s
[06:38:16]   200/18401동 | 1,729건 | 38s
[06:38:41]   300/18401동 | 3,450건 | 63s
[06:39:19]   400/18401동 | 6,093건 | 101s
[06:40:23]   500/18401동 | 11,592건 | 164s
[06:42:00]   600/18401동 | 19,197건 | 262s
[06:43:00]   700/18401동 | 23,697건 | 322s
[06:45:17]   800/18401동 | 26,534건 | 458s
[06:45:56]   900/18401동 | 28,875건 | 498s
[06:46:36]   1000/18401동 | 29,346건 | 538s
[06:46:40]   1100/18401동 | 29,346건 | 541s
[06:48:11]   1200/18401동 | 34,605건 | 633s
[06:48:51]   1300/18401동 | 38,971건 | 673s
[06:50:24]   1400/18401동 | 45,058건 | 765s
[06:51:13]   1500/18401동 | 47,731건 | 815s
[06:51:40]   1600/18401동 | 48,816건 | 842s
[06:52:27]   1700/18401동 | 51,864건 | 889s
[06:53:08]   1800/18401동 | 54,309건 | 930s
[06:53:34]   1900/18401동 | 54,309건 | 955s
[06:54:44]   2000/18401동 | 59,118건 | 1026s
[06:55:33]   2100/18401동 | 59,183건 | 1075s
[06:56:09]   2200/18401동 | 61,908건 | 1111s
[06:58:38]   2300/18401동 | 70,862건 | 1260s
[07:00:15]   2400/18401동 | 70,912건 | 1357s
[07:01:11]   2500/18401동 | 75,039건 | 1412s
[07:03:25]   2600/18401동 | 84,320건 | 1547s
[07:05:26]   2700/18401동 | 86,152건 | 1668s
[07:06:34]   2800/18401동 | 89,236건 | 1736s
[07:07:06]   2900/18401동 | 89,852건 | 1768s
[07:07:56]   3000/18401동 | 89,852건 | 1818s
[07:09:02]   3100/18401동 | 92,377건 | 1883s
[07:09:28]   3200/18401동 | 92,893건 | 1909s
[07:09:51]   3300/18401동 | 93,268건 | 1933s
[07:10:22]   3400/18401동 | 94,311건 | 1964s
[07:11:39]   3500/18401동 | 96,146건 | 2041s
[07:12:29]   3600/18401동 | 96,270건 | 2091s
[07:13:47]   3700/18401동 | 98,330건 | 2168s
[07:13:57]   3800/18401동 | 98,453건 | 2179s
[07:14:07]   3900/18401동 | 98,495건 | 2189s
[07:14:11]   4000/18401동 | 98,513건 | 2193s
[07:14:15]   4100/18401동 | 98,579건 | 2197s
[07:14:17]   4200/18401동 | 98,579건 | 2199s
[07:14:28]   4300/18401동 | 98,935건 | 2210s
[07:15:02]   4400/18401동 | 99,906건 | 2244s
[07:15:08]   4500/18401동 | 100,027건 | 2250s
[07:15:12]   4600/18401동 | 100,059건 | 2253s
[07:15:19]   4700/18401동 | 100,276건 | 2260s
[07:15:21]   4800/18401동 | 100,504건 | 2262s
[07:15:23]   4900/18401동 | 100,504건 | 2265s
[07:15:29]   5000/18401동 | 100,602건 | 2270s
[07:15:32]   5100/18401동 | 100,602건 | 2274s
[07:15:35]   5200/18401동 | 100,602건 | 2277s
[07:15:37]   5300/18401동 | 100,602건 | 2279s
[07:15:40]   5400/18401동 | 100,602건 | 2281s
[07:15:43]   5500/18401동 | 100,607건 | 2285s
[07:15:46]   5600/18401동 | 100,607건 | 2288s
[07:15:51]   5700/18401동 | 100,731건 | 2293s
[07:16:06]   5800/18401동 | 101,268건 | 2307s
[07:16:34]   5900/18401동 | 101,612건 | 2335s
