[07:30:19] 캐시 로드: 0개 완료 항목
[07:30:19] ==============================================================
[07:30:19]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[07:30:19]   precision: 5 → 7 | 세분화 임계: 400건
[07:30:19]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260901
[07:30:19] ==============================================================
[07:30:19] 지오해시 타일: 16891개 (precision=5)
[07:30:19] 
[1/3] 아파트 수집 ─────────────────────────────────
[07:30:27]   읍면동 18401개 확인
[07:30:58]   100/18401동 | 2,400건 | 38s
[07:31:05]   200/18401동 | 2,736건 | 46s
[07:31:14]   300/18401동 | 3,231건 | 54s
[07:32:01]   400/18401동 | 7,660건 | 102s
[07:32:59]   500/18401동 | 12,513건 | 160s
[07:34:27]   600/18401동 | 20,228건 | 248s
[07:36:49]   700/18401동 | 27,648건 | 390s
[07:37:30]   800/18401동 | 28,254건 | 431s
[07:38:14]   900/18401동 | 32,208건 | 475s
[07:38:54]   1000/18401동 | 33,578건 | 514s
[07:39:34]   1100/18401동 | 36,321건 | 554s
[07:40:09]   1200/18401동 | 38,135건 | 590s
[07:41:20]   1300/18401동 | 45,736건 | 661s
[07:42:13]   1400/18401동 | 47,678건 | 714s
[07:42:45]   1500/18401동 | 50,743건 | 746s
[07:43:10]   1600/18401동 | 52,023건 | 771s
[07:43:52]   1700/18401동 | 55,344건 | 813s
[07:44:34]   1800/18401동 | 58,220건 | 855s
[07:45:03]   1900/18401동 | 59,095건 | 884s
[07:45:37]   2000/18401동 | 60,772건 | 918s
[07:46:28]   2100/18401동 | 65,207건 | 969s
[07:47:10]   2200/18401동 | 65,265건 | 1010s
[07:48:21]   2300/18401동 | 71,210건 | 1082s
[07:50:14]   2400/18401동 | 75,789건 | 1195s
[07:51:36]   2500/18401동 | 78,694건 | 1277s
[07:54:04]   2600/18401동 | 85,174건 | 1425s
[07:55:12]   2700/18401동 | 90,449건 | 1493s
[07:56:07]   2800/18401동 | 92,105건 | 1548s
[07:56:32]   2900/18401동 | 93,179건 | 1573s
[07:56:50]   3000/18401동 | 93,576건 | 1591s
[07:57:14]   3100/18401동 | 94,767건 | 1615s
[07:57:52]   3200/18401동 | 95,827건 | 1653s
[07:58:32]   3300/18401동 | 96,228건 | 1693s
[07:59:01]   3400/18401동 | 97,755건 | 1722s
[07:59:40]   3500/18401동 | 97,880건 | 1760s
[08:00:22]   3600/18401동 | 99,054건 | 1802s
[08:01:08]   3700/18401동 | 99,290건 | 1849s
[08:01:10]   3800/18401동 | 99,290건 | 1851s
[08:01:17]   3900/18401동 | 99,405건 | 1858s
[08:01:24]   4000/18401동 | 99,431건 | 1865s
[08:02:12]   4100/18401동 | 102,184건 | 1913s
[08:02:14]   4200/18401동 | 102,222건 | 1915s
[08:02:22]   4300/18401동 | 102,503건 | 1923s
[08:02:25]   4400/18401동 | 102,591건 | 1926s
[08:02:48]   4500/18401동 | 103,500건 | 1949s
[08:02:59]   4600/18401동 | 103,572건 | 1960s
[08:03:02]   4700/18401동 | 103,632건 | 1963s
[08:03:06]   4800/18401동 | 103,632건 | 1966s
[08:03:08]   4900/18401동 | 103,632건 | 1968s
[08:03:09]   5000/18401동 | 103,649건 | 1970s
[08:03:26]   5100/18401동 | 103,821건 | 1986s
[08:03:28]   5200/18401동 | 103,846건 | 1989s
[08:03:31]   5300/18401동 | 103,850건 | 1992s
[08:03:34]   5400/18401동 | 103,854건 | 1995s
[08:03:36]   5500/18401동 | 103,854건 | 1997s
[08:03:47]   5600/18401동 | 103,977건 | 2007s
[08:04:13]   5700/18401동 | 105,931건 | 2034s
[08:04:18]   5800/18401동 | 105,932건 | 2039s
[08:04:22]   5900/18401동 | 105,954건 | 2043s
[08:04:24]   6000/18401동 | 105,954건 | 2045s
[08:04:26]   6100/18401동 | 105,954건 | 2047s
[08:04:44]   6200/18401동 | 107,574건 | 2064s
[08:07:12]   6300/18401동 | 108,699건 | 2212s
[08:07:26]   6400/18401동 | 108,959건 | 2227s
[08:07:33]   6500/18401동 | 108,959건 | 2234s
[08:07:47]   6600/18401동 | 109,670건 | 2248s
[08:07:50]   6700/18401동 | 109,708건 | 2251s
[08:07:53]   6800/18401동 | 109,708건 | 2254s
[08:07:58]   6900/18401동 | 109,765건 | 2259s
[08:08:01]   7000/18401동 | 109,773건 | 2262s
[08:08:05]   7100/18401동 | 109,871건 | 2265s
