[06:25:05] 캐시 로드: 0개 완료 항목
[06:25:05] ==============================================================
[06:25:05]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:25:05]   precision: 5 → 7 | 세분화 임계: 400건
[06:25:05]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260527
[06:25:05] ==============================================================
[06:25:05] 지오해시 타일: 16891개 (precision=5)
[06:25:05] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:25:15]   읍면동 18401개 확인
[06:25:30]   100/18401동 | 865건 | 25s
[06:25:48]   200/18401동 | 1,781건 | 43s
[06:26:01]   300/18401동 | 2,827건 | 55s
[06:26:46]   400/18401동 | 6,577건 | 101s
[06:28:13]   500/18401동 | 13,384건 | 188s
[06:29:24]   600/18401동 | 19,168건 | 259s
[06:31:41]   700/18401동 | 22,671건 | 396s
[06:32:14]   800/18401동 | 24,886건 | 429s
[06:32:42]   900/18401동 | 27,072건 | 457s
[06:33:58]   1000/18401동 | 32,818건 | 533s
[06:34:14]   1100/18401동 | 33,421건 | 549s
[06:35:10]   1200/18401동 | 35,610건 | 605s
[06:37:12]   1300/18401동 | 42,892건 | 727s
[06:37:48]   1400/18401동 | 45,814건 | 763s
[06:38:25]   1500/18401동 | 48,481건 | 800s
[06:39:08]   1600/18401동 | 50,899건 | 843s
[06:39:22]   1700/18401동 | 51,412건 | 857s
[06:39:57]   1800/18401동 | 53,576건 | 892s
[06:40:28]   1900/18401동 | 54,409건 | 923s
[06:41:20]   2000/18401동 | 57,362건 | 975s
[06:42:05]   2100/18401동 | 57,364건 | 1020s
[06:43:12]   2200/18401동 | 61,989건 | 1087s
[06:45:18]   2300/18401동 | 69,445건 | 1213s
[06:46:49]   2400/18401동 | 71,202건 | 1304s
[06:48:32]   2500/18401동 | 76,609건 | 1407s
[06:50:08]   2600/18401동 | 81,391건 | 1503s
[06:52:19]   2700/18401동 | 83,812건 | 1634s
[06:53:37]   2800/18401동 | 88,538건 | 1712s
[06:54:08]   2900/18401동 | 89,423건 | 1743s
[06:55:16]   3000/18401동 | 91,653건 | 1811s
[06:56:32]   3100/18401동 | 93,672건 | 1887s
[06:56:57]   3200/18401동 | 94,000건 | 1912s
[06:57:16]   3300/18401동 | 94,606건 | 1931s
[06:57:58]   3400/18401동 | 94,617건 | 1973s
[06:58:44]   3500/18401동 | 96,572건 | 2019s
[06:59:36]   3600/18401동 | 96,683건 | 2071s
[07:00:13]   3700/18401동 | 96,701건 | 2108s
[07:00:42]   3800/18401동 | 97,532건 | 2137s
[07:01:01]   3900/18401동 | 98,660건 | 2156s
[07:01:10]   4000/18401동 | 98,773건 | 2165s
[07:01:19]   4100/18401동 | 98,826건 | 2174s
[07:01:21]   4200/18401동 | 98,826건 | 2176s
[07:01:26]   4300/18401동 | 98,916건 | 2181s
[07:01:30]   4400/18401동 | 98,929건 | 2185s
[07:01:39]   4500/18401동 | 99,149건 | 2193s
[07:01:47]   4600/18401동 | 99,784건 | 2202s
[07:01:49]   4700/18401동 | 99,784건 | 2204s
[07:01:51]   4800/18401동 | 99,784건 | 2206s
[07:02:26]   4900/18401동 | 100,766건 | 2241s
[07:02:29]   5000/18401동 | 100,769건 | 2244s
[07:02:32]   5100/18401동 | 100,769건 | 2247s
[07:02:35]   5200/18401동 | 100,807건 | 2250s
[07:02:44]   5300/18401동 | 100,961건 | 2259s
[07:02:56]   5400/18401동 | 100,966건 | 2271s
[07:02:59]   5500/18401동 | 100,966건 | 2274s
[07:03:04]   5600/18401동 | 100,988건 | 2279s
[07:03:14]   5700/18401동 | 101,146건 | 2289s
[07:03:28]   5800/18401동 | 101,148건 | 2303s
[07:03:31]   5900/18401동 | 101,148건 | 2306s
[07:03:48]   6000/18401동 | 101,812건 | 2323s
[07:04:18]   6100/18401동 | 103,688건 | 2353s
[07:04:31]   6200/18401동 | 103,853건 | 2365s
[07:04:34]   6300/18401동 | 103,878건 | 2369s
[07:04:36]   6400/18401동 | 103,878건 | 2371s
[07:04:40]   6500/18401동 | 103,932건 | 2375s
[07:05:01]   6600/18401동 | 105,234건 | 2396s
[07:07:59]   6700/18401동 | 106,953건 | 2574s
[07:08:04]   6800/18401동 | 106,979건 | 2579s
[07:08:07]   6900/18401동 | 106,979건 | 2582s
[07:08:09]   7000/18401동 | 106,984건 | 2584s
[07:08:12]   7100/18401동 | 106,984건 | 2587s
[07:08:19]   7200/18401동 | 107,150건 | 2594s
[07:08:27]   7300/18401동 | 107,150건 | 2602s
[07:08:30]   7400/18401동 | 107,150건 | 2605s
[07:08:44]   7500/18401동 | 107,318건 | 2619s
[07:08:48]   7600/18401동 | 107,327건 | 2623s
[07:08:51]   7700/18401동 | 107,335건 | 2626s
[07:08:56]   7800/18401동 | 107,394건 | 2631s
[07:09:04]   7900/18401동 | 107,396건 | 2639s
[07:09:07]   8000/18401동 | 107,396건 | 2642s
[07:09:11]   8100/18401동 | 107,426건 | 2646s
[07:09:20]   8200/18401동 | 107,813건 | 2655s
[07:09:29]   8300/18401동 | 108,177건 | 2664s
[07:09:40]   8400/18401동 | 108,189건 | 2675s
[07:09:42]   8500/18401동 | 108,190건 | 2677s
[07:09:46]   8600/18401동 | 108,190건 | 2681s
[07:09:50]   8700/18401동 | 108,313건 | 2685s
[07:09:58]   8800/18401동 | 108,339건 | 2693s
[07:10:01]   8900/18401동 | 108,339건 | 2696s
[07:10:05]   9000/18401동 | 108,339건 | 2700s
[07:10:10]   9100/18401동 | 108,469건 | 2705s
[07:10:13]   9200/18401동 | 108,469건 | 2708s
[07:10:21]   9300/18401동 | 108,472건 | 2715s
[07:10:24]   9400/18401동 | 108,472건 | 2719s
[07:10:26]   9500/18401동 | 108,481건 | 2721s
[07:10:29]   9600/18401동 | 108,481건 | 2724s
[07:10:32]   9700/18401동 | 108,485건 | 2727s
[07:10:35]   9800/18401동 | 108,485건 | 2730s
[07:10:38]   9900/18401동 | 108,487건 | 2733s
[07:10:42]   10000/18401동 | 108,487건 | 2737s
[07:10:53]   10100/18401동 | 108,592건 | 2748s
[07:10:57]   10200/18401동 | 108,596건 | 2751s
[07:10:59]   10300/18401동 | 108,598건 | 2754s
[07:11:02]   10400/18401동 | 108,601건 | 2757s
[07:11:05]   10500/18401동 | 108,601건 | 2760s
[07:11:17]   10600/18401동 | 108,727건 | 2772s
[07:11:21]   10700/18401동 | 108,728건 | 2776s
[07:11:24]   10800/18401동 | 108,728건 | 2779s
[07:11:28]   10900/18401동 | 108,728건 | 2782s
[07:13:08]   11000/18401동 | 111,509건 | 2883s
[07:13:29]   11100/18401동 | 111,509건 | 2904s
[07:13:33]   11200/18401동 | 111,509건 | 2908s
[07:13:44]   11300/18401동 | 111,922건 | 2919s
[07:14:29]   11400/18401동 | 112,891건 | 2964s
[07:14:47]   11500/18401동 | 113,226건 | 2982s
[07:14:59]   11600/18401동 | 113,240건 | 2994s
[07:15:02]   11700/18401동 | 113,240건 | 2997s
[07:15:12]   11800/18401동 | 113,484건 | 3007s
[07:15:30]   11900/18401동 | 113,484건 | 3024s
[07:15:35]   12000/18401동 | 113,499건 | 3030s
[07:15:39]   12100/18401동 | 113,527건 | 3034s
[07:15:42]   12200/18401동 | 113,527건 | 3037s
