[06:40:27] 캐시 로드: 0개 완료 항목
[06:40:27] ==============================================================
[06:40:27]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:40:27]   precision: 5 → 7 | 세분화 임계: 400건
[06:40:27]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260706
[06:40:27] ==============================================================
[06:40:27] 지오해시 타일: 16891개 (precision=5)
[06:40:27] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:40:36]   읍면동 18401개 확인
[06:40:45]   100/18401동 | 391건 | 19s
[06:41:14]   200/18401동 | 2,226건 | 47s
[06:41:40]   300/18401동 | 3,969건 | 73s
[06:42:11]   400/18401동 | 6,694건 | 105s
[06:43:23]   500/18401동 | 12,451건 | 176s
[06:44:58]   600/18401동 | 19,163건 | 272s
[06:47:19]   700/18401동 | 22,697건 | 412s
[06:48:11]   800/18401동 | 27,199건 | 464s
[06:48:39]   900/18401동 | 28,660건 | 492s
[06:49:34]   1000/18401동 | 32,048건 | 548s
[06:50:01]   1100/18401동 | 32,090건 | 575s
[06:50:56]   1200/18401동 | 35,987건 | 629s
[06:53:31]   1300/18401동 | 45,501건 | 784s
[06:53:47]   1400/18401동 | 47,223건 | 801s
[06:54:00]   1500/18401동 | 47,801건 | 814s
[06:54:37]   1600/18401동 | 49,753건 | 851s
[06:54:52]   1700/18401동 | 50,366건 | 865s
[06:55:52]   1800/18401동 | 54,388건 | 926s
[06:56:49]   1900/18401동 | 58,140건 | 982s
[06:57:18]   2000/18401동 | 58,344건 | 1012s
[06:58:20]   2100/18401동 | 61,594건 | 1074s
[06:59:00]   2200/18401동 | 62,020건 | 1113s
[07:01:08]   2300/18401동 | 70,561건 | 1242s
[07:02:36]   2400/18401동 | 71,354건 | 1329s
[07:04:21]   2500/18401동 | 77,001건 | 1435s
[07:06:55]   2600/18401동 | 81,000건 | 1589s
[07:08:07]   2700/18401동 | 83,044건 | 1660s
[07:09:18]   2800/18401동 | 87,861건 | 1731s
[07:09:39]   2900/18401동 | 87,861건 | 1753s
[07:10:21]   3000/18401동 | 90,371건 | 1794s
[07:11:04]   3100/18401동 | 90,379건 | 1837s
[07:11:43]   3200/18401동 | 92,120건 | 1877s
[07:12:31]   3300/18401동 | 92,242건 | 1924s
[07:13:33]   3400/18401동 | 93,268건 | 1986s
[07:14:22]   3500/18401동 | 93,310건 | 2035s
[07:14:33]   3600/18401동 | 93,686건 | 2047s
[07:14:47]   3700/18401동 | 93,686건 | 2061s
[07:15:53]   3800/18401동 | 96,105건 | 2127s
[07:15:57]   3900/18401동 | 96,129건 | 2130s
[07:16:39]   4000/18401동 | 98,237건 | 2173s
[07:16:49]   4100/18401동 | 98,361건 | 2182s
[07:16:57]   4200/18401동 | 98,426건 | 2191s
[07:17:05]   4300/18401동 | 98,711건 | 2198s
[07:17:09]   4400/18401동 | 98,909건 | 2203s
[07:17:15]   4500/18401동 | 98,982건 | 2209s
[07:17:19]   4600/18401동 | 98,982건 | 2212s
[07:17:26]   4700/18401동 | 99,442건 | 2220s
[07:18:01]   4800/18401동 | 100,309건 | 2255s
[07:18:04]   4900/18401동 | 100,309건 | 2257s
[07:18:06]   5000/18401동 | 100,314건 | 2259s
[07:18:09]   5100/18401동 | 100,314건 | 2262s
[07:18:13]   5200/18401동 | 100,366건 | 2266s
[07:18:15]   5300/18401동 | 100,366건 | 2269s
[07:18:18]   5400/18401동 | 100,371건 | 2271s
[07:18:21]   5500/18401동 | 100,371건 | 2274s
[07:18:37]   5600/18401동 | 100,544건 | 2290s
[07:19:09]   5700/18401동 | 102,422건 | 2322s
[07:19:14]   5800/18401동 | 102,422건 | 2327s
[07:19:22]   5900/18401동 | 102,568건 | 2336s
[07:19:45]   6000/18401동 | 103,168건 | 2359s
[07:19:55]   6100/18401동 | 103,310건 | 2369s
[07:19:58]   6200/18401동 | 103,326건 | 2372s
[07:20:03]   6300/18401동 | 103,430건 | 2376s
[07:20:13]   6400/18401동 | 103,563건 | 2387s
[07:20:17]   6500/18401동 | 103,579건 | 2390s
[07:20:20]   6600/18401동 | 103,613건 | 2393s
[07:20:23]   6700/18401동 | 103,613건 | 2396s
[07:20:47]   6800/18401동 | 105,405건 | 2421s
[07:23:57]   6900/18401동 | 106,660건 | 2611s
[07:24:02]   7000/18401동 | 106,670건 | 2616s
[07:24:06]   7100/18401동 | 106,670건 | 2619s
[07:24:09]   7200/18401동 | 106,670건 | 2622s
[07:24:26]   7300/18401동 | 106,852건 | 2639s
[07:24:32]   7400/18401동 | 107,009건 | 2645s
[07:24:42]   7500/18401동 | 107,009건 | 2655s
[07:24:44]   7600/18401동 | 107,011건 | 2658s
[07:24:48]   7700/18401동 | 107,011건 | 2661s
[07:24:51]   7800/18401동 | 107,017건 | 2664s
[07:24:54]   7900/18401동 | 107,026건 | 2667s
[07:24:57]   8000/18401동 | 107,082건 | 2670s
[07:25:06]   8100/18401동 | 107,085건 | 2680s
[07:25:12]   8200/18401동 | 107,178건 | 2685s
[07:25:17]   8300/18401동 | 107,211건 | 2690s
[07:25:31]   8400/18401동 | 107,826건 | 2705s
[07:25:38]   8500/18401동 | 107,826건 | 2711s
[07:25:45]   8600/18401동 | 107,965건 | 2718s
[07:25:49]   8700/18401동 | 107,967건 | 2722s
[07:25:53]   8800/18401동 | 107,985건 | 2726s
[07:25:57]   8900/18401동 | 108,096건 | 2731s
[07:26:05]   9000/18401동 | 108,096건 | 2738s
[07:26:08]   9100/18401동 | 108,096건 | 2741s
[07:26:12]   9200/18401동 | 108,103건 | 2745s
[07:26:16]   9300/18401동 | 108,106건 | 2749s
[07:26:19]   9400/18401동 | 108,107건 | 2753s
[07:26:22]   9500/18401동 | 108,114건 | 2756s
[07:26:25]   9600/18401동 | 108,114건 | 2758s
[07:26:28]   9700/18401동 | 108,114건 | 2761s
[07:26:30]   9800/18401동 | 108,114건 | 2764s
[07:26:34]   9900/18401동 | 108,115건 | 2767s
[07:26:37]   10000/18401동 | 108,116건 | 2770s
[07:26:40]   10100/18401동 | 108,116건 | 2774s
[07:26:43]   10200/18401동 | 108,119건 | 2777s
[07:26:50]   10300/18401동 | 108,230건 | 2783s
[07:26:59]   10400/18401동 | 108,230건 | 2793s
[07:27:03]   10500/18401동 | 108,231건 | 2796s
[07:27:05]   10600/18401동 | 108,234건 | 2799s
[07:27:14]   10700/18401동 | 108,314건 | 2807s
[07:27:17]   10800/18401동 | 108,314건 | 2810s
[07:27:21]   10900/18401동 | 108,314건 | 2814s
[07:27:23]   11000/18401동 | 108,314건 | 2817s
[07:27:27]   11100/18401동 | 108,314건 | 2820s
[07:29:01]   11200/18401동 | 110,928건 | 2914s
[07:29:24]   11300/18401동 | 110,940건 | 2938s
[07:29:28]   11400/18401동 | 110,947건 | 2941s
[07:29:33]   11500/18401동 | 111,049건 | 2946s
[07:29:41]   11600/18401동 | 111,172건 | 2954s
[07:29:59]   11700/18401동 | 111,211건 | 2973s
[07:30:02]   11800/18401동 | 111,211건 | 2976s
[07:30:06]   11900/18401동 | 111,275건 | 2979s
[07:30:20]   12000/18401동 | 111,606건 | 2994s
[07:30:33]   12100/18401동 | 111,626건 | 3006s
[07:31:06]   12200/18401동 | 112,962건 | 3039s
[07:31:31]   12300/18401동 | 112,962건 | 3065s
[07:31:35]   12400/18401동 | 113,026건 | 3069s
[07:31:44]   12500/18401동 | 113,345건 | 3078s
[07:31:48]   12600/18401동 | 113,349건 | 3082s
[07:31:50]   12700/18401동 | 113,356건 | 3084s
[07:31:54]   12800/18401동 | 113,356건 | 3087s
[07:31:57]   12900/18401동 | 113,356건 | 3091s
[07:32:01]   13000/18401동 | 113,356건 | 3094s
[07:32:05]   13100/18401동 | 113,356건 | 3098s
[07:32:07]   13200/18401동 | 113,356건 | 3101s
[07:32:10]   13300/18401동 | 113,356건 | 3103s
[07:32:13]   13400/18401동 | 113,369건 | 3107s
[07:32:16]   13500/18401동 | 113,369건 | 3109s
[07:32:18]   13600/18401동 | 113,369건 | 3111s
[07:32:20]   13700/18401동 | 113,371건 | 3114s
[07:32:24]   13800/18401동 | 113,371건 | 3117s
[07:32:27]   13900/18401동 | 113,389건 | 3121s
[07:32:32]   14000/18401동 | 113,399건 | 3125s
[07:32:34]   14100/18401동 | 113,399건 | 3128s
[07:32:37]   14200/18401동 | 113,400건 | 3131s
[07:32:44]   14300/18401동 | 113,446건 | 3137s
[07:32:55]   14400/18401동 | 113,729건 | 3149s
[07:33:14]   14500/18401동 | 114,407건 | 3168s
[07:33:26]   14600/18401동 | 114,731건 | 3180s
[07:33:43]   14700/18401동 | 115,371건 | 3197s
[07:33:51]   14800/18401동 | 115,371건 | 3205s
[07:34:01]   14900/18401동 | 115,875건 | 3214s
[07:34:16]   15000/18401동 | 116,249건 | 3229s
[07:34:19]   15100/18401동 | 116,252건 | 3233s
[07:34:27]   15200/18401동 | 116,511건 | 3240s
[07:34:57]   15300/18401동 | 117,808건 | 3271s
[07:35:38]   15400/18401동 | 117,808건 | 3312s
[07:35:42]   15500/18401동 | 117,817건 | 3316s
[07:36:13]   15600/18401동 | 119,791건 | 3347s
[07:37:20]   15700/18401동 | 120,216건 | 3414s
[07:37:24]   15800/18401동 | 120,216건 | 3418s
[07:37:28]   15900/18401동 | 120,223건 | 3422s
[07:37:33]   16000/18401동 | 120,223건 | 3427s
[07:37:37]   16100/18401동 | 120,223건 | 3430s
[07:37:41]   16200/18401동 | 120,223건 | 3434s
[07:37:44]   16300/18401동 | 120,223건 | 3437s
[07:37:48]   16400/18401동 | 120,223건 | 3441s
[07:37:52]   16500/18401동 | 120,227건 | 3445s
[07:37:55]   16600/18401동 | 120,227건 | 3449s
[07:37:59]   16700/18401동 | 120,227건 | 3452s
[07:38:05]   16800/18401동 | 120,449건 | 3459s
[07:38:22]   16900/18401동 | 121,288건 | 3475s
[07:38:58]   17000/18401동 | 122,247건 | 3511s
[07:39:40]   17100/18401동 | 122,767건 | 3553s
[07:39:46]   17200/18401동 | 122,822건 | 3559s
[07:39:53]   17300/18401동 | 123,076건 | 3566s
[07:39:58]   17400/18401동 | 123,076건 | 3572s
[07:40:02]   17500/18401동 | 123,104건 | 3575s
[07:40:05]   17600/18401동 | 123,106건 | 3579s
[07:40:09]   17700/18401동 | 123,111건 | 3582s
[07:40:13]   17800/18401동 | 123,130건 | 3586s
[07:40:16]   17900/18401동 | 123,130건 | 3590s
