[06:14:50] 캐시 로드: 0개 완료 항목
[06:14:50] ==============================================================
[06:14:50]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:14:50]   precision: 5 → 7 | 세분화 임계: 400건
[06:14:50]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260626
[06:14:50] ==============================================================
[06:14:50] 지오해시 타일: 16891개 (precision=5)
[06:14:50] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:15:00]   읍면동 18401개 확인
[06:15:06]   100/18401동 | 195건 | 16s
[06:15:16]   200/18401동 | 960건 | 26s
[06:15:56]   300/18401동 | 4,479건 | 66s
[06:16:51]   400/18401동 | 9,520건 | 121s
[06:17:26]   500/18401동 | 12,366건 | 156s
[06:18:56]   600/18401동 | 20,882건 | 246s
[06:19:46]   700/18401동 | 24,646건 | 296s
[06:21:32]   800/18401동 | 26,447건 | 402s
[06:22:27]   900/18401동 | 30,674건 | 457s
[06:23:02]   1000/18401동 | 31,373건 | 491s
[06:23:12]   1100/18401동 | 31,742건 | 502s
[06:24:34]   1200/18401동 | 37,908건 | 583s
[06:25:02]   1300/18401동 | 38,462건 | 612s
[06:26:22]   1400/18401동 | 46,105건 | 692s
[06:26:38]   1500/18401동 | 46,942건 | 708s
[06:27:06]   1600/18401동 | 48,888건 | 736s
[06:27:51]   1700/18401동 | 51,882건 | 781s
[06:28:37]   1800/18401동 | 55,066건 | 827s
[06:29:11]   1900/18401동 | 56,890건 | 861s
[06:29:59]   2000/18401동 | 59,621건 | 909s
[06:31:01]   2100/18401동 | 61,350건 | 971s
[06:31:18]   2200/18401동 | 62,451건 | 988s
[06:33:01]   2300/18401동 | 71,313건 | 1091s
[06:34:34]   2400/18401동 | 73,020건 | 1184s
[06:35:39]   2500/18401동 | 75,870건 | 1249s
[06:37:51]   2600/18401동 | 83,370건 | 1381s
[06:39:49]   2700/18401동 | 86,978건 | 1499s
[06:40:23]   2800/18401동 | 88,840건 | 1533s
[06:40:43]   2900/18401동 | 88,840건 | 1553s
[06:41:21]   3000/18401동 | 91,450건 | 1591s
[06:41:55]   3100/18401동 | 91,459건 | 1624s
[06:42:12]   3200/18401동 | 91,832건 | 1642s
[06:42:24]   3300/18401동 | 91,832건 | 1654s
[06:43:21]   3400/18401동 | 94,318건 | 1711s
[06:43:29]   3500/18401동 | 94,797건 | 1719s
[06:44:31]   3600/18401동 | 96,230건 | 1781s
[06:45:27]   3700/18401동 | 97,330건 | 1837s
[06:46:21]   3800/18401동 | 98,169건 | 1891s
[06:46:37]   3900/18401동 | 99,430건 | 1907s
[06:46:44]   4000/18401동 | 99,553건 | 1914s
[06:46:52]   4100/18401동 | 99,616건 | 1922s
[06:46:54]   4200/18401동 | 99,616건 | 1924s
[06:47:02]   4300/18401동 | 99,966건 | 1932s
[06:47:06]   4400/18401동 | 100,169건 | 1936s
[06:47:12]   4500/18401동 | 100,385건 | 1942s
[06:47:14]   4600/18401동 | 100,603건 | 1944s
[06:47:16]   4700/18401동 | 100,603건 | 1946s
[06:47:44]   4800/18401동 | 101,486건 | 1974s
[06:47:49]   4900/18401동 | 101,562건 | 1979s
[06:47:53]   5000/18401동 | 101,587건 | 1983s
[06:47:56]   5100/18401동 | 101,594건 | 1986s
[06:47:58]   5200/18401동 | 101,598건 | 1988s
[06:48:01]   5300/18401동 | 101,623건 | 1991s
[06:48:04]   5400/18401동 | 101,623건 | 1994s
[06:48:18]   5500/18401동 | 101,813건 | 2008s
[06:48:35]   5600/18401동 | 101,976건 | 2025s
[06:48:43]   5700/18401동 | 101,977건 | 2033s
[06:48:58]   5800/18401동 | 102,815건 | 2048s
[06:49:09]   5900/18401동 | 103,843건 | 2059s
[06:49:19]   6000/18401동 | 104,461건 | 2069s
[06:49:28]   6100/18401동 | 104,534건 | 2078s
[06:49:31]   6200/18401동 | 104,535건 | 2081s
[06:49:34]   6300/18401동 | 104,555건 | 2084s
[06:49:36]   6400/18401동 | 104,555건 | 2086s
[06:52:25]   6500/18401동 | 107,562건 | 2255s
[06:52:40]   6600/18401동 | 107,602건 | 2270s
[06:52:51]   6700/18401동 | 107,842건 | 2281s
[06:52:54]   6800/18401동 | 107,877건 | 2283s
[06:52:56]   6900/18401동 | 107,877건 | 2286s
[06:52:58]   7000/18401동 | 107,879건 | 2288s
[06:53:01]   7100/18401동 | 107,879건 | 2290s
[06:53:05]   7200/18401동 | 108,036건 | 2295s
[06:53:12]   7300/18401동 | 108,036건 | 2302s
[06:53:16]   7400/18401동 | 108,046건 | 2306s
[06:53:19]   7500/18401동 | 108,051건 | 2309s
[06:53:21]   7600/18401동 | 108,051건 | 2311s
[06:53:26]   7700/18401동 | 108,145건 | 2316s
[06:53:28]   7800/18401동 | 108,145건 | 2318s
[06:53:34]   7900/18401동 | 108,321건 | 2324s
[06:53:42]   8000/18401동 | 108,321건 | 2332s
[06:53:45]   8100/18401동 | 108,334건 | 2335s
[06:53:48]   8200/18401동 | 108,399건 | 2338s
[06:53:59]   8300/18401동 | 108,430건 | 2349s
[06:54:12]   8400/18401동 | 109,093건 | 2362s
[06:54:19]   8500/18401동 | 109,093건 | 2368s
[06:54:21]   8600/18401동 | 109,093건 | 2371s
[06:54:24]   8700/18401동 | 109,109건 | 2374s
[06:54:28]   8800/18401동 | 109,215건 | 2378s
[06:54:35]   8900/18401동 | 109,318건 | 2385s
[06:54:40]   9000/18401동 | 109,355건 | 2390s
[06:54:43]   9100/18401동 | 109,355건 | 2393s
[06:54:46]   9200/18401동 | 109,362건 | 2396s
[06:54:50]   9300/18401동 | 109,366건 | 2400s
[06:54:53]   9400/18401동 | 109,366건 | 2403s
[06:54:55]   9500/18401동 | 109,366건 | 2405s
[06:54:58]   9600/18401동 | 109,366건 | 2408s
[06:55:00]   9700/18401동 | 109,374건 | 2410s
[06:55:02]   9800/18401동 | 109,374건 | 2412s
[06:55:05]   9900/18401동 | 109,375건 | 2415s
[06:55:07]   10000/18401동 | 109,375건 | 2417s
[06:55:17]   10100/18401동 | 109,484건 | 2427s
[06:55:20]   10200/18401동 | 109,485건 | 2430s
[06:55:22]   10300/18401동 | 109,487건 | 2432s
[06:55:25]   10400/18401동 | 109,493건 | 2435s
[06:55:28]   10500/18401동 | 109,493건 | 2438s
[06:55:36]   10600/18401동 | 109,597건 | 2446s
[06:55:39]   10700/18401동 | 109,597건 | 2449s
[06:55:42]   10800/18401동 | 109,597건 | 2452s
[06:55:44]   10900/18401동 | 109,600건 | 2454s
[06:55:46]   11000/18401동 | 109,600건 | 2456s
[06:55:49]   11100/18401동 | 109,600건 | 2459s
[06:56:23]   11200/18401동 | 110,927건 | 2493s
[06:57:50]   11300/18401동 | 113,592건 | 2580s
[06:58:19]   11400/18401동 | 113,619건 | 2609s
[06:58:28]   11500/18401동 | 113,826건 | 2618s
[06:58:43]   11600/18401동 | 113,834건 | 2633s
[06:58:46]   11700/18401동 | 113,841건 | 2636s
[06:58:49]   11800/18401동 | 113,860건 | 2639s
[06:58:53]   11900/18401동 | 113,867건 | 2643s
[06:58:55]   12000/18401동 | 113,872건 | 2645s
[06:58:57]   12100/18401동 | 113,872건 | 2647s
[06:58:59]   12200/18401동 | 113,872건 | 2649s
[06:59:08]   12300/18401동 | 114,282건 | 2658s
[06:59:23]   12400/18401동 | 114,299건 | 2673s
[06:59:26]   12500/18401동 | 114,319건 | 2676s
[06:59:29]   12600/18401동 | 114,319건 | 2679s
[06:59:36]   12700/18401동 | 114,710건 | 2686s
[06:59:39]   12800/18401동 | 114,710건 | 2689s
[06:59:42]   12900/18401동 | 114,710건 | 2692s
[06:59:45]   13000/18401동 | 114,710건 | 2695s
[06:59:48]   13100/18401동 | 114,714건 | 2698s
[06:59:51]   13200/18401동 | 114,720건 | 2701s
[06:59:54]   13300/18401동 | 114,720건 | 2704s
[06:59:57]   13400/18401동 | 114,720건 | 2707s
[06:59:59]   13500/18401동 | 114,720건 | 2709s
[07:00:01]   13600/18401동 | 114,720건 | 2711s
[07:00:05]   13700/18401동 | 114,764건 | 2715s
[07:00:10]   13800/18401동 | 114,774건 | 2719s
[07:00:11]   13900/18401동 | 114,774건 | 2721s
[07:00:15]   14000/18401동 | 114,774건 | 2725s
[07:00:18]   14100/18401동 | 114,775건 | 2728s
[07:00:21]   14200/18401동 | 114,791건 | 2731s
[07:00:24]   14300/18401동 | 114,793건 | 2734s
[07:00:33]   14400/18401동 | 115,112건 | 2743s
[07:00:52]   14500/18401동 | 116,487건 | 2762s
[07:01:09]   14600/18401동 | 116,615건 | 2779s
[07:01:15]   14700/18401동 | 116,909건 | 2785s
[07:01:26]   14800/18401동 | 117,050건 | 2796s
[07:01:34]   14900/18401동 | 117,503건 | 2804s
[07:02:21]   15000/18401동 | 118,589건 | 2850s
[07:02:26]   15100/18401동 | 118,635건 | 2856s
[07:03:46]   15200/18401동 | 121,067건 | 2936s
[07:03:52]   15300/18401동 | 121,067건 | 2942s
[07:03:55]   15400/18401동 | 121,070건 | 2945s
[07:04:02]   15500/18401동 | 121,329건 | 2952s
[07:04:18]   15600/18401동 | 121,567건 | 2968s
[07:04:21]   15700/18401동 | 121,569건 | 2971s
[07:04:24]   15800/18401동 | 121,576건 | 2974s
[07:04:27]   15900/18401동 | 121,584건 | 2977s
[07:04:31]   16000/18401동 | 121,584건 | 2981s
[07:04:34]   16100/18401동 | 121,584건 | 2984s
[07:04:38]   16200/18401동 | 121,584건 | 2987s
[07:04:40]   16300/18401동 | 121,584건 | 2990s
[07:04:43]   16400/18401동 | 121,584건 | 2993s
[07:04:46]   16500/18401동 | 121,588건 | 2996s
[07:04:49]   16600/18401동 | 121,588건 | 2999s
[07:04:52]   16700/18401동 | 121,588건 | 3002s
[07:04:55]   16800/18401동 | 121,637건 | 3005s
[07:05:38]   16900/18401동 | 122,990건 | 3048s
[07:05:46]   17000/18401동 | 123,125건 | 3056s
[07:05:54]   17100/18401동 | 123,381건 | 3064s
[07:05:57]   17200/18401동 | 123,402건 | 3067s
[07:06:22]   17300/18401동 | 124,392건 | 3092s
[07:06:31]   17400/18401동 | 124,405건 | 3101s
[07:06:36]   17500/18401동 | 124,464건 | 3105s
[07:06:39]   17600/18401동 | 124,467건 | 3109s
[07:06:42]   17700/18401동 | 124,470건 | 3112s
[07:06:44]   17800/18401동 | 124,476건 | 3114s
[07:06:48]   17900/18401동 | 124,476건 | 3118s
[07:06:51]   18000/18401동 | 124,478건 | 3121s
