[07:17:09] 캐시 로드: 0개 완료 항목
[07:17:09] ==============================================================
[07:17:09]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[07:17:09]   precision: 5 → 7 | 세분화 임계: 400건
[07:17:09]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260926
[07:17:09] ==============================================================
[07:17:09] 지오해시 타일: 16891개 (precision=5)
[07:17:09] 
[1/3] 아파트 수집 ─────────────────────────────────
[07:17:17]   읍면동 18401개 확인
[07:17:33]   100/18401동 | 790건 | 24s
[07:17:43]   200/18401동 | 1,287건 | 34s
[07:18:16]   300/18401동 | 3,579건 | 67s
[07:18:55]   400/18401동 | 7,548건 | 106s
[07:19:57]   500/18401동 | 12,338건 | 168s
[07:21:52]   600/18401동 | 22,246건 | 283s
[07:24:11]   700/18401동 | 27,468건 | 422s
[07:25:10]   800/18401동 | 30,338건 | 480s
[07:25:48]   900/18401동 | 33,196건 | 519s
[07:26:10]   1000/18401동 | 34,035건 | 540s
[07:26:32]   1100/18401동 | 35,874건 | 563s
[07:27:48]   1200/18401동 | 41,734건 | 638s
[07:28:20]   1300/18401동 | 44,166건 | 671s
[07:29:51]   1400/18401동 | 49,397건 | 761s
[07:30:36]   1500/18401동 | 52,495건 | 807s
[07:30:47]   1600/18401동 | 52,892건 | 817s
[07:31:28]   1700/18401동 | 55,585건 | 858s
[07:32:33]   1800/18401동 | 59,949건 | 923s
[07:33:28]   1900/18401동 | 64,255건 | 978s
[07:34:10]   2000/18401동 | 64,256건 | 1021s
[07:34:37]   2100/18401동 | 65,452건 | 1048s
[07:35:11]   2200/18401동 | 66,532건 | 1081s
[07:36:16]   2300/18401동 | 71,868건 | 1147s
[07:38:18]   2400/18401동 | 80,456건 | 1269s
[07:39:57]   2500/18401동 | 80,503건 | 1367s
[07:41:51]   2600/18401동 | 89,037건 | 1482s
[07:43:49]   2700/18401동 | 92,263건 | 1600s
[07:44:47]   2800/18401동 | 94,963건 | 1658s
[07:45:16]   2900/18401동 | 95,561건 | 1686s
[07:45:57]   3000/18401동 | 95,561건 | 1727s
[07:46:53]   3100/18401동 | 97,727건 | 1783s
[07:47:12]   3200/18401동 | 98,206건 | 1803s
[07:47:32]   3300/18401동 | 98,559건 | 1823s
[07:47:57]   3400/18401동 | 99,461건 | 1848s
[07:48:58]   3500/18401동 | 101,017건 | 1908s
[07:49:39]   3600/18401동 | 101,138건 | 1949s
[07:50:11]   3700/18401동 | 101,173건 | 1981s
[07:50:15]   3800/18401동 | 101,227건 | 1986s
[07:50:18]   3900/18401동 | 101,227건 | 1988s
[07:50:58]   4000/18401동 | 103,630건 | 2029s
[07:51:03]   4100/18401동 | 103,730건 | 2034s
[07:51:11]   4200/18401동 | 103,736건 | 2041s
[07:51:16]   4300/18401동 | 103,783건 | 2047s
[07:51:22]   4400/18401동 | 103,996건 | 2053s
[07:52:06]   4500/18401동 | 105,396건 | 2096s
[07:52:12]   4600/18401동 | 105,788건 | 2103s
[07:52:16]   4700/18401동 | 105,842건 | 2107s
[07:52:19]   4800/18401동 | 105,842건 | 2110s
[07:52:22]   4900/18401동 | 105,842건 | 2112s
[07:52:24]   5000/18401동 | 105,845건 | 2114s
[07:52:26]   5100/18401동 | 105,845건 | 2117s
[07:52:29]   5200/18401동 | 105,879건 | 2120s
[07:52:32]   5300/18401동 | 105,879건 | 2122s
[07:52:34]   5400/18401동 | 105,882건 | 2125s
[07:52:43]   5500/18401동 | 106,007건 | 2133s
[07:52:54]   5600/18401동 | 106,074건 | 2144s
[07:52:56]   5700/18401동 | 106,074건 | 2147s
[07:52:58]   5800/18401동 | 106,074건 | 2149s
[07:53:14]   5900/18401동 | 106,230건 | 2165s
[07:53:29]   6000/18401동 | 106,913건 | 2180s
[07:53:58]   6100/18401동 | 109,057건 | 2209s
[07:54:09]   6200/18401동 | 109,090건 | 2220s
[07:54:12]   6300/18401동 | 109,103건 | 2223s
[07:54:16]   6400/18401동 | 109,124건 | 2226s
[07:54:18]   6500/18401동 | 109,124건 | 2228s
[07:55:17]   6600/18401동 | 111,585건 | 2288s
[07:57:00]   6700/18401동 | 111,785건 | 2390s
[07:57:04]   6800/18401동 | 111,852건 | 2395s
[07:57:07]   6900/18401동 | 111,852건 | 2397s
[07:57:12]   7000/18401동 | 112,031건 | 2402s
[07:57:20]   7100/18401동 | 112,031건 | 2410s
[07:57:24]   7200/18401동 | 112,038건 | 2415s
[07:57:27]   7300/18401동 | 112,038건 | 2418s
[07:57:39]   7400/18401동 | 112,260건 | 2429s
[07:57:46]   7500/18401동 | 112,260건 | 2437s
[07:57:48]   7600/18401동 | 112,262건 | 2439s
[07:57:51]   7700/18401동 | 112,262건 | 2442s
[07:57:54]   7800/18401동 | 112,330건 | 2445s
[07:58:04]   7900/18401동 | 112,330건 | 2455s
[07:58:17]   8000/18401동 | 112,644건 | 2467s
[07:58:19]   8100/18401동 | 112,644건 | 2470s
[07:58:27]   8200/18401동 | 112,784건 | 2478s
[07:58:32]   8300/18401동 | 112,930건 | 2483s
[07:58:37]   8400/18401동 | 113,172건 | 2488s
