[07:33:03] 캐시 로드: 0개 완료 항목
[07:33:03] ==============================================================
[07:33:03]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[07:33:03]   precision: 5 → 7 | 세분화 임계: 400건
[07:33:03]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260923
[07:33:03] ==============================================================
[07:33:03] 지오해시 타일: 16891개 (precision=5)
[07:33:03] 
[1/3] 아파트 수집 ─────────────────────────────────
[07:33:14]   읍면동 18401개 확인
[07:33:36]   100/18401동 | 1,322건 | 32s
[07:33:50]   200/18401동 | 2,204건 | 47s
[07:34:11]   300/18401동 | 3,824건 | 68s
[07:35:08]   400/18401동 | 8,784건 | 125s
[07:36:28]   500/18401동 | 15,037건 | 204s
[07:37:50]   600/18401동 | 21,163건 | 287s
[07:40:44]   700/18401동 | 28,810건 | 461s
[07:41:29]   800/18401동 | 29,429건 | 506s
[07:42:19]   900/18401동 | 33,501건 | 555s
[07:43:05]   1000/18401동 | 36,213건 | 602s
[07:43:25]   1100/18401동 | 36,927건 | 622s
[07:43:59]   1200/18401동 | 39,954건 | 656s
[07:46:33]   1300/18401동 | 49,879건 | 810s
[07:46:41]   1400/18401동 | 49,946건 | 818s
[07:47:09]   1500/18401동 | 52,463건 | 846s
[07:47:31]   1600/18401동 | 53,444건 | 868s
[07:48:07]   1700/18401동 | 55,790건 | 904s
[07:49:00]   1800/18401동 | 59,373건 | 957s
[07:49:43]   1900/18401동 | 61,825건 | 1000s
[07:50:12]   2000/18401동 | 61,825건 | 1029s
[07:51:29]   2100/18401동 | 64,792건 | 1106s
[07:52:03]   2200/18401동 | 67,042건 | 1140s
[07:53:21]   2300/18401동 | 72,776건 | 1218s
[07:55:35]   2400/18401동 | 78,209건 | 1352s
[07:57:20]   2500/18401동 | 82,829건 | 1456s
[07:59:55]   2600/18401동 | 88,193건 | 1612s
[08:01:05]   2700/18401동 | 92,699건 | 1682s
[08:01:21]   2800/18401동 | 92,705건 | 1698s
[08:02:16]   2900/18401동 | 95,777건 | 1752s
[08:02:54]   3000/18401동 | 96,396건 | 1790s
[08:03:12]   3100/18401동 | 96,396건 | 1809s
[08:04:10]   3200/18401동 | 98,532건 | 1867s
[08:04:48]   3300/18401동 | 99,058건 | 1905s
[08:05:13]   3400/18401동 | 99,112건 | 1930s
[08:05:15]   3500/18401동 | 99,112건 | 1932s
[08:05:18]   3600/18401동 | 99,127건 | 1935s
[08:06:03]   3700/18401동 | 100,036건 | 1980s
[08:06:49]   3800/18401동 | 101,724건 | 2026s
[08:07:41]   3900/18401동 | 101,725건 | 2077s
[08:08:08]   4000/18401동 | 101,760건 | 2104s
[08:08:53]   4100/18401동 | 104,170건 | 2150s
[08:09:02]   4200/18401동 | 104,543건 | 2159s
[08:09:49]   4300/18401동 | 105,663건 | 2205s
[08:09:53]   4400/18401동 | 105,791건 | 2210s
[08:10:02]   4500/18401동 | 105,797건 | 2218s
[08:10:05]   4600/18401동 | 105,853건 | 2222s
[08:10:09]   4700/18401동 | 105,919건 | 2226s
[08:10:16]   4800/18401동 | 106,091건 | 2232s
[08:10:18]   4900/18401동 | 106,371건 | 2235s
[08:10:20]   5000/18401동 | 106,374건 | 2236s
[08:10:22]   5100/18401동 | 106,374건 | 2239s
[08:10:25]   5200/18401동 | 106,408건 | 2242s
[08:10:28]   5300/18401동 | 106,408건 | 2244s
[08:10:30]   5400/18401동 | 106,408건 | 2247s
[08:10:32]   5500/18401동 | 106,411건 | 2249s
[08:10:57]   5600/18401동 | 108,337건 | 2274s
[08:11:12]   5700/18401동 | 108,490건 | 2289s
[08:11:18]   5800/18401동 | 108,493건 | 2295s
