[05:18:30] 캐시 로드: 0개 완료 항목
[05:18:30] ==============================================================
[05:18:30]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:18:30]   precision: 5 → 7 | 세분화 임계: 400건
[05:18:30]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260805
[05:18:30] ==============================================================
[05:18:30] 지오해시 타일: 16891개 (precision=5)
[05:18:30] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:18:41]   읍면동 18401개 확인
[05:19:22]   100/18401동 | 2,207건 | 52s
[05:19:32]   200/18401동 | 2,578건 | 62s
[05:19:53]   300/18401동 | 3,923건 | 83s
[05:20:37]   400/18401동 | 7,326건 | 127s
[05:21:51]   500/18401동 | 12,701건 | 201s
[05:23:29]   600/18401동 | 19,915건 | 299s
[05:26:05]   700/18401동 | 26,305건 | 455s
[05:26:54]   800/18401동 | 27,560건 | 504s
[05:27:56]   900/18401동 | 31,451건 | 566s
[05:28:29]   1000/18401동 | 32,195건 | 599s
[05:28:46]   1100/18401동 | 32,195건 | 616s
[05:30:22]   1200/18401동 | 39,440건 | 712s
[05:31:36]   1300/18401동 | 44,750건 | 786s
[05:32:33]   1400/18401동 | 46,236건 | 843s
[05:33:09]   1500/18401동 | 49,528건 | 879s
[05:33:33]   1600/18401동 | 50,477건 | 903s
[05:34:06]   1700/18401동 | 52,265건 | 936s
[05:35:13]   1800/18401동 | 56,400건 | 1003s
[05:36:14]   1900/18401동 | 60,776건 | 1064s
[05:37:01]   2000/18401동 | 60,778건 | 1111s
[05:37:31]   2100/18401동 | 61,089건 | 1141s
[05:38:13]   2200/18401동 | 63,437건 | 1183s
[05:39:34]   2300/18401동 | 68,439건 | 1264s
[05:42:15]   2400/18401동 | 75,442건 | 1425s
[05:43:29]   2500/18401동 | 76,444건 | 1499s
[05:46:32]   2600/18401동 | 82,161건 | 1682s
[05:47:46]   2700/18401동 | 87,658건 | 1756s
[05:48:15]   2800/18401동 | 89,118건 | 1785s
[05:49:02]   2900/18401동 | 90,306건 | 1832s
[05:49:47]   3000/18401동 | 92,365건 | 1877s
[05:50:30]   3100/18401동 | 92,490건 | 1920s
[05:51:15]   3200/18401동 | 93,163건 | 1965s
[05:51:36]   3300/18401동 | 93,163건 | 1986s
[05:51:57]   3400/18401동 | 93,793건 | 2007s
[05:52:48]   3500/18401동 | 93,793건 | 2058s
[05:53:55]   3600/18401동 | 94,686건 | 2125s
[05:55:40]   3700/18401동 | 99,120건 | 2230s
[05:55:49]   3800/18401동 | 99,159건 | 2239s
[05:55:58]   3900/18401동 | 99,284건 | 2248s
[05:56:08]   4000/18401동 | 99,342건 | 2257s
[05:56:10]   4100/18401동 | 99,342건 | 2260s
[05:56:16]   4200/18401동 | 99,388건 | 2266s
[05:56:22]   4300/18401동 | 99,656건 | 2272s
[05:57:01]   4400/18401동 | 100,528건 | 2311s
[05:57:09]   4500/18401동 | 101,125건 | 2319s
