[06:59:01] 캐시 로드: 0개 완료 항목
[06:59:01] ==============================================================
[06:59:01]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:59:01]   precision: 5 → 7 | 세분화 임계: 400건
[06:59:01]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260906
[06:59:01] ==============================================================
[06:59:01] 지오해시 타일: 16891개 (precision=5)
[06:59:01] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:59:09]   읍면동 18401개 확인
[06:59:23]   100/18401동 | 746건 | 22s
[06:59:44]   200/18401동 | 2,138건 | 43s
[07:00:06]   300/18401동 | 4,267건 | 65s
[07:00:43]   400/18401동 | 7,565건 | 102s
[07:01:54]   500/18401동 | 13,636건 | 173s
[07:03:33]   600/18401동 | 22,322건 | 272s
[07:04:29]   700/18401동 | 27,270건 | 328s
[07:05:17]   800/18401동 | 30,398건 | 376s
[07:07:20]   900/18401동 | 32,641건 | 499s
[07:07:36]   1000/18401동 | 33,441건 | 515s
[07:08:04]   1100/18401동 | 34,034건 | 543s
[07:09:22]   1200/18401동 | 39,082건 | 621s
[07:11:17]   1300/18401동 | 48,235건 | 736s
[07:11:21]   1400/18401동 | 48,249건 | 741s
[07:11:57]   1500/18401동 | 50,774건 | 777s
[07:12:28]   1600/18401동 | 52,743건 | 807s
[07:13:15]   1700/18401동 | 56,066건 | 854s
[07:13:44]   1800/18401동 | 57,959건 | 883s
[07:14:05]   1900/18401동 | 57,959건 | 904s
[07:15:23]   2000/18401동 | 60,963건 | 982s
[07:15:50]   2100/18401동 | 62,963건 | 1009s
[07:16:30]   2200/18401동 | 65,759건 | 1049s
[07:18:40]   2300/18401동 | 75,853건 | 1179s
[07:20:00]   2400/18401동 | 75,901건 | 1259s
[07:21:31]   2500/18401동 | 81,906건 | 1350s
[07:23:29]   2600/18401동 | 88,485건 | 1468s
[07:24:48]   2700/18401동 | 91,115건 | 1547s
[07:25:47]   2800/18401동 | 93,938건 | 1606s
[07:26:14]   2900/18401동 | 94,512건 | 1633s
[07:26:51]   3000/18401동 | 94,512건 | 1670s
[07:27:44]   3100/18401동 | 96,682건 | 1723s
[07:28:06]   3200/18401동 | 97,193건 | 1745s
