[05:44:31] 캐시 로드: 0개 완료 항목
[05:44:31] ==============================================================
[05:44:31]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:44:31]   precision: 5 → 7 | 세분화 임계: 400건
[05:44:31]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260404
[05:44:31] ==============================================================
[05:44:31] 지오해시 타일: 16891개 (precision=5)
[05:44:31] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:44:40]   읍면동 18401개 확인
[05:44:51]   100/18401동 | 653건 | 20s
[05:45:17]   200/18401동 | 2,352건 | 46s
[05:45:51]   300/18401동 | 5,103건 | 80s
[05:46:33]   400/18401동 | 8,592건 | 122s
[05:47:23]   500/18401동 | 12,289건 | 172s
[05:48:35]   600/18401동 | 18,214건 | 244s
[05:49:25]   700/18401동 | 22,476건 | 294s
[05:50:35]   800/18401동 | 25,049건 | 364s
[05:51:45]   900/18401동 | 27,337건 | 434s
[05:52:16]   1000/18401동 | 27,788건 | 465s
[05:52:21]   1100/18401동 | 27,836건 | 470s
[05:53:04]   1200/18401동 | 31,096건 | 513s
[05:53:35]   1300/18401동 | 32,430건 | 544s
[05:54:33]   1400/18401동 | 37,997건 | 602s
[05:56:12]   1500/18401동 | 44,576건 | 701s
[05:56:25]   1600/18401동 | 44,958건 | 714s
[05:57:08]   1700/18401동 | 47,718건 | 756s
[05:57:57]   1800/18401동 | 51,277건 | 806s
[05:59:04]   1900/18401동 | 53,942건 | 873s
[05:59:19]   2000/18401동 | 54,653건 | 888s
[05:59:53]   2100/18401동 | 55,424건 | 922s
[06:00:43]   2200/18401동 | 58,542건 | 972s
[06:02:23]   2300/18401동 | 66,922건 | 1072s
[06:04:18]   2400/18401동 | 68,697건 | 1186s
[06:05:38]   2500/18401동 | 72,780건 | 1267s
[06:07:15]   2600/18401동 | 77,938건 | 1364s
[06:09:13]   2700/18401동 | 80,483건 | 1482s
[06:10:32]   2800/18401동 | 85,319건 | 1561s
[06:11:11]   2900/18401동 | 87,244건 | 1600s
[06:11:32]   3000/18401동 | 87,550건 | 1621s
[06:11:43]   3100/18401동 | 87,550건 | 1632s
[06:12:15]   3200/18401동 | 88,227건 | 1663s
[06:12:54]   3300/18401동 | 88,227건 | 1703s
[06:14:14]   3400/18401동 | 91,702건 | 1783s
[06:15:26]   3500/18401동 | 93,839건 | 1855s
[06:16:17]   3600/18401동 | 93,951건 | 1905s
[06:17:21]   3700/18401동 | 95,680건 | 1970s
[06:17:27]   3800/18401동 | 95,729건 | 1976s
[06:17:31]   3900/18401동 | 95,774건 | 1979s
[06:17:35]   4000/18401동 | 95,791건 | 1984s
[06:17:42]   4100/18401동 | 95,986건 | 1991s
[06:17:49]   4200/18401동 | 96,578건 | 1998s
[06:17:52]   4300/18401동 | 96,595건 | 2001s
[06:18:00]   4400/18401동 | 96,708건 | 2009s
[06:18:27]   4500/18401동 | 97,539건 | 2036s
[06:18:35]   4600/18401동 | 97,543건 | 2044s
[06:18:37]   4700/18401동 | 97,543건 | 2046s
[06:18:39]   4800/18401동 | 97,543건 | 2048s
[06:18:43]   4900/18401동 | 97,620건 | 2052s
[06:18:47]   5000/18401동 | 97,707건 | 2056s
[06:18:51]   5100/18401동 | 97,707건 | 2059s
[06:18:54]   5200/18401동 | 97,745건 | 2063s
[06:19:03]   5300/18401동 | 97,915건 | 2072s
[06:19:16]   5400/18401동 | 97,927건 | 2085s
[06:19:19]   5500/18401동 | 97,927건 | 2088s
[06:19:21]   5600/18401동 | 97,928건 | 2090s
[06:19:36]   5700/18401동 | 98,530건 | 2105s
[06:19:53]   5800/18401동 | 100,014건 | 2122s
[06:20:00]   5900/18401동 | 100,014건 | 2129s
[06:20:06]   6000/18401동 | 100,126건 | 2135s
[06:20:15]   6100/18401동 | 100,135건 | 2144s
[06:20:18]   6200/18401동 | 100,142건 | 2147s
[06:20:21]   6300/18401동 | 100,163건 | 2150s
[06:20:23]   6400/18401동 | 100,163건 | 2152s
[06:20:27]   6500/18401동 | 100,225건 | 2156s
[06:20:28]   6600/18401동 | 100,225건 | 2157s
[06:20:31]   6700/18401동 | 100,239건 | 2160s
[06:20:37]   6800/18401동 | 100,390건 | 2165s
[06:20:45]   6900/18401동 | 100,390건 | 2174s
[06:23:23]   7000/18401동 | 103,327건 | 2332s
[06:23:34]   7100/18401동 | 103,563건 | 2343s
[06:23:44]   7200/18401동 | 103,572건 | 2353s
[06:23:46]   7300/18401동 | 103,578건 | 2355s
[06:23:49]   7400/18401동 | 103,578건 | 2358s
[06:23:53]   7500/18401동 | 103,581건 | 2362s
[06:23:57]   7600/18401동 | 103,656건 | 2366s
