수집시간,매물유형,매물ID,거래유형,단지명,시도,구군,읍면동,보증금(만원),월세(만원),매매가(만원),면적(m2),평,층,방향,URL
2026-06-04 06:52:11,아파트,47417984,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,72000,0,72000,104.21,31.52,중,,https://www.zigbang.com/home/apt/items/47417984
2026-06-04 06:52:11,아파트,47416117,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,65000,0,65000,96.18,29.09,고,,https://www.zigbang.com/home/apt/items/47416117
2026-06-04 06:52:11,아파트,47375213,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,54220,0,54220,84.6,25.59,저,,https://www.zigbang.com/home/apt/items/47375213
2026-06-04 06:52:11,아파트,47374865,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,59380,0,59380,84.77,25.64,중,,https://www.zigbang.com/home/apt/items/47374865
2026-06-04 06:52:11,아파트,48480128,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,58000,0,58000,96.18,29.09,5,,https://www.zigbang.com/home/apt/items/48480128
2026-06-04 06:52:11,아파트,47333736,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,73170,0,73170,106.74,32.29,저,,https://www.zigbang.com/home/apt/items/47333736
2026-06-04 06:52:11,아파트,47960007,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,74070,0,74070,106.74,32.29,저,,https://www.zigbang.com/home/apt/items/47960007
2026-06-04 06:52:11,아파트,47314374,매매,일광자이푸르지오2단지,,기장군,부산광역시 기장군 기장읍,57000,0,57000,84.97,25.7,중,,https://www.zigbang.com/home/apt/items/47314374
2026-06-04 06:52:11,아파트,47779110,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,60540,0,60540,84.89,25.68,중,,https://www.zigbang.com/home/apt/items/47779110
2026-06-04 06:52:11,아파트,47307715,매매,e편한세상일광,,기장군,부산광역시 기장군 기장읍,50000,0,50000,79.99,24.2,저,,https://www.zigbang.com/home/apt/items/47307715
2026-06-04 06:52:11,아파트,47268565,매매,일광자이푸르지오1단지,,기장군,부산광역시 기장군 기장읍,53000,0,53000,84.91,25.68,중,,https://www.zigbang.com/home/apt/items/47268565
2026-06-04 06:52:11,아파트,47265320,매매,e편한세상일광,,기장군,부산광역시 기장군 기장읍,54000,0,54000,84.99,25.71,고,,https://www.zigbang.com/home/apt/items/47265320
2026-06-04 06:52:11,아파트,47263817,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,58870,0,58870,84.89,25.68,저,,https://www.zigbang.com/home/apt/items/47263817
2026-06-04 06:52:11,아파트,47234906,매매,일광노르웨이숲오션포레,,기장군,부산광역시 기장군 기장읍,61380,0,61380,84.89,25.68,고,,https://www.zigbang.com/home/apt/items/47234906
2026-06-04 06:52:11,아파트,47204548,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,75000,0,75000,104.21,31.52,22,,https://www.zigbang.com/home/apt/items/47204548
2026-06-04 06:52:11,아파트,47204000,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,70000,0,70000,104.21,31.52,중,,https://www.zigbang.com/home/apt/items/47204000
2026-06-04 06:52:11,아파트,47203630,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,72000,0,72000,104.21,31.52,저,,https://www.zigbang.com/home/apt/items/47203630
2026-06-04 06:52:11,아파트,47203389,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,70000,0,70000,104.21,31.52,고,,https://www.zigbang.com/home/apt/items/47203389
2026-06-04 06:52:11,아파트,47203299,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,86000,0,86000,104.21,31.52,중,,https://www.zigbang.com/home/apt/items/47203299
2026-06-04 06:52:11,아파트,47203025,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,69000,0,69000,104.21,31.52,고,,https://www.zigbang.com/home/apt/items/47203025
2026-06-04 06:52:11,아파트,47202685,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,75000,0,75000,104.21,31.52,고,,https://www.zigbang.com/home/apt/items/47202685
2026-06-04 06:52:11,아파트,47202337,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,73000,0,73000,104.21,31.52,저,,https://www.zigbang.com/home/apt/items/47202337
2026-06-04 06:52:11,아파트,47202237,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,70000,0,70000,104.21,31.52,저,,https://www.zigbang.com/home/apt/items/47202237
2026-06-04 06:52:11,아파트,47201836,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,74000,0,74000,104.21,31.52,저,,https://www.zigbang.com/home/apt/items/47201836
2026-06-04 06:52:11,아파트,47201724,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,85000,0,85000,104.21,31.52,중,,https://www.zigbang.com/home/apt/items/47201724
2026-06-04 06:52:11,아파트,47201418,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,89000,0,89000,104.21,31.52,고,,https://www.zigbang.com/home/apt/items/47201418
2026-06-04 06:52:11,아파트,47201347,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,86000,0,86000,104.21,31.52,고,,https://www.zigbang.com/home/apt/items/47201347
2026-06-04 06:52:11,아파트,47201165,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,63000,0,63000,96.18,29.09,저,,https://www.zigbang.com/home/apt/items/47201165
2026-06-04 06:52:11,아파트,47200623,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,65000,0,65000,96.18,29.09,중,,https://www.zigbang.com/home/apt/items/47200623
2026-06-04 06:52:11,아파트,47200376,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,58000,0,58000,96.18,29.09,저,,https://www.zigbang.com/home/apt/items/47200376
2026-06-04 06:52:11,아파트,47200304,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,63000,0,63000,96.18,29.09,저,,https://www.zigbang.com/home/apt/items/47200304
2026-06-04 06:52:11,아파트,48984358,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,61000,0,61000,96.18,29.09,중,,https://www.zigbang.com/home/apt/items/48984358
2026-06-04 06:52:11,아파트,47199587,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,63000,0,63000,96.18,29.09,고,,https://www.zigbang.com/home/apt/items/47199587
2026-06-04 06:52:11,아파트,47199501,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,65000,0,65000,96.18,29.09,고,,https://www.zigbang.com/home/apt/items/47199501
2026-06-04 06:52:11,아파트,47199405,매매,일광신도시비스타동원2차,,기장군,부산광역시 기장군 기장읍,62000,0,62000,96.18,29.09,중,,https://www.zigbang.com/home/apt/items/47199405
