[06:39:16] 캐시 로드: 0개 완료 항목
[06:39:16] ==============================================================
[06:39:16]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:39:16]   precision: 5 → 7 | 세분화 임계: 400건
[06:39:16]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260525
[06:39:16] ==============================================================
[06:39:16] 지오해시 타일: 16891개 (precision=5)
[06:39:16] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:39:27]   읍면동 18401개 확인
[06:39:52]   100/18401동 | 1,906건 | 36s
[06:40:02]   200/18401동 | 2,144건 | 46s
[06:40:16]   300/18401동 | 3,303건 | 61s
[06:40:49]   400/18401동 | 5,671건 | 94s
[06:42:21]   500/18401동 | 13,196건 | 185s
[06:43:51]   600/18401동 | 20,550건 | 275s
[06:44:53]   700/18401동 | 24,444건 | 337s
[06:46:46]   800/18401동 | 25,697건 | 450s
[06:47:51]   900/18401동 | 29,946건 | 516s
[06:48:16]   1000/18401동 | 31,692건 | 541s
[06:48:40]   1100/18401동 | 31,711건 | 564s
[06:49:24]   1200/18401동 | 34,991건 | 608s
[06:51:21]   1300/18401동 | 43,294건 | 725s
[06:51:41]   1400/18401동 | 43,868건 | 745s
[06:52:34]   1500/18401동 | 46,948건 | 798s
[06:53:02]   1600/18401동 | 48,742건 | 827s
[06:53:32]   1700/18401동 | 50,615건 | 856s
[06:54:31]   1800/18401동 | 54,117건 | 915s
[06:55:11]   1900/18401동 | 56,646건 | 955s
[06:55:40]   2000/18401동 | 56,888건 | 985s
[06:56:40]   2100/18401동 | 59,827건 | 1044s
[06:57:37]   2200/18401동 | 61,768건 | 1101s
[07:00:22]   2300/18401동 | 70,759건 | 1266s
[07:01:36]   2400/18401동 | 70,945건 | 1341s
[07:02:44]   2500/18401동 | 76,103건 | 1408s
[07:05:13]   2600/18401동 | 83,357건 | 1557s
[07:06:56]   2700/18401동 | 86,494건 | 1661s
[07:07:22]   2800/18401동 | 88,003건 | 1686s
[07:08:14]   2900/18401동 | 89,266건 | 1739s
[07:09:06]   3000/18401동 | 91,689건 | 1790s
[07:09:56]   3100/18401동 | 91,797건 | 1840s
[07:10:47]   3200/18401동 | 92,526건 | 1892s
[07:11:12]   3300/18401동 | 92,526건 | 1916s
[07:11:20]   3400/18401동 | 92,572건 | 1925s
[07:11:41]   3500/18401동 | 93,192건 | 1945s
[07:12:31]   3600/18401동 | 93,192건 | 1995s
[07:13:44]   3700/18401동 | 96,097건 | 2068s
[07:15:22]   3800/18401동 | 98,496건 | 2167s
[07:15:28]   3900/18401동 | 98,536건 | 2173s
[07:15:31]   4000/18401동 | 98,537건 | 2176s
[07:15:35]   4100/18401동 | 98,589건 | 2179s
[07:15:43]   4200/18401동 | 98,700건 | 2187s
[07:15:52]   4300/18401동 | 98,812건 | 2197s
[07:15:57]   4400/18401동 | 98,846건 | 2201s
[07:15:59]   4500/18401동 | 98,850건 | 2203s
[07:16:09]   4600/18401동 | 99,331건 | 2213s
[07:16:14]   4700/18401동 | 99,696건 | 2218s
[07:16:16]   4800/18401동 | 99,696건 | 2221s
[07:16:23]   4900/18401동 | 100,056건 | 2227s
[07:16:55]   5000/18401동 | 100,644건 | 2260s
[07:16:59]   5100/18401동 | 100,644건 | 2264s
[07:17:02]   5200/18401동 | 100,647건 | 2267s
[07:17:07]   5300/18401동 | 100,668건 | 2271s
[07:17:30]   5400/18401동 | 100,824건 | 2294s
[07:17:34]   5500/18401동 | 100,826건 | 2299s
[07:17:38]   5600/18401동 | 100,829건 | 2302s
[07:17:44]   5700/18401동 | 100,993건 | 2309s
[07:18:02]   5800/18401동 | 100,995건 | 2326s
[07:18:05]   5900/18401동 | 100,995건 | 2330s
[07:18:43]   6000/18401동 | 103,259건 | 2367s
[07:18:53]   6100/18401동 | 103,410건 | 2377s
[07:18:56]   6200/18401동 | 103,434건 | 2380s
[07:18:58]   6300/18401동 | 103,445건 | 2382s
[07:19:01]   6400/18401동 | 103,460건 | 2386s
[07:19:05]   6500/18401동 | 103,503건 | 2390s
[07:19:09]   6600/18401동 | 103,516건 | 2394s
[07:22:14]   6700/18401동 | 106,549건 | 2578s
[07:22:30]   6800/18401동 | 106,549건 | 2594s
[07:22:44]   6900/18401동 | 106,811건 | 2608s
[07:22:47]   7000/18401동 | 106,811건 | 2611s
[07:22:55]   7100/18401동 | 106,986건 | 2619s
[07:23:05]   7200/18401동 | 106,986건 | 2629s
[07:23:09]   7300/18401동 | 106,987건 | 2633s
[07:23:13]   7400/18401동 | 106,996건 | 2637s
[07:23:19]   7500/18401동 | 107,160건 | 2643s
