[05:34:38] 캐시 로드: 0개 완료 항목
[05:34:38] ==============================================================
[05:34:38]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:34:38]   precision: 5 → 7 | 세분화 임계: 400건
[05:34:38]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260428
[05:34:38] ==============================================================
[05:34:38] 지오해시 타일: 16891개 (precision=5)
[05:34:38] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:34:48]   읍면동 18401개 확인
[05:35:09]   100/18401동 | 907건 | 32s
[05:35:20]   200/18401동 | 1,486건 | 42s
[05:35:58]   300/18401동 | 3,994건 | 80s
[05:36:42]   400/18401동 | 8,338건 | 124s
[05:37:39]   500/18401동 | 12,760건 | 181s
[05:39:01]   600/18401동 | 19,610건 | 263s
[05:40:59]   700/18401동 | 24,543건 | 381s
[05:41:54]   800/18401동 | 26,669건 | 436s
[05:42:24]   900/18401동 | 28,041건 | 466s
[05:43:00]   1000/18401동 | 29,030건 | 502s
[05:43:24]   1100/18401동 | 30,550건 | 526s
[05:44:35]   1200/18401동 | 35,255건 | 597s
[05:46:07]   1300/18401동 | 42,711건 | 689s
[05:46:25]   1400/18401동 | 43,204건 | 707s
[05:47:24]   1500/18401동 | 46,959건 | 767s
[05:48:14]   1600/18401동 | 49,930건 | 816s
[05:48:24]   1700/18401동 | 50,247건 | 826s
[05:49:14]   1800/18401동 | 53,258건 | 877s
[05:49:52]   1900/18401동 | 54,639건 | 914s
[05:50:50]   2000/18401동 | 57,301건 | 972s
[05:51:37]   2100/18401동 | 57,967건 | 1019s
[05:52:39]   2200/18401동 | 60,829건 | 1081s
[05:53:58]   2300/18401동 | 66,751건 | 1160s
[05:56:07]   2400/18401동 | 71,775건 | 1289s
[05:57:43]   2500/18401동 | 74,256건 | 1385s
[06:00:50]   2600/18401동 | 80,468건 | 1572s
[06:02:22]   2700/18401동 | 86,234건 | 1664s
[06:03:34]   2800/18401동 | 88,005건 | 1736s
[06:04:55]   2900/18401동 | 91,852건 | 1817s
[06:05:22]   3000/18401동 | 92,316건 | 1844s
[06:05:45]   3100/18401동 | 92,628건 | 1867s
[06:05:53]   3200/18401동 | 92,690건 | 1875s
[06:06:38]   3300/18401동 | 93,284건 | 1921s
[06:07:30]   3400/18401동 | 94,511건 | 1972s
[06:08:47]   3500/18401동 | 96,616건 | 2050s
[06:09:51]   3600/18401동 | 96,727건 | 2113s
[06:10:30]   3700/18401동 | 96,779건 | 2152s
[06:10:32]   3800/18401동 | 96,779건 | 2154s
[06:10:36]   3900/18401동 | 96,863건 | 2158s
[06:11:20]   4000/18401동 | 98,684건 | 2202s
[06:11:28]   4100/18401동 | 98,894건 | 2210s
[06:11:31]   4200/18401동 | 99,130건 | 2214s
[06:11:38]   4300/18401동 | 99,226건 | 2221s
[06:11:46]   4400/18401동 | 99,232건 | 2229s
[06:12:17]   4500/18401동 | 100,517건 | 2260s
[06:12:29]   4600/18401동 | 100,626건 | 2271s
[06:12:34]   4700/18401동 | 100,707건 | 2276s
[06:12:37]   4800/18401동 | 100,707건 | 2279s
[06:12:40]   4900/18401동 | 100,747건 | 2282s
[06:12:43]   5000/18401동 | 100,752건 | 2285s
[06:12:45]   5100/18401동 | 100,752건 | 2287s
[06:12:48]   5200/18401동 | 100,752건 | 2290s
[06:12:51]   5300/18401동 | 100,755건 | 2293s
[06:12:55]   5400/18401동 | 100,755건 | 2297s
[06:13:13]   5500/18401동 | 100,945건 | 2316s
[06:13:25]   5600/18401동 | 100,947건 | 2327s
[06:13:33]   5700/18401동 | 101,080건 | 2336s
[06:13:48]   5800/18401동 | 101,083건 | 2350s
[06:13:51]   5900/18401동 | 101,083건 | 2353s
[06:14:08]   6000/18401동 | 101,687건 | 2370s
[06:14:39]   6100/18401동 | 103,445건 | 2402s
[06:14:54]   6200/18401동 | 103,575건 | 2416s
[06:14:57]   6300/18401동 | 103,596건 | 2419s
[06:14:59]   6400/18401동 | 103,596건 | 2421s
[06:15:02]   6500/18401동 | 103,612건 | 2424s
[06:15:05]   6600/18401동 | 103,635건 | 2427s
[06:15:08]   6700/18401동 | 103,635건 | 2430s
[06:16:35]   6800/18401동 | 106,509건 | 2517s
[06:18:24]   6900/18401동 | 106,664건 | 2626s
[06:18:31]   7000/18401동 | 106,811건 | 2633s
[06:18:39]   7100/18401동 | 106,811건 | 2641s
[06:18:42]   7200/18401동 | 106,875건 | 2645s
[06:18:45]   7300/18401동 | 106,875건 | 2648s
[06:18:49]   7400/18401동 | 106,890건 | 2651s
[06:18:53]   7500/18401동 | 106,969건 | 2655s
[06:19:04]   7600/18401동 | 106,969건 | 2667s
[06:19:07]   7700/18401동 | 106,972건 | 2670s
[06:19:11]   7800/18401동 | 106,972건 | 2673s
[06:19:14]   7900/18401동 | 106,972건 | 2677s
[06:19:30]   8000/18401동 | 107,147건 | 2692s
[06:19:35]   8100/18401동 | 107,159건 | 2697s
[06:19:40]   8200/18401동 | 107,231건 | 2702s
[06:19:46]   8300/18401동 | 107,255건 | 2708s
[06:19:51]   8400/18401동 | 107,360건 | 2713s
[06:20:02]   8500/18401동 | 107,511건 | 2724s
[06:20:12]   8600/18401동 | 107,606건 | 2734s
[06:20:16]   8700/18401동 | 107,648건 | 2738s
[06:20:20]   8800/18401동 | 107,850건 | 2742s
[06:20:33]   8900/18401동 | 108,233건 | 2755s
[06:20:41]   9000/18401동 | 108,233건 | 2764s
[06:20:45]   9100/18401동 | 108,233건 | 2767s
[06:20:49]   9200/18401동 | 108,234건 | 2772s
[06:20:53]   9300/18401동 | 108,234건 | 2775s
[06:20:56]   9400/18401동 | 108,241건 | 2779s
[06:20:59]   9500/18401동 | 108,241건 | 2782s
[06:21:03]   9600/18401동 | 108,243건 | 2785s
[06:21:06]   9700/18401동 | 108,243건 | 2788s
[06:21:09]   9800/18401동 | 108,243건 | 2792s
[06:21:15]   9900/18401동 | 108,354건 | 2797s
[06:21:25]   10000/18401동 | 108,356건 | 2807s
[06:21:28]   10100/18401동 | 108,358건 | 2811s
