[07:26:04] 캐시 로드: 0개 완료 항목
[07:26:04] ==============================================================
[07:26:04]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[07:26:04]   precision: 5 → 7 | 세분화 임계: 400건
[07:26:04]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260924
[07:26:04] ==============================================================
[07:26:04] 지오해시 타일: 16891개 (precision=5)
[07:26:04] 
[1/3] 아파트 수집 ─────────────────────────────────
[07:26:15]   읍면동 18401개 확인
[07:26:22]   100/18401동 | 259건 | 19s
[07:26:59]   200/18401동 | 2,834건 | 56s
[07:27:11]   300/18401동 | 3,746건 | 68s
[07:28:06]   400/18401동 | 8,206건 | 122s
[07:29:32]   500/18401동 | 14,846건 | 208s
[07:30:40]   600/18401동 | 19,940건 | 276s
[07:32:45]   700/18401동 | 27,158건 | 401s
[07:34:35]   800/18401동 | 28,706건 | 511s
[07:35:01]   900/18401동 | 31,413건 | 537s
[07:35:41]   1000/18401동 | 34,204건 | 577s
[07:36:33]   1100/18401동 | 36,493건 | 630s
[07:37:23]   1200/18401동 | 39,312건 | 679s
[07:39:16]   1300/18401동 | 47,561건 | 792s
[07:39:49]   1400/18401동 | 50,436건 | 826s
[07:40:33]   1500/18401동 | 51,608건 | 869s
[07:40:56]   1600/18401동 | 53,413건 | 893s
[07:41:35]   1700/18401동 | 55,318건 | 932s
[07:42:25]   1800/18401동 | 58,731건 | 982s
[07:43:43]   1900/18401동 | 64,455건 | 1059s
[07:44:28]   2000/18401동 | 64,456건 | 1105s
[07:44:58]   2100/18401동 | 65,543건 | 1135s
[07:45:35]   2200/18401동 | 67,111건 | 1171s
[07:46:29]   2300/18401동 | 70,406건 | 1225s
[07:48:53]   2400/18401동 | 80,685건 | 1370s
[07:50:40]   2500/18401동 | 80,732건 | 1477s
[07:53:35]   2600/18401동 | 87,166건 | 1651s
[07:54:55]   2700/18401동 | 91,293건 | 1732s
[07:55:50]   2800/18401동 | 94,127건 | 1786s
[07:56:21]   2900/18401동 | 94,713건 | 1818s
[07:57:04]   3000/18401동 | 94,998건 | 1860s
[07:58:09]   3100/18401동 | 98,001건 | 1925s
[07:58:30]   3200/18401동 | 98,465건 | 1947s
[07:59:04]   3300/18401동 | 100,147건 | 1980s
[07:59:57]   3400/18401동 | 100,148건 | 2033s
[08:00:32]   3500/18401동 | 100,505건 | 2068s
[08:01:12]   3600/18401동 | 101,499건 | 2108s
[08:01:30]   3700/18401동 | 102,928건 | 2127s
[08:01:34]   3800/18401동 | 102,943건 | 2131s
[08:02:10]   3900/18401동 | 103,846건 | 2166s
[08:02:43]   4000/18401동 | 103,869건 | 2199s
[08:02:51]   4100/18401동 | 103,976건 | 2207s
[08:03:03]   4200/18401동 | 104,398건 | 2219s
[08:03:05]   4300/18401동 | 104,398건 | 2221s
[08:03:50]   4400/18401동 | 105,484건 | 2267s
[08:03:58]   4500/18401동 | 105,721건 | 2274s
[08:04:03]   4600/18401동 | 106,056건 | 2279s
[08:04:06]   4700/18401동 | 106,056건 | 2283s
[08:04:09]   4800/18401동 | 106,076건 | 2286s
[08:04:13]   4900/18401동 | 106,126건 | 2289s
[08:04:15]   5000/18401동 | 106,152건 | 2291s
[08:04:17]   5100/18401동 | 106,152건 | 2294s
[08:04:24]   5200/18401동 | 106,277건 | 2300s
[08:04:37]   5300/18401동 | 106,347건 | 2314s
[08:04:40]   5400/18401동 | 106,347건 | 2317s
[08:04:43]   5500/18401동 | 106,350건 | 2319s
[08:04:46]   5600/18401동 | 106,350건 | 2322s
[08:04:52]   5700/18401동 | 106,503건 | 2328s
[08:05:07]   5800/18401동 | 106,506건 | 2343s
[08:05:09]   5900/18401동 | 106,506건 | 2346s
[08:05:12]   6000/18401동 | 106,527건 | 2349s
[08:05:15]   6100/18401동 | 106,527건 | 2351s
[08:07:57]   6200/18401동 | 109,193건 | 2513s
[08:08:18]   6300/18401동 | 109,878건 | 2534s
[08:08:39]   6400/18401동 | 110,675건 | 2556s
[08:08:53]   6500/18401동 | 111,821건 | 2570s
