[06:08:02] 캐시 로드: 0개 완료 항목
[06:08:02] ==============================================================
[06:08:02]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:08:02]   precision: 5 → 7 | 세분화 임계: 400건
[06:08:02]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260710
[06:08:02] ==============================================================
[06:08:02] 지오해시 타일: 16891개 (precision=5)
[06:08:02] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:08:12]   읍면동 18401개 확인
[06:08:21]   100/18401동 | 498건 | 20s
[06:08:38]   200/18401동 | 1,379건 | 36s
[06:09:05]   300/18401동 | 3,017건 | 63s
[06:09:43]   400/18401동 | 6,599건 | 101s
[06:10:57]   500/18401동 | 12,738건 | 176s
[06:12:25]   600/18401동 | 19,509건 | 264s
[06:14:53]   700/18401동 | 23,002건 | 412s
[06:15:39]   800/18401동 | 26,933건 | 458s
[06:16:29]   900/18401동 | 29,784건 | 507s
[06:17:10]   1000/18401동 | 32,936건 | 548s
[06:17:25]   1100/18401동 | 32,936건 | 563s
[06:18:08]   1200/18401동 | 36,219건 | 606s
[06:20:32]   1300/18401동 | 45,410건 | 751s
[06:20:53]   1400/18401동 | 47,548건 | 772s
[06:21:22]   1500/18401동 | 49,356건 | 800s
[06:21:54]   1600/18401동 | 51,034건 | 833s
[06:22:21]   1700/18401동 | 52,608건 | 859s
[06:22:51]   1800/18401동 | 54,377건 | 890s
[06:23:18]   1900/18401동 | 54,568건 | 916s
[06:24:04]   2000/18401동 | 57,273건 | 962s
[06:25:24]   2100/18401동 | 60,272건 | 1042s
[06:25:55]   2200/18401동 | 62,221건 | 1073s
[06:27:19]   2300/18401동 | 69,556건 | 1157s
[06:29:25]   2400/18401동 | 71,869건 | 1284s
[06:30:48]   2500/18401동 | 76,380건 | 1366s
[06:33:32]   2600/18401동 | 81,449건 | 1530s
[06:34:47]   2700/18401동 | 86,315건 | 1606s
[06:35:08]   2800/18401동 | 86,315건 | 1626s
[06:36:07]   2900/18401동 | 88,778건 | 1685s
[06:36:33]   3000/18401동 | 89,165건 | 1711s
[06:36:54]   3100/18401동 | 90,150건 | 1733s
[06:37:01]   3200/18401동 | 90,373건 | 1739s
[06:37:04]   3300/18401동 | 90,440건 | 1743s
[06:37:21]   3400/18401동 | 91,045건 | 1760s
[06:38:00]   3500/18401동 | 91,053건 | 1799s
[06:38:15]   3600/18401동 | 91,072건 | 1813s
[06:39:10]   3700/18401동 | 93,364건 | 1868s
[06:40:07]   3800/18401동 | 94,370건 | 1925s
[06:41:19]   3900/18401동 | 97,134건 | 1997s
[06:42:24]   4000/18401동 | 98,381건 | 2062s
[06:43:08]   4100/18401동 | 98,398건 | 2106s
[06:43:14]   4200/18401동 | 98,623건 | 2113s
[06:43:21]   4300/18401동 | 98,936건 | 2119s
[06:43:25]   4400/18401동 | 98,959건 | 2123s
[06:43:29]   4500/18401동 | 99,001건 | 2128s
[06:43:32]   4600/18401동 | 99,001건 | 2130s
[06:43:41]   4700/18401동 | 99,124건 | 2140s
[06:43:59]   4800/18401동 | 100,046건 | 2157s
[06:44:30]   4900/18401동 | 100,477건 | 2188s
[06:44:33]   5000/18401동 | 100,499건 | 2191s
[06:44:36]   5100/18401동 | 100,499건 | 2194s
[06:44:56]   5200/18401동 | 100,672건 | 2215s
[06:44:59]   5300/18401동 | 100,672건 | 2217s
[06:45:02]   5400/18401동 | 100,672건 | 2220s
[06:45:04]   5500/18401동 | 100,672건 | 2223s
[06:45:06]   5600/18401동 | 100,672건 | 2225s
[06:45:09]   5700/18401동 | 100,676건 | 2228s
[06:45:27]   5800/18401동 | 101,493건 | 2245s
[06:45:43]   5900/18401동 | 102,686건 | 2261s
[06:45:56]   6000/18401동 | 102,766건 | 2274s
[06:45:58]   6100/18401동 | 102,769건 | 2277s
[06:46:21]   6200/18401동 | 104,528건 | 2299s
[06:49:25]   6300/18401동 | 105,769건 | 2484s
[06:49:41]   6400/18401동 | 106,454건 | 2500s
[06:49:47]   6500/18401동 | 106,474건 | 2505s
[06:49:51]   6600/18401동 | 106,562건 | 2509s
[06:49:56]   6700/18401동 | 106,627건 | 2514s
[06:50:09]   6800/18401동 | 106,864건 | 2527s
[06:50:14]   6900/18401동 | 106,864건 | 2533s
[06:50:17]   7000/18401동 | 106,898건 | 2536s
[06:50:20]   7100/18401동 | 106,898건 | 2538s
[06:50:24]   7200/18401동 | 106,948건 | 2542s
[06:50:27]   7300/18401동 | 106,948건 | 2545s
[06:50:30]   7400/18401동 | 106,958건 | 2548s
[06:50:32]   7500/18401동 | 106,959건 | 2550s
[06:50:36]   7600/18401동 | 106,959건 | 2554s
[06:50:39]   7700/18401동 | 106,959건 | 2557s
[06:50:54]   7800/18401동 | 107,143건 | 2572s
[06:50:57]   7900/18401동 | 107,143건 | 2575s
[06:51:02]   8000/18401동 | 107,266건 | 2580s
[06:51:10]   8100/18401동 | 107,266건 | 2588s
[06:51:13]   8200/18401동 | 107,331건 | 2591s
[06:51:22]   8300/18401동 | 107,334건 | 2601s
[06:51:28]   8400/18401동 | 107,427건 | 2607s
[06:51:37]   8500/18401동 | 107,752건 | 2615s
[06:51:47]   8600/18401동 | 108,079건 | 2626s
[06:51:54]   8700/18401동 | 108,079건 | 2632s
[06:52:01]   8800/18401동 | 108,225건 | 2639s
[06:52:04]   8900/18401동 | 108,232건 | 2643s
[06:52:07]   9000/18401동 | 108,232건 | 2645s
[06:52:10]   9100/18401동 | 108,233건 | 2648s
[06:52:13]   9200/18401동 | 108,239건 | 2651s
[06:52:17]   9300/18401동 | 108,239건 | 2655s
[06:52:20]   9400/18401동 | 108,240건 | 2658s
[06:52:23]   9500/18401동 | 108,240건 | 2662s
[06:52:27]   9600/18401동 | 108,244건 | 2665s
[06:52:30]   9700/18401동 | 108,244건 | 2669s
[06:52:33]   9800/18401동 | 108,244건 | 2671s
[06:52:36]   9900/18401동 | 108,245건 | 2674s
[06:52:39]   10000/18401동 | 108,245건 | 2677s
[06:52:41]   10100/18401동 | 108,248건 | 2680s
[06:52:52]   10200/18401동 | 108,368건 | 2690s
[06:52:57]   10300/18401동 | 108,368건 | 2696s
[06:53:01]   10400/18401동 | 108,370건 | 2699s
[06:53:04]   10500/18401동 | 108,370건 | 2703s
[06:53:07]   10600/18401동 | 108,373건 | 2706s
[06:53:15]   10700/18401동 | 108,452건 | 2713s
[06:53:18]   10800/18401동 | 108,452건 | 2716s
[06:53:22]   10900/18401동 | 108,452건 | 2720s
[06:53:25]   11000/18401동 | 108,452건 | 2724s
[06:54:11]   11100/18401동 | 109,778건 | 2770s
[06:55:53]   11200/18401동 | 112,402건 | 2872s
[06:56:17]   11300/18401동 | 112,412건 | 2895s
[06:56:20]   11400/18401동 | 112,419건 | 2899s
[06:56:26]   11500/18401동 | 112,523건 | 2904s
[06:56:34]   11600/18401동 | 112,641건 | 2912s
[06:56:52]   11700/18401동 | 112,641건 | 2930s
[06:56:54]   11800/18401동 | 112,661건 | 2933s
[06:56:58]   11900/18401동 | 112,669건 | 2936s
[06:57:00]   12000/18401동 | 112,674건 | 2939s
[06:57:02]   12100/18401동 | 112,674건 | 2941s
[06:57:06]   12200/18401동 | 112,686건 | 2944s
[06:57:09]   12300/18401동 | 112,686건 | 2947s
[06:57:13]   12400/18401동 | 112,725건 | 2951s
[06:57:16]   12500/18401동 | 112,725건 | 2954s
[06:57:19]   12600/18401동 | 112,777건 | 2957s
[06:57:33]   12700/18401동 | 113,111건 | 2971s
[06:57:44]   12800/18401동 | 113,112건 | 2982s
[06:57:47]   12900/18401동 | 113,112건 | 2985s
[06:57:50]   13000/18401동 | 113,112건 | 2988s
[06:57:54]   13100/18401동 | 113,112건 | 2992s
[06:57:57]   13200/18401동 | 113,112건 | 2996s
[06:58:05]   13300/18401동 | 113,485건 | 3004s
[06:58:09]   13400/18401동 | 113,485건 | 3008s
[06:58:12]   13500/18401동 | 113,485건 | 3011s
[06:58:15]   13600/18401동 | 113,487건 | 3013s
[06:58:19]   13700/18401동 | 113,488건 | 3017s
[06:58:23]   13800/18401동 | 113,552건 | 3022s
[06:58:28]   13900/18401동 | 113,552건 | 3026s
[06:58:31]   14000/18401동 | 113,552건 | 3029s
[06:58:35]   14100/18401동 | 113,553건 | 3034s
[06:58:46]   14200/18401동 | 114,157건 | 3044s
[06:58:53]   14300/18401동 | 114,262건 | 3051s
[06:58:55]   14400/18401동 | 114,275건 | 3054s
[06:59:17]   14500/18401동 | 114,943건 | 3075s
[06:59:33]   14600/18401동 | 115,761건 | 3092s
[06:59:41]   14700/18401동 | 116,047건 | 3100s
[06:59:52]   14800/18401동 | 116,284건 | 3111s
[06:59:59]   14900/18401동 | 116,284건 | 3118s
[07:00:07]   15000/18401동 | 116,355건 | 3125s
[07:01:02]   15100/18401동 | 118,790건 | 3181s
[07:01:45]   15200/18401동 | 118,790건 | 3223s
[07:01:49]   15300/18401동 | 118,799건 | 3227s
[07:01:52]   15400/18401동 | 118,802건 | 3231s
[07:01:55]   15500/18401동 | 118,802건 | 3234s
[07:01:59]   15600/18401동 | 118,808건 | 3237s
[07:02:04]   15700/18401동 | 118,808건 | 3242s
[07:02:19]   15800/18401동 | 119,310건 | 3258s
[07:03:17]   15900/18401동 | 120,359건 | 3315s
[07:03:19]   16000/18401동 | 120,360건 | 3318s
[07:03:23]   16100/18401동 | 120,360건 | 3322s
[07:03:27]   16200/18401동 | 120,360건 | 3325s
[07:03:30]   16300/18401동 | 120,364건 | 3329s
[07:03:34]   16400/18401동 | 120,364건 | 3333s
[07:03:41]   16500/18401동 | 120,585건 | 3339s
[07:03:45]   16600/18401동 | 120,633건 | 3343s
[07:03:48]   16700/18401동 | 120,633건 | 3347s
[07:04:14]   16800/18401동 | 121,491건 | 3373s
[07:04:55]   16900/18401동 | 122,783건 | 3414s
[07:05:22]   17000/18401동 | 122,937건 | 3441s
[07:05:26]   17100/18401동 | 122,937건 | 3444s
[07:05:29]   17200/18401동 | 122,937건 | 3448s
[07:05:36]   17300/18401동 | 123,120건 | 3454s
[07:05:38]   17400/18401동 | 123,121건 | 3457s
[07:05:45]   17500/18401동 | 123,178건 | 3463s
[07:05:49]   17600/18401동 | 123,206건 | 3467s
[07:05:52]   17700/18401동 | 123,211건 | 3470s
[07:05:55]   17800/18401동 | 123,220건 | 3473s
[07:05:59]   17900/18401동 | 123,220건 | 3478s
[07:06:03]   18000/18401동 | 123,221건 | 3481s
[07:06:06]   18100/18401동 | 123,223건 | 3484s
[07:06:12]   18200/18401동 | 123,277건 | 3490s
[07:06:14]   18300/18401동 | 123,291건 | 3492s
[07:06:17]   18400/18401동 | 123,291건 | 3495s
[07:06:17]   18401/18401동 | 123,291건 | 3495s
[07:06:18] 💾 저장: 직방_아파트_20260710_060802.csv (123,291건)
[07:06:18] 
[2/3] 원룸·빌라투룸·오피스텔 수집 (적응형) ──────────
[07:06:18]   작업: 50673개 (타일 × 유형)
[07:06:25]   100/50673 타일 | 0건 | 3503s
[07:06:30]   200/50673 타일 | 0건 | 3508s
[07:06:35]   300/50673 타일 | 0건 | 3514s
[07:06:40]   400/50673 타일 | 0건 | 3518s
[07:06:45]   500/50673 타일 | 0건 | 3523s
[07:06:50]   600/50673 타일 | 0건 | 3528s
[07:06:55]   700/50673 타일 | 0건 | 3534s
[07:07:00]   800/50673 타일 | 29건 | 3539s
[07:07:06]   900/50673 타일 | 62건 | 3545s
[07:07:12]   1000/50673 타일 | 67건 | 3550s
[07:07:17]   1100/50673 타일 | 78건 | 3556s
[07:07:22]   1200/50673 타일 | 78건 | 3561s
[07:07:28]   1300/50673 타일 | 78건 | 3566s
[07:07:33]   1400/50673 타일 | 78건 | 3572s
[07:07:38]   1500/50673 타일 | 78건 | 3576s
[07:07:42]   1600/50673 타일 | 78건 | 3581s
[07:07:48]   1700/50673 타일 | 78건 | 3586s
[07:07:54]   1800/50673 타일 | 78건 | 3592s
[07:08:00]   1900/50673 타일 | 78건 | 3598s
[07:08:05]   2000/50673 타일 | 78건 | 3603s
[07:08:12]   2100/50673 타일 | 78건 | 3610s
[07:08:16]   2200/50673 타일 | 78건 | 3615s
[07:08:21]   2300/50673 타일 | 78건 | 3620s
[07:08:26]   2400/50673 타일 | 78건 | 3625s
[07:08:32]   2500/50673 타일 | 78건 | 3631s
[07:08:37]   2600/50673 타일 | 78건 | 3635s
[07:08:43]   2700/50673 타일 | 78건 | 3641s
[07:08:47]   2800/50673 타일 | 78건 | 3646s
[07:08:52]   2900/50673 타일 | 78건 | 3651s
[07:08:57]   3000/50673 타일 | 78건 | 3656s
[07:09:02]   3100/50673 타일 | 78건 | 3661s
[07:09:07]   3200/50673 타일 | 93건 | 3665s
[07:09:12]   3300/50673 타일 | 93건 | 3670s
[07:09:17]   3400/50673 타일 | 93건 | 3675s
[07:09:22]   3500/50673 타일 | 93건 | 3681s
[07:09:27]   3600/50673 타일 | 93건 | 3685s
[07:09:32]   3700/50673 타일 | 101건 | 3690s
[07:09:37]   3800/50673 타일 | 109건 | 3696s
[07:09:43]   3900/50673 타일 | 109건 | 3701s
[07:09:49]   4000/50673 타일 | 109건 | 3707s
[07:09:54]   4100/50673 타일 | 109건 | 3712s
[07:10:00]   4200/50673 타일 | 109건 | 3718s
[07:10:05]   4300/50673 타일 | 109건 | 3724s
[07:10:11]   4400/50673 타일 | 109건 | 3729s
[07:10:16]   4500/50673 타일 | 109건 | 3734s
[07:10:21]   4600/50673 타일 | 109건 | 3740s
[07:10:26]   4700/50673 타일 | 109건 | 3745s
[07:10:31]   4800/50673 타일 | 109건 | 3750s
[07:10:38]   4900/50673 타일 | 109건 | 3756s
[07:10:43]   5000/50673 타일 | 109건 | 3761s
[07:10:48]   5100/50673 타일 | 109건 | 3767s
[07:10:53]   5200/50673 타일 | 110건 | 3772s
[07:10:58]   5300/50673 타일 | 111건 | 3777s
[07:11:04]   5400/50673 타일 | 111건 | 3782s
[07:11:08]   5500/50673 타일 | 111건 | 3787s
[07:11:13]   5600/50673 타일 | 111건 | 3792s
[07:11:18]   5700/50673 타일 | 111건 | 3797s
[07:11:23]   5800/50673 타일 | 111건 | 3802s
[07:11:28]   5900/50673 타일 | 111건 | 3807s
[07:11:34]   6000/50673 타일 | 145건 | 3812s
[07:11:39]   6100/50673 타일 | 151건 | 3818s
[07:11:45]   6200/50673 타일 | 200건 | 3823s
[07:11:50]   6300/50673 타일 | 247건 | 3829s
[07:11:55]   6400/50673 타일 | 247건 | 3834s
[07:12:00]   6500/50673 타일 | 247건 | 3838s
[07:12:06]   6600/50673 타일 | 247건 | 3844s
[07:12:11]   6700/50673 타일 | 247건 | 3849s
[07:12:16]   6800/50673 타일 | 247건 | 3854s
[07:12:20]   6900/50673 타일 | 247건 | 3859s
[07:12:26]   7000/50673 타일 | 247건 | 3864s
[07:12:32]   7100/50673 타일 | 261건 | 3871s
[07:12:37]   7200/50673 타일 | 261건 | 3876s
[07:12:43]   7300/50673 타일 | 284건 | 3882s
[07:12:47]     🔍 세분화: 원룸/wy60p → 434건 (p5→6)
[07:12:50]   7400/50673 타일 | 308건 | 3888s
[07:12:55]   7500/50673 타일 | 308건 | 3894s
[07:13:02]   7600/50673 타일 | 327건 | 3900s
[07:13:07]   7700/50673 타일 | 329건 | 3905s
[07:13:12]   7800/50673 타일 | 329건 | 3911s
[07:13:16]     🔍 세분화: 원룸/wy6he → 475건 (p5→6)
[07:13:18]   7900/50673 타일 | 354건 | 3916s
[07:13:25]   8000/50673 타일 | 393건 | 3924s
[07:13:31]   8100/50673 타일 | 394건 | 3930s
[07:13:37]   8200/50673 타일 | 407건 | 3936s
[07:13:40]     🔍 세분화: 원룸/wy6wc → 690건 (p5→6)
[07:13:40]     🔍 세분화: 원룸/wy6wd → 668건 (p5→6)
[07:13:40]     🔍 세분화: 원룸/wy6we → 419건 (p5→6)
[07:13:40]     🔍 세분화: 원룸/wy6wf → 1060건 (p5→6)
[07:13:42]     🔍 세분화: 원룸/wy6ws → 478건 (p5→6)
[07:13:49]   8300/50673 타일 | 434건 | 3947s
[07:14:00]   8400/50673 타일 | 454건 | 3958s
[07:14:06]   8500/50673 타일 | 475건 | 3964s
[07:14:11]   8600/50673 타일 | 482건 | 3970s
[07:14:14]     🔍 세분화: 원룸/wy78k → 491건 (p5→6)
[07:14:14]     🔍 세분화: 원룸/wy78p → 437건 (p5→6)
[07:14:15]     🔍 세분화: 원룸/wy78r → 492건 (p5→6)
[07:14:22]   8700/50673 타일 | 539건 | 3980s
[07:14:31]     🔍 세분화: 원룸/wy7ec → 622건 (p5→6)
[07:14:31]   8800/50673 타일 | 626건 | 3990s
[07:14:38]   8900/50673 타일 | 671건 | 3996s
[07:14:42]     🔍 세분화: 원룸/wy7kn → 690건 (p5→6)
[07:14:44]     🔍 세분화: 원룸/wy7m2 → 608건 (p5→6)
[07:14:47]   9000/50673 타일 | 727건 | 4005s
[07:14:54]   9100/50673 타일 | 730건 | 4013s
[07:15:01]   9200/50673 타일 | 766건 | 4019s
[07:15:06]   9300/50673 타일 | 785건 | 4025s
[07:15:11]   9400/50673 타일 | 795건 | 4030s
[07:15:16]   9500/50673 타일 | 795건 | 4035s
[07:15:22]   9600/50673 타일 | 795건 | 4041s
[07:15:27]   9700/50673 타일 | 795건 | 4046s
[07:15:32]   9800/50673 타일 | 795건 | 4051s
[07:15:37]   9900/50673 타일 | 795건 | 4056s
[07:15:44]   10000/50673 타일 | 795건 | 4062s
[07:15:49]   10100/50673 타일 | 795건 | 4067s
[07:15:54]   10200/50673 타일 | 795건 | 4072s
[07:15:59]   10300/50673 타일 | 795건 | 4077s
[07:16:04]   10400/50673 타일 | 795건 | 4083s
[07:16:10]   10500/50673 타일 | 795건 | 4089s
[07:16:15]   10600/50673 타일 | 795건 | 4094s
[07:16:20]   10700/50673 타일 | 795건 | 4099s
[07:16:26]   10800/50673 타일 | 816건 | 4105s
[07:16:31]   10900/50673 타일 | 816건 | 4109s
[07:16:36]   11000/50673 타일 | 816건 | 4114s
[07:16:41]   11100/50673 타일 | 816건 | 4119s
[07:16:46]   11200/50673 타일 | 816건 | 4124s
[07:16:51]   11300/50673 타일 | 816건 | 4129s
[07:16:56]   11400/50673 타일 | 816건 | 4134s
[07:17:01]   11500/50673 타일 | 816건 | 4140s
[07:17:06]   11600/50673 타일 | 816건 | 4145s
[07:17:11]   11700/50673 타일 | 816건 | 4150s
[07:17:17]   11800/50673 타일 | 824건 | 4155s
[07:17:22]     🔍 세분화: 원룸/wyd3k → 434건 (p5→6)
[07:17:23]     🔍 세분화: 원룸/wyd3m → 586건 (p5→6)
[07:17:23]   11900/50673 타일 | 863건 | 4161s
[07:17:23]     🔍 세분화: 원룸/wyd3t → 691건 (p5→6)
[07:17:34]   12000/50673 타일 | 955건 | 4173s
[07:17:36]     🔍 세분화: 원룸/wyd77 → 1124건 (p5→6)
[07:17:36]     🔍 세분화: 원룸/wyd7d → 554건 (p5→6)
[07:17:37]     🔍 세분화: 원룸/wyd7f → 563건 (p5→6)
[07:17:37]     🔍 세분화: 원룸/wyd7g → 570건 (p5→6)
[07:17:39]     🔍 세분화: 원룸/wyd7s → 493건 (p5→6)
[07:17:44]     🔍 세분화: 원룸/wyd8k → 593건 (p5→6)
[07:17:47]     🔍 세분화: 원룸/wyd8t → 472건 (p5→6)
[07:17:55]   12100/50673 타일 | 1,070건 | 4194s
[07:18:03]   12200/50673 타일 | 1,131건 | 4201s
[07:18:09]   12300/50673 타일 | 1,203건 | 4207s
[07:18:09]     🔍 세분화: 원룸/wydh5 → 462건 (p5→6)
[07:18:10]     🔍 세분화: 원룸/wydhk → 598건 (p5→6)
[07:18:14]     🔍 세분화: 원룸/wydj4 → 796건 (p5→6)
[07:18:14]     🔍 세분화: 원룸/wydj7 → 617건 (p5→6)
[07:18:15]     🔍 세분화: 원룸/wydj9 → 410건 (p5→6)
[07:18:19]     🔍 세분화: 원룸/wydjp → 616건 (p5→6)
[07:18:20]     🔍 세분화: 원룸/wydjr → 814건 (p5→6)
[07:18:24]     🔍 세분화: 원룸/wydjw → 519건 (p5→6)
[07:18:29]     🔍 세분화: 원룸/wydk4 → 560건 (p5→6)
[07:18:35]     🔍 세분화: 원룸/wydm2 → 522건 (p5→6)
[07:18:35]     🔍 세분화: 원룸/wydm0 → 597건 (p5→6)
[07:18:36]     🔍 세분화: 원룸/wydm6 → 1303건 (p5→6)
[07:18:37]     🔍 세분화: 원룸/wydm8 → 845건 (p5→6)
[07:18:39]   12400/50673 타일 | 1,356건 | 4237s
[07:18:39]     🔍 세분화: 원룸/wydmd → 481건 (p5→6)
[07:18:39]     🔍 세분화: 원룸/wydme → 1000건 (p5→6)
[07:18:41]     🔍 세분화: 원룸/wydmf → 1110건 (p5→6)
[07:18:44]     🔍 세분화: 원룸/wydmg → 1360건 (p5→6)
[07:18:50]     🔍 세분화: 원룸/wydmk → 444건 (p5→6)
[07:18:55]     🔍 세분화: 원룸/wydmw → 473건 (p5→6)
[07:18:56]     🔍 세분화: 원룸/wydn1 → 557건 (p5→6)
[07:19:05]     🔍 세분화: 원룸/wydq4 → 535건 (p5→6)
[07:19:06]   12500/50673 타일 | 1,397건 | 4264s
[07:19:15]   12600/50673 타일 | 1,473건 | 4273s
[07:19:22]   12700/50673 타일 | 1,522건 | 4280s
[07:19:27]   12800/50673 타일 | 1,550건 | 4286s
[07:19:33]   12900/50673 타일 | 1,555건 | 4291s
[07:19:38]   13000/50673 타일 | 1,566건 | 4297s
[07:19:43]   13100/50673 타일 | 1,576건 | 4302s
[07:19:48]   13200/50673 타일 | 1,576건 | 4307s
[07:19:53]   13300/50673 타일 | 1,576건 | 4311s
[07:19:58]   13400/50673 타일 | 1,576건 | 4316s
[07:20:03]   13500/50673 타일 | 1,576건 | 4321s
[07:20:08]   13600/50673 타일 | 1,576건 | 4326s
[07:20:13]   13700/50673 타일 | 1,577건 | 4331s
[07:20:18]   13800/50673 타일 | 1,589건 | 4336s
[07:20:24]   13900/50673 타일 | 1,589건 | 4343s
[07:20:29]   14000/50673 타일 | 1,589건 | 4348s
[07:20:34]   14100/50673 타일 | 1,589건 | 4353s
[07:20:40]   14200/50673 타일 | 1,589건 | 4358s
[07:20:45]   14300/50673 타일 | 1,589건 | 4363s
[07:20:50]   14400/50673 타일 | 1,589건 | 4368s
[07:20:55]   14500/50673 타일 | 1,589건 | 4373s
[07:21:00]   14600/50673 타일 | 1,589건 | 4378s
[07:21:05]   14700/50673 타일 | 1,589건 | 4384s
[07:21:10]   14800/50673 타일 | 1,589건 | 4389s
[07:21:15]   14900/50673 타일 | 1,589건 | 4393s
[07:21:21]   15000/50673 타일 | 1,589건 | 4400s
[07:21:26]   15100/50673 타일 | 1,589건 | 4405s
