[06:45:30] 캐시 로드: 0개 완료 항목
[06:45:30] ==============================================================
[06:45:30]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:45:30]   precision: 5 → 7 | 세분화 임계: 400건
[06:45:30]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260602
[06:45:30] ==============================================================
[06:45:30] 지오해시 타일: 16891개 (precision=5)
[06:45:30] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:45:41]   읍면동 18401개 확인
[06:45:55]   100/18401동 | 560건 | 25s
[06:46:15]   200/18401동 | 1,874건 | 45s
[06:46:38]   300/18401동 | 3,457건 | 68s
[06:47:08]   400/18401동 | 6,011건 | 99s
[06:48:21]   500/18401동 | 12,270건 | 172s
[06:49:55]   600/18401동 | 19,701건 | 266s
[06:51:07]   700/18401동 | 25,025건 | 337s
[06:52:42]   800/18401동 | 25,673건 | 432s
[06:53:49]   900/18401동 | 30,050건 | 499s
[06:54:29]   1000/18401동 | 30,736건 | 539s
[06:56:01]   1100/18401동 | 35,546건 | 631s
[06:56:07]   1200/18401동 | 38,329건 | 638s
[06:57:40]   1300/18401동 | 43,517건 | 731s
[06:57:48]   1400/18401동 | 43,553건 | 738s
[06:58:45]   1500/18401동 | 47,928건 | 796s
[06:59:03]   1600/18401동 | 48,612건 | 814s
[06:59:36]   1700/18401동 | 50,784건 | 847s
[07:00:33]   1800/18401동 | 54,496건 | 904s
[07:01:06]   1900/18401동 | 56,220건 | 937s
[07:01:38]   2000/18401동 | 56,220건 | 969s
[07:02:58]   2100/18401동 | 59,197건 | 1048s
[07:03:37]   2200/18401동 | 61,966건 | 1088s
[07:05:51]   2300/18401동 | 71,501건 | 1222s
[07:07:35]   2400/18401동 | 71,547건 | 1325s
[07:08:38]   2500/18401동 | 76,270건 | 1389s
[07:11:29]   2600/18401동 | 82,014건 | 1559s
[07:13:02]   2700/18401동 | 86,751건 | 1653s
[07:13:47]   2800/18401동 | 88,127건 | 1698s
[07:15:14]   2900/18401동 | 91,785건 | 1785s
[07:15:52]   3000/18401동 | 92,222건 | 1822s
[07:16:16]   3100/18401동 | 92,543건 | 1846s
[07:16:24]   3200/18401동 | 92,607건 | 1855s
[07:17:06]   3300/18401동 | 93,145건 | 1896s
[07:17:45]   3400/18401동 | 94,096건 | 1935s
[07:18:53]   3500/18401동 | 95,169건 | 2003s
[07:19:40]   3600/18401동 | 95,829건 | 2051s
[07:20:39]   3700/18401동 | 96,312건 | 2109s
[07:21:21]   3800/18401동 | 98,262건 | 2152s
[07:21:28]   3900/18401동 | 98,304건 | 2158s
[07:21:31]   4000/18401동 | 98,342건 | 2162s
[07:21:34]   4100/18401동 | 98,360건 | 2165s
[07:21:51]   4200/18401동 | 99,229건 | 2182s
[07:22:13]   4300/18401동 | 99,337건 | 2203s
[07:22:22]   4400/18401동 | 99,447건 | 2213s
[07:22:30]   4500/18401동 | 99,664건 | 2221s
[07:22:34]   4600/18401동 | 99,920건 | 2224s
[07:22:36]   4700/18401동 | 99,920건 | 2226s
