[05:30:21] 캐시 로드: 0개 완료 항목
[05:30:21] ==============================================================
[05:30:21]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:30:21]   precision: 5 → 7 | 세분화 임계: 400건
[05:30:21]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260516
[05:30:21] ==============================================================
[05:30:21] 지오해시 타일: 16891개 (precision=5)
[05:30:21] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:30:31]   읍면동 18401개 확인
[05:30:54]   100/18401동 | 1,367건 | 33s
[05:31:03]   200/18401동 | 1,727건 | 42s
[05:31:17]   300/18401동 | 2,859건 | 56s
[05:31:57]   400/18401동 | 6,343건 | 96s
[05:33:11]   500/18401동 | 12,495건 | 170s
[05:34:35]   600/18401동 | 19,112건 | 254s
[05:36:25]   700/18401동 | 23,673건 | 364s
[05:37:04]   800/18401동 | 24,515건 | 403s
[05:37:56]   900/18401동 | 28,563건 | 455s
[05:38:43]   1000/18401동 | 31,739건 | 502s
[05:39:11]   1100/18401동 | 31,785건 | 530s
[05:39:37]   1200/18401동 | 33,927건 | 556s
[05:41:46]   1300/18401동 | 43,193건 | 685s
[05:42:00]   1400/18401동 | 43,655건 | 699s
[05:43:02]   1500/18401동 | 47,689건 | 761s
[05:43:38]   1600/18401동 | 49,783건 | 797s
[05:43:51]   1700/18401동 | 50,283건 | 810s
[05:44:41]   1800/18401동 | 53,493건 | 860s
[05:45:24]   1900/18401동 | 56,488건 | 904s
[05:45:55]   2000/18401동 | 56,734건 | 934s
[05:46:52]   2100/18401동 | 59,683건 | 991s
[05:47:51]   2200/18401동 | 61,698건 | 1050s
[05:49:06]   2300/18401동 | 68,010건 | 1125s
[05:51:18]   2400/18401동 | 73,519건 | 1257s
[05:53:21]   2500/18401동 | 77,772건 | 1380s
[05:56:02]   2600/18401동 | 81,363건 | 1542s
[05:57:06]   2700/18401동 | 86,581건 | 1605s
[05:58:14]   2800/18401동 | 89,622건 | 1673s
[05:58:44]   2900/18401동 | 90,229건 | 1703s
[05:59:35]   3000/18401동 | 90,229건 | 1754s
[06:00:40]   3100/18401동 | 91,384건 | 1819s
[06:01:31]   3200/18401동 | 93,493건 | 1871s
[06:02:54]   3300/18401동 | 93,495건 | 1953s
[06:03:23]   3400/18401동 | 94,239건 | 1982s
[06:03:47]   3500/18401동 | 94,572건 | 2006s
[06:03:58]   3600/18401동 | 94,572건 | 2018s
[06:05:34]   3700/18401동 | 98,764건 | 2113s
[06:05:41]   3800/18401동 | 98,817건 | 2121s
[06:05:45]   3900/18401동 | 98,851건 | 2124s
[06:05:51]   4000/18401동 | 99,251건 | 2130s
[06:05:57]   4100/18401동 | 99,303건 | 2136s
[06:06:02]   4200/18401동 | 99,344건 | 2141s
[06:06:08]   4300/18401동 | 99,443건 | 2148s
[06:06:16]   4400/18401동 | 99,457건 | 2155s
[06:06:19]   4500/18401동 | 99,486건 | 2159s
[06:06:28]   4600/18401동 | 99,896건 | 2167s
[06:07:01]   4700/18401동 | 100,873건 | 2201s
[06:07:03]   4800/18401동 | 100,873건 | 2202s
[06:07:06]   4900/18401동 | 100,873건 | 2205s
[06:07:08]   5000/18401동 | 100,876건 | 2207s
[06:07:11]   5100/18401동 | 100,876건 | 2211s
[06:07:16]   5200/18401동 | 100,953건 | 2215s
[06:07:19]   5300/18401동 | 100,957건 | 2218s
[06:07:22]   5400/18401동 | 100,957건 | 2221s
[06:07:24]   5500/18401동 | 100,957건 | 2223s
[06:07:38]   5600/18401동 | 101,138건 | 2237s
[06:07:50]   5700/18401동 | 101,139건 | 2249s
[06:07:58]   5800/18401동 | 101,277건 | 2257s
[06:08:10]   5900/18401동 | 101,279건 | 2269s
[06:08:13]   6000/18401동 | 101,302건 | 2272s
[06:08:15]   6100/18401동 | 101,302건 | 2274s
[06:08:31]   6200/18401동 | 101,948건 | 2290s
[06:09:02]   6300/18401동 | 103,965건 | 2321s
[06:12:18]   6400/18401동 | 106,837건 | 2518s
[06:12:29]   6500/18401동 | 107,093건 | 2528s
[06:12:37]   6600/18401동 | 107,093건 | 2536s
[06:12:40]   6700/18401동 | 107,116건 | 2539s
[06:12:42]   6800/18401동 | 107,116건 | 2541s
[06:12:46]   6900/18401동 | 107,130건 | 2545s
[06:12:48]   7000/18401동 | 107,131건 | 2547s
[06:12:52]   7100/18401동 | 107,131건 | 2551s
[06:12:55]   7200/18401동 | 107,131건 | 2554s
[06:13:01]   7300/18401동 | 107,243건 | 2560s
[06:13:08]   7400/18401동 | 107,318건 | 2567s
[06:13:13]   7500/18401동 | 107,332건 | 2573s
[06:13:17]   7600/18401동 | 107,333건 | 2576s
[06:13:20]   7700/18401동 | 107,339건 | 2579s
[06:13:23]   7800/18401동 | 107,339건 | 2582s
[06:13:37]   7900/18401동 | 107,516건 | 2596s
[06:13:41]   8000/18401동 | 107,586건 | 2600s
[06:13:46]   8100/18401동 | 107,586건 | 2605s
[06:14:00]   8200/18401동 | 107,959건 | 2620s
[06:14:10]   8300/18401동 | 107,970건 | 2629s
[06:14:14]   8400/18401동 | 108,065건 | 2633s
[06:14:26]   8500/18401동 | 108,472건 | 2645s
[06:14:31]   8600/18401동 | 108,566건 | 2650s
[06:14:35]   8700/18401동 | 108,569건 | 2654s
[06:14:40]   8800/18401동 | 108,692건 | 2659s
[06:14:47]   8900/18401동 | 108,692건 | 2666s
[06:14:50]   9000/18401동 | 108,692건 | 2669s
[06:14:53]   9100/18401동 | 108,695건 | 2672s
[06:14:56]   9200/18401동 | 108,695건 | 2676s
[06:15:00]   9300/18401동 | 108,695건 | 2679s
[06:15:02]   9400/18401동 | 108,697건 | 2682s
[06:15:05]   9500/18401동 | 108,706건 | 2684s
[06:15:08]   9600/18401동 | 108,706건 | 2687s
[06:15:11]   9700/18401동 | 108,707건 | 2690s
[06:15:14]   9800/18401동 | 108,707건 | 2693s
[06:15:18]   9900/18401동 | 108,708건 | 2697s
[06:15:21]   10000/18401동 | 108,711건 | 2700s
[06:15:27]   10100/18401동 | 108,818건 | 2706s
[06:15:37]   10200/18401동 | 108,819건 | 2716s
[06:15:40]   10300/18401동 | 108,819건 | 2719s
[06:15:49]   10400/18401동 | 108,916건 | 2728s
[06:15:52]   10500/18401동 | 108,916건 | 2731s
[06:15:56]   10600/18401동 | 108,916건 | 2735s
[06:15:58]   10700/18401동 | 108,916건 | 2737s
[06:16:01]   10800/18401동 | 108,916건 | 2740s
[06:16:04]   10900/18401동 | 108,918건 | 2743s
[06:16:07]   11000/18401동 | 108,920건 | 2746s
[06:16:11]   11100/18401동 | 108,920건 | 2750s
[06:17:49]   11200/18401동 | 111,732건 | 2849s
[06:18:14]   11300/18401동 | 111,757건 | 2873s
[06:18:24]   11400/18401동 | 111,975건 | 2884s
[06:18:45]   11500/18401동 | 111,985건 | 2904s
[06:18:48]   11600/18401동 | 111,990건 | 2907s
[06:18:52]   11700/18401동 | 112,017건 | 2911s
[06:18:54]   11800/18401동 | 112,017건 | 2913s
[06:18:58]   11900/18401동 | 112,069건 | 2917s
[06:19:13]   12000/18401동 | 112,442건 | 2932s
[06:20:09]   12100/18401동 | 113,719건 | 2988s
[06:20:23]   12200/18401동 | 113,736건 | 3002s
[06:20:26]   12300/18401동 | 113,746건 | 3006s
[06:20:29]   12400/18401동 | 113,746건 | 3008s
[06:20:32]   12500/18401동 | 113,750건 | 3011s
[06:20:35]   12600/18401동 | 113,752건 | 3014s
[06:20:38]   12700/18401동 | 113,752건 | 3018s
[06:20:42]   12800/18401동 | 113,752건 | 3021s
[06:20:45]   12900/18401동 | 113,752건 | 3024s
[06:20:48]   13000/18401동 | 113,752건 | 3028s
[06:20:51]   13100/18401동 | 113,752건 | 3030s
[06:20:54]   13200/18401동 | 113,752건 | 3033s
[06:20:57]   13300/18401동 | 113,752건 | 3036s
[06:20:59]   13400/18401동 | 113,752건 | 3038s
[06:21:08]   13500/18401동 | 114,147건 | 3047s
[06:21:11]   13600/18401동 | 114,149건 | 3050s
[06:21:15]   13700/18401동 | 114,149건 | 3054s
[06:21:22]   13800/18401동 | 114,193건 | 3061s
[06:21:25]   13900/18401동 | 114,193건 | 3064s
[06:21:29]   14000/18401동 | 114,194건 | 3069s
[06:21:33]   14100/18401동 | 114,203건 | 3072s
[06:21:43]   14200/18401동 | 114,533건 | 3082s
[06:22:03]   14300/18401동 | 115,585건 | 3102s
[06:22:22]   14400/18401동 | 115,884건 | 3121s
[06:22:24]   14500/18401동 | 115,896건 | 3123s
[06:22:28]   14600/18401동 | 115,923건 | 3127s
