[05:25:01] 캐시 로드: 0개 완료 항목
[05:25:01] ==============================================================
[05:25:01]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:25:01]   precision: 5 → 7 | 세분화 임계: 400건
[05:25:01]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260708
[05:25:01] ==============================================================
[05:25:01] 지오해시 타일: 16891개 (precision=5)
[05:25:01] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:25:11]   읍면동 18401개 확인
[05:25:25]   100/18401동 | 590건 | 25s
[05:25:39]   200/18401동 | 1,351건 | 39s
[05:26:03]   300/18401동 | 3,193건 | 62s
[05:26:42]   400/18401동 | 6,480건 | 102s
[05:27:54]   500/18401동 | 12,418건 | 174s
[05:29:15]   600/18401동 | 17,845건 | 255s
[05:30:28]   700/18401동 | 24,441건 | 327s
[05:31:44]   800/18401동 | 26,736건 | 403s
[05:33:19]   900/18401동 | 29,375건 | 499s
[05:33:42]   1000/18401동 | 29,375건 | 521s
[05:34:07]   1100/18401동 | 31,053건 | 547s
[05:35:01]   1200/18401동 | 34,371건 | 600s
[05:36:07]   1300/18401동 | 40,323건 | 666s
[05:37:02]   1400/18401동 | 43,892건 | 721s
[05:38:03]   1500/18401동 | 46,462건 | 782s
[05:38:44]   1600/18401동 | 49,551건 | 823s
[05:39:17]   1700/18401동 | 51,420건 | 857s
[05:40:04]   1800/18401동 | 54,521건 | 904s
[05:40:41]   1900/18401동 | 55,916건 | 941s
[05:41:33]   2000/18401동 | 58,874건 | 993s
[05:42:22]   2100/18401동 | 59,311건 | 1042s
[05:43:03]   2200/18401동 | 62,180건 | 1083s
[05:44:04]   2300/18401동 | 66,640건 | 1143s
[05:46:39]   2400/18401동 | 74,272건 | 1298s
[05:48:20]   2500/18401동 | 76,792건 | 1399s
[05:50:51]   2600/18401동 | 81,278건 | 1551s
[05:51:58]   2700/18401동 | 86,242건 | 1618s
[05:53:04]   2800/18401동 | 89,133건 | 1683s
[05:53:38]   2900/18401동 | 89,804건 | 1718s
[05:54:47]   3000/18401동 | 92,103건 | 1786s
[05:55:22]   3100/18401동 | 93,986건 | 1821s
[05:56:17]   3200/18401동 | 93,987건 | 1876s
[05:57:36]   3300/18401동 | 95,000건 | 1956s
[05:58:09]   3400/18401동 | 95,382건 | 1988s
[05:58:18]   3500/18401동 | 95,424건 | 1998s
[05:58:25]   3600/18401동 | 95,582건 | 2005s
[05:59:08]   3700/18401동 | 96,038건 | 2047s
[06:00:11]   3800/18401동 | 98,164건 | 2111s
[06:00:20]   3900/18401동 | 98,310건 | 2119s
[06:00:28]   4000/18401동 | 98,315건 | 2127s
[06:00:35]   4100/18401동 | 98,382건 | 2134s
[06:00:45]   4200/18401동 | 98,942건 | 2144s
[06:01:11]   4300/18401동 | 99,270건 | 2170s
[06:01:15]   4400/18401동 | 99,303건 | 2174s
[06:01:17]   4500/18401동 | 99,303건 | 2176s
[06:01:23]   4600/18401동 | 99,374건 | 2182s
[06:01:27]   4700/18401동 | 99,404건 | 2186s
[06:01:33]   4800/18401동 | 99,846건 | 2192s
[06:01:41]   4900/18401동 | 100,214건 | 2200s
[06:01:45]   5000/18401동 | 100,329건 | 2204s
[06:01:48]   5100/18401동 | 100,329건 | 2208s
[06:01:51]   5200/18401동 | 100,329건 | 2210s
[06:02:00]   5300/18401동 | 100,502건 | 2220s
[06:02:19]   5400/18401동 | 100,649건 | 2238s
[06:02:35]   5500/18401동 | 100,715건 | 2255s
[06:02:38]   5600/18401동 | 100,715건 | 2257s
[06:02:41]   5700/18401동 | 100,720건 | 2260s
[06:02:55]   5800/18401동 | 101,399건 | 2275s
[06:03:02]   5900/18401동 | 101,421건 | 2281s
[06:03:05]   6000/18401동 | 101,421건 | 2284s
[06:03:09]   6100/18401동 | 101,437건 | 2288s
[06:05:32]   6200/18401동 | 104,224건 | 2431s
[06:06:26]   6300/18401동 | 104,438건 | 2485s
[06:06:38]   6400/18401동 | 104,681건 | 2497s
[06:06:55]   6500/18401동 | 105,519건 | 2515s
[06:07:09]   6600/18401동 | 106,591건 | 2528s
[06:07:11]   6700/18401동 | 106,591건 | 2531s
[06:07:14]   6800/18401동 | 106,624건 | 2534s
[06:07:17]   6900/18401동 | 106,624건 | 2536s
[06:07:19]   7000/18401동 | 106,626건 | 2538s
[06:07:22]   7100/18401동 | 106,626건 | 2542s
[06:07:32]   7200/18401동 | 106,801건 | 2552s
[06:07:39]   7300/18401동 | 106,801건 | 2559s
[06:07:45]   7400/18401동 | 106,958건 | 2565s
[06:07:54]   7500/18401동 | 106,968건 | 2573s
[06:07:57]   7600/18401동 | 106,972건 | 2577s
[06:07:59]   7700/18401동 | 106,974건 | 2579s
[06:08:03]   7800/18401동 | 106,974건 | 2582s
[06:08:06]   7900/18401동 | 106,974건 | 2585s
[06:08:09]   8000/18401동 | 107,038건 | 2588s
[06:08:19]   8100/18401동 | 107,048건 | 2598s
[06:08:24]   8200/18401동 | 107,131건 | 2604s
[06:08:29]   8300/18401동 | 107,259건 | 2609s
[06:08:38]   8400/18401동 | 107,259건 | 2617s
[06:08:51]   8500/18401동 | 107,586건 | 2630s
[06:08:54]   8600/18401동 | 107,586건 | 2633s
[06:08:58]   8700/18401동 | 107,591건 | 2637s
[06:09:10]   8800/18401동 | 108,057건 | 2649s
[06:09:13]   8900/18401동 | 108,059건 | 2653s
[06:09:17]   9000/18401동 | 108,065건 | 2656s
[06:09:20]   9100/18401동 | 108,065건 | 2659s
[06:09:23]   9200/18401동 | 108,065건 | 2662s
[06:09:26]   9300/18401동 | 108,066건 | 2665s
[06:09:29]   9400/18401동 | 108,067건 | 2669s
[06:09:33]   9500/18401동 | 108,071건 | 2672s
[06:09:37]   9600/18401동 | 108,071건 | 2676s
[06:09:40]   9700/18401동 | 108,071건 | 2679s
[06:09:42]   9800/18401동 | 108,078건 | 2681s
[06:09:45]   9900/18401동 | 108,078건 | 2684s
[06:09:55]   10000/18401동 | 108,195건 | 2694s
[06:10:00]   10100/18401동 | 108,195건 | 2699s
[06:10:03]   10200/18401동 | 108,196건 | 2703s
[06:10:07]   10300/18401동 | 108,199건 | 2706s
[06:10:11]   10400/18401동 | 108,199건 | 2710s
[06:10:19]   10500/18401동 | 108,278건 | 2718s
[06:10:22]   10600/18401동 | 108,279건 | 2721s
[06:10:24]   10700/18401동 | 108,279건 | 2724s
[06:10:27]   10800/18401동 | 108,282건 | 2727s
[06:10:31]   10900/18401동 | 108,282건 | 2730s
[06:10:34]   11000/18401동 | 108,282건 | 2734s
[06:11:21]   11100/18401동 | 109,611건 | 2781s
[06:11:32]   11200/18401동 | 109,611건 | 2791s
[06:12:53]   11300/18401동 | 112,199건 | 2872s
[06:13:26]   11400/18401동 | 112,209건 | 2905s
[06:13:30]   11500/18401동 | 112,217건 | 2909s
[06:13:34]   11600/18401동 | 112,261건 | 2914s
[06:13:41]   11700/18401동 | 112,439건 | 2921s
[06:14:02]   11800/18401동 | 112,592건 | 2941s
[06:14:20]   11900/18401동 | 112,826건 | 2959s
[06:14:26]   12000/18401동 | 112,846건 | 2966s
[06:14:31]   12100/18401동 | 112,857건 | 2970s
[06:14:33]   12200/18401동 | 112,857건 | 2972s
[06:14:37]   12300/18401동 | 112,876건 | 2976s
[06:14:40]   12400/18401동 | 112,896건 | 2979s
[06:14:43]   12500/18401동 | 112,896건 | 2982s
[06:14:46]   12600/18401동 | 112,896건 | 2985s
[06:14:53]   12700/18401동 | 113,278건 | 2993s
[06:14:57]   12800/18401동 | 113,278건 | 2997s
[06:15:01]   12900/18401동 | 113,278건 | 3000s
[06:15:04]   13000/18401동 | 113,278건 | 3003s
[06:15:07]   13100/18401동 | 113,278건 | 3007s
[06:15:11]   13200/18401동 | 113,285건 | 3010s
[06:15:14]   13300/18401동 | 113,291건 | 3013s
[06:15:16]   13400/18401동 | 113,291건 | 3015s
[06:15:18]   13500/18401동 | 113,291건 | 3018s
[06:15:22]   13600/18401동 | 113,309건 | 3021s
[06:15:25]   13700/18401동 | 113,311건 | 3024s
[06:15:28]   13800/18401동 | 113,311건 | 3028s
[06:15:32]   13900/18401동 | 113,312건 | 3032s
[06:15:36]   14000/18401동 | 113,312건 | 3035s
[06:15:39]   14100/18401동 | 113,349건 | 3039s
[06:15:51]   14200/18401동 | 113,633건 | 3050s
[06:16:05]   14300/18401동 | 114,339건 | 3065s
[06:16:08]   14400/18401동 | 114,339건 | 3067s
[06:16:17]   14500/18401동 | 115,019건 | 3076s
[06:16:36]   14600/18401동 | 115,288건 | 3096s
[06:16:49]   14700/18401동 | 115,869건 | 3108s
[06:17:02]   14800/18401동 | 115,991건 | 3122s
[06:17:08]   14900/18401동 | 116,081건 | 3128s
[06:18:29]   15000/18401동 | 118,490건 | 3209s
[06:18:47]   15100/18401동 | 118,493건 | 3226s
[06:18:56]   15200/18401동 | 118,998건 | 3236s
[06:19:57]   15300/18401동 | 120,052건 | 3297s
[06:20:11]   15400/18401동 | 120,122건 | 3310s
[06:20:14]   15500/18401동 | 120,122건 | 3314s
[06:20:18]   15600/18401동 | 120,130건 | 3317s
[06:20:21]   15700/18401동 | 120,136건 | 3321s
[06:20:26]   15800/18401동 | 120,136건 | 3325s
[06:20:29]   15900/18401동 | 120,136건 | 3328s
[06:20:33]   16000/18401동 | 120,136건 | 3333s
[06:20:36]   16100/18401동 | 120,136건 | 3336s
[06:20:39]   16200/18401동 | 120,143건 | 3339s
[06:20:43]   16300/18401동 | 120,143건 | 3343s
[06:20:47]   16400/18401동 | 120,147건 | 3347s
[06:20:51]   16500/18401동 | 120,147건 | 3350s
[06:20:54]   16600/18401동 | 120,147건 | 3353s
[06:21:00]   16700/18401동 | 120,367건 | 3360s
[06:21:05]   16800/18401동 | 120,414건 | 3364s
[06:21:30]   16900/18401동 | 121,292건 | 3389s
[06:22:17]   17000/18401동 | 122,583건 | 3436s
[06:22:31]   17100/18401동 | 122,583건 | 3451s
[06:22:40]   17200/18401동 | 122,735건 | 3459s
[06:22:45]   17300/18401동 | 122,766건 | 3464s
[06:22:51]   17400/18401동 | 122,943건 | 3470s
[06:22:55]   17500/18401동 | 122,998건 | 3475s
[06:23:00]   17600/18401동 | 122,999건 | 3479s
[06:23:03]   17700/18401동 | 123,001건 | 3483s
[06:23:08]   17800/18401동 | 123,001건 | 3487s
[06:23:11]   17900/18401동 | 123,002건 | 3491s
[06:23:14]   18000/18401동 | 123,004건 | 3494s
[06:23:20]   18100/18401동 | 123,060건 | 3499s
[06:23:24]   18200/18401동 | 123,072건 | 3503s
[06:23:25]   18300/18401동 | 123,074건 | 3505s
[06:23:29]   18400/18401동 | 123,086건 | 3508s
[06:23:29]   18401/18401동 | 123,086건 | 3508s
[06:23:30] 💾 저장: 직방_아파트_20260708_052501.csv (123,086건)
[06:23:30] 
[2/3] 원룸·빌라투룸·오피스텔 수집 (적응형) ──────────
[06:23:30]   작업: 50673개 (타일 × 유형)
[06:23:37]   100/50673 타일 | 0건 | 3516s
[06:23:42]   200/50673 타일 | 0건 | 3521s
[06:23:48]   300/50673 타일 | 0건 | 3527s
[06:23:53]   400/50673 타일 | 0건 | 3532s
[06:23:59]   500/50673 타일 | 0건 | 3538s
[06:24:05]   600/50673 타일 | 0건 | 3544s
[06:24:10]   700/50673 타일 | 0건 | 3549s
[06:24:15]   800/50673 타일 | 32건 | 3554s
[06:24:20]   900/50673 타일 | 62건 | 3560s
[06:24:26]   1000/50673 타일 | 66건 | 3565s
[06:24:31]   1100/50673 타일 | 75건 | 3571s
[06:24:37]   1200/50673 타일 | 75건 | 3576s
[06:24:42]   1300/50673 타일 | 75건 | 3582s
[06:24:47]   1400/50673 타일 | 75건 | 3587s
[06:24:52]   1500/50673 타일 | 75건 | 3592s
[06:24:57]   1600/50673 타일 | 75건 | 3596s
[06:25:03]   1700/50673 타일 | 75건 | 3602s
[06:25:09]   1800/50673 타일 | 75건 | 3608s
[06:25:14]   1900/50673 타일 | 75건 | 3613s
[06:25:19]   2000/50673 타일 | 75건 | 3618s
[06:25:24]   2100/50673 타일 | 75건 | 3624s
[06:25:29]   2200/50673 타일 | 75건 | 3629s
