[05:51:34] 캐시 로드: 0개 완료 항목
[05:51:34] ==============================================================
[05:51:34]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:51:34]   precision: 5 → 7 | 세분화 임계: 400건
[05:51:34]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260530
[05:51:34] ==============================================================
[05:51:35] 지오해시 타일: 16891개 (precision=5)
[05:51:35] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:51:44]   읍면동 18401개 확인
[05:52:03]   100/18401동 | 1,271건 | 29s
[05:52:16]   200/18401동 | 2,130건 | 42s
[05:52:30]   300/18401동 | 2,811건 | 56s
[05:53:08]   400/18401동 | 6,446건 | 93s
[05:54:13]   500/18401동 | 12,184건 | 159s
[05:55:39]   600/18401동 | 19,100건 | 244s
[05:56:41]   700/18401동 | 24,545건 | 307s
[05:57:57]   800/18401동 | 25,837건 | 382s
[05:59:11]   900/18401동 | 29,017건 | 456s
[06:00:01]   1000/18401동 | 31,910건 | 507s
[06:00:21]   1100/18401동 | 31,928건 | 527s
[06:01:26]   1200/18401동 | 35,451건 | 591s
[06:03:08]   1300/18401동 | 43,589건 | 694s
[06:03:16]   1400/18401동 | 43,627건 | 701s
[06:04:06]   1500/18401동 | 47,786건 | 751s
[06:04:26]   1600/18401동 | 48,679건 | 772s
[06:05:10]   1700/18401동 | 51,591건 | 815s
[06:05:50]   1800/18401동 | 54,044건 | 855s
[06:06:25]   1900/18401동 | 55,878건 | 890s
[06:07:15]   2000/18401동 | 58,401건 | 941s
[06:08:00]   2100/18401동 | 58,844건 | 986s
[06:08:41]   2200/18401동 | 61,843건 | 1027s
[06:09:54]   2300/18401동 | 67,516건 | 1100s
[06:11:54]   2400/18401동 | 72,502건 | 1219s
[06:13:27]   2500/18401동 | 76,445건 | 1313s
[06:16:04]   2600/18401동 | 81,420건 | 1469s
[06:17:41]   2700/18401동 | 87,664건 | 1566s
[06:18:23]   2800/18401동 | 88,642건 | 1608s
[06:18:40]   2900/18401동 | 89,575건 | 1626s
[06:19:05]   3000/18401동 | 90,772건 | 1650s
[06:19:26]   3100/18401동 | 90,794건 | 1671s
[06:19:32]   3200/18401동 | 90,818건 | 1677s
[06:20:28]   3300/18401동 | 93,098건 | 1734s
[06:21:06]   3400/18401동 | 93,644건 | 1771s
[06:21:53]   3500/18401동 | 94,803건 | 1818s
[06:23:00]   3600/18401동 | 96,722건 | 1885s
[06:23:43]   3700/18401동 | 96,835건 | 1929s
[06:24:48]   3800/18401동 | 98,767건 | 1994s
[06:24:56]   3900/18401동 | 98,823건 | 2002s
[06:24:59]   4000/18401동 | 98,840건 | 2004s
[06:25:02]   4100/18401동 | 98,857건 | 2007s
[06:25:10]   4200/18401동 | 98,978건 | 2015s
[06:25:17]   4300/18401동 | 98,999건 | 2023s
[06:25:23]   4400/18401동 | 99,415건 | 2028s
[06:25:53]   4500/18401동 | 100,693건 | 2058s
[06:26:04]   4600/18401동 | 100,803건 | 2070s
[06:26:08]   4700/18401동 | 100,881건 | 2074s
[06:26:12]   4800/18401동 | 100,881건 | 2077s
[06:26:30]   4900/18401동 | 101,082건 | 2095s
[06:26:32]   5000/18401동 | 101,096건 | 2098s
[06:26:35]   5100/18401동 | 101,096건 | 2100s
[06:26:37]   5200/18401동 | 101,096건 | 2102s
[06:26:39]   5300/18401동 | 101,099건 | 2105s
[06:26:42]   5400/18401동 | 101,123건 | 2108s
[06:26:45]   5500/18401동 | 101,123건 | 2111s
[06:26:48]   5600/18401동 | 101,123건 | 2114s
[06:26:56]   5700/18401동 | 101,281건 | 2121s
[06:27:08]   5800/18401동 | 101,283건 | 2134s
[06:27:11]   5900/18401동 | 101,283건 | 2136s
[06:27:26]   6000/18401동 | 101,957건 | 2152s
[06:27:50]   6100/18401동 | 103,730건 | 2175s
[06:27:53]   6200/18401동 | 103,731건 | 2179s
[06:27:57]   6300/18401동 | 103,756건 | 2182s
[06:27:59]   6400/18401동 | 103,756건 | 2184s
[06:30:52]   6500/18401동 | 106,777건 | 2358s
[06:31:08]   6600/18401동 | 106,919건 | 2374s
[06:31:18]   6700/18401동 | 107,034건 | 2384s
[06:31:21]   6800/18401동 | 107,060건 | 2387s
[06:31:23]   6900/18401동 | 107,060건 | 2389s
[06:31:27]   7000/18401동 | 107,102건 | 2392s
[06:31:30]   7100/18401동 | 107,102건 | 2395s
[06:31:35]   7200/18401동 | 107,269건 | 2401s
[06:31:43]   7300/18401동 | 107,269건 | 2408s
[06:31:47]   7400/18401동 | 107,279건 | 2413s
[06:31:50]   7500/18401동 | 107,279건 | 2415s
[06:31:52]   7600/18401동 | 107,285건 | 2418s
[06:31:55]   7700/18401동 | 107,285건 | 2420s
[06:32:08]   7800/18401동 | 107,462건 | 2433s
[06:32:12]   7900/18401동 | 107,462건 | 2437s
[06:32:16]   8000/18401동 | 107,553건 | 2442s
[06:32:20]   8100/18401동 | 107,617건 | 2445s
[06:32:27]   8200/18401동 | 107,617건 | 2452s
[06:32:33]   8300/18401동 | 107,751건 | 2459s
[06:32:36]   8400/18401동 | 107,948건 | 2462s
[06:32:39]   8500/18401동 | 107,948건 | 2464s
