[05:16:34] 캐시 로드: 0개 완료 항목
[05:16:34] ==============================================================
[05:16:34]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:16:34]   precision: 5 → 7 | 세분화 임계: 400건
[05:16:34]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260420
[05:16:34] ==============================================================
[05:16:34] 지오해시 타일: 16891개 (precision=5)
[05:16:34] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:16:46]   읍면동 18401개 확인
[05:16:57]   100/18401동 | 654건 | 23s
[05:17:31]   200/18401동 | 2,439건 | 57s
[05:17:45]   300/18401동 | 3,049건 | 71s
[05:18:41]   400/18401동 | 7,471건 | 127s
[05:19:59]   500/18401동 | 12,678건 | 205s
[05:21:34]   600/18401동 | 19,137건 | 300s
[05:22:39]   700/18401동 | 23,654건 | 365s
[05:24:39]   800/18401동 | 25,567건 | 485s
[05:25:37]   900/18401동 | 29,137건 | 543s
[05:26:34]   1000/18401동 | 30,531건 | 600s
[05:26:41]   1100/18401동 | 30,531건 | 607s
[05:28:07]   1200/18401동 | 34,969건 | 693s
[05:29:47]   1300/18401동 | 42,681건 | 793s
[05:30:05]   1400/18401동 | 43,208건 | 811s
[05:31:07]   1500/18401동 | 46,586건 | 873s
[05:31:40]   1600/18401동 | 47,930건 | 906s
[05:32:17]   1700/18401동 | 49,928건 | 943s
[05:33:00]   1800/18401동 | 52,466건 | 986s
[05:34:00]   1900/18401동 | 55,875건 | 1046s
[05:34:54]   2000/18401동 | 57,142건 | 1100s
[05:36:08]   2100/18401동 | 58,767건 | 1174s
[05:36:57]   2200/18401동 | 60,705건 | 1223s
[05:39:28]   2300/18401동 | 70,024건 | 1374s
[05:41:47]   2400/18401동 | 70,101건 | 1513s
[05:42:54]   2500/18401동 | 73,931건 | 1580s
[05:46:25]   2600/18401동 | 80,273건 | 1791s
[05:47:59]   2700/18401동 | 86,208건 | 1885s
[05:49:11]   2800/18401동 | 87,822건 | 1957s
[05:50:02]   2900/18401동 | 89,903건 | 2008s
[05:50:29]   3000/18401동 | 90,217건 | 2035s
[05:50:43]   3100/18401동 | 90,217건 | 2049s
[05:51:59]   3200/18401동 | 92,670건 | 2125s
[05:52:55]   3300/18401동 | 93,190건 | 2181s
[05:53:46]   3400/18401동 | 94,277건 | 2232s
[05:55:09]   3500/18401동 | 95,411건 | 2315s
[05:56:02]   3600/18401동 | 96,173건 | 2368s
[05:57:13]   3700/18401동 | 96,695건 | 2439s
[05:57:15]   3800/18401동 | 96,695건 | 2441s
[05:58:02]   3900/18401동 | 98,572건 | 2488s
[05:58:08]   4000/18401동 | 98,589건 | 2494s
[05:58:18]   4100/18401동 | 98,700건 | 2504s
[05:58:30]   4200/18401동 | 98,884건 | 2516s
[05:58:32]   4300/18401동 | 99,123건 | 2518s
[05:58:36]   4400/18401동 | 99,125건 | 2522s
[05:59:11]   4500/18401동 | 100,387건 | 2557s
[05:59:22]   4600/18401동 | 100,387건 | 2568s
[05:59:25]   4700/18401동 | 100,387건 | 2571s
[05:59:30]   4800/18401동 | 100,473건 | 2575s
[05:59:36]   4900/18401동 | 100,561건 | 2582s
[05:59:41]   5000/18401동 | 100,603건 | 2587s
[05:59:44]   5100/18401동 | 100,603건 | 2590s
[05:59:48]   5200/18401동 | 100,608건 | 2594s
[05:59:51]   5300/18401동 | 100,611건 | 2597s
[05:59:55]   5400/18401동 | 100,611건 | 2601s
[06:00:21]   5500/18401동 | 100,790건 | 2627s
[06:00:38]   5600/18401동 | 101,406건 | 2644s
[06:00:43]   5700/18401동 | 101,406건 | 2649s
[06:01:01]   5800/18401동 | 102,518건 | 2667s
[06:01:20]   5900/18401동 | 103,074건 | 2686s
[06:01:31]   6000/18401동 | 103,077건 | 2697s
[06:01:34]   6100/18401동 | 103,077건 | 2700s
[06:01:38]   6200/18401동 | 103,097건 | 2704s
[06:01:42]   6300/18401동 | 103,138건 | 2708s
[06:05:11]   6400/18401동 | 106,121건 | 2917s
[06:05:17]   6500/18401동 | 106,137건 | 2923s
[06:05:22]   6600/18401동 | 106,146건 | 2928s
[06:05:25]   6700/18401동 | 106,158건 | 2931s
[06:05:32]   6800/18401동 | 106,308건 | 2938s
[06:05:44]   6900/18401동 | 106,427건 | 2950s
[06:05:52]   7000/18401동 | 106,631건 | 2958s
[06:06:01]   7100/18401동 | 106,631건 | 2967s
[06:06:07]   7200/18401동 | 106,645건 | 2973s
[06:06:10]   7300/18401동 | 106,649건 | 2976s
[06:06:14]   7400/18401동 | 106,649건 | 2980s
[06:06:18]   7500/18401동 | 106,652건 | 2984s
[06:06:21]   7600/18401동 | 106,652건 | 2987s
[06:06:25]   7700/18401동 | 106,652건 | 2991s
[06:06:30]   7800/18401동 | 106,736건 | 2996s
[06:06:38]   7900/18401동 | 106,736건 | 3004s
[06:07:00]   8000/18401동 | 106,911건 | 3026s
[06:07:06]   8100/18401동 | 106,936건 | 3032s
[06:07:17]   8200/18401동 | 107,385건 | 3043s
[06:07:21]   8300/18401동 | 107,385건 | 3047s
[06:07:30]   8400/18401동 | 107,387건 | 3056s
[06:07:36]   8500/18401동 | 107,473건 | 3062s
[06:07:44]   8600/18401동 | 107,608건 | 3070s
[06:07:48]   8700/18401동 | 107,610건 | 3074s
[06:07:57]   8800/18401동 | 107,990건 | 3083s
[06:08:11]   8900/18401동 | 108,001건 | 3097s
[06:08:14]   9000/18401동 | 108,001건 | 3100s
[06:08:18]   9100/18401동 | 108,001건 | 3104s
[06:08:22]   9200/18401동 | 108,004건 | 3108s
[06:08:26]   9300/18401동 | 108,004건 | 3112s
[06:08:30]   9400/18401동 | 108,005건 | 3116s
[06:08:34]   9500/18401동 | 108,005건 | 3120s
[06:08:37]   9600/18401동 | 108,005건 | 3123s
[06:08:40]   9700/18401동 | 108,009건 | 3126s
[06:08:44]   9800/18401동 | 108,010건 | 3130s
[06:08:58]   9900/18401동 | 108,112건 | 3144s
[06:09:01]   10000/18401동 | 108,113건 | 3147s
[06:09:05]   10100/18401동 | 108,115건 | 3151s
[06:09:08]   10200/18401동 | 108,124건 | 3154s
[06:09:12]   10300/18401동 | 108,124건 | 3158s
[06:09:14]   10400/18401동 | 108,125건 | 3160s
[06:09:17]   10500/18401동 | 108,125건 | 3163s
[06:09:21]   10600/18401동 | 108,128건 | 3167s
[06:09:33]   10700/18401동 | 108,235건 | 3179s
[06:09:37]   10800/18401동 | 108,235건 | 3183s
[06:09:42]   10900/18401동 | 108,235건 | 3188s
[06:09:54]   11000/18401동 | 108,641건 | 3200s
[06:10:42]   11100/18401동 | 109,302건 | 3248s
[06:10:51]   11200/18401동 | 109,470건 | 3257s
[06:11:07]   11300/18401동 | 109,470건 | 3273s
[06:11:12]   11400/18401동 | 109,470건 | 3278s
[06:11:16]   11500/18401동 | 109,481건 | 3282s
[06:11:20]   11600/18401동 | 109,481건 | 3286s
[06:11:24]   11700/18401동 | 109,500건 | 3290s
[06:11:28]   11800/18401동 | 109,500건 | 3294s
[06:12:47]   11900/18401동 | 112,072건 | 3373s
[06:13:31]   12000/18401동 | 112,072건 | 3417s
[06:13:55]   12100/18401동 | 112,552건 | 3441s
[06:14:13]   12200/18401동 | 112,564건 | 3459s
[06:14:16]   12300/18401동 | 112,564건 | 3462s
[06:14:20]   12400/18401동 | 112,568건 | 3466s
[06:14:23]   12500/18401동 | 112,568건 | 3469s
[06:14:26]   12600/18401동 | 112,568건 | 3472s
[06:14:31]   12700/18401동 | 112,583건 | 3477s
[06:14:34]   12800/18401동 | 112,583건 | 3480s
[06:14:43]   12900/18401동 | 112,787건 | 3489s
[06:14:48]   13000/18401동 | 113,009건 | 3494s
[06:14:52]   13100/18401동 | 113,009건 | 3498s
[06:14:56]   13200/18401동 | 113,010건 | 3502s
[06:14:59]   13300/18401동 | 113,010건 | 3505s
[06:15:03]   13400/18401동 | 113,010건 | 3509s
[06:15:06]   13500/18401동 | 113,010건 | 3512s
[06:15:09]   13600/18401동 | 113,010건 | 3515s
[06:15:12]   13700/18401동 | 113,011건 | 3518s
[06:15:16]   13800/18401동 | 113,032건 | 3522s
[06:15:20]   13900/18401동 | 113,032건 | 3526s
[06:15:28]   14000/18401동 | 113,075건 | 3534s
[06:15:33]   14100/18401동 | 113,075건 | 3539s
[06:15:45]   14200/18401동 | 113,411건 | 3551s
[06:16:01]   14300/18401동 | 114,078건 | 3567s
[06:16:14]   14400/18401동 | 114,090건 | 3580s
[06:16:17]   14500/18401동 | 114,090건 | 3583s
[06:16:29]   14600/18401동 | 114,308건 | 3595s
[06:16:37]   14700/18401동 | 114,308건 | 3603s
[06:16:58]   14800/18401동 | 115,183건 | 3624s
[06:17:13]   14900/18401동 | 115,710건 | 3639s
[06:17:44]   15000/18401동 | 117,471건 | 3670s
[06:18:50]   15100/18401동 | 117,928건 | 3735s
[06:18:53]   15200/18401동 | 117,928건 | 3739s
[06:19:00]   15300/18401동 | 118,011건 | 3746s
[06:19:09]   15400/18401동 | 118,287건 | 3755s
[06:19:30]   15500/18401동 | 118,540건 | 3776s
[06:19:34]   15600/18401동 | 118,541건 | 3780s
[06:19:38]   15700/18401동 | 118,547건 | 3784s
[06:20:11]   15800/18401동 | 119,442건 | 3817s
[06:20:34]   15900/18401동 | 119,442건 | 3840s
[06:20:39]   16000/18401동 | 119,442건 | 3845s
[06:20:43]   16100/18401동 | 119,442건 | 3849s
[06:20:47]   16200/18401동 | 119,442건 | 3853s
[06:20:51]   16300/18401동 | 119,442건 | 3857s
[06:20:55]   16400/18401동 | 119,443건 | 3861s
[06:21:01]   16500/18401동 | 119,448건 | 3867s
[06:21:07]   16600/18401동 | 119,631건 | 3873s
[06:21:11]   16700/18401동 | 119,631건 | 3877s
[06:21:15]   16800/18401동 | 119,631건 | 3881s
[06:21:19]   16900/18401동 | 119,667건 | 3885s
[06:21:45]   17000/18401동 | 120,473건 | 3911s
[06:22:22]   17100/18401동 | 121,696건 | 3948s
[06:23:01]   17200/18401동 | 121,832건 | 3987s
[06:23:07]   17300/18401동 | 121,856건 | 3993s
[06:23:14]   17400/18401동 | 122,024건 | 4000s
[06:23:19]   17500/18401동 | 122,076건 | 4005s
[06:23:24]   17600/18401동 | 122,078건 | 4010s
[06:23:28]   17700/18401동 | 122,079건 | 4014s
[06:23:32]   17800/18401동 | 122,079건 | 4018s
[06:23:37]   17900/18401동 | 122,085건 | 4023s
[06:23:41]   18000/18401동 | 122,086건 | 4027s
[06:23:45]   18100/18401동 | 122,088건 | 4031s
[06:23:51]   18200/18401동 | 122,148건 | 4037s
[06:23:57]   18300/18401동 | 122,164건 | 4043s
[06:23:59]   18400/18401동 | 122,166건 | 4045s
[06:23:59]   18401/18401동 | 122,166건 | 4045s
[06:24:00] 💾 저장: 직방_아파트_20260420_051634.csv (122,166건)
[06:24:00] 
[2/3] 원룸·빌라투룸·오피스텔 수집 (적응형) ──────────
[06:24:00]   작업: 50673개 (타일 × 유형)
[06:24:08]   100/50673 타일 | 0건 | 4054s
[06:24:14]   200/50673 타일 | 0건 | 4060s
[06:24:19]   300/50673 타일 | 0건 | 4065s
[06:24:25]   400/50673 타일 | 0건 | 4070s
[06:24:30]   500/50673 타일 | 0건 | 4076s
[06:24:36]   600/50673 타일 | 0건 | 4082s
[06:24:41]   700/50673 타일 | 0건 | 4087s
[06:24:47]   800/50673 타일 | 15건 | 4093s
[06:24:53]   900/50673 타일 | 34건 | 4099s
