[06:32:19] 캐시 로드: 0개 완료 항목
[06:32:19] ==============================================================
[06:32:19]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:32:19]   precision: 5 → 7 | 세분화 임계: 400건
[06:32:19]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260607
[06:32:19] ==============================================================
[06:32:19] 지오해시 타일: 16891개 (precision=5)
[06:32:19] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:32:30]   읍면동 18401개 확인
[06:32:50]   100/18401동 | 818건 | 31s
[06:33:01]   200/18401동 | 1,560건 | 42s
[06:33:21]   300/18401동 | 2,647건 | 62s
[06:34:08]   400/18401동 | 6,308건 | 109s
[06:35:29]   500/18401동 | 12,083건 | 190s
[06:37:08]   600/18401동 | 19,221건 | 290s
[06:39:37]   700/18401동 | 24,689건 | 438s
[06:40:20]   800/18401동 | 25,536건 | 481s
[06:41:16]   900/18401동 | 28,908건 | 537s
[06:41:34]   1000/18401동 | 30,075건 | 555s
[06:42:05]   1100/18401동 | 31,807건 | 586s
[06:43:57]   1200/18401동 | 35,356건 | 698s
[06:45:17]   1300/18401동 | 43,454건 | 778s
[06:45:42]   1400/18401동 | 43,922건 | 803s
[06:46:47]   1500/18401동 | 47,623건 | 868s
[06:47:13]   1600/18401동 | 48,557건 | 894s
[06:48:04]   1700/18401동 | 51,423건 | 945s
[06:48:46]   1800/18401동 | 53,836건 | 987s
[06:50:15]   1900/18401동 | 56,825건 | 1076s
[06:50:49]   2000/18401동 | 58,451건 | 1110s
[06:51:21]   2100/18401동 | 58,689건 | 1142s
[06:52:19]   2200/18401동 | 61,705건 | 1200s
[06:53:36]   2300/18401동 | 67,240건 | 1277s
[06:56:14]   2400/18401동 | 73,827건 | 1435s
[06:57:44]   2500/18401동 | 74,724건 | 1525s
[07:00:27]   2600/18401동 | 82,194건 | 1688s
[07:02:23]   2700/18401동 | 85,979건 | 1805s
[07:02:52]   2800/18401동 | 85,979건 | 1834s
[07:04:01]   2900/18401동 | 88,417건 | 1902s
[07:04:41]   3000/18401동 | 90,056건 | 1942s
[07:04:56]   3100/18401동 | 90,056건 | 1957s
[07:05:30]   3200/18401동 | 90,653건 | 1991s
[07:06:11]   3300/18401동 | 90,653건 | 2032s
[07:07:46]   3400/18401동 | 93,986건 | 2127s
[07:09:09]   3500/18401동 | 95,886건 | 2210s
[07:10:04]   3600/18401동 | 96,001건 | 2265s
[07:11:24]   3700/18401동 | 97,938건 | 2345s
[07:11:34]   3800/18401동 | 97,983건 | 2355s
[07:11:40]   3900/18401동 | 98,012건 | 2361s
[07:11:44]   4000/18401동 | 98,069건 | 2365s
[07:11:47]   4100/18401동 | 98,087건 | 2369s
[07:11:56]   4200/18401동 | 98,201건 | 2377s
[07:12:10]   4300/18401동 | 98,406건 | 2391s
[07:12:44]   4400/18401동 | 99,178건 | 2425s
[07:12:49]   4500/18401동 | 99,258건 | 2430s
[07:12:54]   4600/18401동 | 99,258건 | 2435s
[07:13:05]   4700/18401동 | 99,735건 | 2446s
[07:13:11]   4800/18401동 | 100,110건 | 2452s
[07:13:15]   4900/18401동 | 100,138건 | 2456s
[07:13:18]   5000/18401동 | 100,142건 | 2460s
[07:13:21]   5100/18401동 | 100,142건 | 2462s
[07:13:24]   5200/18401동 | 100,142건 | 2465s
[07:13:34]   5300/18401동 | 100,294건 | 2476s
[07:13:50]   5400/18401동 | 100,296건 | 2491s
[07:13:53]   5500/18401동 | 100,296건 | 2494s
[07:13:57]   5600/18401동 | 100,302건 | 2498s
[07:14:02]   5700/18401동 | 100,324건 | 2503s
[07:14:26]   5800/18401동 | 100,506건 | 2527s
[07:14:29]   5900/18401동 | 100,506건 | 2531s
[07:14:48]   6000/18401동 | 101,175건 | 2549s
[07:15:16]   6100/18401동 | 103,008건 | 2577s
[07:15:20]   6200/18401동 | 103,009건 | 2581s
[07:15:24]   6300/18401동 | 103,034건 | 2585s
[07:15:27]   6400/18401동 | 103,034건 | 2588s
[07:15:32]   6500/18401동 | 103,095건 | 2593s
[07:15:34]   6600/18401동 | 103,095건 | 2596s
[07:18:54]   6700/18401동 | 106,110건 | 2795s
[07:19:12]   6800/18401동 | 106,110건 | 2813s
[07:19:28]   6900/18401동 | 106,356건 | 2829s
[07:19:31]   7000/18401동 | 106,361건 | 2832s
[07:19:34]   7100/18401동 | 106,361건 | 2835s
[07:19:37]   7200/18401동 | 106,361건 | 2838s
[07:19:41]   7300/18401동 | 106,371건 | 2842s
[07:19:46]   7400/18401동 | 106,474건 | 2847s
[07:19:56]   7500/18401동 | 106,541건 | 2857s
[07:20:01]   7600/18401동 | 106,543건 | 2863s
[07:20:05]   7700/18401동 | 106,543건 | 2866s
[07:20:23]   7800/18401동 | 106,724건 | 2884s
[07:20:27]   7900/18401동 | 106,724건 | 2888s
[07:20:32]   8000/18401동 | 106,794건 | 2894s
[07:20:39]   8100/18401동 | 106,794건 | 2900s
[07:20:51]   8200/18401동 | 106,921건 | 2912s
[07:21:01]   8300/18401동 | 107,218건 | 2922s
