[05:18:28] 캐시 로드: 0개 완료 항목
[05:18:28] ==============================================================
[05:18:28]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:18:28]   precision: 5 → 7 | 세분화 임계: 400건
[05:18:28]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260804
[05:18:28] ==============================================================
[05:18:28] 지오해시 타일: 16891개 (precision=5)
[05:18:28] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:18:38]   읍면동 18401개 확인
[05:19:10]   100/18401동 | 2,140건 | 42s
[05:19:19]   200/18401동 | 2,535건 | 52s
[05:19:39]   300/18401동 | 3,363건 | 71s
[05:20:16]   400/18401동 | 6,565건 | 108s
[05:21:38]   500/18401동 | 13,501건 | 191s
[05:23:01]   600/18401동 | 19,212건 | 274s
[05:25:38]   700/18401동 | 23,252건 | 431s
[05:26:37]   800/18401동 | 27,640건 | 489s
[05:27:22]   900/18401동 | 30,795건 | 535s
[05:28:13]   1000/18401동 | 32,154건 | 585s
[05:29:50]   1100/18401동 | 39,751건 | 683s
[05:29:58]   1200/18401동 | 39,858건 | 690s
[05:30:09]   1300/18401동 | 40,184건 | 702s
[05:30:47]   1400/18401동 | 43,235건 | 739s
[05:32:05]   1500/18401동 | 48,552건 | 817s
[05:33:23]   1600/18401동 | 52,412건 | 896s
[05:34:09]   1700/18401동 | 54,842건 | 941s
[05:34:25]   1800/18401동 | 55,846건 | 958s
[05:34:56]   1900/18401동 | 55,846건 | 989s
[05:35:45]   2000/18401동 | 58,853건 | 1037s
[05:36:52]   2100/18401동 | 62,803건 | 1104s
[05:37:31]   2200/18401동 | 63,316건 | 1143s
[05:39:43]   2300/18401동 | 71,346건 | 1275s
[05:41:35]   2400/18401동 | 73,481건 | 1387s
[05:42:51]   2500/18401동 | 76,329건 | 1464s
[05:45:06]   2600/18401동 | 81,150건 | 1598s
[05:46:41]   2700/18401동 | 86,271건 | 1694s
[05:47:41]   2800/18401동 | 89,332건 | 1753s
[05:48:02]   2900/18401동 | 89,905건 | 1775s
[05:48:32]   3000/18401동 | 91,247건 | 1804s
[05:49:15]   3100/18401동 | 91,252건 | 1848s
[05:49:45]   3200/18401동 | 91,923건 | 1877s
[05:50:04]   3300/18401동 | 91,923건 | 1897s
[05:51:18]   3400/18401동 | 94,991건 | 1971s
[05:52:17]   3500/18401동 | 95,948건 | 2029s
[05:53:23]   3600/18401동 | 96,847건 | 2096s
[05:53:44]   3700/18401동 | 98,123건 | 2116s
[05:53:49]   3800/18401동 | 98,182건 | 2122s
[05:53:52]   3900/18401동 | 98,182건 | 2125s
[05:54:03]   4000/18401동 | 98,305건 | 2135s
[05:55:01]   4100/18401동 | 99,182건 | 2193s
[05:55:11]   4200/18401동 | 99,228건 | 2204s
[05:55:18]   4300/18401동 | 99,498건 | 2210s
[05:55:53]   4400/18401동 | 100,250건 | 2246s
[05:56:01]   4500/18401동 | 100,494건 | 2254s
[05:56:09]   4600/18401동 | 101,093건 | 2261s
