[04:54:56] 캐시 로드: 0개 완료 항목
[04:54:56] ==============================================================
[04:54:56]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[04:54:56]   precision: 5 → 7 | 세분화 임계: 400건
[04:54:56]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260715
[04:54:56] ==============================================================
[04:54:56] 지오해시 타일: 16891개 (precision=5)
[04:54:56] 
[1/3] 아파트 수집 ─────────────────────────────────
[04:55:07]   읍면동 18401개 확인
[04:55:23]   100/18401동 | 824건 | 27s
[04:55:38]   200/18401동 | 1,539건 | 42s
[04:56:13]   300/18401동 | 4,542건 | 77s
[04:56:46]   400/18401동 | 6,970건 | 110s
[04:57:59]   500/18401동 | 12,736건 | 183s
[04:59:35]   600/18401동 | 19,788건 | 279s
[05:01:53]   700/18401동 | 24,863건 | 417s
[05:03:15]   800/18401동 | 28,603건 | 499s
[05:03:48]   900/18401동 | 30,713건 | 532s
[05:04:30]   1000/18401동 | 31,419건 | 574s
[05:04:36]   1100/18401동 | 31,419건 | 580s
[05:05:56]   1200/18401동 | 36,398건 | 660s
[05:07:34]   1300/18401동 | 44,471건 | 758s
[05:07:49]   1400/18401동 | 44,959건 | 773s
[05:08:52]   1500/18401동 | 48,702건 | 836s
[05:09:17]   1600/18401동 | 49,806건 | 861s
[05:09:58]   1700/18401동 | 52,369건 | 902s
[05:10:36]   1800/18401동 | 54,330건 | 940s
[05:11:08]   1900/18401동 | 54,330건 | 972s
[05:12:06]   2000/18401동 | 58,156건 | 1030s
[05:13:35]   2100/18401동 | 61,557건 | 1119s
[05:14:13]   2200/18401동 | 63,754건 | 1157s
[05:16:04]   2300/18401동 | 70,067건 | 1268s
[05:17:28]   2400/18401동 | 71,763건 | 1352s
[05:19:06]   2500/18401동 | 77,168건 | 1450s
[05:21:17]   2600/18401동 | 83,457건 | 1581s
[05:23:06]   2700/18401동 | 85,422건 | 1690s
[05:24:04]   2800/18401동 | 88,625건 | 1748s
[05:24:32]   2900/18401동 | 89,386건 | 1776s
[05:25:17]   3000/18401동 | 90,782건 | 1821s
[05:26:10]   3100/18401동 | 91,455건 | 1874s
[05:26:36]   3200/18401동 | 92,303건 | 1900s
