[05:41:31] 캐시 로드: 0개 완료 항목
[05:41:31] ==============================================================
[05:41:31]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:41:31]   precision: 5 → 7 | 세분화 임계: 400건
[05:41:31]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260713
[05:41:31] ==============================================================
[05:41:31] 지오해시 타일: 16891개 (precision=5)
[05:41:31] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:41:41]   읍면동 18401개 확인
[05:41:54]   100/18401동 | 812건 | 23s
[05:41:59]   200/18401동 | 880건 | 28s
[05:42:34]   300/18401동 | 3,535건 | 64s
[05:43:13]   400/18401동 | 6,592건 | 102s
[05:44:22]   500/18401동 | 12,560건 | 171s
[05:45:59]   600/18401동 | 19,292건 | 269s
[05:46:56]   700/18401동 | 23,875건 | 326s
[05:49:03]   800/18401동 | 26,814건 | 452s
[05:49:36]   900/18401동 | 28,933건 | 486s
[05:50:31]   1000/18401동 | 32,188건 | 540s
[05:50:54]   1100/18401동 | 32,205건 | 563s
[05:52:16]   1200/18401동 | 35,810건 | 646s
[05:53:34]   1300/18401동 | 44,640건 | 723s
[05:53:40]   1400/18401동 | 44,730건 | 730s
[05:54:34]   1500/18401동 | 46,042건 | 783s
[05:55:25]   1600/18401동 | 50,595건 | 834s
[05:55:57]   1700/18401동 | 52,081건 | 866s
[05:56:30]   1800/18401동 | 54,230건 | 899s
[05:57:34]   1900/18401동 | 58,139건 | 963s
[05:58:04]   2000/18401동 | 58,139건 | 994s
[05:59:22]   2100/18401동 | 61,128건 | 1071s
[05:59:41]   2200/18401동 | 62,167건 | 1090s
[06:01:29]   2300/18401동 | 70,534건 | 1199s
[06:03:12]   2400/18401동 | 72,238건 | 1301s
[06:04:25]   2500/18401동 | 75,216건 | 1374s
[06:06:13]   2600/18401동 | 83,055건 | 1482s
[06:08:22]   2700/18401동 | 86,501건 | 1611s
[06:08:52]   2800/18401동 | 87,778건 | 1641s
[06:09:45]   2900/18401동 | 89,023건 | 1694s
[06:10:09]   3000/18401동 | 89,419건 | 1718s
[06:10:30]   3100/18401동 | 90,169건 | 1739s
[06:10:37]   3200/18401동 | 90,189건 | 1746s
[06:11:08]   3300/18401동 | 90,802건 | 1777s
[06:11:46]   3400/18401동 | 90,802건 | 1815s
[06:11:51]   3500/18401동 | 90,868건 | 1820s
[06:12:53]   3600/18401동 | 93,177건 | 1882s
[06:13:55]   3700/18401동 | 94,174건 | 1944s
[06:14:36]   3800/18401동 | 96,023건 | 1985s
[06:15:35]   3900/18401동 | 96,024건 | 2044s
[06:16:35]   4000/18401동 | 98,168건 | 2104s
[06:16:38]   4100/18401동 | 98,191건 | 2108s
[06:16:47]   4200/18401동 | 98,318건 | 2116s
[06:17:00]   4300/18401동 | 98,597건 | 2129s
[06:17:06]   4400/18401동 | 98,919건 | 2136s
[06:17:32]   4500/18401동 | 100,029건 | 2161s
[06:17:46]   4600/18401동 | 100,156건 | 2175s
[06:17:51]   4700/18401동 | 100,224건 | 2181s
[06:17:56]   4800/18401동 | 100,224건 | 2185s
[06:17:59]   4900/18401동 | 100,256건 | 2188s
[06:18:02]   5000/18401동 | 100,260건 | 2191s
[06:18:05]   5100/18401동 | 100,278건 | 2194s
[06:18:08]   5200/18401동 | 100,278건 | 2197s
[06:18:12]   5300/18401동 | 100,278건 | 2201s
[06:18:14]   5400/18401동 | 100,278건 | 2204s
[06:18:17]   5500/18401동 | 100,282건 | 2206s
[06:18:25]   5600/18401동 | 100,454건 | 2214s
[06:18:49]   5700/18401동 | 100,592건 | 2239s
[06:19:03]   5800/18401동 | 100,658건 | 2253s
[06:19:06]   5900/18401동 | 100,658건 | 2255s
[06:19:22]   6000/18401동 | 101,342건 | 2272s
[06:19:52]   6100/18401동 | 103,426건 | 2301s
[06:20:02]   6200/18401동 | 103,456건 | 2312s
[06:20:05]   6300/18401동 | 103,472건 | 2315s
[06:20:09]   6400/18401동 | 103,490건 | 2318s
[06:20:11]   6500/18401동 | 103,490건 | 2320s
[06:21:22]   6600/18401동 | 106,222건 | 2392s
[06:23:30]   6700/18401동 | 106,434건 | 2520s
[06:23:39]   6800/18401동 | 106,631건 | 2528s
[06:23:46]   6900/18401동 | 106,631건 | 2536s
[06:23:51]   7000/18401동 | 106,666건 | 2541s
[06:23:54]   7100/18401동 | 106,666건 | 2543s
[06:23:57]   7200/18401동 | 106,666건 | 2546s
[06:24:00]   7300/18401동 | 106,676건 | 2549s
[06:24:11]   7400/18401동 | 106,862건 | 2560s
[06:24:17]   7500/18401동 | 106,862건 | 2567s
[06:24:19]   7600/18401동 | 106,863건 | 2569s
[06:24:23]   7700/18401동 | 106,863건 | 2572s
[06:24:26]   7800/18401동 | 106,874건 | 2576s
[06:24:30]   7900/18401동 | 106,928건 | 2580s
[06:24:40]   8000/18401동 | 107,019건 | 2589s
[06:24:47]   8100/18401동 | 107,064건 | 2597s
[06:24:50]   8200/18401동 | 107,064건 | 2599s
[06:24:55]   8300/18401동 | 107,344건 | 2605s
[06:25:03]   8400/18401동 | 107,489건 | 2612s
[06:25:06]   8500/18401동 | 107,490건 | 2616s
[06:25:09]   8600/18401동 | 107,490건 | 2618s
[06:25:12]   8700/18401동 | 107,490건 | 2622s
[06:25:16]   8800/18401동 | 107,494건 | 2625s
[06:25:19]   8900/18401동 | 107,494건 | 2629s
[06:25:23]   9000/18401동 | 107,494건 | 2632s
[06:25:37]   9100/18401동 | 107,819건 | 2646s
[06:25:39]   9200/18401동 | 107,819건 | 2648s
[06:25:45]   9300/18401동 | 107,939건 | 2654s
[06:25:52]   9400/18401동 | 107,939건 | 2661s
[06:25:55]   9500/18401동 | 107,945건 | 2664s
[06:25:58]   9600/18401동 | 107,945건 | 2668s
[06:26:01]   9700/18401동 | 107,945건 | 2670s
[06:26:03]   9800/18401동 | 107,948건 | 2672s
[06:26:06]   9900/18401동 | 107,949건 | 2675s
[06:26:08]   10000/18401동 | 107,949건 | 2678s
[06:26:14]   10100/18401동 | 108,071건 | 2683s
[06:26:25]   10200/18401동 | 108,074건 | 2694s
[06:26:28]   10300/18401동 | 108,074건 | 2698s
[06:26:31]   10400/18401동 | 108,080건 | 2700s
[06:26:33]   10500/18401동 | 108,080건 | 2703s
[06:26:37]   10600/18401동 | 108,080건 | 2706s
[06:26:40]   10700/18401동 | 108,080건 | 2710s
[06:27:23]   10800/18401동 | 109,407건 | 2752s
[06:27:48]   10900/18401동 | 109,485건 | 2777s
[06:27:52]   11000/18401동 | 109,511건 | 2781s
[06:28:02]   11100/18401동 | 109,708건 | 2791s
[06:28:21]   11200/18401동 | 109,708건 | 2811s
[06:28:25]   11300/18401동 | 109,717건 | 2814s
[06:28:29]   11400/18401동 | 109,725건 | 2818s
[06:28:32]   11500/18401동 | 109,725건 | 2821s
[06:28:35]   11600/18401동 | 109,725건 | 2825s
[06:28:39]   11700/18401동 | 109,760건 | 2829s
[06:28:43]   11800/18401동 | 109,760건 | 2832s
[06:28:48]   11900/18401동 | 109,912건 | 2838s
[06:29:09]   12000/18401동 | 110,146건 | 2858s
[06:30:59]   12100/18401동 | 112,754건 | 2969s
