[06:53:19] 캐시 로드: 0개 완료 항목
[06:53:19] ==============================================================
[06:53:19]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:53:19]   precision: 5 → 7 | 세분화 임계: 400건
[06:53:19]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260611
[06:53:19] ==============================================================
[06:53:19] 지오해시 타일: 16891개 (precision=5)
[06:53:19] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:53:29]   읍면동 18401개 확인
[06:53:50]   100/18401동 | 1,196건 | 31s
[06:54:03]   200/18401동 | 2,088건 | 44s
[06:54:15]   300/18401동 | 3,038건 | 57s
[06:54:58]   400/18401동 | 6,491건 | 100s
[06:56:09]   500/18401동 | 12,261건 | 170s
[06:57:30]   600/18401동 | 18,011건 | 251s
[06:58:52]   700/18401동 | 25,092건 | 333s
[07:00:37]   800/18401동 | 26,257건 | 439s
[07:01:17]   900/18401동 | 28,524건 | 478s
[07:01:56]   1000/18401동 | 29,234건 | 518s
[07:02:35]   1100/18401동 | 31,125건 | 556s
[07:03:21]   1200/18401동 | 34,573건 | 602s
[07:05:19]   1300/18401동 | 43,601건 | 721s
[07:05:54]   1400/18401동 | 44,687건 | 755s
[07:06:25]   1500/18401동 | 46,873건 | 786s
[07:07:01]   1600/18401동 | 48,695건 | 823s
[07:07:56]   1700/18401동 | 52,516건 | 877s
[07:08:25]   1800/18401동 | 54,070건 | 906s
[07:09:29]   1900/18401동 | 58,582건 | 970s
[07:10:15]   2000/18401동 | 58,584건 | 1016s
[07:11:00]   2100/18401동 | 60,869건 | 1061s
[07:11:28]   2200/18401동 | 61,597건 | 1089s
[07:13:45]   2300/18401동 | 71,576건 | 1226s
[07:15:14]   2400/18401동 | 71,623건 | 1315s
[07:16:45]   2500/18401동 | 76,475건 | 1406s
[07:19:35]   2600/18401동 | 81,156건 | 1576s
[07:21:03]   2700/18401동 | 86,818건 | 1665s
[07:21:51]   2800/18401동 | 88,065건 | 1712s
[07:22:21]   2900/18401동 | 88,665건 | 1742s
[07:23:14]   3000/18401동 | 89,269건 | 1795s
[07:24:22]   3100/18401동 | 92,379건 | 1863s
[07:25:35]   3200/18401동 | 93,787건 | 1936s
[07:26:42]   3300/18401동 | 94,840건 | 2003s
[07:27:31]   3400/18401동 | 95,803건 | 2052s
[07:27:57]   3500/18401동 | 96,001건 | 2078s
[07:28:22]   3600/18401동 | 96,361건 | 2104s
[07:28:36]   3700/18401동 | 96,476건 | 2117s
[07:28:45]   3800/18401동 | 96,540건 | 2126s
[07:29:27]   3900/18401동 | 98,461건 | 2169s
[07:29:33]   4000/18401동 | 98,527건 | 2174s
[07:29:35]   4100/18401동 | 98,527건 | 2176s
[07:29:40]   4200/18401동 | 98,574건 | 2182s
[07:29:44]   4300/18401동 | 98,596건 | 2185s
[07:29:50]   4400/18401동 | 98,782건 | 2191s
[07:30:31]   4500/18401동 | 100,269건 | 2232s
[07:30:36]   4600/18401동 | 100,375건 | 2238s
[07:30:41]   4700/18401동 | 100,452건 | 2242s
[07:30:45]   4800/18401동 | 100,452건 | 2246s
[07:30:47]   4900/18401동 | 100,488건 | 2249s
[07:30:51]   5000/18401동 | 100,493건 | 2252s
[07:30:53]   5100/18401동 | 100,499건 | 2254s
[07:30:56]   5200/18401동 | 100,499건 | 2258s
[07:30:59]   5300/18401동 | 100,500건 | 2260s
[07:31:02]   5400/18401동 | 100,500건 | 2263s
[07:31:04]   5500/18401동 | 100,500건 | 2265s
[07:31:21]   5600/18401동 | 100,701건 | 2282s
[07:31:32]   5700/18401동 | 100,703건 | 2294s
[07:31:42]   5800/18401동 | 100,855건 | 2303s
[07:31:55]   5900/18401동 | 100,857건 | 2316s
[07:32:12]   6000/18401동 | 101,498건 | 2333s
[07:32:37]   6100/18401동 | 103,330건 | 2358s
[07:32:40]   6200/18401동 | 103,347건 | 2362s
[07:32:45]   6300/18401동 | 103,490건 | 2366s
[07:32:56]   6400/18401동 | 103,591건 | 2378s
[07:32:59]   6500/18401동 | 103,619건 | 2381s
[07:33:02]   6600/18401동 | 103,619건 | 2383s
[07:33:06]   6700/18401동 | 103,634건 | 2387s
[07:34:39]   6800/18401동 | 106,430건 | 2480s
[07:36:39]   6900/18401동 | 106,636건 | 2600s
[07:36:44]   7000/18401동 | 106,675건 | 2605s
[07:36:49]   7100/18401동 | 106,777건 | 2610s
[07:36:57]   7200/18401동 | 106,840건 | 2618s
[07:37:14]   7300/18401동 | 107,018건 | 2635s
[07:37:17]   7400/18401동 | 107,024건 | 2639s
[07:37:21]   7500/18401동 | 107,028건 | 2642s
[07:37:24]   7600/18401동 | 107,099건 | 2646s
[07:37:36]   7700/18401동 | 107,099건 | 2657s
[07:37:39]   7800/18401동 | 107,101건 | 2660s
[07:37:42]   7900/18401동 | 107,101건 | 2663s
[07:37:44]   8000/18401동 | 107,106건 | 2665s
[07:37:47]   8100/18401동 | 107,108건 | 2669s
[07:37:53]   8200/18401동 | 107,190건 | 2674s
[07:38:11]   8300/18401동 | 107,796건 | 2692s
[07:38:14]   8400/18401동 | 107,796건 | 2695s
[07:38:19]   8500/18401동 | 107,915건 | 2700s
[07:38:25]   8600/18401동 | 107,915건 | 2706s
[07:38:29]   8700/18401동 | 107,915건 | 2710s
[07:38:33]   8800/18401동 | 107,992건 | 2714s
[07:38:38]   8900/18401동 | 108,010건 | 2719s
[07:38:41]   9000/18401동 | 108,012건 | 2723s
[07:38:50]   9100/18401동 | 108,162건 | 2731s
[07:38:53]   9200/18401동 | 108,165건 | 2734s
[07:38:56]   9300/18401동 | 108,166건 | 2737s
[07:38:58]   9400/18401동 | 108,166건 | 2740s
[07:39:02]   9500/18401동 | 108,172건 | 2743s
[07:39:06]   9600/18401동 | 108,172건 | 2747s
[07:39:09]   9700/18401동 | 108,173건 | 2750s
[07:39:12]   9800/18401동 | 108,173건 | 2753s
[07:39:16]   9900/18401동 | 108,173건 | 2757s
[07:39:19]   10000/18401동 | 108,177건 | 2760s
[07:39:22]   10100/18401동 | 108,185건 | 2763s
[07:39:24]   10200/18401동 | 108,185건 | 2765s
[07:39:27]   10300/18401동 | 108,187건 | 2768s
[07:39:30]   10400/18401동 | 108,191건 | 2772s
[07:39:33]   10500/18401동 | 108,191건 | 2774s
[07:39:45]   10600/18401동 | 108,317건 | 2787s
[07:39:54]   10700/18401동 | 108,418건 | 2796s
[07:40:00]   10800/18401동 | 108,418건 | 2801s
[07:40:11]   10900/18401동 | 108,833건 | 2812s
[07:41:05]   11000/18401동 | 110,028건 | 2866s
[07:42:53]   11100/18401동 | 112,485건 | 2974s
[07:43:01]   11200/18401동 | 112,729건 | 2983s
[07:43:22]   11300/18401동 | 112,729건 | 3004s
