[05:14:22] 캐시 로드: 0개 완료 항목
[05:14:22] ==============================================================
[05:14:22]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:14:22]   precision: 5 → 7 | 세분화 임계: 400건
[05:14:22]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260502
[05:14:22] ==============================================================
[05:14:22] 지오해시 타일: 16891개 (precision=5)
[05:14:22] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:14:32]   읍면동 18401개 확인
[05:14:39]   100/18401동 | 155건 | 17s
[05:15:06]   200/18401동 | 1,957건 | 44s
[05:15:38]   300/18401동 | 4,731건 | 76s
[05:16:06]   400/18401동 | 6,889건 | 104s
[05:17:19]   500/18401동 | 12,559건 | 177s
[05:18:41]   600/18401동 | 18,815건 | 259s
[05:19:58]   700/18401동 | 24,954건 | 336s
[05:21:36]   800/18401동 | 25,584건 | 434s
[05:21:55]   900/18401동 | 26,568건 | 453s
[05:22:01]   1000/18401동 | 26,765건 | 459s
[05:23:13]   1100/18401동 | 31,558건 | 531s
[05:25:00]   1200/18401동 | 36,528건 | 638s
[05:26:44]   1300/18401동 | 44,383건 | 742s
[05:27:01]   1400/18401동 | 45,434건 | 759s
[05:27:14]   1500/18401동 | 46,020건 | 773s
[05:28:02]   1600/18401동 | 49,151건 | 820s
[05:28:35]   1700/18401동 | 51,081건 | 853s
[05:29:06]   1800/18401동 | 52,976건 | 884s
[05:29:51]   1900/18401동 | 55,594건 | 929s
[05:30:31]   2000/18401동 | 56,160건 | 970s
[05:31:58]   2100/18401동 | 59,952건 | 1056s
[05:32:19]   2200/18401동 | 60,601건 | 1077s
[05:34:31]   2300/18401동 | 68,529건 | 1210s
[05:36:39]   2400/18401동 | 70,050건 | 1337s
[05:37:52]   2500/18401동 | 75,806건 | 1410s
[05:40:28]   2600/18401동 | 79,342건 | 1566s
[05:42:33]   2700/18401동 | 85,563건 | 1691s
[05:43:15]   2800/18401동 | 88,086건 | 1733s
[05:43:39]   2900/18401동 | 89,057건 | 1757s
[05:44:05]   3000/18401동 | 90,274건 | 1783s
[05:44:34]   3100/18401동 | 90,274건 | 1812s
[05:45:40]   3200/18401동 | 92,461건 | 1878s
[05:46:47]   3300/18401동 | 92,462건 | 1945s
[05:46:53]   3400/18401동 | 92,514건 | 1951s
[05:47:16]   3500/18401동 | 93,177건 | 1974s
[05:48:16]   3600/18401동 | 93,177건 | 2035s
[05:48:23]   3700/18401동 | 93,225건 | 2041s
[05:49:19]   3800/18401동 | 95,481건 | 2097s
[05:50:20]   3900/18401동 | 96,650건 | 2158s
[05:51:16]   4000/18401동 | 98,505건 | 2214s
[05:51:41]   4100/18401동 | 99,379건 | 2239s
[05:51:53]   4200/18401동 | 99,396건 | 2251s
[05:52:00]   4300/18401동 | 99,495건 | 2259s
[05:52:12]   4400/18401동 | 99,709건 | 2270s
[05:52:20]   4500/18401동 | 100,321건 | 2278s
[05:52:24]   4600/18401동 | 100,427건 | 2282s
[05:52:28]   4700/18401동 | 100,508건 | 2287s
[05:52:32]   4800/18401동 | 100,508건 | 2290s
[05:52:35]   4900/18401동 | 100,550건 | 2293s
[05:52:38]   5000/18401동 | 100,550건 | 2296s
[05:52:40]   5100/18401동 | 100,550건 | 2298s
[05:52:42]   5200/18401동 | 100,555건 | 2300s
[05:52:50]   5300/18401동 | 100,692건 | 2308s
[05:53:04]   5400/18401동 | 100,712건 | 2322s
[05:53:07]   5500/18401동 | 100,715건 | 2325s
[05:53:20]   5600/18401동 | 100,899건 | 2338s
[05:53:35]   5700/18401동 | 100,901건 | 2354s
[05:53:38]   5800/18401동 | 100,901건 | 2356s
[05:53:41]   5900/18401동 | 100,901건 | 2359s
[05:53:54]   6000/18401동 | 101,151건 | 2372s
[05:55:59]   6100/18401동 | 104,020건 | 2497s
[05:57:12]   6200/18401동 | 104,173건 | 2570s
[05:57:37]   6300/18401동 | 105,847건 | 2595s
[05:57:56]   6400/18401동 | 106,440건 | 2614s
[05:57:59]   6500/18401동 | 106,462건 | 2617s
[05:58:01]   6600/18401동 | 106,462건 | 2619s
[05:58:04]   6700/18401동 | 106,483건 | 2623s
[05:58:07]   6800/18401동 | 106,483건 | 2625s
[05:58:11]   6900/18401동 | 106,499건 | 2629s
[05:58:14]   7000/18401동 | 106,513건 | 2632s
[05:58:20]   7100/18401동 | 106,659건 | 2638s
[05:58:28]   7200/18401동 | 106,659건 | 2646s
[05:58:32]   7300/18401동 | 106,664건 | 2650s
[05:58:35]   7400/18401동 | 106,664건 | 2653s
[05:58:39]   7500/18401동 | 106,719건 | 2658s
[05:58:45]   7600/18401동 | 106,846건 | 2663s
[05:58:47]   7700/18401동 | 106,856건 | 2666s
[05:58:51]   7800/18401동 | 107,056건 | 2669s
[05:58:56]   7900/18401동 | 107,143건 | 2674s
[05:59:08]   8000/18401동 | 107,529건 | 2686s
[05:59:16]   8100/18401동 | 107,529건 | 2694s
[05:59:32]   8200/18401동 | 107,704건 | 2710s
[05:59:35]   8300/18401동 | 107,713건 | 2714s
[05:59:42]   8400/18401동 | 107,777건 | 2720s
[05:59:52]   8500/18401동 | 107,779건 | 2730s
[05:59:55]   8600/18401동 | 107,781건 | 2734s
[05:59:59]   8700/18401동 | 107,781건 | 2737s
[06:00:05]   8800/18401동 | 107,910건 | 2743s
[06:00:12]   8900/18401동 | 107,910건 | 2750s
[06:00:16]   9000/18401동 | 107,914건 | 2754s
[06:00:20]   9100/18401동 | 107,914건 | 2758s
[06:00:23]   9200/18401동 | 107,915건 | 2762s
[06:00:30]   9300/18401동 | 108,074건 | 2768s
[06:00:35]   9400/18401동 | 108,082건 | 2773s
[06:00:38]   9500/18401동 | 108,082건 | 2776s
[06:00:41]   9600/18401동 | 108,082건 | 2779s
[06:00:44]   9700/18401동 | 108,083건 | 2782s
[06:00:48]   9800/18401동 | 108,083건 | 2786s
[06:00:51]   9900/18401동 | 108,088건 | 2789s
[06:01:03]   10000/18401동 | 108,206건 | 2801s
[06:01:06]   10100/18401동 | 108,208건 | 2804s
[06:01:09]   10200/18401동 | 108,213건 | 2807s
[06:01:13]   10300/18401동 | 108,213건 | 2811s
[06:01:15]   10400/18401동 | 108,215건 | 2814s
[06:01:26]   10500/18401동 | 108,325건 | 2824s
[06:01:29]   10600/18401동 | 108,325건 | 2827s
[06:01:32]   10700/18401동 | 108,325건 | 2830s
[06:01:35]   10800/18401동 | 108,325건 | 2833s
[06:01:39]   10900/18401동 | 108,325건 | 2837s
[06:01:41]   11000/18401동 | 108,325건 | 2839s
[06:01:45]   11100/18401동 | 108,325건 | 2843s
[06:02:22]   11200/18401동 | 109,487건 | 2880s
[06:04:03]   11300/18401동 | 112,240건 | 2981s
[06:04:39]   11400/18401동 | 112,260건 | 3018s
[06:04:49]   11500/18401동 | 112,424건 | 3027s
[06:05:04]   11600/18401동 | 112,434건 | 3042s
[06:05:07]   11700/18401동 | 112,438건 | 3045s
[06:05:11]   11800/18401동 | 112,463건 | 3049s
[06:05:13]   11900/18401동 | 112,463건 | 3052s
[06:05:17]   12000/18401동 | 112,463건 | 3055s
[06:05:35]   12100/18401동 | 112,903건 | 3073s
[06:05:50]   12200/18401동 | 112,920건 | 3088s
[06:05:53]   12300/18401동 | 112,931건 | 3092s
[06:05:56]   12400/18401동 | 112,931건 | 3094s
[06:05:59]   12500/18401동 | 112,935건 | 3097s
[06:06:01]   12600/18401동 | 112,936건 | 3099s
[06:06:04]   12700/18401동 | 112,936건 | 3103s
[06:06:08]   12800/18401동 | 112,936건 | 3106s
