[07:22:42] 캐시 로드: 0개 완료 항목
[07:22:42] ==============================================================
[07:22:42]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[07:22:42]   precision: 5 → 7 | 세분화 임계: 400건
[07:22:42]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260917
[07:22:42] ==============================================================
[07:22:42] 지오해시 타일: 16891개 (precision=5)
[07:22:42] 
[1/3] 아파트 수집 ─────────────────────────────────
[07:22:52]   읍면동 18401개 확인
[07:23:23]   100/18401동 | 1,791건 | 40s
[07:23:30]   200/18401동 | 2,038건 | 48s
[07:24:01]   300/18401동 | 4,448건 | 78s
[07:24:47]   400/18401동 | 8,654건 | 124s
[07:25:45]   500/18401동 | 12,608건 | 182s
[07:27:45]   600/18401동 | 22,208건 | 303s
[07:28:57]   700/18401동 | 27,746건 | 375s
[07:31:12]   800/18401동 | 29,678건 | 510s
[07:31:19]   900/18401동 | 29,935건 | 517s
[07:31:39]   1000/18401동 | 31,599건 | 536s
[07:32:45]   1100/18401동 | 35,403건 | 602s
[07:34:09]   1200/18401동 | 39,178건 | 687s
[07:34:14]   1300/18401동 | 39,213건 | 692s
[07:36:30]   1400/18401동 | 48,897건 | 828s
[07:37:16]   1500/18401동 | 52,029건 | 874s
[07:37:33]   1600/18401동 | 52,905건 | 891s
[07:38:32]   1700/18401동 | 56,681건 | 949s
[07:39:17]   1800/18401동 | 59,098건 | 995s
[07:39:44]   1900/18401동 | 59,958건 | 1022s
[07:40:41]   2000/18401동 | 63,379건 | 1079s
[07:41:27]   2100/18401동 | 63,407건 | 1124s
[07:42:23]   2200/18401동 | 66,534건 | 1181s
[07:44:36]   2300/18401동 | 75,368건 | 1314s
[07:46:27]   2400/18401동 | 75,415건 | 1425s
[07:47:41]   2500/18401동 | 80,533건 | 1499s
[07:50:44]   2600/18401동 | 87,548건 | 1681s
[07:52:11]   2700/18401동 | 91,505건 | 1769s
[07:52:58]   2800/18401동 | 93,857건 | 1816s
[07:53:25]   2900/18401동 | 95,195건 | 1843s
[07:54:30]   3000/18401동 | 97,273건 | 1907s
[07:55:31]   3100/18401동 | 98,189건 | 1969s
[07:56:40]   3200/18401동 | 101,667건 | 2038s
[07:57:42]   3300/18401동 | 102,696건 | 2100s
[07:58:19]   3400/18401동 | 102,709건 | 2137s
[07:58:48]   3500/18401동 | 103,286건 | 2166s
[07:59:29]   3600/18401동 | 103,634건 | 2207s
[07:59:46]   3700/18401동 | 103,662건 | 2224s
[07:59:50]   3800/18401동 | 103,677건 | 2228s
[07:59:54]   3900/18401동 | 103,733건 | 2232s
[07:59:57]   4000/18401동 | 103,733건 | 2235s
[08:00:05]   4100/18401동 | 103,997건 | 2243s
[08:00:08]   4200/18401동 | 104,298건 | 2246s
[08:00:16]   4300/18401동 | 104,570건 | 2254s
[08:00:20]   4400/18401동 | 104,703건 | 2257s
[08:00:27]   4500/18401동 | 104,812건 | 2265s
[08:00:35]   4600/18401동 | 104,832건 | 2273s
[08:00:37]   4700/18401동 | 104,838건 | 2275s
[08:00:42]   4800/18401동 | 104,891건 | 2279s
[08:00:45]   4900/18401동 | 104,891건 | 2282s
[08:00:47]   5000/18401동 | 104,891건 | 2285s
[08:01:06]   5100/18401동 | 105,851건 | 2304s
[08:01:28]   5200/18401동 | 105,854건 | 2326s
[08:01:30]   5300/18401동 | 105,868건 | 2328s
[08:01:47]   5400/18401동 | 106,018건 | 2345s
[08:01:50]   5500/18401동 | 106,018건 | 2348s
[08:02:06]   5600/18401동 | 106,220건 | 2364s
[08:02:11]   5700/18401동 | 106,220건 | 2369s
[08:02:13]   5800/18401동 | 106,224건 | 2371s
[08:02:16]   5900/18401동 | 106,224건 | 2374s
[08:02:20]   6000/18401동 | 106,237건 | 2378s
[08:02:23]   6100/18401동 | 106,259건 | 2381s
[08:02:26]   6200/18401동 | 106,259건 | 2383s
[08:05:17]   6300/18401동 | 109,039건 | 2555s
[08:05:35]   6400/18401동 | 109,039건 | 2573s
[08:05:52]   6500/18401동 | 109,739건 | 2589s
[08:06:20]   6600/18401동 | 111,680건 | 2618s
[08:06:23]   6700/18401동 | 111,704건 | 2621s
[08:06:31]   6800/18401동 | 111,951건 | 2629s
[08:06:42]   6900/18401동 | 111,979건 | 2640s
[08:06:46]   7000/18401동 | 111,986건 | 2643s
[08:06:48]   7100/18401동 | 111,988건 | 2646s
[08:06:52]   7200/18401동 | 111,988건 | 2649s
[08:06:58]   7300/18401동 | 112,170건 | 2656s
[08:07:06]   7400/18401동 | 112,170건 | 2664s
[08:07:12]   7500/18401동 | 112,240건 | 2670s
[08:07:22]   7600/18401동 | 112,240건 | 2679s
[08:07:25]   7700/18401동 | 112,240건 | 2683s
[08:07:42]   7800/18401동 | 112,491건 | 2700s
[08:07:45]   7900/18401동 | 112,491건 | 2703s
[08:07:47]   8000/18401동 | 112,496건 | 2705s
[08:07:50]   8100/18401동 | 112,498건 | 2708s
[08:07:54]   8200/18401동 | 112,499건 | 2712s
[08:07:58]   8300/18401동 | 112,499건 | 2715s
[08:08:02]   8400/18401동 | 112,571건 | 2720s
[08:08:08]   8500/18401동 | 112,713건 | 2726s
[08:08:14]   8600/18401동 | 113,024건 | 2732s
[08:08:25]   8700/18401동 | 113,336건 | 2743s
[08:08:33]   8800/18401동 | 113,336건 | 2751s
[08:08:37]   8900/18401동 | 113,436건 | 2755s
[08:08:40]   9000/18401동 | 113,436건 | 2758s
[08:08:46]   9100/18401동 | 113,436건 | 2764s
[08:08:49]   9200/18401동 | 113,436건 | 2767s
[08:08:52]   9300/18401동 | 113,437건 | 2770s
[08:08:55]   9400/18401동 | 113,437건 | 2773s
[08:08:58]   9500/18401동 | 113,437건 | 2776s
[08:09:02]   9600/18401동 | 113,437건 | 2780s
[08:09:05]   9700/18401동 | 113,440건 | 2783s
[08:09:08]   9800/18401동 | 113,440건 | 2786s
[08:09:10]   9900/18401동 | 113,440건 | 2788s
[08:09:13]   10000/18401동 | 113,440건 | 2791s
[08:09:17]   10100/18401동 | 113,442건 | 2794s
[08:09:20]   10200/18401동 | 113,445건 | 2798s
[08:09:27]   10300/18401동 | 113,567건 | 2804s
[08:09:36]   10400/18401동 | 113,567건 | 2814s
[08:09:39]   10500/18401동 | 113,568건 | 2817s
[08:09:43]   10600/18401동 | 113,569건 | 2821s
[08:09:48]   10700/18401동 | 113,610건 | 2826s
[08:09:51]   10800/18401동 | 113,611건 | 2829s
[08:09:54]   10900/18401동 | 113,611건 | 2832s
[08:09:57]   11000/18401동 | 113,611건 | 2835s
[08:10:01]   11100/18401동 | 113,611건 | 2838s
[08:10:41]   11200/18401동 | 115,003건 | 2878s
[08:12:14]   11300/18401동 | 117,448건 | 2972s
[08:12:50]   11400/18401동 | 117,464건 | 3008s
[08:12:53]   11500/18401동 | 117,464건 | 3011s
[08:12:58]   11600/18401동 | 117,479건 | 3015s
[08:13:01]   11700/18401동 | 117,487건 | 3019s
[08:13:10]   11800/18401동 | 117,671건 | 3028s
[08:13:26]   11900/18401동 | 117,773건 | 3043s
[08:13:42]   12000/18401동 | 118,059건 | 3060s
[08:13:53]   12100/18401동 | 118,070건 | 3070s
[08:13:55]   12200/18401동 | 118,070건 | 3073s
[08:13:58]   12300/18401동 | 118,098건 | 3076s
[08:14:01]   12400/18401동 | 118,098건 | 3079s
[08:14:04]   12500/18401동 | 118,105건 | 3082s
