[04:53:11] 캐시 로드: 0개 완료 항목
[04:53:11] ==============================================================
[04:53:11]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[04:53:11]   precision: 5 → 7 | 세분화 임계: 400건
[04:53:11]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260423
[04:53:11] ==============================================================
[04:53:11] 지오해시 타일: 16891개 (precision=5)
[04:53:11] 
[1/3] 아파트 수집 ─────────────────────────────────
[04:53:22]   읍면동 18401개 확인
[04:53:50]   100/18401동 | 2,156건 | 38s
[04:54:01]   200/18401동 | 2,431건 | 49s
[04:54:27]   300/18401동 | 4,942건 | 76s
[04:55:11]   400/18401동 | 8,284건 | 120s
[04:56:08]   500/18401동 | 12,949건 | 177s
[04:57:31]   600/18401동 | 19,809건 | 260s
[04:59:32]   700/18401동 | 24,730건 | 380s
[05:00:15]   800/18401동 | 26,151건 | 424s
[05:00:42]   900/18401동 | 27,378건 | 451s
[05:01:29]   1000/18401동 | 29,295건 | 498s
[05:02:01]   1100/18401동 | 30,989건 | 530s
[05:02:56]   1200/18401동 | 35,517건 | 585s
[05:05:04]   1300/18401동 | 43,662건 | 713s
[05:05:32]   1400/18401동 | 44,223건 | 741s
[05:06:10]   1500/18401동 | 46,872건 | 778s
[05:06:47]   1600/18401동 | 48,527건 | 815s
[05:07:20]   1700/18401동 | 50,267건 | 849s
[05:08:03]   1800/18401동 | 52,873건 | 892s
[05:08:38]   1900/18401동 | 55,140건 | 927s
[05:09:11]   2000/18401동 | 55,140건 | 960s
[05:10:28]   2100/18401동 | 58,034건 | 1036s
[05:11:21]   2200/18401동 | 61,020건 | 1090s
[05:13:07]   2300/18401동 | 69,560건 | 1196s
[05:15:08]   2400/18401동 | 71,350건 | 1317s
[05:16:47]   2500/18401동 | 75,822건 | 1416s
[05:19:46]   2600/18401동 | 80,668건 | 1595s
[05:21:14]   2700/18401동 | 86,607건 | 1683s
[05:22:16]   2800/18401동 | 89,021건 | 1745s
[05:22:52]   2900/18401동 | 90,189건 | 1781s
[05:23:52]   3000/18401동 | 90,189건 | 1840s
[05:24:28]   3100/18401동 | 90,937건 | 1877s
[05:25:28]   3200/18401동 | 93,044건 | 1936s
[05:26:21]   3300/18401동 | 93,152건 | 1990s
[05:27:38]   3400/18401동 | 94,378건 | 2067s
[05:28:35]   3500/18401동 | 94,691건 | 2124s
[05:28:47]   3600/18401동 | 94,691건 | 2135s
[05:30:20]   3700/18401동 | 98,826건 | 2228s
[05:30:28]   3800/18401동 | 98,879건 | 2236s
[05:30:32]   3900/18401동 | 98,896건 | 2240s
[05:30:35]   4000/18401동 | 98,896건 | 2244s
[05:30:42]   4100/18401동 | 98,947건 | 2251s
[05:31:17]   4200/18401동 | 100,211건 | 2286s
[05:31:30]   4300/18401동 | 100,327건 | 2299s
[05:31:38]   4400/18401동 | 100,333건 | 2306s
[05:31:46]   4500/18401동 | 100,764건 | 2315s
[05:31:50]   4600/18401동 | 100,856건 | 2319s
[05:31:55]   4700/18401동 | 100,941건 | 2324s
[05:31:59]   4800/18401동 | 100,941건 | 2328s
[05:32:02]   4900/18401동 | 100,984건 | 2331s
[05:32:09]   5000/18401동 | 101,174건 | 2337s
[05:32:27]   5100/18401동 | 101,181건 | 2356s
[05:32:30]   5200/18401동 | 101,181건 | 2359s
[05:32:32]   5300/18401동 | 101,181건 | 2361s
[05:32:34]   5400/18401동 | 101,184건 | 2363s
[05:32:37]   5500/18401동 | 101,184건 | 2366s
[05:32:50]   5600/18401동 | 101,314건 | 2378s
[05:32:59]   5700/18401동 | 101,316건 | 2387s
[05:33:15]   5800/18401동 | 102,440건 | 2404s
[05:34:45]   5900/18401동 | 105,770건 | 2494s
[05:36:58]   6000/18401동 | 105,922건 | 2627s
[05:37:02]   6100/18401동 | 105,923건 | 2631s
[05:37:15]   6200/18401동 | 106,544건 | 2643s
[05:37:20]   6300/18401동 | 106,563건 | 2649s
[05:37:24]   6400/18401동 | 106,571건 | 2652s
[05:37:27]   6500/18401동 | 106,583건 | 2655s
[05:37:30]   6600/18401동 | 106,645건 | 2659s
[05:37:36]   6700/18401동 | 106,726건 | 2664s
[05:37:46]   6800/18401동 | 106,741건 | 2675s
[05:37:57]   6900/18401동 | 107,011건 | 2686s
[05:38:05]   7000/18401동 | 107,011건 | 2693s
[05:38:11]   7100/18401동 | 107,093건 | 2699s
[05:38:13]   7200/18401동 | 107,093건 | 2702s
[05:38:16]   7300/18401동 | 107,097건 | 2705s
[05:38:19]   7400/18401동 | 107,097건 | 2708s
[05:38:23]   7500/18401동 | 107,097건 | 2711s
[05:38:37]   7600/18401동 | 107,269건 | 2726s
[05:38:41]   7700/18401동 | 107,271건 | 2730s
[05:38:45]   7800/18401동 | 107,355건 | 2734s
[05:38:51]   7900/18401동 | 107,355건 | 2739s
[05:39:00]   8000/18401동 | 107,358건 | 2748s
[05:39:03]   8100/18401동 | 107,358건 | 2751s
[05:39:08]   8200/18401동 | 107,454건 | 2756s
[05:39:16]   8300/18401동 | 107,835건 | 2765s
[05:39:22]   8400/18401동 | 107,835건 | 2771s
[05:39:29]   8500/18401동 | 107,920건 | 2778s
[05:39:38]   8600/18401동 | 108,056건 | 2786s
[05:39:41]   8700/18401동 | 108,058건 | 2790s
[05:39:45]   8800/18401동 | 108,061건 | 2794s
[05:39:49]   8900/18401동 | 108,061건 | 2798s
[05:39:53]   9000/18401동 | 108,061건 | 2802s
[05:39:57]   9100/18401동 | 108,061건 | 2806s
[05:40:11]   9200/18401동 | 108,448건 | 2820s
[05:40:20]   9300/18401동 | 108,448건 | 2828s
[05:40:22]   9400/18401동 | 108,455건 | 2831s
[05:40:26]   9500/18401동 | 108,455건 | 2834s
[05:40:28]   9600/18401동 | 108,456건 | 2837s
[05:40:31]   9700/18401동 | 108,460건 | 2840s
[05:40:35]   9800/18401동 | 108,460건 | 2843s
[05:40:38]   9900/18401동 | 108,460건 | 2846s
[05:40:41]   10000/18401동 | 108,461건 | 2849s
[05:40:44]   10100/18401동 | 108,461건 | 2852s
[05:40:46]   10200/18401동 | 108,462건 | 2855s
[05:40:52]   10300/18401동 | 108,566건 | 2861s
[05:41:01]   10400/18401동 | 108,568건 | 2869s
[05:41:04]   10500/18401동 | 108,570건 | 2873s
[05:41:07]   10600/18401동 | 108,573건 | 2875s
[05:41:17]   10700/18401동 | 108,684건 | 2885s
[05:41:20]   10800/18401동 | 108,684건 | 2889s
[05:41:24]   10900/18401동 | 108,684건 | 2893s
[05:41:26]   11000/18401동 | 108,684건 | 2895s
[05:41:30]   11100/18401동 | 108,684건 | 2898s
[05:42:04]   11200/18401동 | 109,740건 | 2932s
[05:43:38]   11300/18401동 | 112,366건 | 3027s
[05:44:16]   11400/18401동 | 112,374건 | 3064s
[05:44:20]   11500/18401동 | 112,378건 | 3069s
[05:44:26]   11600/18401동 | 112,536건 | 3075s
[05:44:53]   11700/18401동 | 112,846건 | 3102s
[05:45:03]   11800/18401동 | 112,869건 | 3112s
[05:45:07]   11900/18401동 | 112,869건 | 3115s
[05:45:11]   12000/18401동 | 112,884건 | 3119s
[05:45:15]   12100/18401동 | 112,888건 | 3124s
[05:45:19]   12200/18401동 | 112,888건 | 3127s
[05:45:22]   12300/18401동 | 112,888건 | 3131s
[05:45:33]   12400/18401동 | 113,071건 | 3141s
[05:45:46]   12500/18401동 | 113,071건 | 3155s
[05:45:52]   12600/18401동 | 113,083건 | 3160s
[05:45:54]   12700/18401동 | 113,083건 | 3163s
[05:45:57]   12800/18401동 | 113,083건 | 3166s
[05:46:00]   12900/18401동 | 113,083건 | 3169s
[05:46:04]   13000/18401동 | 113,084건 | 3172s
[05:46:07]   13100/18401동 | 113,084건 | 3176s
[05:46:11]   13200/18401동 | 113,084건 | 3179s
[05:46:14]   13300/18401동 | 113,084건 | 3182s
[05:46:16]   13400/18401동 | 113,084건 | 3185s
[05:46:19]   13500/18401동 | 113,084건 | 3188s
[05:46:29]   13600/18401동 | 113,515건 | 3198s
[05:46:34]   13700/18401동 | 113,557건 | 3203s
[05:46:39]   13800/18401동 | 113,559건 | 3208s
[05:46:42]   13900/18401동 | 113,571건 | 3211s
[05:46:44]   14000/18401동 | 113,571건 | 3213s
[05:46:47]   14100/18401동 | 113,571건 | 3216s
[05:46:51]   14200/18401동 | 113,591건 | 3220s
[05:46:55]   14300/18401동 | 113,591건 | 3223s
[05:47:06]   14400/18401동 | 113,926건 | 3234s
[05:47:26]   14500/18401동 | 115,245건 | 3255s
[05:47:43]   14600/18401동 | 115,490건 | 3272s
[05:47:55]   14700/18401동 | 116,058건 | 3284s
[05:48:07]   14800/18401동 | 116,170건 | 3296s
[05:48:12]   14900/18401동 | 116,250건 | 3301s
[05:48:20]   15000/18401동 | 116,337건 | 3308s
[05:48:23]   15100/18401동 | 116,341건 | 3311s
[05:48:36]   15200/18401동 | 116,853건 | 3325s
[05:49:41]   15300/18401동 | 118,546건 | 3389s
[05:49:44]   15400/18401동 | 118,555건 | 3393s
[05:49:48]   15500/18401동 | 118,556건 | 3396s
[05:50:32]   15600/18401동 | 119,463건 | 3441s
[05:50:56]   15700/18401동 | 119,980건 | 3465s
[05:51:00]   15800/18401동 | 119,980건 | 3469s
[05:51:04]   15900/18401동 | 119,980건 | 3472s
[05:51:07]   16000/18401동 | 119,980건 | 3476s
[05:51:11]   16100/18401동 | 119,986건 | 3480s
[05:51:15]   16200/18401동 | 119,987건 | 3483s
[05:51:18]   16300/18401동 | 119,992건 | 3487s
[05:51:22]   16400/18401동 | 119,992건 | 3491s
[05:51:26]   16500/18401동 | 119,992건 | 3494s
[05:51:29]   16600/18401동 | 119,992건 | 3497s
[05:51:34]   16700/18401동 | 120,171건 | 3503s
[05:51:37]   16800/18401동 | 120,212건 | 3506s
[05:51:40]   16900/18401동 | 120,212건 | 3509s
[05:52:01]   17000/18401동 | 120,999건 | 3530s
[05:52:32]   17100/18401동 | 122,218건 | 3561s
[05:53:05]   17200/18401동 | 122,360건 | 3593s
[05:53:12]   17300/18401동 | 122,527건 | 3600s
[05:53:15]   17400/18401동 | 122,528건 | 3603s
[05:53:21]   17500/18401동 | 122,579건 | 3609s
[05:53:24]   17600/18401동 | 122,581건 | 3613s
[05:53:28]   17700/18401동 | 122,582건 | 3617s
[05:53:32]   17800/18401동 | 122,608건 | 3621s
