[05:28:27] 캐시 로드: 0개 완료 항목
[05:28:27] ==============================================================
[05:28:27]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:28:27]   precision: 5 → 7 | 세분화 임계: 400건
[05:28:27]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260427
[05:28:27] ==============================================================
[05:28:27] 지오해시 타일: 16891개 (precision=5)
[05:28:27] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:28:35]   읍면동 18401개 확인
[05:28:49]   100/18401동 | 677건 | 22s
[05:28:55]   200/18401동 | 835건 | 28s
[05:29:20]   300/18401동 | 3,361건 | 54s
[05:30:01]   400/18401동 | 6,872건 | 95s
[05:30:35]   500/18401동 | 9,812건 | 128s
[05:31:55]   600/18401동 | 16,788건 | 209s
[05:33:08]   700/18401동 | 23,968건 | 281s
[05:34:40]   800/18401동 | 25,366건 | 373s
[05:35:16]   900/18401동 | 28,398건 | 409s
[05:35:47]   1000/18401동 | 28,864건 | 440s
[05:36:48]   1100/18401동 | 33,460건 | 501s
[05:37:09]   1200/18401동 | 35,399건 | 522s
[05:38:04]   1300/18401동 | 38,379건 | 578s
[05:38:48]   1400/18401동 | 43,484건 | 621s
[05:39:40]   1500/18401동 | 46,650건 | 673s
[05:40:05]   1600/18401동 | 48,046건 | 698s
[05:40:38]   1700/18401동 | 50,118건 | 731s
[05:41:13]   1800/18401동 | 52,774건 | 766s
[05:41:44]   1900/18401동 | 54,021건 | 797s
[05:42:29]   2000/18401동 | 56,882건 | 843s
[05:43:08]   2100/18401동 | 56,886건 | 882s
[05:43:57]   2200/18401동 | 60,754건 | 931s
[05:45:07]   2300/18401동 | 66,559건 | 1000s
[05:47:01]   2400/18401동 | 71,238건 | 1114s
[05:48:23]   2500/18401동 | 74,103건 | 1196s
[05:50:57]   2600/18401동 | 82,003건 | 1350s
[05:52:27]   2700/18401동 | 86,194건 | 1440s
[05:53:20]   2800/18401동 | 88,040건 | 1493s
[05:53:55]   2900/18401동 | 89,539건 | 1529s
[05:54:15]   3000/18401동 | 89,854건 | 1548s
[05:54:23]   3100/18401동 | 89,860건 | 1556s
[05:54:51]   3200/18401동 | 90,514건 | 1584s
[05:55:27]   3300/18401동 | 90,514건 | 1621s
[05:56:36]   3400/18401동 | 92,733건 | 1689s
[05:57:44]   3500/18401동 | 94,437건 | 1757s
[05:58:19]   3600/18401동 | 94,439건 | 1792s
[05:58:25]   3700/18401동 | 94,490건 | 1798s
[05:59:47]   3800/18401동 | 98,587건 | 1881s
[05:59:54]   3900/18401동 | 98,702건 | 1887s
[06:00:00]   4000/18401동 | 98,708건 | 1893s
[06:00:04]   4100/18401동 | 98,725건 | 1898s
[06:00:08]   4200/18401동 | 98,777건 | 1901s
[06:00:11]   4300/18401동 | 98,794건 | 1904s
[06:00:16]   4400/18401동 | 99,206건 | 1909s
[06:00:21]   4500/18401동 | 99,315건 | 1914s
[06:00:29]   4600/18401동 | 99,755건 | 1922s
[06:00:31]   4700/18401동 | 99,755건 | 1924s
[06:00:59]   4800/18401동 | 100,653건 | 1952s
[06:01:01]   4900/18401동 | 100,653건 | 1955s
[06:01:03]   5000/18401동 | 100,653건 | 1957s
[06:01:05]   5100/18401동 | 100,665건 | 1959s
[06:01:09]   5200/18401동 | 100,736건 | 1962s
[06:01:12]   5300/18401동 | 100,739건 | 1965s
[06:01:15]   5400/18401동 | 100,739건 | 1968s
[06:01:29]   5500/18401동 | 100,868건 | 1982s
[06:01:33]   5600/18401동 | 100,889건 | 1986s
[06:01:42]   5700/18401동 | 101,492건 | 1995s
[06:01:51]   5800/18401동 | 101,674건 | 2005s
[06:02:07]   5900/18401동 | 101,676건 | 2020s
[06:02:09]   6000/18401동 | 101,676건 | 2022s
[06:04:47]   6100/18401동 | 104,711건 | 2181s
[06:05:11]   6200/18401동 | 105,434건 | 2204s
[06:05:23]   6300/18401동 | 106,352건 | 2217s
[06:05:25]   6400/18401동 | 106,352건 | 2219s
[06:05:33]   6500/18401동 | 106,617건 | 2226s
[06:05:38]   6600/18401동 | 106,617건 | 2232s
[06:05:45]   6700/18401동 | 106,822건 | 2238s
[06:05:52]   6800/18401동 | 106,831건 | 2246s
[06:05:55]   6900/18401동 | 106,844건 | 2248s
[06:05:57]   7000/18401동 | 106,859건 | 2251s
[06:06:00]   7100/18401동 | 106,860건 | 2253s
[06:06:03]   7200/18401동 | 106,875건 | 2256s
[06:06:06]   7300/18401동 | 106,880건 | 2259s
[06:06:08]   7400/18401동 | 106,880건 | 2261s
[06:06:12]   7500/18401동 | 106,907건 | 2265s
[06:06:16]   7600/18401동 | 107,022건 | 2269s
[06:06:18]   7700/18401동 | 107,022건 | 2272s
