[02:54:48] 캐시 로드: 0개 완료 항목
[02:54:48] ==============================================================
[02:54:48]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[02:54:48]   precision: 5 → 7 | 세분화 임계: 400건
[02:54:48]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260815
[02:54:48] ==============================================================
[02:54:48] 지오해시 타일: 16891개 (precision=5)
[02:54:48] 
[1/3] 아파트 수집 ─────────────────────────────────
[02:54:56]   읍면동 18401개 확인
[02:55:06]   100/18401동 | 475건 | 18s
[02:55:35]   200/18401동 | 2,518건 | 46s
[02:56:04]   300/18401동 | 5,227건 | 76s
[02:56:26]   400/18401동 | 7,049건 | 98s
[02:57:41]   500/18401동 | 13,739건 | 173s
[02:59:16]   600/18401동 | 21,392건 | 268s
[03:01:26]   700/18401동 | 25,314건 | 398s
[03:02:14]   800/18401동 | 28,436건 | 445s
[03:02:25]   900/18401동 | 29,100건 | 457s
[03:02:53]   1000/18401동 | 31,589건 | 485s
[03:03:34]   1100/18401동 | 32,983건 | 526s
[03:05:06]   1200/18401동 | 38,214건 | 618s
[03:05:28]   1300/18401동 | 42,375건 | 640s
[03:07:05]   1400/18401동 | 47,705건 | 737s
[03:07:22]   1500/18401동 | 49,425건 | 754s
[03:07:43]   1600/18401동 | 50,551건 | 775s
[03:08:38]   1700/18401동 | 54,442건 | 830s
[03:09:07]   1800/18401동 | 56,253건 | 859s
[03:10:09]   1900/18401동 | 61,263건 | 921s
[03:10:52]   2000/18401동 | 61,350건 | 964s
[03:11:24]   2100/18401동 | 62,761건 | 996s
[03:11:58]   2200/18401동 | 64,352건 | 1030s
[03:12:51]   2300/18401동 | 68,665건 | 1083s
[03:15:06]   2400/18401동 | 75,543건 | 1218s
[03:16:56]   2500/18401동 | 80,372건 | 1328s
[03:19:05]   2600/18401동 | 83,938건 | 1456s
[03:20:29]   2700/18401동 | 89,338건 | 1541s
[03:21:05]   2800/18401동 | 90,769건 | 1577s
[03:21:21]   2900/18401동 | 90,965건 | 1593s
[03:21:50]   3000/18401동 | 92,812건 | 1622s
[03:22:07]   3100/18401동 | 92,812건 | 1639s
[03:22:49]   3200/18401동 | 94,598건 | 1681s
[03:23:38]   3300/18401동 | 94,599건 | 1730s
[03:24:33]   3400/18401동 | 96,955건 | 1785s
[03:25:14]   3500/18401동 | 97,524건 | 1825s
[03:26:04]   3600/18401동 | 98,449건 | 1876s
[03:26:22]   3700/18401동 | 99,725건 | 1894s
[03:26:26]   3800/18401동 | 99,742건 | 1898s
[03:26:55]   3900/18401동 | 100,637건 | 1927s
[03:27:28]   4000/18401동 | 100,756건 | 1960s
[03:27:35]   4100/18401동 | 100,816건 | 1967s
[03:27:37]   4200/18401동 | 100,816건 | 1969s
[03:27:45]   4300/18401동 | 101,138건 | 1977s
[03:28:18]   4400/18401동 | 102,002건 | 2010s
[03:28:25]   4500/18401동 | 102,619건 | 2017s
[03:28:29]   4600/18401동 | 102,699건 | 2021s
[03:28:31]   4700/18401동 | 102,704건 | 2023s
[03:28:33]   4800/18401동 | 102,708건 | 2025s
[03:28:36]   4900/18401동 | 102,708건 | 2028s
[03:28:40]   5000/18401동 | 102,771건 | 2032s
[03:28:44]   5100/18401동 | 102,798건 | 2036s
[03:28:46]   5200/18401동 | 102,798건 | 2038s
[03:28:48]   5300/18401동 | 102,798건 | 2040s
[03:28:50]   5400/18401동 | 102,798건 | 2042s
[03:29:07]   5500/18401동 | 102,967건 | 2059s
[03:29:10]   5600/18401동 | 102,968건 | 2061s
[03:29:28]   5700/18401동 | 104,858건 | 2080s
[03:29:38]   5800/18401동 | 104,875건 | 2090s
[03:29:45]   5900/18401동 | 105,008건 | 2097s
[03:29:56]   6000/18401동 | 105,077건 | 2108s
[03:29:59]   6100/18401동 | 105,077건 | 2111s
[03:30:14]   6200/18401동 | 105,766건 | 2126s
[03:32:47]   6300/18401동 | 108,568건 | 2279s
[03:33:02]   6400/18401동 | 108,575건 | 2294s
[03:33:05]   6500/18401동 | 108,592건 | 2297s
[03:33:07]   6600/18401동 | 108,605건 | 2299s
[03:33:10]   6700/18401동 | 108,638건 | 2302s
[03:33:14]   6800/18401동 | 108,687건 | 2306s
[03:33:26]   6900/18401동 | 108,936건 | 2318s
[03:33:29]   7000/18401동 | 108,936건 | 2321s
[03:33:33]   7100/18401동 | 109,037건 | 2325s
[03:33:39]   7200/18401동 | 109,094건 | 2331s
[03:33:45]   7300/18401동 | 109,103건 | 2337s
[03:33:49]   7400/18401동 | 109,172건 | 2341s
[03:33:54]   7500/18401동 | 109,172건 | 2346s
[03:34:00]   7600/18401동 | 109,177건 | 2352s
[03:34:03]   7700/18401동 | 109,177건 | 2355s
[03:34:05]   7800/18401동 | 109,179건 | 2357s
[03:34:08]   7900/18401동 | 109,179건 | 2360s
[03:34:24]   8000/18401동 | 109,382건 | 2375s
[03:34:27]   8100/18401동 | 109,392건 | 2379s
[03:34:32]   8200/18401동 | 109,476건 | 2383s
[03:34:35]   8300/18401동 | 109,481건 | 2386s
[03:34:38]   8400/18401동 | 109,481건 | 2390s
[03:34:42]   8500/18401동 | 109,594건 | 2394s
[03:34:47]   8600/18401동 | 109,594건 | 2399s
[03:34:53]   8700/18401동 | 109,731건 | 2405s
[03:34:56]   8800/18401동 | 109,731건 | 2407s
[03:35:04]   8900/18401동 | 110,236건 | 2416s
[03:35:10]   9000/18401동 | 110,236건 | 2422s
[03:35:17]   9100/18401동 | 110,374건 | 2429s
[03:35:20]   9200/18401동 | 110,376건 | 2432s
[03:35:23]   9300/18401동 | 110,379건 | 2435s
[03:35:26]   9400/18401동 | 110,379건 | 2438s
[03:35:28]   9500/18401동 | 110,380건 | 2440s
[03:35:30]   9600/18401동 | 110,380건 | 2442s
[03:35:33]   9700/18401동 | 110,382건 | 2445s
[03:35:37]   9800/18401동 | 110,386건 | 2449s
[03:35:39]   9900/18401동 | 110,389건 | 2451s
[03:35:42]   10000/18401동 | 110,389건 | 2454s
[03:35:47]   10100/18401동 | 110,493건 | 2459s
[03:35:55]   10200/18401동 | 110,494건 | 2467s
[03:35:57]   10300/18401동 | 110,494건 | 2469s
[03:36:00]   10400/18401동 | 110,550건 | 2472s
[03:36:05]   10500/18401동 | 110,551건 | 2477s
[03:36:08]   10600/18401동 | 110,551건 | 2479s
[03:36:10]   10700/18401동 | 110,551건 | 2482s
[03:36:13]   10800/18401동 | 110,554건 | 2485s
[03:36:16]   10900/18401동 | 110,555건 | 2487s
[03:36:46]   11000/18401동 | 112,327건 | 2518s
[03:37:56]   11100/18401동 | 113,102건 | 2588s
[03:38:06]   11200/18401동 | 113,332건 | 2598s
[03:38:20]   11300/18401동 | 113,332건 | 2612s
[03:38:24]   11400/18401동 | 113,332건 | 2616s
[03:38:34]   11500/18401동 | 113,809건 | 2626s
[03:39:18]   11600/18401동 | 114,727건 | 2670s
[03:39:22]   11700/18401동 | 114,737건 | 2674s
[03:39:25]   11800/18401동 | 114,757건 | 2677s
[03:39:28]   11900/18401동 | 114,772건 | 2680s
[03:39:31]   12000/18401동 | 114,772건 | 2683s
[03:39:34]   12100/18401동 | 114,786건 | 2686s
[03:39:36]   12200/18401동 | 114,786건 | 2688s
[03:39:43]   12300/18401동 | 115,173건 | 2695s
[03:39:46]   12400/18401동 | 115,212건 | 2698s
[03:40:00]   12500/18401동 | 115,553건 | 2712s
[03:40:11]   12600/18401동 | 115,565건 | 2723s
[03:40:13]   12700/18401동 | 115,565건 | 2725s
[03:40:17]   12800/18401동 | 115,586건 | 2729s
[03:40:20]   12900/18401동 | 115,586건 | 2732s
[03:40:23]   13000/18401동 | 115,586건 | 2735s
[03:40:26]   13100/18401동 | 115,586건 | 2738s
[03:40:29]   13200/18401동 | 115,587건 | 2741s
[03:40:31]   13300/18401동 | 115,587건 | 2743s
[03:40:34]   13400/18401동 | 115,587건 | 2746s
[03:40:36]   13500/18401동 | 115,589건 | 2748s
[03:40:39]   13600/18401동 | 115,599건 | 2751s
[03:40:42]   13700/18401동 | 115,634건 | 2754s
[03:40:47]   13800/18401동 | 115,649건 | 2759s
[03:40:50]   13900/18401동 | 115,649건 | 2762s
[03:40:53]   14000/18401동 | 115,649건 | 2764s
[03:40:56]   14100/18401동 | 115,649건 | 2768s
[03:40:58]   14200/18401동 | 115,650건 | 2770s
[03:41:01]   14300/18401동 | 115,651건 | 2773s
[03:41:17]   14400/18401동 | 116,498건 | 2789s
[03:41:32]   14500/18401동 | 117,182건 | 2804s
[03:41:41]   14600/18401동 | 117,182건 | 2813s
[03:41:50]   14700/18401동 | 117,445건 | 2822s
[03:42:09]   14800/18401동 | 118,325건 | 2841s
[03:42:17]   14900/18401동 | 118,414건 | 2849s
[03:42:21]   15000/18401동 | 118,507건 | 2853s
[03:42:25]   15100/18401동 | 118,511건 | 2857s
[03:42:32]   15200/18401동 | 118,775건 | 2864s
[03:42:59]   15300/18401동 | 120,001건 | 2891s
[03:43:33]   15400/18401동 | 120,001건 | 2925s
[03:43:36]   15500/18401동 | 120,010건 | 2928s
[03:44:03]   15600/18401동 | 121,961건 | 2955s
[03:45:06]   15700/18401동 | 122,441건 | 3018s
[03:45:08]   15800/18401동 | 122,441건 | 3020s
[03:45:12]   15900/18401동 | 122,447건 | 3024s
[03:45:16]   16000/18401동 | 122,447건 | 3028s
[03:45:19]   16100/18401동 | 122,447건 | 3031s
[03:45:22]   16200/18401동 | 122,447건 | 3034s
[03:45:25]   16300/18401동 | 122,447건 | 3037s
[03:45:29]   16400/18401동 | 122,452건 | 3041s
[03:45:34]   16500/18401동 | 122,692건 | 3046s
[03:45:38]   16600/18401동 | 122,692건 | 3050s
[03:45:41]   16700/18401동 | 122,692건 | 3053s
[03:45:44]   16800/18401동 | 122,737건 | 3056s
[03:46:09]   16900/18401동 | 123,627건 | 3081s
[03:46:14]   17000/18401동 | 123,627건 | 3086s
[03:46:22]   17100/18401동 | 123,787건 | 3094s
[03:46:42]   17200/18401동 | 125,111건 | 3114s
[03:47:13]   17300/18401동 | 125,141건 | 3145s
[03:47:24]   17400/18401동 | 125,405건 | 3156s
[03:47:28]   17500/18401동 | 125,407건 | 3160s
[03:47:30]   17600/18401동 | 125,413건 | 3162s
[03:47:33]   17700/18401동 | 125,414건 | 3165s
[03:47:36]   17800/18401동 | 125,419건 | 3168s
[03:47:39]   17900/18401동 | 125,427건 | 3171s
[03:47:42]   18000/18401동 | 125,429건 | 3174s
[03:47:45]   18100/18401동 | 125,438건 | 3177s
[03:47:47]   18200/18401동 | 125,442건 | 3179s
[03:47:50]   18300/18401동 | 125,444건 | 3182s
[03:47:54]   18400/18401동 | 125,497건 | 3186s
[03:47:54]   18401/18401동 | 125,497건 | 3186s
[03:47:55] 💾 저장: 직방_아파트_20260815_025448.csv (125,497건)
[03:47:55] 
[2/3] 원룸·빌라투룸·오피스텔 수집 (적응형) ──────────
[03:47:55]   작업: 50673개 (타일 × 유형)
[03:48:01]   100/50673 타일 | 0건 | 3193s
[03:48:06]   200/50673 타일 | 0건 | 3198s
[03:48:11]   300/50673 타일 | 0건 | 3203s
[03:48:15]   400/50673 타일 | 0건 | 3207s
[03:48:20]   500/50673 타일 | 0건 | 3212s
[03:48:24]   600/50673 타일 | 0건 | 3216s
[03:48:29]   700/50673 타일 | 1건 | 3221s
[03:48:34]   800/50673 타일 | 33건 | 3226s
[03:48:39]   900/50673 타일 | 54건 | 3231s
[03:48:44]   1000/50673 타일 | 58건 | 3235s
[03:48:48]   1100/50673 타일 | 65건 | 3240s
[03:48:53]   1200/50673 타일 | 65건 | 3245s
[03:48:57]   1300/50673 타일 | 65건 | 3249s
[03:49:02]   1400/50673 타일 | 65건 | 3254s
[03:49:06]   1500/50673 타일 | 65건 | 3258s
[03:49:11]   1600/50673 타일 | 65건 | 3263s
[03:49:15]   1700/50673 타일 | 65건 | 3267s
[03:49:20]   1800/50673 타일 | 65건 | 3272s
[03:49:24]   1900/50673 타일 | 65건 | 3276s
[03:49:29]   2000/50673 타일 | 65건 | 3281s
[03:49:33]   2100/50673 타일 | 65건 | 3285s
[03:49:38]   2200/50673 타일 | 65건 | 3290s
[03:49:42]   2300/50673 타일 | 65건 | 3294s
[03:49:47]   2400/50673 타일 | 65건 | 3299s
[03:49:51]   2500/50673 타일 | 65건 | 3303s
[03:49:55]   2600/50673 타일 | 65건 | 3307s
[03:50:00]   2700/50673 타일 | 65건 | 3312s
[03:50:05]   2800/50673 타일 | 65건 | 3317s
[03:50:10]   2900/50673 타일 | 65건 | 3322s
[03:50:14]   3000/50673 타일 | 73건 | 3326s
[03:50:19]   3100/50673 타일 | 73건 | 3331s
[03:50:23]   3200/50673 타일 | 77건 | 3335s
[03:50:28]   3300/50673 타일 | 77건 | 3339s
[03:50:32]   3400/50673 타일 | 77건 | 3344s
[03:50:37]   3500/50673 타일 | 77건 | 3348s
[03:50:41]   3600/50673 타일 | 77건 | 3353s
[03:50:45]   3700/50673 타일 | 90건 | 3357s
[03:50:50]   3800/50673 타일 | 99건 | 3362s
[03:50:54]   3900/50673 타일 | 99건 | 3366s
[03:50:59]   4000/50673 타일 | 99건 | 3371s
[03:51:03]   4100/50673 타일 | 99건 | 3375s
[03:51:07]   4200/50673 타일 | 99건 | 3379s
[03:51:12]   4300/50673 타일 | 99건 | 3384s
[03:51:16]   4400/50673 타일 | 99건 | 3388s
[03:51:21]   4500/50673 타일 | 99건 | 3393s
[03:51:25]   4600/50673 타일 | 99건 | 3397s
[03:51:30]   4700/50673 타일 | 99건 | 3402s
[03:51:34]   4800/50673 타일 | 99건 | 3406s
[03:51:38]   4900/50673 타일 | 99건 | 3410s
[03:51:43]   5000/50673 타일 | 99건 | 3414s
[03:51:47]   5100/50673 타일 | 99건 | 3419s
[03:51:51]   5200/50673 타일 | 100건 | 3423s
[03:51:56]   5300/50673 타일 | 101건 | 3428s
[03:52:01]   5400/50673 타일 | 101건 | 3433s
[03:52:06]   5500/50673 타일 | 101건 | 3438s
[03:52:11]   5600/50673 타일 | 101건 | 3442s
[03:52:15]   5700/50673 타일 | 101건 | 3447s
[03:52:20]   5800/50673 타일 | 101건 | 3452s
[03:52:24]   5900/50673 타일 | 101건 | 3456s
[03:52:29]   6000/50673 타일 | 119건 | 3461s
[03:52:33]   6100/50673 타일 | 121건 | 3465s
[03:52:38]   6200/50673 타일 | 143건 | 3470s
[03:52:43]   6300/50673 타일 | 192건 | 3475s
[03:52:47]   6400/50673 타일 | 192건 | 3479s
[03:52:51]   6500/50673 타일 | 192건 | 3483s
[03:52:56]   6600/50673 타일 | 192건 | 3488s
[03:53:00]   6700/50673 타일 | 192건 | 3492s
[03:53:05]   6800/50673 타일 | 192건 | 3497s
[03:53:09]   6900/50673 타일 | 192건 | 3501s
[03:53:14]   7000/50673 타일 | 192건 | 3505s
[03:53:18]   7100/50673 타일 | 213건 | 3510s
[03:53:23]   7200/50673 타일 | 213건 | 3515s
[03:53:28]   7300/50673 타일 | 247건 | 3520s
[03:53:33]   7400/50673 타일 | 279건 | 3525s
[03:53:38]   7500/50673 타일 | 279건 | 3530s
[03:53:43]   7600/50673 타일 | 288건 | 3535s
[03:53:47]   7700/50673 타일 | 289건 | 3539s
[03:53:52]   7800/50673 타일 | 289건 | 3543s
[03:53:55]     🔍 세분화: 원룸/wy6he → 447건 (p5→6)
[03:53:57]   7900/50673 타일 | 300건 | 3549s
[03:54:03]   8000/50673 타일 | 325건 | 3555s
[03:54:08]   8100/50673 타일 | 326건 | 3560s
[03:54:12]   8200/50673 타일 | 334건 | 3564s
[03:54:14]     🔍 세분화: 원룸/wy6wc → 649건 (p5→6)
[03:54:15]     🔍 세분화: 원룸/wy6wd → 734건 (p5→6)
[03:54:15]     🔍 세분화: 원룸/wy6wf → 1103건 (p5→6)
[03:54:16]     🔍 세분화: 원룸/wy6ws → 425건 (p5→6)
[03:54:20]   8300/50673 타일 | 348건 | 3572s
[03:54:29]   8400/50673 타일 | 365건 | 3581s
[03:54:34]   8500/50673 타일 | 381건 | 3586s
[03:54:38]   8600/50673 타일 | 403건 | 3590s
[03:54:41]     🔍 세분화: 원룸/wy78k → 457건 (p5→6)
