[05:32:30] 캐시 로드: 0개 완료 항목
[05:32:30] ==============================================================
[05:32:30]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:32:30]   precision: 5 → 7 | 세분화 임계: 400건
[05:32:30]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260506
[05:32:30] ==============================================================
[05:32:30] 지오해시 타일: 16891개 (precision=5)
[05:32:30] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:32:40]   읍면동 18401개 확인
[05:32:50]   100/18401동 | 249건 | 20s
[05:33:01]   200/18401동 | 899건 | 30s
[05:33:41]   300/18401동 | 3,417건 | 71s
[05:34:30]   400/18401동 | 7,406건 | 120s
[05:35:46]   500/18401동 | 12,667건 | 196s
[05:37:28]   600/18401동 | 19,804건 | 298s
[05:39:39]   700/18401동 | 24,237건 | 429s
[05:40:26]   800/18401동 | 25,654건 | 476s
[05:41:04]   900/18401동 | 27,196건 | 514s
[05:41:58]   1000/18401동 | 28,948건 | 568s
[05:42:42]   1100/18401동 | 31,658건 | 612s
[05:43:33]   1200/18401동 | 34,385건 | 663s
[05:44:09]   1300/18401동 | 35,747건 | 699s
[05:46:13]   1400/18401동 | 43,711건 | 823s
[05:47:02]   1500/18401동 | 46,977건 | 872s
[05:47:31]   1600/18401동 | 48,097건 | 901s
[05:48:17]   1700/18401동 | 50,918건 | 947s
[05:48:56]   1800/18401동 | 53,064건 | 986s
[05:50:05]   1900/18401동 | 57,600건 | 1055s
[05:51:18]   2000/18401동 | 58,731건 | 1127s
[05:52:09]   2100/18401동 | 61,159건 | 1179s
[05:52:47]   2200/18401동 | 61,159건 | 1217s
[05:55:35]   2300/18401동 | 70,785건 | 1385s
[05:57:31]   2400/18401동 | 70,831건 | 1501s
[05:58:34]   2500/18401동 | 74,323건 | 1564s
[06:01:35]   2600/18401동 | 83,116건 | 1745s
[06:03:39]   2700/18401동 | 86,954건 | 1869s
[06:04:43]   2800/18401동 | 88,900건 | 1933s
[06:05:19]   2900/18401동 | 89,531건 | 1968s
[06:06:18]   3000/18401동 | 89,531건 | 2028s
[06:07:00]   3100/18401동 | 90,758건 | 2069s
[06:07:28]   3200/18401동 | 91,081건 | 2097s
[06:07:41]   3300/18401동 | 91,081건 | 2111s
[06:08:51]   3400/18401동 | 93,381건 | 2181s
[06:09:12]   3500/18401동 | 94,442건 | 2202s
[06:10:36]   3600/18401동 | 95,548건 | 2286s
[06:11:30]   3700/18401동 | 96,252건 | 2340s
[06:12:40]   3800/18401동 | 96,778건 | 2410s
[06:12:43]   3900/18401동 | 96,778건 | 2413s
[06:13:28]   4000/18401동 | 98,632건 | 2457s
[06:13:36]   4100/18401동 | 98,845건 | 2466s
[06:13:40]   4200/18401동 | 99,080건 | 2469s
[06:13:47]   4300/18401동 | 99,448건 | 2477s
[06:14:23]   4400/18401동 | 100,057건 | 2513s
[06:14:33]   4500/18401동 | 100,134건 | 2523s
[06:14:37]   4600/18401동 | 100,136건 | 2527s
[06:14:47]   4700/18401동 | 100,526건 | 2536s
[06:14:49]   4800/18401동 | 100,526건 | 2539s
[06:14:53]   4900/18401동 | 100,634건 | 2543s
[06:14:57]   5000/18401동 | 100,673건 | 2547s
[06:15:00]   5100/18401동 | 100,673건 | 2550s
[06:15:04]   5200/18401동 | 100,678건 | 2553s
[06:15:07]   5300/18401동 | 100,678건 | 2557s
[06:15:10]   5400/18401동 | 100,678건 | 2560s
[06:15:14]   5500/18401동 | 100,681건 | 2564s
[06:15:26]   5600/18401동 | 100,816건 | 2576s
[06:15:39]   5700/18401동 | 100,837건 | 2589s
[06:16:19]   5800/18401동 | 102,235건 | 2629s
[06:16:31]   5900/18401동 | 102,729건 | 2641s
[06:16:43]   6000/18401동 | 103,208건 | 2652s
[06:16:54]   6100/18401동 | 103,359건 | 2664s
[06:16:58]   6200/18401동 | 103,374건 | 2668s
[06:20:17]   6300/18401동 | 106,391건 | 2867s
[06:20:36]   6400/18401동 | 106,521건 | 2886s
[06:20:49]   6500/18401동 | 106,641건 | 2899s
[06:20:53]   6600/18401동 | 106,662건 | 2903s
[06:20:55]   6700/18401동 | 106,662건 | 2905s
[06:21:00]   6800/18401동 | 106,733건 | 2910s
[06:21:03]   6900/18401동 | 106,733건 | 2913s
[06:21:14]   7000/18401동 | 106,907건 | 2924s
[06:21:23]   7100/18401동 | 106,907건 | 2932s
[06:21:27]   7200/18401동 | 106,922건 | 2937s
[06:21:34]   7300/18401동 | 107,070건 | 2944s
[06:21:44]   7400/18401동 | 107,072건 | 2954s
[06:21:48]   7500/18401동 | 107,072건 | 2957s
[06:21:52]   7600/18401동 | 107,072건 | 2961s
[06:21:55]   7700/18401동 | 107,072건 | 2965s
[06:21:59]   7800/18401동 | 107,078건 | 2968s
[06:22:02]   7900/18401동 | 107,078건 | 2972s
[06:22:08]   8000/18401동 | 107,171건 | 2978s
[06:22:17]   8100/18401동 | 107,495건 | 2987s
[06:22:28]   8200/18401동 | 107,873건 | 2998s
[06:22:40]   8300/18401동 | 107,884건 | 3010s
[06:22:45]   8400/18401동 | 107,954건 | 3015s
[06:22:51]   8500/18401동 | 107,954건 | 3021s
[06:23:03]   8600/18401동 | 108,081건 | 3033s
[06:23:07]   8700/18401동 | 108,081건 | 3036s
[06:23:19]   8800/18401동 | 108,244건 | 3049s
[06:23:25]   8900/18401동 | 108,244건 | 3055s
[06:23:29]   9000/18401동 | 108,248건 | 3059s
[06:23:33]   9100/18401동 | 108,249건 | 3063s
[06:23:37]   9200/18401동 | 108,251건 | 3066s
[06:23:40]   9300/18401동 | 108,251건 | 3070s
[06:23:43]   9400/18401동 | 108,259건 | 3073s
[06:23:47]   9500/18401동 | 108,259건 | 3076s
[06:23:50]   9600/18401동 | 108,260건 | 3080s
[06:23:53]   9700/18401동 | 108,260건 | 3083s
[06:23:57]   9800/18401동 | 108,260건 | 3087s
[06:24:01]   9900/18401동 | 108,260건 | 3090s
[06:24:05]   10000/18401동 | 108,260건 | 3095s
[06:24:09]   10100/18401동 | 108,265건 | 3099s
[06:24:12]   10200/18401동 | 108,267건 | 3102s
[06:24:18]   10300/18401동 | 108,377건 | 3108s
[06:24:29]   10400/18401동 | 108,379건 | 3119s
