[03:06:30] 캐시 로드: 0개 완료 항목
[03:06:30] ==============================================================
[03:06:30]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[03:06:30]   precision: 5 → 7 | 세분화 임계: 400건
[03:06:30]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260821
[03:06:30] ==============================================================
[03:06:30] 지오해시 타일: 16891개 (precision=5)
[03:06:30] 
[1/3] 아파트 수집 ─────────────────────────────────
[03:06:39]   읍면동 18401개 확인
[03:54:08]   10700/18401동 | 110,862건 | 2858s
[03:54:11]   10800/18401동 | 110,862건 | 2861s
[03:54:14]   10900/18401동 | 110,862건 | 2865s
[03:54:18]   11000/18401동 | 110,862건 | 2868s
[03:55:17]   11100/18401동 | 112,236건 | 2927s
[03:55:23]   11200/18401동 | 112,292건 | 2933s
[03:55:29]   11300/18401동 | 112,514건 | 2940s
[03:55:41]   11400/18401동 | 112,519건 | 2951s
[03:55:55]   11500/18401동 | 112,539건 | 2965s
[03:55:57]   11600/18401동 | 112,539건 | 2968s
[03:56:01]   11700/18401동 | 112,572건 | 2971s
[03:56:04]   11800/18401동 | 112,572건 | 2975s
[03:56:10]   11900/18401동 | 112,736건 | 2980s
[03:56:32]   12000/18401동 | 112,960건 | 3002s
[03:58:20]   12100/18401동 | 115,491건 | 3110s
[03:58:24]   12200/18401동 | 115,511건 | 3114s
[03:58:28]   12300/18401동 | 115,525건 | 3118s
[03:58:30]   12400/18401동 | 115,525건 | 3121s
[03:58:33]   12500/18401동 | 115,525건 | 3123s
[03:58:36]   12600/18401동 | 115,525건 | 3126s
[03:58:39]   12700/18401동 | 115,525건 | 3129s
[03:58:42]   12800/18401동 | 115,525건 | 3133s
[03:58:45]   12900/18401동 | 115,525건 | 3135s
[03:58:49]   13000/18401동 | 115,538건 | 3139s
[03:58:52]   13100/18401동 | 115,538건 | 3142s
[03:59:00]   13200/18401동 | 115,914건 | 3150s
[03:59:04]   13300/18401동 | 115,914건 | 3155s
[03:59:08]   13400/18401동 | 115,914건 | 3158s
[03:59:11]   13500/18401동 | 115,914건 | 3161s
[03:59:14]   13600/18401동 | 115,924건 | 3164s
[03:59:17]   13700/18401동 | 115,925건 | 3167s
[03:59:21]   13800/18401동 | 115,966건 | 3171s
[03:59:26]   13900/18401동 | 115,968건 | 3177s
[03:59:30]   14000/18401동 | 115,976건 | 3180s
[03:59:32]   14100/18401동 | 115,976건 | 3183s
[03:59:36]   14200/18401동 | 115,976건 | 3186s
[03:59:40]   14300/18401동 | 115,977건 | 3190s
[03:59:51]   14400/18401동 | 116,257건 | 3201s
[04:00:13]   14500/18401동 | 117,349건 | 3224s
[04:00:30]   14600/18401동 | 118,058건 | 3241s
[04:00:39]   14700/18401동 | 118,058건 | 3250s
[04:00:46]   14800/18401동 | 118,150건 | 3256s
[04:01:06]   14900/18401동 | 118,766건 | 3277s
[04:01:14]   15000/18401동 | 118,853건 | 3285s
[04:02:12]   15100/18401동 | 121,277건 | 3342s
[04:03:38]   15200/18401동 | 122,270건 | 3428s
[04:04:06]   15300/18401동 | 122,776건 | 3456s
[04:04:10]   15400/18401동 | 122,785건 | 3460s
[04:04:13]   15500/18401동 | 122,789건 | 3464s
[04:04:17]   15600/18401동 | 122,795건 | 3467s
[04:04:21]   15700/18401동 | 122,797건 | 3471s
[04:04:24]   15800/18401동 | 122,797건 | 3474s
[04:04:29]   15900/18401동 | 122,797건 | 3479s
[04:04:32]   16000/18401동 | 122,797건 | 3482s
[04:04:36]   16100/18401동 | 122,797건 | 3486s
[04:04:40]   16200/18401동 | 122,797건 | 3490s
[04:04:44]   16300/18401동 | 122,797건 | 3494s
[04:04:51]   16400/18401동 | 123,031건 | 3501s
[04:04:55]   16500/18401동 | 123,077건 | 3505s
[04:04:57]   16600/18401동 | 123,077건 | 3508s
[04:05:01]   16700/18401동 | 123,077건 | 3511s
[04:05:04]   16800/18401동 | 123,077건 | 3514s
[04:05:11]   16900/18401동 | 123,259건 | 3521s
[04:05:16]   17000/18401동 | 123,264건 | 3526s
[04:05:41]   17100/18401동 | 124,179건 | 3551s
[04:06:17]   17200/18401동 | 125,480건 | 3587s
[04:06:56]   17300/18401동 | 125,734건 | 3627s
[04:07:03]   17400/18401동 | 125,735건 | 3633s
[04:07:05]   17500/18401동 | 125,735건 | 3636s
[04:07:10]   17600/18401동 | 125,777건 | 3640s
[04:07:13]   17700/18401동 | 125,780건 | 3643s
[04:07:17]   17800/18401동 | 125,780건 | 3648s
[04:07:21]   17900/18401동 | 125,781건 | 3651s
[04:07:25]   18000/18401동 | 125,788건 | 3655s
[04:07:28]   18100/18401동 | 125,790건 | 3659s
[04:07:33]   18200/18401동 | 125,837건 | 3663s
[04:07:37]   18300/18401동 | 125,846건 | 3667s
[04:07:39]   18400/18401동 | 125,848건 | 3669s
[04:07:39]   18401/18401동 | 125,848건 | 3669s
[04:07:40] 💾 저장: 직방_아파트_20260821_030630.csv (125,848건)
[04:07:40] 
[2/3] 원룸·빌라투룸·오피스텔 수집 (적응형) ──────────
[04:07:40]   작업: 50673개 (타일 × 유형)
[04:07:47]   100/50673 타일 | 0건 | 3677s
[04:07:52]   200/50673 타일 | 0건 | 3682s
[04:07:57]   300/50673 타일 | 0건 | 3687s
[04:08:02]   400/50673 타일 | 0건 | 3692s
[04:08:07]   500/50673 타일 | 0건 | 3697s
[04:08:12]   600/50673 타일 | 0건 | 3702s
[04:08:17]   700/50673 타일 | 0건 | 3707s
[04:08:23]   800/50673 타일 | 30건 | 3713s
[04:08:28]   900/50673 타일 | 40건 | 3718s
[04:08:33]   1000/50673 타일 | 44건 | 3724s
[04:08:38]   1100/50673 타일 | 51건 | 3729s
[04:08:43]   1200/50673 타일 | 51건 | 3734s
[04:08:49]   1300/50673 타일 | 51건 | 3739s
[04:08:54]   1400/50673 타일 | 51건 | 3744s
[04:08:59]   1500/50673 타일 | 51건 | 3749s
[04:09:04]   1600/50673 타일 | 51건 | 3754s
[04:09:09]   1700/50673 타일 | 51건 | 3759s
[04:09:14]   1800/50673 타일 | 51건 | 3764s
[04:09:18]   1900/50673 타일 | 51건 | 3769s
[04:09:23]   2000/50673 타일 | 51건 | 3774s
[04:09:29]   2100/50673 타일 | 51건 | 3779s
[04:09:34]   2200/50673 타일 | 51건 | 3784s
[04:09:39]   2300/50673 타일 | 51건 | 3789s
[04:09:44]   2400/50673 타일 | 51건 | 3794s
[04:09:49]   2500/50673 타일 | 51건 | 3799s
[04:09:54]   2600/50673 타일 | 51건 | 3804s
[04:09:59]   2700/50673 타일 | 51건 | 3809s
[04:10:04]   2800/50673 타일 | 51건 | 3814s
[04:10:09]   2900/50673 타일 | 51건 | 3819s
[04:10:14]   3000/50673 타일 | 51건 | 3825s
[04:10:19]   3100/50673 타일 | 60건 | 3830s
[04:10:24]   3200/50673 타일 | 64건 | 3835s
