[06:12:41] 캐시 로드: 0개 완료 항목
[06:12:41] ==============================================================
[06:12:41]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:12:41]   precision: 5 → 7 | 세분화 임계: 400건
[06:12:41]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260520
[06:12:41] ==============================================================
[06:12:41] 지오해시 타일: 16891개 (precision=5)
[06:12:41] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:12:51]   읍면동 18401개 확인
[06:13:00]   100/18401동 | 491건 | 19s
[06:13:26]   200/18401동 | 2,002건 | 45s
[06:13:54]   300/18401동 | 4,404건 | 73s
[06:14:22]   400/18401동 | 6,495건 | 101s
[06:15:27]   500/18401동 | 11,558건 | 166s
[06:17:08]   600/18401동 | 19,499건 | 267s
[06:19:19]   700/18401동 | 22,676건 | 398s
[06:19:52]   800/18401동 | 25,485건 | 432s
[06:20:41]   900/18401동 | 29,120건 | 481s
[06:20:59]   1000/18401동 | 29,978건 | 498s
[06:21:25]   1100/18401동 | 31,785건 | 524s
[06:22:51]   1200/18401동 | 34,945건 | 610s
[06:24:38]   1300/18401동 | 44,496건 | 718s
[06:24:44]   1400/18401동 | 44,525건 | 723s
[06:25:38]   1500/18401동 | 46,162건 | 777s
[06:26:43]   1600/18401동 | 51,040건 | 842s
[06:27:01]   1700/18401동 | 51,911건 | 860s
[06:27:26]   1800/18401동 | 53,333건 | 886s
[06:28:12]   1900/18401동 | 55,568건 | 932s
[06:29:09]   2000/18401동 | 58,066건 | 988s
[06:29:59]   2100/18401동 | 58,512건 | 1038s
[06:30:44]   2200/18401동 | 61,561건 | 1084s
[06:32:48]   2300/18401동 | 68,976건 | 1207s
[06:34:28]   2400/18401동 | 69,152건 | 1307s
[06:36:09]   2500/18401동 | 76,349건 | 1408s
[06:38:03]   2600/18401동 | 84,169건 | 1522s
[06:40:14]   2700/18401동 | 86,416건 | 1654s
[06:40:59]   2800/18401동 | 88,525건 | 1698s
[06:41:21]   2900/18401동 | 88,858건 | 1721s
[06:41:33]   3000/18401동 | 88,858건 | 1732s
[06:42:35]   3100/18401동 | 90,361건 | 1794s
[06:44:03]   3200/18401동 | 93,987건 | 1882s
[06:45:30]   3300/18401동 | 95,909건 | 1969s
[06:45:38]   3400/18401동 | 95,961건 | 1977s
[06:45:42]   3500/18401동 | 96,015건 | 1981s
[06:46:27]   3600/18401동 | 96,567건 | 2026s
[06:47:08]   3700/18401동 | 97,574건 | 2067s
[06:48:20]   3800/18401동 | 98,663건 | 2140s
[06:49:02]   3900/18401동 | 98,712건 | 2181s
[06:49:09]   4000/18401동 | 98,746건 | 2188s
[06:49:15]   4100/18401동 | 99,145건 | 2194s
[06:49:18]   4200/18401동 | 99,162건 | 2197s
[06:49:24]   4300/18401동 | 99,290건 | 2203s
[06:49:31]   4400/18401동 | 99,394건 | 2210s
[06:49:39]   4500/18401동 | 99,404건 | 2218s
[06:49:44]   4600/18401동 | 99,476건 | 2223s
[06:49:48]   4700/18401동 | 99,517건 | 2228s
[06:49:51]   4800/18401동 | 99,517건 | 2230s
[06:50:08]   4900/18401동 | 100,540건 | 2247s
[06:50:33]   5000/18401동 | 100,818건 | 2272s
[06:50:35]   5100/18401동 | 100,818건 | 2274s
[06:50:38]   5200/18401동 | 100,818건 | 2277s
[06:50:41]   5300/18401동 | 100,835건 | 2280s
[06:51:19]   5400/18401동 | 103,282건 | 2318s
[06:51:27]   5500/18401동 | 103,287건 | 2326s
[06:51:30]   5600/18401동 | 103,287건 | 2329s
[06:51:47]   5700/18401동 | 103,455건 | 2346s
[06:51:54]   5800/18401동 | 103,456건 | 2353s
[06:51:57]   5900/18401동 | 103,480건 | 2357s
[06:52:00]   6000/18401동 | 103,480건 | 2359s
[06:52:09]   6100/18401동 | 103,615건 | 2368s
[06:52:22]   6200/18401동 | 103,617건 | 2382s
[06:52:25]   6300/18401동 | 103,630건 | 2385s
[06:52:29]   6400/18401동 | 103,631건 | 2388s
[06:55:59]   6500/18401동 | 106,768건 | 2599s
[06:56:15]   6600/18401동 | 106,912건 | 2614s
[06:56:26]   6700/18401동 | 107,029건 | 2625s
[06:56:34]   6800/18401동 | 107,216건 | 2633s
[06:56:42]   6900/18401동 | 107,216건 | 2641s
[06:56:46]   7000/18401동 | 107,218건 | 2645s
[06:56:50]   7100/18401동 | 107,218건 | 2649s
[06:56:53]   7200/18401동 | 107,218건 | 2652s
[06:56:56]   7300/18401동 | 107,243건 | 2655s
[06:56:59]   7400/18401동 | 107,243건 | 2658s
[06:57:15]   7500/18401동 | 107,418건 | 2674s
[06:57:20]   7600/18401동 | 107,418건 | 2679s
[06:57:23]   7700/18401동 | 107,428건 | 2682s
[06:57:28]   7800/18401동 | 107,495건 | 2687s
[06:57:39]   7900/18401동 | 107,495건 | 2698s
[06:57:44]   8000/18401동 | 107,590건 | 2703s
[06:57:48]   8100/18401동 | 107,634건 | 2707s
[06:57:50]   8200/18401동 | 107,634건 | 2710s
[06:57:56]   8300/18401동 | 107,926건 | 2715s
[06:58:08]   8400/18401동 | 108,310건 | 2728s
[06:58:14]   8500/18401동 | 108,310건 | 2734s
[06:58:18]   8600/18401동 | 108,315건 | 2737s
[06:58:22]   8700/18401동 | 108,316건 | 2741s
[06:58:26]   8800/18401동 | 108,316건 | 2745s
[06:58:29]   8900/18401동 | 108,316건 | 2748s
[06:58:34]   9000/18401동 | 108,438건 | 2754s
[06:58:41]   9100/18401동 | 108,438건 | 2760s
[06:58:50]   9200/18401동 | 108,593건 | 2769s
[06:58:53]   9300/18401동 | 108,593건 | 2772s
[06:58:56]   9400/18401동 | 108,602건 | 2775s
[06:58:59]   9500/18401동 | 108,602건 | 2778s
[06:59:02]   9600/18401동 | 108,602건 | 2781s
[06:59:05]   9700/18401동 | 108,603건 | 2784s
[06:59:08]   9800/18401동 | 108,603건 | 2788s
[06:59:12]   9900/18401동 | 108,603건 | 2791s
[06:59:14]   10000/18401동 | 108,603건 | 2794s
[06:59:26]   10100/18401동 | 108,706건 | 2805s
[06:59:30]   10200/18401동 | 108,710건 | 2809s
[06:59:32]   10300/18401동 | 108,712건 | 2811s
[06:59:35]   10400/18401동 | 108,717건 | 2814s
[06:59:38]   10500/18401동 | 108,717건 | 2818s
[06:59:41]   10600/18401동 | 108,717건 | 2820s
[06:59:44]   10700/18401동 | 108,718건 | 2824s
[06:59:55]   10800/18401동 | 108,827건 | 2834s
[07:00:32]   10900/18401동 | 111,628건 | 2871s
[07:01:57]   11000/18401동 | 111,628건 | 2956s
[07:02:01]   11100/18401동 | 111,628건 | 2960s
[07:02:47]   11200/18401동 | 112,919건 | 3006s
[07:02:59]   11300/18401동 | 112,919건 | 3018s
[07:03:02]   11400/18401동 | 112,927건 | 3021s
[07:03:06]   11500/18401동 | 112,932건 | 3025s
[07:03:12]   11600/18401동 | 113,085건 | 3031s
[07:03:32]   11700/18401동 | 113,354건 | 3051s
[07:03:41]   11800/18401동 | 113,369건 | 3060s
[07:03:50]   11900/18401동 | 113,612건 | 3070s
[07:04:06]   12000/18401동 | 113,612건 | 3085s
[07:04:11]   12100/18401동 | 113,621건 | 3090s
[07:04:13]   12200/18401동 | 113,621건 | 3092s
[07:04:16]   12300/18401동 | 113,649건 | 3095s
[07:04:19]   12400/18401동 | 113,649건 | 3098s
[07:04:22]   12500/18401동 | 113,649건 | 3101s
[07:04:25]   12600/18401동 | 113,649건 | 3104s
[07:04:34]   12700/18401동 | 114,052건 | 3113s
[07:04:37]   12800/18401동 | 114,056건 | 3116s
[07:04:41]   12900/18401동 | 114,058건 | 3120s
[07:04:44]   13000/18401동 | 114,058건 | 3123s
[07:04:48]   13100/18401동 | 114,058건 | 3127s
[07:04:51]   13200/18401동 | 114,058건 | 3130s
[07:04:54]   13300/18401동 | 114,058건 | 3134s
[07:04:57]   13400/18401동 | 114,058건 | 3136s
[07:05:00]   13500/18401동 | 114,058건 | 3139s
[07:05:02]   13600/18401동 | 114,070건 | 3142s
