[06:48:27] 캐시 로드: 0개 완료 항목
[06:48:27] ==============================================================
[06:48:27]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:48:27]   precision: 5 → 7 | 세분화 임계: 400건
[06:48:27]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260905
[06:48:27] ==============================================================
[06:48:27] 지오해시 타일: 16891개 (precision=5)
[06:48:27] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:48:38]   읍면동 18401개 확인
[06:49:09]   100/18401동 | 2,115건 | 42s
[06:49:16]   200/18401동 | 2,234건 | 48s
[06:49:45]   300/18401동 | 4,061건 | 78s
[06:50:40]   400/18401동 | 8,549건 | 132s
[06:51:50]   500/18401동 | 13,959건 | 202s
[06:53:16]   600/18401동 | 20,453건 | 288s
[06:56:26]   700/18401동 | 26,667건 | 479s
[06:57:11]   800/18401동 | 29,251건 | 524s
[06:57:46]   900/18401동 | 30,404건 | 559s
[06:58:03]   1000/18401동 | 30,405건 | 576s
[06:58:24]   1100/18401동 | 31,249건 | 596s
[07:00:44]   1200/18401동 | 39,253건 | 736s
[07:01:30]   1300/18401동 | 44,100건 | 783s
[07:02:43]   1400/18401동 | 49,005건 | 855s
[07:03:41]   1500/18401동 | 50,416건 | 913s
[07:04:26]   1600/18401동 | 53,704건 | 958s
[07:04:54]   1700/18401동 | 55,485건 | 987s
[07:05:48]   1800/18401동 | 58,478건 | 1040s
[07:06:16]   1900/18401동 | 59,308건 | 1069s
[07:07:15]   2000/18401동 | 62,316건 | 1127s
[07:08:07]   2100/18401동 | 62,667건 | 1180s
[07:09:07]   2200/18401동 | 65,828건 | 1239s
[07:11:16]   2300/18401동 | 74,603건 | 1369s
[07:13:13]   2400/18401동 | 74,651건 | 1486s
[07:15:05]   2500/18401동 | 81,751건 | 1597s
[07:17:33]   2600/18401동 | 86,152건 | 1746s
[07:18:52]   2700/18401동 | 91,002건 | 1825s
[07:20:07]   2800/18401동 | 94,050건 | 1900s
[07:20:43]   2900/18401동 | 94,626건 | 1936s
[07:21:32]   3000/18401동 | 94,626건 | 1985s
[07:22:04]   3100/18401동 | 96,288건 | 2017s
[07:23:13]   3200/18401동 | 96,289건 | 2086s
[07:23:54]   3300/18401동 | 96,922건 | 2127s
[07:24:13]   3400/18401동 | 97,315건 | 2146s
[07:24:32]   3500/18401동 | 97,315건 | 2165s
[07:25:36]   3600/18401동 | 99,425건 | 2229s
[07:25:38]   3700/18401동 | 99,425건 | 2231s
[07:26:33]   3800/18401동 | 100,335건 | 2286s
[07:27:41]   3900/18401동 | 102,678건 | 2353s
[07:27:44]   4000/18401동 | 102,694건 | 2357s
[07:27:51]   4100/18401동 | 102,717건 | 2364s
[07:28:03]   4200/18401동 | 102,830건 | 2375s
[07:28:13]   4300/18401동 | 103,139건 | 2385s
[07:28:47]   4400/18401동 | 103,814건 | 2420s
[07:28:51]   4500/18401동 | 103,814건 | 2424s
[07:28:55]   4600/18401동 | 103,837건 | 2427s
[07:28:58]   4700/18401동 | 103,863건 | 2430s
[07:29:06]   4800/18401동 | 104,087건 | 2438s
[07:29:08]   4900/18401동 | 104,347건 | 2441s
[07:29:14]   5000/18401동 | 104,619건 | 2447s
[07:29:17]   5100/18401동 | 104,694건 | 2449s
[07:29:20]   5200/18401동 | 104,732건 | 2452s
[07:29:22]   5300/18401동 | 104,768건 | 2455s
[07:29:25]   5400/18401동 | 104,768건 | 2458s
[07:29:44]   5500/18401동 | 104,929건 | 2476s
[07:29:46]   5600/18401동 | 104,929건 | 2479s
[07:30:15]   5700/18401동 | 106,853건 | 2507s
