[04:37:20] 캐시 로드: 0개 완료 항목
[04:37:20] ==============================================================
[04:37:20]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[04:37:20]   precision: 5 → 7 | 세분화 임계: 400건
[04:37:20]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260409
[04:37:20] ==============================================================
[04:37:20] 지오해시 타일: 16891개 (precision=5)
[04:37:20] 
[1/3] 아파트 수집 ─────────────────────────────────
[04:37:29]   읍면동 18401개 확인
[04:37:42]   100/18401동 | 936건 | 22s
[04:38:08]   200/18401동 | 2,414건 | 48s
[04:38:20]   300/18401동 | 3,300건 | 60s
[04:39:22]   400/18401동 | 9,035건 | 121s
[04:40:13]   500/18401동 | 12,567건 | 173s
[04:41:28]   600/18401동 | 18,670건 | 247s
[04:42:23]   700/18401동 | 22,108건 | 303s
[04:44:10]   800/18401동 | 25,769건 | 409s
[04:44:39]   900/18401동 | 27,531건 | 438s
[04:45:02]   1000/18401동 | 28,767건 | 462s
[04:45:32]   1100/18401동 | 29,846건 | 491s
[04:47:04]   1200/18401동 | 34,022건 | 583s
[04:48:35]   1300/18401동 | 42,246건 | 675s
[04:48:42]   1400/18401동 | 42,292건 | 681s
[04:49:27]   1500/18401동 | 45,605건 | 726s
[04:49:41]   1600/18401동 | 46,183건 | 740s
[04:50:20]   1700/18401동 | 48,370건 | 779s
[04:51:06]   1800/18401동 | 51,526건 | 825s
[04:51:52]   1900/18401동 | 55,423건 | 872s
[04:52:47]   2000/18401동 | 55,892건 | 926s
[04:53:34]   2100/18401동 | 58,343건 | 974s
[04:54:09]   2200/18401동 | 59,017건 | 1008s
[04:55:15]   2300/18401동 | 64,586건 | 1074s
[04:57:44]   2400/18401동 | 72,169건 | 1224s
[04:59:26]   2500/18401동 | 75,677건 | 1326s
[05:00:44]   2600/18401동 | 80,913건 | 1404s
[05:03:04]   2700/18401동 | 84,259건 | 1544s
[05:04:06]   2800/18401동 | 86,597건 | 1606s
[05:04:23]   2900/18401동 | 86,937건 | 1623s
[05:05:31]   3000/18401동 | 90,171건 | 1691s
[05:06:13]   3100/18401동 | 92,422건 | 1733s
[05:07:09]   3200/18401동 | 92,424건 | 1789s
[05:07:57]   3300/18401동 | 93,158건 | 1836s
[05:08:43]   3400/18401동 | 93,970건 | 1883s
[05:08:59]   3500/18401동 | 94,995건 | 1899s
[05:09:20]   3600/18401동 | 95,674건 | 1920s
[05:10:13]   3700/18401동 | 95,681건 | 1972s
[05:10:18]   3800/18401동 | 95,698건 | 1978s
[05:10:55]   3900/18401동 | 96,944건 | 2014s
[05:11:32]   4000/18401동 | 97,058건 | 2052s
[05:11:40]   4100/18401동 | 97,110건 | 2060s
[05:11:42]   4200/18401동 | 97,110건 | 2062s
[05:11:47]   4300/18401동 | 97,209건 | 2067s
[05:11:50]   4400/18401동 | 97,279건 | 2070s
[05:11:54]   4500/18401동 | 97,297건 | 2074s
[05:12:01]   4600/18401동 | 97,485건 | 2081s
[05:12:08]   4700/18401동 | 98,087건 | 2088s
[05:12:38]   4800/18401동 | 98,935건 | 2118s
[05:12:40]   4900/18401동 | 98,940건 | 2120s
[05:12:44]   5000/18401동 | 98,976건 | 2123s
[05:12:46]   5100/18401동 | 98,976건 | 2125s
[05:12:48]   5200/18401동 | 98,976건 | 2128s
[05:12:50]   5300/18401동 | 98,985건 | 2129s
[05:12:53]   5400/18401동 | 98,985건 | 2133s
[05:12:56]   5500/18401동 | 98,985건 | 2135s
[05:13:02]   5600/18401동 | 99,184건 | 2142s
[05:13:25]   5700/18401동 | 99,318건 | 2164s
[05:13:36]   5800/18401동 | 99,336건 | 2175s
[05:13:38]   5900/18401동 | 99,343건 | 2178s
[05:13:41]   6000/18401동 | 99,344건 | 2180s
[05:13:43]   6100/18401동 | 99,344건 | 2183s
[05:13:57]   6200/18401동 | 99,912건 | 2197s
[05:14:19]   6300/18401동 | 101,418건 | 2218s
[05:14:22]   6400/18401동 | 101,419건 | 2222s
[05:14:25]   6500/18401동 | 101,439건 | 2225s
[05:14:27]   6600/18401동 | 101,439건 | 2227s
[05:14:33]   6700/18401동 | 101,588건 | 2233s
[05:14:41]   6800/18401동 | 101,602건 | 2240s
[05:14:55]   6900/18401동 | 102,215건 | 2254s
[05:17:28]   7000/18401동 | 104,494건 | 2407s
[05:17:38]   7100/18401동 | 104,743건 | 2418s
[05:17:45]   7200/18401동 | 104,743건 | 2424s
[05:17:49]   7300/18401동 | 104,785건 | 2428s
[05:17:51]   7400/18401동 | 104,785건 | 2431s
[05:17:54]   7500/18401동 | 104,791건 | 2433s
[05:17:57]   7600/18401동 | 104,791건 | 2436s
[05:18:00]   7700/18401동 | 104,791건 | 2439s
[05:18:04]   7800/18401동 | 104,875건 | 2444s
[05:18:11]   7900/18401동 | 105,023건 | 2450s
[05:18:19]   8000/18401동 | 105,023건 | 2459s
[05:18:23]   8100/18401동 | 105,027건 | 2463s
[05:18:29]   8200/18401동 | 105,234건 | 2469s
[05:18:34]   8300/18401동 | 105,442건 | 2474s
[05:18:51]   8400/18401동 | 105,834건 | 2490s
[05:18:57]   8500/18401동 | 105,834건 | 2497s
[05:18:59]   8600/18401동 | 105,834건 | 2499s
[05:19:02]   8700/18401동 | 105,834건 | 2502s
[05:19:09]   8800/18401동 | 106,012건 | 2508s
[05:19:13]   8900/18401동 | 106,130건 | 2513s
[05:19:20]   9000/18401동 | 106,130건 | 2519s
[05:19:23]   9100/18401동 | 106,130건 | 2522s
[05:19:25]   9200/18401동 | 106,131건 | 2524s
[05:19:27]   9300/18401동 | 106,138건 | 2527s
[05:19:30]   9400/18401동 | 106,138건 | 2530s
[05:19:33]   9500/18401동 | 106,141건 | 2532s
[05:19:36]   9600/18401동 | 106,142건 | 2535s
[05:19:39]   9700/18401동 | 106,142건 | 2539s
[05:19:42]   9800/18401동 | 106,142건 | 2542s
[05:19:46]   9900/18401동 | 106,146건 | 2545s
[05:19:49]   10000/18401동 | 106,147건 | 2548s
[05:19:52]   10100/18401동 | 106,152건 | 2551s
[05:19:54]   10200/18401동 | 106,152건 | 2554s
[05:20:04]   10300/18401동 | 106,256건 | 2564s
[05:20:07]   10400/18401동 | 106,256건 | 2567s
[05:20:10]   10500/18401동 | 106,256건 | 2569s
[05:20:13]   10600/18401동 | 106,256건 | 2572s
[05:20:21]   10700/18401동 | 106,357건 | 2581s
