[05:16:40] 캐시 로드: 0개 완료 항목
[05:16:40] ==============================================================
[05:16:40]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:16:40]   precision: 5 → 7 | 세분화 임계: 400건
[05:16:40]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260711
[05:16:40] ==============================================================
[05:16:40] 지오해시 타일: 16891개 (precision=5)
[05:16:40] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:16:51]   읍면동 18401개 확인
[05:17:08]   100/18401동 | 826건 | 28s
[05:17:25]   200/18401동 | 1,974건 | 45s
[05:17:44]   300/18401동 | 3,702건 | 63s
[05:18:21]   400/18401동 | 6,593건 | 101s
[05:19:34]   500/18401동 | 12,403건 | 173s
[05:21:05]   600/18401동 | 19,351건 | 265s
[05:22:34]   700/18401동 | 25,970건 | 354s
[05:24:14]   800/18401동 | 26,751건 | 454s
[05:24:35]   900/18401동 | 27,700건 | 475s
[05:25:59]   1000/18401동 | 33,931건 | 559s
[05:26:32]   1100/18401동 | 34,409건 | 592s
[05:27:07]   1200/18401동 | 38,585건 | 627s
[05:27:58]   1300/18401동 | 41,606건 | 678s
[05:29:13]   1400/18401동 | 46,198건 | 753s
[05:29:47]   1500/18401동 | 47,434건 | 787s
[05:30:27]   1600/18401동 | 50,810건 | 826s
[05:30:39]   1700/18401동 | 51,235건 | 839s
[05:31:31]   1800/18401동 | 54,437건 | 891s
[05:31:57]   1900/18401동 | 55,154건 | 917s
[05:32:50]   2000/18401동 | 58,143건 | 970s
[05:33:35]   2100/18401동 | 58,145건 | 1015s
[05:35:00]   2200/18401동 | 63,690건 | 1099s
[05:37:06]   2300/18401동 | 71,849건 | 1226s
[05:38:33]   2400/18401동 | 71,904건 | 1313s
[05:39:39]   2500/18401동 | 76,540건 | 1379s
[05:41:59]   2600/18401동 | 83,843건 | 1519s
[05:43:30]   2700/18401동 | 86,610건 | 1610s
[05:44:24]   2800/18401동 | 88,835건 | 1664s
[05:45:04]   2900/18401동 | 89,941건 | 1704s
[05:46:10]   3000/18401동 | 92,237건 | 1770s
[05:47:13]   3100/18401동 | 93,241건 | 1833s
[05:47:41]   3200/18401동 | 93,634건 | 1860s
[05:48:13]   3300/18401동 | 95,376건 | 1893s
[05:49:01]   3400/18401동 | 95,499건 | 1941s
[05:49:41]   3500/18401동 | 95,543건 | 1980s
[05:49:48]   3600/18401동 | 95,693건 | 1988s
[05:50:29]   3700/18401동 | 96,157건 | 2029s
[05:50:57]   3800/18401동 | 96,224건 | 2057s
[05:50:59]   3900/18401동 | 96,224건 | 2059s
[05:51:02]   4000/18401동 | 96,243건 | 2062s
[05:51:49]   4100/18401동 | 98,618건 | 2109s
[05:52:17]   4200/18401동 | 99,604건 | 2137s
[05:52:30]   4300/18401동 | 99,750건 | 2150s
[05:52:39]   4400/18401동 | 99,756건 | 2159s
[05:52:48]   4500/18401동 | 100,239건 | 2168s
[05:52:55]   4600/18401동 | 100,367건 | 2175s
[05:52:57]   4700/18401동 | 100,367건 | 2177s
[05:52:59]   4800/18401동 | 100,367건 | 2179s
[05:53:01]   4900/18401동 | 100,371건 | 2181s
[05:53:04]   5000/18401동 | 100,375건 | 2184s
[05:53:08]   5100/18401동 | 100,428건 | 2188s
[05:53:13]   5200/18401동 | 100,446건 | 2193s
[05:53:17]   5300/18401동 | 100,480건 | 2197s
[05:53:20]   5400/18401동 | 100,480건 | 2200s
[05:53:22]   5500/18401동 | 100,480건 | 2202s
[05:53:29]   5600/18401동 | 100,669건 | 2209s
[05:53:54]   5700/18401동 | 101,354건 | 2234s
[05:54:17]   5800/18401동 | 102,176건 | 2257s
[05:54:31]   5900/18401동 | 103,248건 | 2271s
[05:54:33]   6000/18401동 | 103,248건 | 2273s
[05:54:40]   6100/18401동 | 103,380건 | 2280s
[05:54:53]   6200/18401동 | 103,448건 | 2293s
[05:54:56]   6300/18401동 | 103,464건 | 2296s
[05:54:59]   6400/18401동 | 103,465건 | 2299s
[05:55:09]   6500/18401동 | 103,704건 | 2309s
[05:55:14]   6600/18401동 | 103,768건 | 2313s
[05:55:16]   6700/18401동 | 103,781건 | 2316s
[05:55:19]   6800/18401동 | 103,791건 | 2319s
[05:55:22]   6900/18401동 | 103,791건 | 2322s
[05:58:33]   7000/18401동 | 106,791건 | 2513s
[05:58:38]   7100/18401동 | 106,792건 | 2518s
[05:58:41]   7200/18401동 | 106,792건 | 2521s
[05:58:45]   7300/18401동 | 106,893건 | 2525s
[05:58:52]   7400/18401동 | 106,949건 | 2532s
[05:58:57]   7500/18401동 | 106,955건 | 2537s
[05:59:00]   7600/18401동 | 106,955건 | 2540s
[05:59:03]   7700/18401동 | 106,955건 | 2543s
[05:59:07]   7800/18401동 | 107,046건 | 2547s
[05:59:15]   7900/18401동 | 107,233건 | 2554s
[05:59:25]   8000/18401동 | 107,233건 | 2565s
[05:59:28]   8100/18401동 | 107,297건 | 2568s
[05:59:36]   8200/18401동 | 107,297건 | 2576s
[05:59:51]   8300/18401동 | 107,623건 | 2591s
[05:59:54]   8400/18401동 | 107,623건 | 2593s
[05:59:58]   8500/18401동 | 107,663건 | 2598s
[06:00:02]   8600/18401동 | 107,761건 | 2602s
[06:00:06]   8700/18401동 | 107,949건 | 2605s
[06:00:09]   8800/18401동 | 107,949건 | 2608s
