[07:16:07] 캐시 로드: 0개 완료 항목
[07:16:07] ==============================================================
[07:16:07]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[07:16:07]   precision: 5 → 7 | 세분화 임계: 400건
[07:16:07]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260617
[07:16:07] ==============================================================
[07:16:07] 지오해시 타일: 16891개 (precision=5)
[07:16:07] 
[1/3] 아파트 수집 ─────────────────────────────────
[07:16:18]   읍면동 18401개 확인
[07:16:38]   100/18401동 | 990건 | 31s
[07:16:56]   200/18401동 | 2,106건 | 49s
[07:17:05]   300/18401동 | 2,424건 | 59s
[07:18:12]   400/18401동 | 7,430건 | 125s
[07:19:15]   500/18401동 | 12,060건 | 188s
[07:20:59]   600/18401동 | 19,667건 | 293s
[07:22:02]   700/18401동 | 24,218건 | 355s
[07:24:22]   800/18401동 | 26,131건 | 496s
[07:25:27]   900/18401동 | 30,136건 | 560s
[07:25:32]   1000/18401동 | 30,137건 | 566s
[07:26:04]   1100/18401동 | 30,901건 | 597s
[07:27:29]   1200/18401동 | 35,854건 | 682s
[07:29:32]   1300/18401동 | 43,794건 | 805s
[07:29:51]   1400/18401동 | 44,366건 | 825s
[07:31:06]   1500/18401동 | 48,868건 | 899s
[07:31:43]   1600/18401동 | 50,557건 | 937s
[07:32:08]   1700/18401동 | 51,599건 | 961s
[07:33:01]   1800/18401동 | 55,049건 | 1014s
[07:34:15]   1900/18401동 | 56,781건 | 1089s
[07:35:09]   2000/18401동 | 60,120건 | 1142s
[07:35:38]   2100/18401동 | 60,551건 | 1172s
[07:36:40]   2200/18401동 | 63,259건 | 1233s
[07:37:47]   2300/18401동 | 67,942건 | 1300s
[07:40:06]   2400/18401동 | 72,885건 | 1439s
[07:41:52]   2500/18401동 | 76,315건 | 1545s
[07:44:45]   2600/18401동 | 81,444건 | 1718s
[07:46:11]   2700/18401동 | 86,493건 | 1805s
[07:47:23]   2800/18401동 | 88,412건 | 1876s
[07:47:57]   2900/18401동 | 89,921건 | 1911s
[07:48:22]   3000/18401동 | 90,605건 | 1936s
[07:48:47]   3100/18401동 | 90,605건 | 1960s
[07:50:34]   3200/18401동 | 94,906건 | 2067s
[07:51:01]   3300/18401동 | 95,516건 | 2095s
[07:51:54]   3400/18401동 | 95,516건 | 2148s
[07:52:34]   3500/18401동 | 97,485건 | 2188s
[07:53:33]   3600/18401동 | 97,486건 | 2247s
[07:54:54]   3700/18401동 | 98,544건 | 2328s
