[05:18:30] 캐시 로드: 0개 완료 항목
[05:18:30] ==============================================================
[05:18:30]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:18:30]   precision: 5 → 7 | 세분화 임계: 400건
[05:18:30]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260728
[05:18:30] ==============================================================
[05:18:30] 지오해시 타일: 16891개 (precision=5)
[05:18:30] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:18:42]   읍면동 18401개 확인
[05:18:53]   100/18401동 | 665건 | 23s
[05:19:02]   200/18401동 | 1,000건 | 32s
[05:19:42]   300/18401동 | 3,479건 | 72s
[05:20:43]   400/18401동 | 8,066건 | 133s
[05:21:35]   500/18401동 | 12,492건 | 185s
[05:23:22]   600/18401동 | 20,548건 | 292s
[05:26:01]   700/18401동 | 25,154건 | 451s
[05:26:37]   800/18401동 | 27,759건 | 487s
[05:27:37]   900/18401동 | 31,369건 | 547s
[05:28:03]   1000/18401동 | 33,093건 | 573s
[05:29:01]   1100/18401동 | 35,226건 | 631s
[05:29:50]   1200/18401동 | 37,119건 | 680s
[05:31:20]   1300/18401동 | 44,710건 | 770s
[05:32:02]   1400/18401동 | 45,970건 | 811s
[05:32:50]   1500/18401동 | 49,496건 | 860s
[05:33:33]   1600/18401동 | 51,836건 | 903s
[05:33:58]   1700/18401동 | 52,917건 | 927s
[05:34:52]   1800/18401동 | 56,248건 | 982s
[05:35:28]   1900/18401동 | 58,407건 | 1017s
[05:35:54]   2000/18401동 | 58,407건 | 1044s
[05:37:24]   2100/18401동 | 61,382건 | 1134s
[05:38:11]   2200/18401동 | 63,334건 | 1181s
[05:39:11]   2300/18401동 | 67,797건 | 1241s
[05:41:40]   2400/18401동 | 74,353건 | 1390s
[05:43:15]   2500/18401동 | 76,393건 | 1485s
[05:46:18]   2600/18401동 | 82,083건 | 1667s
[05:47:54]   2700/18401동 | 88,438건 | 1764s
[05:48:38]   2800/18401동 | 89,596건 | 1808s
[05:49:25]   2900/18401동 | 92,132건 | 1855s
[05:50:27]   3000/18401동 | 92,133건 | 1917s
[05:51:10]   3100/18401동 | 92,804건 | 1959s
[05:51:30]   3200/18401동 | 93,180건 | 1980s
[05:51:44]   3300/18401동 | 93,180건 | 1994s
[05:52:41]   3400/18401동 | 95,582건 | 2050s
[05:53:37]   3500/18401동 | 96,015건 | 2107s
[05:54:50]   3600/18401동 | 98,313건 | 2180s
[05:55:03]   3700/18401동 | 98,355건 | 2193s
[05:55:55]   3800/18401동 | 99,263건 | 2244s
[05:56:20]   3900/18401동 | 99,323건 | 2270s
[05:56:24]   4000/18401동 | 99,354건 | 2273s
[05:56:33]   4100/18401동 | 99,476건 | 2282s
[05:56:47]   4200/18401동 | 99,723건 | 2296s
[05:56:52]   4300/18401동 | 100,084건 | 2301s
[05:56:56]   4400/18401동 | 100,100건 | 2305s
[05:56:59]   4500/18401동 | 100,101건 | 2308s
[05:57:02]   4600/18401동 | 100,135건 | 2311s
[05:57:09]   4700/18401동 | 100,513건 | 2319s
[05:57:11]   4800/18401동 | 100,513건 | 2321s
[05:57:45]   4900/18401동 | 101,376건 | 2355s
[05:57:51]   5000/18401동 | 101,442건 | 2361s
[05:57:55]   5100/18401동 | 101,442건 | 2365s
[05:57:58]   5200/18401동 | 101,442건 | 2368s
[05:58:09]   5300/18401동 | 101,607건 | 2378s
[05:58:22]   5400/18401동 | 101,612건 | 2392s
[05:58:25]   5500/18401동 | 101,629건 | 2395s
[05:58:28]   5600/18401동 | 101,634건 | 2398s
[05:58:45]   5700/18401동 | 102,337건 | 2414s
[05:58:50]   5800/18401동 | 102,339건 | 2420s
[05:58:53]   5900/18401동 | 102,342건 | 2423s
[05:58:56]   6000/18401동 | 102,359건 | 2426s
[05:59:01]   6100/18401동 | 102,487건 | 2431s
[05:59:19]   6200/18401동 | 102,556건 | 2449s
[06:02:42]   6300/18401동 | 105,442건 | 2652s
[06:03:12]   6400/18401동 | 106,270건 | 2681s
[06:03:26]   6500/18401동 | 107,377건 | 2695s
[06:03:28]   6600/18401동 | 107,377건 | 2698s
[06:03:33]   6700/18401동 | 107,391건 | 2703s
[06:03:40]   6800/18401동 | 107,552건 | 2709s
[06:03:50]   6900/18401동 | 107,635건 | 2720s
[06:03:55]   7000/18401동 | 107,692건 | 2724s
[06:03:57]   7100/18401동 | 107,692건 | 2727s
[06:04:00]   7200/18401동 | 107,701건 | 2730s
[06:04:06]   7300/18401동 | 107,850건 | 2736s
[06:04:14]   7400/18401동 | 107,850건 | 2743s
[06:04:19]   7500/18401동 | 107,913건 | 2748s
[06:04:29]   7600/18401동 | 107,913건 | 2759s
[06:04:32]   7700/18401동 | 107,915건 | 2761s
[06:04:35]   7800/18401동 | 107,915건 | 2765s
[06:04:38]   7900/18401동 | 107,915건 | 2768s
[06:04:44]   8000/18401동 | 108,051건 | 2774s
[06:04:59]   8100/18401동 | 108,431건 | 2789s
[06:05:03]   8200/18401동 | 108,434건 | 2793s
[06:05:08]   8300/18401동 | 108,553건 | 2798s
[06:05:16]   8400/18401동 | 108,553건 | 2806s
[06:05:20]   8500/18401동 | 108,554건 | 2810s
[06:05:24]   8600/18401동 | 108,579건 | 2813s
[06:05:28]   8700/18401동 | 108,643건 | 2818s
[06:05:42]   8800/18401동 | 108,964건 | 2832s
[06:05:45]   8900/18401동 | 108,964건 | 2835s
[06:05:53]   9000/18401동 | 109,112건 | 2842s
[06:05:56]   9100/18401동 | 109,112건 | 2845s
[06:05:59]   9200/18401동 | 109,112건 | 2848s
[06:06:03]   9300/18401동 | 109,116건 | 2852s
[06:06:06]   9400/18401동 | 109,120건 | 2856s
[06:06:10]   9500/18401동 | 109,121건 | 2860s
[06:06:13]   9600/18401동 | 109,121건 | 2862s
[06:06:15]   9700/18401동 | 109,125건 | 2865s
[06:06:18]   9800/18401동 | 109,125건 | 2868s
[06:06:21]   9900/18401동 | 109,126건 | 2871s
[06:06:25]   10000/18401동 | 109,126건 | 2874s
[06:06:27]   10100/18401동 | 109,128건 | 2877s
[06:06:31]   10200/18401동 | 109,128건 | 2880s
[06:06:33]   10300/18401동 | 109,130건 | 2883s
[06:06:37]   10400/18401동 | 109,131건 | 2886s
[06:06:50]   10500/18401동 | 109,243건 | 2900s
[06:06:53]   10600/18401동 | 109,246건 | 2903s
[06:07:02]   10700/18401동 | 109,312건 | 2911s
