[04:52:14] 캐시 로드: 0개 완료 항목
[04:52:14] ==============================================================
[04:52:14]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[04:52:14]   precision: 5 → 7 | 세분화 임계: 400건
[04:52:14]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260718
[04:52:14] ==============================================================
[04:52:14] 지오해시 타일: 16891개 (precision=5)
[04:52:14] 
[1/3] 아파트 수집 ─────────────────────────────────
[04:52:25]   읍면동 18401개 확인
[04:52:57]   100/18401동 | 2,065건 | 43s
[04:53:06]   200/18401동 | 2,347건 | 52s
[04:53:19]   300/18401동 | 3,162건 | 65s
[04:54:19]   400/18401동 | 7,915건 | 125s
[04:55:16]   500/18401동 | 12,876건 | 182s
[04:56:54]   600/18401동 | 20,171건 | 280s
[04:59:11]   700/18401동 | 25,700건 | 418s
[04:59:52]   800/18401동 | 26,522건 | 458s
[05:00:21]   900/18401동 | 28,185건 | 487s
[05:00:39]   1000/18401동 | 28,185건 | 505s
[05:01:10]   1100/18401동 | 30,119건 | 536s
[05:02:47]   1200/18401동 | 36,864건 | 633s
[05:03:52]   1300/18401동 | 40,162건 | 698s
[05:05:05]   1400/18401동 | 46,821건 | 771s
[05:05:43]   1500/18401동 | 49,126건 | 809s
[05:06:26]   1600/18401동 | 51,504건 | 852s
[05:06:49]   1700/18401동 | 52,791건 | 876s
[05:07:21]   1800/18401동 | 54,993건 | 907s
[05:07:45]   1900/18401동 | 54,993건 | 931s
[05:08:43]   2000/18401동 | 58,714건 | 989s
[05:10:05]   2100/18401동 | 61,986건 | 1071s
[05:10:35]   2200/18401동 | 63,886건 | 1101s
[05:12:12]   2300/18401동 | 71,182건 | 1198s
[05:14:00]   2400/18401동 | 72,861건 | 1307s
[05:15:02]   2500/18401동 | 75,819건 | 1368s
[05:17:36]   2600/18401동 | 84,302건 | 1522s
[05:19:03]   2700/18401동 | 87,376건 | 1609s
[05:19:55]   2800/18401동 | 89,288건 | 1661s
[05:20:32]   2900/18401동 | 90,402건 | 1698s
[05:20:54]   3000/18401동 | 90,800건 | 1720s
[05:21:10]   3100/18401동 | 90,800건 | 1736s
[05:22:15]   3200/18401동 | 93,255건 | 1801s
[05:22:52]   3300/18401동 | 93,726건 | 1838s
[05:23:40]   3400/18401동 | 94,684건 | 1886s
[05:24:52]   3500/18401동 | 96,395건 | 1959s
[05:25:36]   3600/18401동 | 96,523건 | 2002s
[05:26:51]   3700/18401동 | 98,681건 | 2077s
[05:27:00]   3800/18401동 | 98,723건 | 2087s
[05:27:06]   3900/18401동 | 98,754건 | 2092s
[05:27:17]   4000/18401동 | 98,875건 | 2103s
[05:27:28]   4100/18401동 | 99,121건 | 2114s
[05:28:01]   4200/18401동 | 100,244건 | 2147s
[05:28:06]   4300/18401동 | 100,307건 | 2152s
[05:28:09]   4400/18401동 | 100,325건 | 2155s
[05:28:16]   4500/18401동 | 100,698건 | 2162s
[05:28:21]   4600/18401동 | 100,820건 | 2167s
[05:28:23]   4700/18401동 | 100,824건 | 2169s
[05:28:25]   4800/18401동 | 100,824건 | 2171s
[05:28:28]   4900/18401동 | 100,824건 | 2174s
[05:28:32]   5000/18401동 | 100,889건 | 2178s
