[06:11:35] 캐시 로드: 0개 완료 항목
[06:11:35] ==============================================================
[06:11:35]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[06:11:35]   precision: 5 → 7 | 세분화 임계: 400건
[06:11:35]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260623
[06:11:35] ==============================================================
[06:11:35] 지오해시 타일: 16891개 (precision=5)
[06:11:35] 
[1/3] 아파트 수집 ─────────────────────────────────
[06:11:45]   읍면동 18401개 확인
[06:11:51]   100/18401동 | 180건 | 17s
[06:12:20]   200/18401동 | 2,129건 | 45s
[06:12:46]   300/18401동 | 3,543건 | 71s
[06:13:14]   400/18401동 | 6,411건 | 99s
[06:14:24]   500/18401동 | 12,161건 | 169s
[06:15:59]   600/18401동 | 19,182건 | 264s
[06:16:53]   700/18401동 | 23,757건 | 318s
[06:19:08]   800/18401동 | 26,142건 | 453s
[06:19:40]   900/18401동 | 27,992건 | 485s
[06:19:44]   1000/18401동 | 28,259건 | 489s
[06:20:43]   1100/18401동 | 32,198건 | 548s
[06:21:32]   1200/18401동 | 34,161건 | 597s
[06:21:42]   1300/18401동 | 34,230건 | 607s
[06:24:05]   1400/18401동 | 44,683건 | 750s
[06:25:05]   1500/18401동 | 48,018건 | 810s
[06:25:17]   1600/18401동 | 48,413건 | 822s
[06:26:00]   1700/18401동 | 51,121건 | 865s
[06:26:46]   1800/18401동 | 53,918건 | 911s
[06:27:52]   1900/18401동 | 58,618건 | 977s
[06:28:19]   2000/18401동 | 58,941건 | 1004s
[06:29:18]   2100/18401동 | 62,517건 | 1063s
[06:30:04]   2200/18401동 | 62,519건 | 1109s
[06:32:34]   2300/18401동 | 70,693건 | 1259s
[06:33:44]   2400/18401동 | 70,924건 | 1329s
[06:35:08]   2500/18401동 | 76,693건 | 1413s
[06:36:34]   2600/18401동 | 82,382건 | 1499s
[06:39:07]   2700/18401동 | 86,717건 | 1652s
[06:40:12]   2800/18401동 | 88,614건 | 1717s
[06:40:39]   2900/18401동 | 89,149건 | 1745s
[06:41:04]   3000/18401동 | 89,518건 | 1769s
[06:41:29]   3100/18401동 | 90,593건 | 1794s
[06:42:24]   3200/18401동 | 92,748건 | 1849s
[06:43:26]   3300/18401동 | 92,749건 | 1911s
[06:44:39]   3400/18401동 | 93,842건 | 1984s
[06:44:46]   3500/18401동 | 93,864건 | 1991s
[06:45:18]   3600/18401동 | 94,480건 | 2023s
[06:45:58]   3700/18401동 | 94,480건 | 2063s
[06:47:02]   3800/18401동 | 96,982건 | 2127s
[06:47:05]   3900/18401동 | 96,982건 | 2130s
[06:47:08]   4000/18401동 | 97,001건 | 2133s
[06:47:13]   4100/18401동 | 97,031건 | 2138s
[06:48:00]   4200/18401동 | 99,209건 | 2185s
[06:48:15]   4300/18401동 | 99,611건 | 2200s
[06:48:21]   4400/18401동 | 99,828건 | 2206s
[06:48:47]   4500/18401동 | 100,932건 | 2232s
[06:48:57]   4600/18401동 | 100,965건 | 2242s
[06:49:00]   4700/18401동 | 100,969건 | 2245s
[06:49:02]   4800/18401동 | 100,969건 | 2247s
[06:49:05]   4900/18401동 | 100,974건 | 2250s
[06:49:11]   5000/18401동 | 101,092건 | 2256s
[06:49:25]   5100/18401동 | 101,272건 | 2270s
[06:49:37]   5200/18401동 | 101,347건 | 2282s
[06:49:41]   5300/18401동 | 101,347건 | 2286s
[06:49:43]   5400/18401동 | 101,347건 | 2288s
[06:49:45]   5500/18401동 | 101,347건 | 2291s
[06:50:02]   5600/18401동 | 101,520건 | 2307s
[06:50:10]   5700/18401동 | 101,521건 | 2315s
[06:50:22]   5800/18401동 | 102,191건 | 2327s
[06:50:31]   5900/18401동 | 102,194건 | 2336s
[06:50:34]   6000/18401동 | 102,194건 | 2339s
[06:53:47]   6100/18401동 | 105,180건 | 2532s
[06:54:18]   6200/18401동 | 105,993건 | 2563s
[06:54:36]   6300/18401동 | 107,088건 | 2581s
[06:54:39]   6400/18401동 | 107,091건 | 2584s
[06:54:41]   6500/18401동 | 107,107건 | 2586s
[06:54:44]   6600/18401동 | 107,107건 | 2589s
[06:54:50]   6700/18401동 | 107,267건 | 2595s
[06:55:04]   6800/18401동 | 107,513건 | 2609s
[06:55:11]   6900/18401동 | 107,513건 | 2616s
[06:55:14]   7000/18401동 | 107,523건 | 2619s
[06:55:17]   7100/18401동 | 107,557건 | 2623s
[06:55:20]   7200/18401동 | 107,557건 | 2625s
[06:55:22]   7300/18401동 | 107,559건 | 2627s
[06:55:26]   7400/18401동 | 107,559건 | 2631s
[06:55:28]   7500/18401동 | 107,564건 | 2633s
[06:55:31]   7600/18401동 | 107,564건 | 2636s
[06:55:34]   7700/18401동 | 107,632건 | 2639s
[06:55:42]   7800/18401동 | 107,632건 | 2647s
[06:55:47]   7900/18401동 | 107,657건 | 2652s
[06:55:53]   8000/18401동 | 107,729건 | 2658s
[06:55:56]   8100/18401동 | 107,729건 | 2661s
[06:56:10]   8200/18401동 | 107,904건 | 2676s
[06:56:14]   8300/18401동 | 107,934건 | 2679s
[06:56:27]   8400/18401동 | 108,360건 | 2692s
[06:56:29]   8500/18401동 | 108,362건 | 2694s
[06:56:38]   8600/18401동 | 108,719건 | 2703s
[06:56:48]   8700/18401동 | 108,733건 | 2713s
[06:56:51]   8800/18401동 | 108,752건 | 2716s
[06:56:55]   8900/18401동 | 108,854건 | 2720s
[06:57:02]   9000/18401동 | 108,854건 | 2728s
[06:57:06]   9100/18401동 | 108,854건 | 2731s
[06:57:10]   9200/18401동 | 108,862건 | 2735s
[06:57:13]   9300/18401동 | 108,864건 | 2738s
[06:57:17]   9400/18401동 | 108,864건 | 2742s
[06:57:20]   9500/18401동 | 108,872건 | 2745s
[06:57:22]   9600/18401동 | 108,872건 | 2747s
[06:57:25]   9700/18401동 | 108,873건 | 2750s
[06:57:28]   9800/18401동 | 108,873건 | 2753s
[06:57:31]   9900/18401동 | 108,879건 | 2756s
[06:57:41]   10000/18401동 | 108,986건 | 2767s
[06:57:47]   10100/18401동 | 108,987건 | 2772s
[06:57:51]   10200/18401동 | 108,988건 | 2776s
[06:57:53]   10300/18401동 | 108,988건 | 2778s
[06:57:56]   10400/18401동 | 108,990건 | 2781s
[06:57:59]   10500/18401동 | 108,991건 | 2784s
[06:58:02]   10600/18401동 | 108,994건 | 2787s
[06:58:13]   10700/18401동 | 109,099건 | 2798s
[06:58:16]   10800/18401동 | 109,099건 | 2801s
[06:58:19]   10900/18401동 | 109,099건 | 2804s
[06:58:22]   11000/18401동 | 109,099건 | 2807s
[06:58:25]   11100/18401동 | 109,099건 | 2811s
[06:59:03]   11200/18401동 | 110,419건 | 2848s
[07:00:42]   11300/18401동 | 113,114건 | 2947s
[07:01:16]   11400/18401동 | 113,140건 | 2981s
[07:01:26]   11500/18401동 | 113,349건 | 2991s
[07:01:45]   11600/18401동 | 113,358건 | 3010s
[07:01:49]   11700/18401동 | 113,365건 | 3014s
[07:01:55]   11800/18401동 | 113,529건 | 3020s
[07:02:14]   11900/18401동 | 113,775건 | 3039s
[07:02:22]   12000/18401동 | 113,793건 | 3047s
[07:02:25]   12100/18401동 | 113,804건 | 3050s
[07:02:27]   12200/18401동 | 113,804건 | 3052s
[07:02:30]   12300/18401동 | 113,804건 | 3055s
[07:02:33]   12400/18401동 | 113,808건 | 3058s
[07:02:36]   12500/18401동 | 113,814건 | 3061s
[07:02:39]   12600/18401동 | 113,814건 | 3064s
[07:02:43]   12700/18401동 | 113,814건 | 3068s
[07:02:46]   12800/18401동 | 113,814건 | 3071s
[07:02:50]   12900/18401동 | 113,851건 | 3075s
[07:02:53]   13000/18401동 | 113,851건 | 3078s
[07:02:56]   13100/18401동 | 113,851건 | 3081s
[07:02:58]   13200/18401동 | 113,851건 | 3083s
[07:03:01]   13300/18401동 | 113,852건 | 3086s
[07:03:07]   13400/18401동 | 114,046건 | 3092s
[07:03:14]   13500/18401동 | 114,259건 | 3099s
[07:03:17]   13600/18401동 | 114,259건 | 3102s
[07:03:19]   13700/18401동 | 114,261건 | 3104s
[07:03:24]   13800/18401동 | 114,305건 | 3110s
[07:03:29]   13900/18401동 | 114,315건 | 3114s
[07:03:31]   14000/18401동 | 114,315건 | 3116s
[07:03:34]   14100/18401동 | 114,315건 | 3119s
[07:03:37]   14200/18401동 | 114,316건 | 3122s
[07:03:48]   14300/18401동 | 114,641건 | 3133s
[07:04:07]   14400/18401동 | 115,519건 | 3152s
[07:04:25]   14500/18401동 | 116,025건 | 3170s
[07:04:30]   14600/18401동 | 116,051건 | 3175s
[07:04:42]   14700/18401동 | 116,592건 | 3187s
[07:04:50]   14800/18401동 | 116,663건 | 3195s
[07:05:24]   14900/18401동 | 118,960건 | 3229s
[07:06:38]   15000/18401동 | 119,864건 | 3303s
