[05:32:33] 캐시 로드: 0개 완료 항목
[05:32:33] ==============================================================
[05:32:33]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:32:33]   precision: 5 → 7 | 세분화 임계: 400건
[05:32:33]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260712
[05:32:33] ==============================================================
[05:32:33] 지오해시 타일: 16891개 (precision=5)
[05:32:33] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:32:44]   읍면동 18401개 확인
[05:33:11]   100/18401동 | 1,492건 | 39s
[05:33:20]   200/18401동 | 1,834건 | 47s
[05:33:41]   300/18401동 | 3,214건 | 68s
[05:34:52]   400/18401동 | 9,736건 | 140s
[05:35:29]   500/18401동 | 12,368건 | 176s
[05:37:04]   600/18401동 | 19,266건 | 271s
[05:39:15]   700/18401동 | 25,288건 | 402s
[05:39:58]   800/18401동 | 26,311건 | 445s
[05:40:33]   900/18401동 | 28,918건 | 480s
[05:41:37]   1000/18401동 | 33,800건 | 544s
[05:41:59]   1100/18401동 | 33,817건 | 566s
[05:42:07]   1200/18401동 | 34,133건 | 574s
[05:44:46]   1300/18401동 | 44,916건 | 733s
[05:44:52]   1400/18401동 | 45,016건 | 739s
[05:45:29]   1500/18401동 | 48,393건 | 776s
[05:45:51]   1600/18401동 | 49,351건 | 798s
[05:46:36]   1700/18401동 | 52,410건 | 844s
[05:47:15]   1800/18401동 | 54,341건 | 882s
[05:48:14]   1900/18401동 | 57,752건 | 941s
[05:49:09]   2000/18401동 | 59,524건 | 996s
[05:49:46]   2100/18401동 | 61,074건 | 1034s
[05:50:19]   2200/18401동 | 62,479건 | 1066s
[05:52:02]   2300/18401동 | 70,556건 | 1169s
[05:53:41]   2400/18401동 | 72,271건 | 1268s
[05:54:53]   2500/18401동 | 75,259건 | 1341s
[05:57:07]   2600/18401동 | 84,651건 | 1475s
[05:59:04]   2700/18401동 | 86,866건 | 1591s
[05:59:29]   2800/18401동 | 87,381건 | 1616s
[05:59:51]   2900/18401동 | 87,773건 | 1638s
[06:00:09]   3000/18401동 | 88,043건 | 1656s
[06:01:07]   3100/18401동 | 89,735건 | 1714s
[06:01:36]   3200/18401동 | 90,336건 | 1743s
[06:02:14]   3300/18401동 | 90,336건 | 1781s
