[08:46:26] 캐시 로드: 0개 완료 항목
[08:46:26] ==============================================================
[08:46:26]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[08:46:26]   precision: 5 → 7 | 세분화 임계: 400건
[08:46:26]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260829
[08:46:26] ==============================================================
[08:46:26] 지오해시 타일: 16891개 (precision=5)
[08:46:26] 
[1/3] 아파트 수집 ─────────────────────────────────
[08:46:36]   읍면동 18401개 확인
[08:46:46]   100/18401동 | 487건 | 20s
[08:46:58]   200/18401동 | 1,325건 | 32s
[08:47:46]   300/18401동 | 4,537건 | 80s
[08:48:24]   400/18401동 | 7,766건 | 118s
[08:49:16]   500/18401동 | 12,149건 | 170s
[08:51:08]   600/18401동 | 19,722건 | 282s
[08:53:30]   700/18401동 | 29,397건 | 424s
[08:55:09]   800/18401동 | 30,164건 | 523s
[08:55:50]   900/18401동 | 33,061건 | 564s
[08:56:28]   1000/18401동 | 33,750건 | 602s
[08:57:54]   1100/18401동 | 38,346건 | 688s
[08:58:19]   1200/18401동 | 39,757건 | 713s
[08:59:25]   1300/18401동 | 46,611건 | 779s
[09:00:04]   1400/18401동 | 47,780건 | 818s
[09:00:55]   1500/18401동 | 51,506건 | 869s
[09:01:13]   1600/18401동 | 52,192건 | 887s
[09:01:55]   1700/18401동 | 54,729건 | 929s
[09:02:57]   1800/18401동 | 58,805건 | 991s
[09:03:20]   1900/18401동 | 60,261건 | 1014s
[09:03:46]   2000/18401동 | 60,261건 | 1040s
[09:04:49]   2100/18401동 | 63,389건 | 1103s
[09:05:57]   2200/18401동 | 65,399건 | 1171s
[09:08:25]   2300/18401동 | 74,513건 | 1319s
[09:10:02]   2400/18401동 | 74,596건 | 1416s
[09:11:05]   2500/18401동 | 78,751건 | 1479s
[09:13:25]   2600/18401동 | 86,330건 | 1619s
[09:15:29]   2700/18401동 | 90,655건 | 1743s
[09:16:13]   2800/18401동 | 92,106건 | 1787s
[09:17:14]   2900/18401동 | 93,858건 | 1848s
[09:17:43]   3000/18401동 | 94,501건 | 1877s
[09:17:54]   3100/18401동 | 94,539건 | 1888s
[09:18:07]   3200/18401동 | 94,936건 | 1901s
[09:18:36]   3300/18401동 | 96,559건 | 1930s
[09:19:35]   3400/18401동 | 97,797건 | 1989s
[09:20:17]   3500/18401동 | 97,802건 | 2031s
[09:21:12]   3600/18401동 | 100,037건 | 2086s
[09:21:47]   3700/18401동 | 101,785건 | 2121s
[09:22:50]   3800/18401동 | 101,786건 | 2184s
[09:23:12]   3900/18401동 | 101,812건 | 2206s
[09:23:22]   4000/18401동 | 101,925건 | 2216s
[09:23:33]   4100/18401동 | 102,178건 | 2227s
[09:23:40]   4200/18401동 | 102,811건 | 2234s
[09:23:44]   4300/18401동 | 102,822건 | 2238s
[09:23:47]   4400/18401동 | 102,864건 | 2241s
[09:23:51]   4500/18401동 | 102,925건 | 2245s
[09:23:54]   4600/18401동 | 102,925건 | 2248s
[09:24:33]   4700/18401동 | 103,862건 | 2287s
[09:24:36]   4800/18401동 | 103,939건 | 2290s
[09:24:39]   4900/18401동 | 103,939건 | 2293s
[09:24:43]   5000/18401동 | 103,983건 | 2297s
[09:24:45]   5100/18401동 | 103,983건 | 2299s
[09:24:48]   5200/18401동 | 103,987건 | 2302s
[09:24:50]   5300/18401동 | 103,987건 | 2304s
[09:24:53]   5400/18401동 | 103,987건 | 2307s
[09:25:03]   5500/18401동 | 104,108건 | 2317s
[09:25:14]   5600/18401동 | 104,174건 | 2328s
[09:25:20]   5700/18401동 | 104,340건 | 2334s
[09:25:37]   5800/18401동 | 104,344건 | 2351s
[09:25:40]   5900/18401동 | 104,344건 | 2354s
[09:26:10]   6000/18401동 | 106,249건 | 2384s
[09:26:12]   6100/18401동 | 106,252건 | 2386s
[09:26:24]   6200/18401동 | 106,962건 | 2398s
[09:26:34]   6300/18401동 | 107,058건 | 2408s
[09:26:45]   6400/18401동 | 107,224건 | 2419s
[09:26:49]   6500/18401동 | 107,262건 | 2423s
[09:26:52]   6600/18401동 | 107,262건 | 2426s
[09:26:57]   6700/18401동 | 107,276건 | 2431s
[09:27:19]   6800/18401동 | 108,934건 | 2453s
[09:30:08]   6900/18401동 | 110,058건 | 2622s
[09:30:12]   7000/18401동 | 110,060건 | 2626s
[09:30:16]   7100/18401동 | 110,060건 | 2630s
[09:30:19]   7200/18401동 | 110,065건 | 2633s
[09:30:21]   7300/18401동 | 110,065건 | 2635s
[09:30:27]   7400/18401동 | 110,219건 | 2641s
[09:30:35]   7500/18401동 | 110,219건 | 2649s
[09:30:52]   7600/18401동 | 110,416건 | 2666s
[09:30:57]   7700/18401동 | 110,482건 | 2671s
