[07:02:36] 캐시 로드: 0개 완료 항목
[07:02:36] ==============================================================
[07:02:36]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[07:02:36]   precision: 5 → 7 | 세분화 임계: 400건
[07:02:36]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260601
[07:02:36] ==============================================================
[07:02:36] 지오해시 타일: 16891개 (precision=5)
[07:02:36] 
[1/3] 아파트 수집 ─────────────────────────────────
[07:02:44]   읍면동 18401개 확인
[07:03:00]   100/18401동 | 888건 | 25s
[07:03:05]   200/18401동 | 996건 | 30s
[07:03:39]   300/18401동 | 3,483건 | 63s
[07:03:59]   400/18401동 | 5,773건 | 84s
[07:04:48]   500/18401동 | 10,359건 | 133s
[07:06:26]   600/18401동 | 19,307건 | 231s
[07:07:07]   700/18401동 | 22,206건 | 272s
[07:08:52]   800/18401동 | 25,755건 | 377s
[07:09:08]   900/18401동 | 26,894건 | 393s
[07:09:29]   1000/18401동 | 28,426건 | 413s
[07:10:14]   1100/18401동 | 31,863건 | 459s
[07:11:48]   1200/18401동 | 35,338건 | 552s
[07:12:02]   1300/18401동 | 39,361건 | 566s
[07:13:16]   1400/18401동 | 43,647건 | 641s
[07:13:42]   1500/18401동 | 44,556건 | 667s
[07:14:25]   1600/18401동 | 48,520건 | 710s
[07:15:06]   1700/18401동 | 51,226건 | 750s
[07:15:47]   1800/18401동 | 54,126건 | 791s
[07:16:15]   1900/18401동 | 55,102건 | 819s
[07:17:08]   2000/18401동 | 58,578건 | 872s
[07:18:06]   2100/18401동 | 60,279건 | 930s
[07:18:29]   2200/18401동 | 61,957건 | 954s
[07:20:32]   2300/18401동 | 70,584건 | 1076s
[07:21:52]   2400/18401동 | 70,645건 | 1156s
[07:22:49]   2500/18401동 | 74,852건 | 1214s
[07:25:08]   2600/18401동 | 79,447건 | 1352s
[07:26:36]   2700/18401동 | 86,351건 | 1441s
[07:27:04]   2800/18401동 | 87,348건 | 1468s
[07:27:26]   2900/18401동 | 88,138건 | 1491s
[07:27:36]   3000/18401동 | 88,245건 | 1501s
[07:28:36]   3100/18401동 | 90,248건 | 1560s
[07:29:35]   3200/18401동 | 91,427건 | 1620s
[07:29:41]   3300/18401동 | 91,437건 | 1626s
[07:30:07]   3400/18401동 | 92,032건 | 1652s
[07:30:39]   3500/18401동 | 92,049건 | 1683s
[07:30:42]   3600/18401동 | 92,050건 | 1686s
[07:31:59]   3700/18401동 | 96,194건 | 1764s
[07:32:38]   3800/18401동 | 98,225건 | 1802s
[07:33:24]   3900/18401동 | 98,227건 | 1848s
[07:33:52]   4000/18401동 | 98,338건 | 1876s
[07:33:59]   4100/18401동 | 98,395건 | 1883s
[07:34:01]   4200/18401동 | 98,395건 | 1885s
[07:34:05]   4300/18401동 | 98,483건 | 1890s
[07:34:09]   4400/18401동 | 98,498건 | 1893s
[07:34:16]   4500/18401동 | 98,715건 | 1901s
[07:34:19]   4600/18401동 | 98,971건 | 1904s
[07:34:21]   4700/18401동 | 98,971건 | 1906s
[07:34:35]   4800/18401동 | 99,970건 | 1920s
[07:35:00]   4900/18401동 | 100,364건 | 1945s
[07:35:02]   5000/18401동 | 100,364건 | 1947s
[07:35:04]   5100/18401동 | 100,364건 | 1949s
[07:35:06]   5200/18401동 | 100,368건 | 1951s
[07:35:14]   5300/18401동 | 100,524건 | 1958s
[07:35:25]   5400/18401동 | 100,546건 | 1970s
[07:35:28]   5500/18401동 | 100,551건 | 1972s
[07:35:37]   5600/18401동 | 100,730건 | 1981s
[07:35:48]   5700/18401동 | 100,732건 | 1992s
[07:35:50]   5800/18401동 | 100,732건 | 1994s
[07:35:52]   5900/18401동 | 100,732건 | 1997s
[07:36:32]   6000/18401동 | 103,800건 | 2037s
[07:39:11]   6100/18401동 | 105,528건 | 2195s
[07:39:20]   6200/18401동 | 105,781건 | 2204s
[07:39:26]   6300/18401동 | 105,781건 | 2211s
[07:39:41]   6400/18401동 | 106,454건 | 2226s
[07:39:44]   6500/18401동 | 106,478건 | 2228s
[07:39:46]   6600/18401동 | 106,478건 | 2230s
[07:39:49]   6700/18401동 | 106,491건 | 2233s
[07:39:54]   6800/18401동 | 106,660건 | 2239s
[07:40:02]   6900/18401동 | 106,660건 | 2247s
[07:40:05]   7000/18401동 | 106,687건 | 2249s
[07:40:07]   7100/18401동 | 106,687건 | 2252s
[07:40:09]   7200/18401동 | 106,692건 | 2254s
[07:40:13]   7300/18401동 | 106,733건 | 2258s
[07:40:16]   7400/18401동 | 106,733건 | 2260s
[07:40:28]   7500/18401동 | 106,913건 | 2273s
[07:40:30]   7600/18401동 | 106,923건 | 2275s
[07:40:33]   7700/18401동 | 106,925건 | 2278s
[07:40:35]   7800/18401동 | 106,925건 | 2280s
[07:40:38]   7900/18401동 | 106,925건 | 2283s
[07:40:43]   8000/18401동 | 107,016건 | 2287s
[07:40:46]   8100/18401동 | 107,082건 | 2290s
[07:40:53]   8200/18401동 | 107,082건 | 2297s
[07:40:57]   8300/18401동 | 107,118건 | 2302s
[07:41:01]   8400/18401동 | 107,215건 | 2306s
[07:41:08]   8500/18401동 | 107,698건 | 2312s
[07:41:18]   8600/18401동 | 107,778건 | 2323s
[07:41:21]   8700/18401동 | 107,900건 | 2326s
[07:41:29]   8800/18401동 | 107,953건 | 2333s
[07:41:32]   8900/18401동 | 108,055건 | 2337s
[07:41:38]   9000/18401동 | 108,058건 | 2343s
[07:41:41]   9100/18401동 | 108,058건 | 2346s
[07:41:44]   9200/18401동 | 108,063건 | 2349s
[07:41:46]   9300/18401동 | 108,071건 | 2351s
[07:41:49]   9400/18401동 | 108,071건 | 2353s
[07:41:52]   9500/18401동 | 108,074건 | 2356s
[07:41:54]   9600/18401동 | 108,076건 | 2359s
[07:41:57]   9700/18401동 | 108,077건 | 2361s
[07:41:59]   9800/18401동 | 108,077건 | 2364s
[07:42:02]   9900/18401동 | 108,081건 | 2367s
[07:42:05]   10000/18401동 | 108,081건 | 2369s
[07:42:07]   10100/18401동 | 108,081건 | 2372s
[07:42:10]   10200/18401동 | 108,081건 | 2374s
[07:42:14]   10300/18401동 | 108,179건 | 2379s
[07:42:20]   10400/18401동 | 108,181건 | 2385s
[07:42:23]   10500/18401동 | 108,183건 | 2387s
[07:42:26]   10600/18401동 | 108,183건 | 2391s
[07:43:10]   10700/18401동 | 109,463건 | 2434s
[07:43:13]   10800/18401동 | 109,463건 | 2437s
[07:44:55]   10900/18401동 | 112,275건 | 2539s
[07:44:57]   11000/18401동 | 112,278건 | 2542s
[07:45:02]   11100/18401동 | 112,408건 | 2546s
[07:45:09]   11200/18401동 | 112,409건 | 2553s
[07:45:12]   11300/18401동 | 112,409건 | 2556s
[07:45:15]   11400/18401동 | 112,417건 | 2559s
[07:45:18]   11500/18401동 | 112,423건 | 2562s
[07:45:21]   11600/18401동 | 112,452건 | 2565s
[07:45:23]   11700/18401동 | 112,454건 | 2568s
[07:45:26]   11800/18401동 | 112,454건 | 2570s
[07:45:34]   11900/18401동 | 112,693건 | 2579s
[07:45:49]   12000/18401동 | 112,693건 | 2594s
[07:45:53]   12100/18401동 | 112,706건 | 2597s
[07:46:08]   12200/18401동 | 113,132건 | 2612s
[07:46:19]   12300/18401동 | 113,132건 | 2623s
[07:46:21]   12400/18401동 | 113,139건 | 2626s
[07:46:24]   12500/18401동 | 113,143건 | 2628s
[07:46:26]   12600/18401동 | 113,143건 | 2630s
[07:46:29]   12700/18401동 | 113,150건 | 2633s
[07:46:31]   12800/18401동 | 113,150건 | 2636s
[07:46:34]   12900/18401동 | 113,150건 | 2639s
[07:46:36]   13000/18401동 | 113,150건 | 2641s
[07:46:43]   13100/18401동 | 113,554건 | 2648s
[07:46:47]   13200/18401동 | 113,554건 | 2651s
[07:46:49]   13300/18401동 | 113,554건 | 2654s
[07:46:52]   13400/18401동 | 113,554건 | 2657s
[07:46:55]   13500/18401동 | 113,554건 | 2659s
[07:46:58]   13600/18401동 | 113,563건 | 2662s
[07:47:00]   13700/18401동 | 113,565건 | 2664s
[07:47:05]   13800/18401동 | 113,612건 | 2669s
[07:47:09]   13900/18401동 | 113,612건 | 2673s
[07:47:11]   14000/18401동 | 113,612건 | 2675s
[07:47:14]   14100/18401동 | 113,623건 | 2678s
[07:47:16]   14200/18401동 | 113,623건 | 2681s
[07:47:19]   14300/18401동 | 113,624건 | 2683s
[07:47:34]   14400/18401동 | 114,354건 | 2699s
[07:47:53]   14500/18401동 | 114,970건 | 2717s
[07:48:05]   14600/18401동 | 115,518건 | 2729s
[07:48:15]   14700/18401동 | 116,085건 | 2740s
[07:48:25]   14800/18401동 | 116,196건 | 2750s
[07:48:30]   14900/18401동 | 116,280건 | 2755s
[07:48:37]   15000/18401동 | 116,359건 | 2761s
[07:48:50]   15100/18401동 | 116,857건 | 2775s
[07:49:00]   15200/18401동 | 116,862건 | 2784s
[07:49:13]   15300/18401동 | 117,838건 | 2798s
[07:49:44]   15400/18401동 | 117,838건 | 2829s
[07:50:09]   15500/18401동 | 119,716건 | 2854s
[07:51:02]   15600/18401동 | 120,153건 | 2906s
[07:51:05]   15700/18401동 | 120,160건 | 2909s
[07:51:08]   15800/18401동 | 120,160건 | 2913s
[07:51:11]   15900/18401동 | 120,166건 | 2916s
