[05:41:53] 캐시 로드: 0개 완료 항목
[05:41:53] ==============================================================
[05:41:53]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:41:53]   precision: 5 → 7 | 세분화 임계: 400건
[05:41:53]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260512
[05:41:53] ==============================================================
[05:41:53] 지오해시 타일: 16891개 (precision=5)
[05:41:53] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:42:03]   읍면동 18401개 확인
[05:42:18]   100/18401동 | 839건 | 26s
[05:42:36]   200/18401동 | 1,571건 | 44s
[05:42:55]   300/18401동 | 3,031건 | 62s
[05:43:40]   400/18401동 | 5,996건 | 107s
[05:44:56]   500/18401동 | 12,162건 | 183s
[05:46:25]   600/18401동 | 19,269건 | 272s
[05:48:05]   700/18401동 | 24,663건 | 372s
[05:49:00]   800/18401동 | 25,255건 | 428s
[05:49:26]   900/18401동 | 27,259건 | 453s
[05:50:28]   1000/18401동 | 31,430건 | 516s
[05:50:51]   1100/18401동 | 31,447건 | 538s
[05:51:54]   1200/18401동 | 34,906건 | 601s
[05:53:18]   1300/18401동 | 42,814건 | 685s
[05:53:34]   1400/18401동 | 43,276건 | 701s
[05:54:32]   1500/18401동 | 47,101건 | 759s
[05:54:57]   1600/18401동 | 48,290건 | 784s
[05:55:28]   1700/18401동 | 49,761건 | 815s
[05:56:33]   1800/18401동 | 53,347건 | 881s
[05:57:13]   1900/18401동 | 55,509건 | 920s
[05:58:17]   2000/18401동 | 57,816건 | 985s
[05:59:05]   2100/18401동 | 58,414건 | 1033s
[05:59:58]   2200/18401동 | 62,374건 | 1085s
[06:01:45]   2300/18401동 | 70,361건 | 1193s
[06:03:35]   2400/18401동 | 70,408건 | 1302s
[06:04:29]   2500/18401동 | 74,238건 | 1356s
[06:07:27]   2600/18401동 | 80,686건 | 1534s
[06:08:46]   2700/18401동 | 86,402건 | 1613s
[06:09:47]   2800/18401동 | 88,320건 | 1674s
[06:10:26]   2900/18401동 | 89,973건 | 1713s
[06:10:46]   3000/18401동 | 90,297건 | 1734s
[06:10:58]   3100/18401동 | 90,297건 | 1745s
[06:11:28]   3200/18401동 | 90,914건 | 1775s
[06:12:04]   3300/18401동 | 90,914건 | 1811s
[06:13:26]   3400/18401동 | 94,328건 | 1894s
[06:14:44]   3500/18401동 | 96,277건 | 1971s
[06:15:22]   3600/18401동 | 98,395건 | 2009s
[06:16:21]   3700/18401동 | 98,396건 | 2069s
[06:16:47]   3800/18401동 | 98,451건 | 2094s
[06:16:51]   3900/18401동 | 98,491건 | 2098s
[06:16:54]   4000/18401동 | 98,525건 | 2101s
[06:16:57]   4100/18401동 | 98,542건 | 2104s
[06:17:05]   4200/18401동 | 98,929건 | 2112s
[06:17:09]   4300/18401동 | 99,037건 | 2116s
[06:17:16]   4400/18401동 | 99,142건 | 2123s
[06:17:23]   4500/18401동 | 99,180건 | 2130s
[06:17:27]   4600/18401동 | 99,244건 | 2134s
[06:17:34]   4700/18401동 | 99,654건 | 2142s
[06:18:04]   4800/18401동 | 100,558건 | 2171s
[06:18:08]   4900/18401동 | 100,561건 | 2175s
[06:18:11]   5000/18401동 | 100,564건 | 2178s
[06:18:14]   5100/18401동 | 100,564건 | 2181s
[06:18:17]   5200/18401동 | 100,564건 | 2184s
[06:18:19]   5300/18401동 | 100,569건 | 2186s
[06:18:22]   5400/18401동 | 100,569건 | 2189s
[06:18:24]   5500/18401동 | 100,569건 | 2191s
[06:18:37]   5600/18401동 | 100,759건 | 2205s
[06:18:47]   5700/18401동 | 100,761건 | 2214s
[06:18:54]   5800/18401동 | 100,899건 | 2222s
[06:19:07]   5900/18401동 | 100,901건 | 2234s
[06:19:10]   6000/18401동 | 100,922건 | 2237s
[06:19:13]   6100/18401동 | 100,922건 | 2240s
[06:19:31]   6200/18401동 | 101,551건 | 2259s
[06:19:35]   6300/18401동 | 101,566건 | 2263s
[06:20:02]   6400/18401동 | 103,288건 | 2289s
[06:20:06]   6500/18401동 | 103,311건 | 2293s
[06:20:08]   6600/18401동 | 103,311건 | 2295s
[06:23:30]   6700/18401동 | 106,436건 | 2497s
[06:23:40]   6800/18401동 | 106,438건 | 2508s
[06:23:43]   6900/18401동 | 106,438건 | 2510s
[06:23:48]   7000/18401동 | 106,479건 | 2515s
[06:24:00]   7100/18401동 | 106,702건 | 2527s
[06:24:07]   7200/18401동 | 106,894건 | 2535s
[06:24:14]   7300/18401동 | 106,894건 | 2542s
[06:24:19]   7400/18401동 | 106,909건 | 2546s
[06:24:32]   7500/18401동 | 107,086건 | 2559s
[06:24:35]   7600/18401동 | 107,089건 | 2562s
[06:24:37]   7700/18401동 | 107,092건 | 2564s
[06:24:41]   7800/18401동 | 107,118건 | 2569s
[06:24:45]   7900/18401동 | 107,221건 | 2572s
[06:24:50]   8000/18401동 | 107,516건 | 2577s
[06:24:53]   8100/18401동 | 107,524건 | 2581s
[06:24:58]   8200/18401동 | 107,585건 | 2585s
[06:25:07]   8300/18401동 | 107,586건 | 2594s
[06:25:13]   8400/18401동 | 107,712건 | 2600s
[06:25:16]   8500/18401동 | 107,712건 | 2603s
[06:25:23]   8600/18401동 | 107,712건 | 2610s
[06:25:29]   8700/18401동 | 108,015건 | 2617s
[06:25:41]   8800/18401동 | 108,103건 | 2628s
[06:25:43]   8900/18401동 | 108,106건 | 2631s
[06:25:50]   9000/18401동 | 108,263건 | 2637s
[06:25:56]   9100/18401동 | 108,263건 | 2644s
[06:26:00]   9200/18401동 | 108,263건 | 2647s
[06:26:03]   9300/18401동 | 108,263건 | 2650s
[06:26:05]   9400/18401동 | 108,271건 | 2653s
[06:26:08]   9500/18401동 | 108,271건 | 2656s
[06:26:11]   9600/18401동 | 108,274건 | 2658s
[06:26:14]   9700/18401동 | 108,276건 | 2661s
[06:26:16]   9800/18401동 | 108,276건 | 2664s
[06:26:19]   9900/18401동 | 108,277건 | 2667s
[06:26:22]   10000/18401동 | 108,277건 | 2669s
[06:26:25]   10100/18401동 | 108,277건 | 2673s
[06:26:28]   10200/18401동 | 108,280건 | 2675s
[06:26:34]   10300/18401동 | 108,392건 | 2681s
[06:26:42]   10400/18401동 | 108,394건 | 2689s
[06:26:45]   10500/18401동 | 108,396건 | 2692s
[06:26:48]   10600/18401동 | 108,396건 | 2695s
