[04:39:11] 캐시 로드: 0개 완료 항목
[04:39:11] ==============================================================
[04:39:11]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[04:39:11]   precision: 5 → 7 | 세분화 임계: 400건
[04:39:11]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260425
[04:39:11] ==============================================================
[04:39:11] 지오해시 타일: 16891개 (precision=5)
[04:39:11] 
[1/3] 아파트 수집 ─────────────────────────────────
[04:39:23]   읍면동 18401개 확인
[04:39:39]   100/18401동 | 939건 | 28s
[04:40:01]   200/18401동 | 2,027건 | 51s
[04:40:17]   300/18401동 | 2,982건 | 66s
[04:41:04]   400/18401동 | 7,380건 | 113s
[04:42:07]   500/18401동 | 12,425건 | 177s
[04:43:44]   600/18401동 | 19,407건 | 273s
[04:45:58]   700/18401동 | 24,773건 | 407s
[04:46:40]   800/18401동 | 25,646건 | 449s
[04:47:23]   900/18401동 | 28,728건 | 492s
[04:48:34]   1000/18401동 | 31,508건 | 563s
[04:48:56]   1100/18401동 | 34,334건 | 585s
[04:49:44]   1200/18401동 | 38,200건 | 633s
[04:49:51]   1300/18401동 | 38,277건 | 640s
[04:51:29]   1400/18401동 | 44,344건 | 738s
[04:52:10]   1500/18401동 | 47,004건 | 779s
[04:52:36]   1600/18401동 | 48,181건 | 806s
[04:53:06]   1700/18401동 | 49,923건 | 835s
[04:53:53]   1800/18401동 | 53,046건 | 882s
[04:54:52]   1900/18401동 | 56,928건 | 941s
[04:55:30]   2000/18401동 | 56,929건 | 980s
[04:56:46]   2100/18401동 | 59,805건 | 1055s
[04:57:30]   2200/18401동 | 62,449건 | 1099s
[04:58:35]   2300/18401동 | 66,707건 | 1164s
[05:00:50]   2400/18401동 | 71,632건 | 1299s
[05:02:34]   2500/18401동 | 74,470건 | 1403s
[05:04:30]   2600/18401동 | 83,073건 | 1519s
[05:07:02]   2700/18401동 | 86,698건 | 1671s
[05:07:52]   2800/18401동 | 89,233건 | 1721s
[05:08:41]   2900/18401동 | 90,477건 | 1771s
[05:09:15]   3000/18401동 | 90,823건 | 1804s
[05:09:30]   3100/18401동 | 90,823건 | 1819s
[05:09:34]   3200/18401동 | 90,875건 | 1823s
[05:10:32]   3300/18401동 | 93,159건 | 1882s
[05:11:41]   3400/18401동 | 94,386건 | 1950s
[05:12:13]   3500/18401동 | 95,052건 | 1982s
[05:13:06]   3600/18401동 | 95,052건 | 2035s
[05:13:53]   3700/18401동 | 97,265건 | 2082s
[05:14:55]   3800/18401동 | 97,267건 | 2144s
[05:15:23]   3900/18401동 | 97,318건 | 2172s
[05:16:02]   4000/18401동 | 99,161건 | 2211s
[05:16:06]   4100/18401동 | 99,161건 | 2215s
[05:16:14]   4200/18401동 | 99,259건 | 2223s
[05:16:23]   4300/18401동 | 99,686건 | 2232s
[05:16:28]   4400/18401동 | 99,787건 | 2237s
[05:16:33]   4500/18401동 | 99,872건 | 2242s
[05:16:37]   4600/18401동 | 99,872건 | 2246s
[05:16:46]   4700/18401동 | 100,292건 | 2255s
[05:16:48]   4800/18401동 | 100,292건 | 2257s
[05:16:50]   4900/18401동 | 100,292건 | 2259s
[05:17:22]   5000/18401동 | 101,204건 | 2292s
[05:17:26]   5100/18401동 | 101,246건 | 2295s
[05:17:29]   5200/18401동 | 101,250건 | 2298s
[05:17:31]   5300/18401동 | 101,250건 | 2300s
[05:17:34]   5400/18401동 | 101,250건 | 2303s
[05:17:54]   5500/18401동 | 101,431건 | 2323s
[05:18:12]   5600/18401동 | 101,560건 | 2341s
[05:18:17]   5700/18401동 | 101,563건 | 2346s
[05:18:20]   5800/18401동 | 101,566건 | 2349s
[05:18:23]   5900/18401동 | 101,566건 | 2352s
[05:18:39]   6000/18401동 | 102,184건 | 2368s
[05:19:04]   6100/18401동 | 103,804건 | 2393s
[05:19:07]   6200/18401동 | 103,817건 | 2397s
[05:19:11]   6300/18401동 | 103,899건 | 2400s
[05:22:17]   6400/18401동 | 106,857건 | 2586s
[05:22:24]   6500/18401동 | 106,873건 | 2593s
[05:22:27]   6600/18401동 | 106,876건 | 2596s
[05:22:30]   6700/18401동 | 106,876건 | 2599s
[05:22:33]   6800/18401동 | 106,876건 | 2602s
[05:22:47]   6900/18401동 | 107,204건 | 2617s
[05:22:50]   7000/18401동 | 107,219건 | 2620s
[05:22:54]   7100/18401동 | 107,231건 | 2623s
[05:22:57]   7200/18401동 | 107,240건 | 2626s
[05:23:00]   7300/18401동 | 107,308건 | 2629s
[05:23:07]   7400/18401동 | 107,386건 | 2636s
[05:23:13]   7500/18401동 | 107,391건 | 2642s
[05:23:16]   7600/18401동 | 107,391건 | 2645s
[05:23:30]   7700/18401동 | 107,562건 | 2660s
[05:23:35]   7800/18401동 | 107,564건 | 2664s
[05:23:39]   7900/18401동 | 107,648건 | 2668s
[05:23:46]   8000/18401동 | 107,648건 | 2676s
[05:23:57]   8100/18401동 | 107,783건 | 2687s
[05:24:02]   8200/18401동 | 107,783건 | 2691s
[05:24:16]   8300/18401동 | 108,166건 | 2706s
[05:24:24]   8400/18401동 | 108,166건 | 2713s
[05:24:26]   8500/18401동 | 108,166건 | 2715s
[05:24:31]   8600/18401동 | 108,260건 | 2720s
[05:24:35]   8700/18401동 | 108,304건 | 2724s
[05:24:39]   8800/18401동 | 108,573건 | 2728s
[05:24:44]   8900/18401동 | 108,592건 | 2733s
[05:24:47]   9000/18401동 | 108,592건 | 2737s
[05:24:51]   9100/18401동 | 108,593건 | 2740s
[05:24:57]   9200/18401동 | 108,748건 | 2746s
[05:25:03]   9300/18401동 | 108,750건 | 2753s
[05:25:07]   9400/18401동 | 108,750건 | 2756s
[05:25:10]   9500/18401동 | 108,754건 | 2759s
