[05:17:14] 캐시 로드: 0개 완료 항목
[05:17:14] ==============================================================
[05:17:14]   직방 전국 전 유형 매물 수집 (읍면동 + 적응형 세분화)
[05:17:14]   precision: 5 → 7 | 세분화 임계: 400건
[05:17:14]   저장: /home/runner/work/zigbang-crawler-all/zigbang-crawler-all/zigbang_data/20260413
[05:17:14] ==============================================================
[05:17:14] 지오해시 타일: 16891개 (precision=5)
[05:17:14] 
[1/3] 아파트 수집 ─────────────────────────────────
[05:17:25]   읍면동 18401개 확인
[05:17:57]   100/18401동 | 1,839건 | 43s
[05:18:05]   200/18401동 | 1,972건 | 50s
[05:18:37]   300/18401동 | 4,844건 | 82s
[05:19:09]   400/18401동 | 7,056건 | 115s
[05:20:23]   500/18401동 | 12,612건 | 188s
[05:21:46]   600/18401동 | 18,510건 | 272s
[05:23:58]   700/18401동 | 22,376건 | 404s
[05:24:45]   800/18401동 | 25,062건 | 451s
[05:25:14]   900/18401동 | 26,032건 | 480s
[05:26:01]   1000/18401동 | 28,181건 | 526s
[05:26:07]   1100/18401동 | 28,448건 | 533s
[05:27:34]   1200/18401동 | 33,586건 | 619s
[05:27:39]   1300/18401동 | 34,276건 | 625s
[05:29:55]   1400/18401동 | 42,657건 | 761s
[05:30:40]   1500/18401동 | 45,671건 | 805s
[05:31:06]   1600/18401동 | 46,910건 | 832s
[05:31:44]   1700/18401동 | 49,064건 | 870s
[05:32:17]   1800/18401동 | 51,136건 | 903s
[05:33:02]   1900/18401동 | 52,832건 | 947s
[05:34:02]   2000/18401동 | 56,031건 | 1007s
[05:34:49]   2100/18401동 | 56,033건 | 1054s
[05:35:47]   2200/18401동 | 59,446건 | 1112s
[05:36:41]   2300/18401동 | 63,323건 | 1166s
[05:39:30]   2400/18401동 | 72,722건 | 1335s
[05:41:42]   2500/18401동 | 75,660건 | 1467s
[05:44:09]   2600/18401동 | 81,323건 | 1614s
[05:46:04]   2700/18401동 | 83,304건 | 1730s
[05:47:07]   2800/18401동 | 87,105건 | 1793s
[05:47:30]   2900/18401동 | 87,670건 | 1815s
[05:48:18]   3000/18401동 | 90,327건 | 1864s
[05:49:18]   3100/18401동 | 90,436건 | 1923s
[05:50:16]   3200/18401동 | 91,170건 | 1982s
[05:50:43]   3300/18401동 | 91,170건 | 2009s
[05:51:10]   3400/18401동 | 91,856건 | 2035s
[05:52:16]   3500/18401동 | 91,856건 | 2101s
[05:53:27]   3600/18401동 | 94,207건 | 2173s
[05:53:46]   3700/18401동 | 94,966건 | 2191s
[05:55:29]   3800/18401동 | 97,247건 | 2295s
[05:55:49]   3900/18401동 | 98,192건 | 2314s
[05:56:15]   4000/18401동 | 98,485건 | 2341s
[05:56:20]   4100/18401동 | 98,540건 | 2346s
[05:56:22]   4200/18401동 | 98,540건 | 2348s
[05:56:29]   4300/18401동 | 98,669건 | 2354s
[05:56:37]   4400/18401동 | 98,674건 | 2363s
[05:56:46]   4500/18401동 | 98,867건 | 2372s
[05:56:53]   4600/18401동 | 99,179건 | 2379s
[05:56:57]   4700/18401동 | 99,179건 | 2382s
[05:57:00]   4800/18401동 | 99,219건 | 2386s
[05:57:03]   4900/18401동 | 99,219건 | 2389s
[05:57:06]   5000/18401동 | 99,219건 | 2392s
[05:57:08]   5100/18401동 | 99,223건 | 2394s
[05:57:13]   5200/18401동 | 99,301건 | 2398s
[05:57:15]   5300/18401동 | 99,318건 | 2401s
[05:57:18]   5400/18401동 | 99,323건 | 2404s
[05:57:21]   5500/18401동 | 99,324건 | 2406s
[05:57:35]   5600/18401동 | 99,503건 | 2421s
[05:57:49]   5700/18401동 | 99,529건 | 2435s
[05:57:51]   5800/18401동 | 99,529건 | 2437s
[05:57:55]   5900/18401동 | 99,529건 | 2440s
[05:58:04]   6000/18401동 | 99,665건 | 2449s
[05:58:17]   6100/18401동 | 99,667건 | 2463s
[05:58:21]   6200/18401동 | 99,680건 | 2467s
[05:58:46]   6300/18401동 | 101,190건 | 2492s
[05:59:05]   6400/18401동 | 101,777건 | 2511s
[06:02:20]   6500/18401동 | 104,749건 | 2706s
[06:02:34]   6600/18401동 | 104,894건 | 2719s
[06:02:45]   6700/18401동 | 105,015건 | 2731s
[06:02:48]   6800/18401동 | 105,036건 | 2734s
[06:02:51]   6900/18401동 | 105,036건 | 2737s
[06:02:58]   7000/18401동 | 105,184건 | 2743s
[06:03:08]   7100/18401동 | 105,190건 | 2754s
[06:03:11]   7200/18401동 | 105,190건 | 2757s
